Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.579107505,0.990428845,0.039597912,0.216180266,0.973991088,482,"c(""EFNB1"", ""ZP3"", ""ITGA6"", ""ITGB7"", ""FUT9"", ""SERPINE2"", ""IL10"", ""CD58"", ""CLDN3"", ""TESPA1"", ""CYFIP2"", ""CX3CR1"", ""TSPAN32"", ""IGF1"", ""LRP6"", ""CD27"", ""F11R"", ""MAG"", ""WNT5A"", ""BOC"", ""CTNND1"", ""TGFB1"", ""SERPINB8"", ""CD6"", ""FOXA2"", ""JAK3"", ""TBX21"", ""IL12B"", ""HFE"", ""PIP5K1C"", ""CD2"", ""CTNNA2"", ""DSCAML1"", ""CELSR1"", ""SOX9"", ""NCKAP1L"", ""IFNB1"", ""EPB41L5"", ""FADD"", ""AKT1"", ""ROBO4"", ""NTN1"", ""LGALS3"", ""DSCAM"", ""ITGA5"", ""DLG1"", ""S100A8"", ""ALOX5"", ""DSP"", ""CTNND2"", ""WNT7B"", ""CDON"", ""DUSP10"", ""CDH5"", ""IZUMO1"", ""PLEK"", 
""FUT4"", ""DLG4"", ""FOXP3"", ""SLC39A8"", ""CADM1"", ""BMP5"", ""SELL"", ""CCR7"", ""CEACAM1"", ""RGCC"", ""CD83"", ""IRAK1"", ""ADD2"", ""ZDHHC21"", ""CNTN5"", ""NPTN"", ""PRDX2"", ""FUT7"", ""TGFB2"", ""SPTA1"", ""AFDN"", ""PIK3CB"", ""HBB"", ""IL1RN"", ""CD5"", ""TNFSF11"", ""SLC7A11"", ""TGFBR2"", ""CRB1"", ""GATA1"", ""PCDH17"", ""IL1RL2"", ""ASTN2"", ""ICOSLG"", ""ITGAL"", ""PLXNB3"", ""ITGA3"", ""CCL5"", ""MDK"", ""CLSTN2"", ""CD70"", ""ITGA9"", ""NLGN3"", ""SPI1"", ""ICAM3"", ""MAD1L1"", ""PAG1"", ""BMP7"", ""ITGB3"", ""DSG3"", ""PVR"", ""CD1D"", ""LRRC7"", ""KRT18"", ""SIRPA"", ""ADGRV1"", ""PCDH15"", 
""GLDN"", ""PRNP"", ""LCK"", ""ICAM2"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.686567164,0.995252388,0.033972361,0.212556836,0.919923361,244,"c(""EFNB1"", ""ZP3"", ""ITGB7"", ""FUT9"", ""IL10"", ""TESPA1"", ""CX3CR1"", ""IGF1"", ""CD27"", ""F11R"", ""CD6"", ""JAK3"", ""TBX21"", ""IL12B"", ""HFE"", ""NCKAP1L"", ""IFNB1"", ""FADD"", ""AKT1"", ""LGALS3"", ""ITGA5"", ""DLG1"", ""S100A8"", ""ALOX5"", ""DUSP10"", ""FUT4"", ""FOXP3"", ""SLC39A8"", ""SELL"", ""CCR7"", ""CEACAM1"", ""CD83"", ""IRAK1"", ""ADD2"", ""ZDHHC21"", ""PRDX2"", ""FUT7"", ""SPTA1"", ""CD5"", ""TNFSF11"", ""TGFBR2"", ""IL1RL2"", ""ICOSLG"", ""ITGAL"", ""CCL5"", ""MDK"", ""CD70"", ""MAD1L1"", ""PAG1"", ""BMP7"", ""CD1D"", ""SIRPA"", ""PRNP"", ""LCK"", ""IL23R"", ""CD80"", ""CARD11"", 
""SOCS6"", ""IL23A"", ""PELI1"", ""ASS1"", ""ARG1"", ""CTSG"", ""PNP"", ""SCRIB"", ""LGALS9"", ""IL36B"", ""IHH"", ""PIK3CA"", ""TRAF6"", ""FOXJ1"", ""TYK2"", ""PTPN6"", ""EZR"", ""AP3D1"", ""RIPK2"", ""SOCS5"", ""PDCD1LG2"", ""HMGB1"", ""AMBRA1"", ""AGER"", ""LAG3"", ""VTCN1"", ""CD55"", ""IL7R"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.16099229,0.80214869,0.249246554,-0.204294974,-1.145954061,284,"c(""NR4A3"", ""CD74"", ""VEGFA"", ""LDB1"", ""FLNA"", ""B2M"", ""S100A10"", ""NFKBIZ"", ""IL6"", ""CARMIL1"", ""EPO"", ""NID1"", ""IL15"", ""RRAS"", ""IL7"", ""SYK"", ""ETS1"", ""TJP1"", ""ILK"", ""NLRP3"", ""IFNG"", ""ZFHX3"", ""ANXA1"", ""CBFB"", ""PLEKHA2"", ""CSPG5"", ""STAT5B"", ""CD81"", ""LIF"", ""CCL2"", ""RUNX3"", ""TPM1"", ""ADAM9"", ""DNM2"", ""CITED2"", ""IGF2"", ""PDGFB"", ""CCN1"", ""HES1"", ""UTRN"", ""CSK"", ""BCL10"", ""RUNX1"", ""BAD"", ""FYN"", ""CRK"", ""DOCK8"", ""TNFSF13B"", ""CD276"", ""PCK1"", ""PTPN11"", ""CD4"", ""CD46"", ""CD47"", ""SART1"", ""ANGPT1"", ""MAGI1"", ""TGM2"", ""ROCK1"", 
""ATM"", ""TNFSF4"", ""FGG"", ""PLPP3"", ""FOXA1"", ""FGA"", ""HSPH1"", ""MALT1"", ""VCAM1"", ""MMRN1"", ""NCK2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.548076923,0.98471348,0.186432558,-0.181529193,-0.97458244,194,"c(""NR4A3"", ""CD74"", ""B2M"", ""NFKBIZ"", ""IL6"", ""EPO"", ""IL15"", ""IL7"", ""SYK"", ""ETS1"", ""TJP1"", ""NLRP3"", ""IFNG"", ""ANXA1"", ""CBFB"", ""STAT5B"", ""CD81"", ""CCL2"", ""RUNX3"", ""CITED2"", ""IGF2"", ""HES1"", ""CSK"", ""BCL10"", ""RUNX1"", ""BAD"", ""FYN"", ""DOCK8"", ""TNFSF13B"", ""CD276"", ""PCK1"", ""PTPN11"", ""CD4"", ""CD46"", ""CD47"", ""SART1"", ""MAGI1"", ""TNFSF4"", ""FGG"", ""PLPP3"", ""FOXA1"", ""FGA"", ""HSPH1"", ""MALT1"", ""VCAM1"", ""MMRN1"", ""NCK2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.228346457,0.85372911,0.266350657,-0.20990143,-1.099813569,164,"c(""NR4A3"", ""CD74"", ""B2M"", ""NFKBIZ"", ""IL6"", ""EPO"", ""IL15"", ""IL7"", ""SYK"", ""ETS1"", ""NLRP3"", ""IFNG"", ""ANXA1"", ""CBFB"", ""STAT5B"", ""CD81"", ""CCL2"", ""RUNX3"", ""IGF2"", ""HES1"", ""CSK"", ""BCL10"", ""RUNX1"", ""BAD"", ""FYN"", ""DOCK8"", ""TNFSF13B"", ""CD276"", ""PCK1"", ""PTPN11"", ""CD4"", ""CD46"", ""CD47"", ""SART1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.288883036,0.901072713,0.203508959,-0.182158027,-1.034441199,464,"c(""NR4A3"", ""DUSP1"", ""CD74"", ""VEGFA"", ""LDB1"", ""FLNA"", ""NOTCH1"", ""B2M"", ""S100A10"", ""CEBPB"", ""CD9"", ""LAMA5"", ""NFKBIZ"", ""JAG1"", ""IL6"", ""JAM3"", ""APOD"", ""CARMIL1"", ""EPO"", ""ATP5F1B"", ""NID1"", ""IL15"", ""EFNA1"", ""RRAS"", ""IL7"", ""FES"", ""SYK"", ""FBLN1"", ""THBS1"", ""ACTN4"", ""PRLR"", ""ETS1"", ""TJP1"", ""ILK"", ""NLRP3"", ""IFNG"", ""ZFHX3"", ""SERPINE1"", ""PRKAR1A"", ""ANXA1"", ""CXCL8"", ""TACSTD2"", ""CBFB"", ""PLEKHA2"", ""CSPG5"", ""STAT5B"", ""CD81"", ""LIF"", ""CCL2"", ""SNAI2"", ""RUNX3"", ""TPM1"", ""ADAM9"", ""DNM2"", ""RAC2"", ""CITED2"", ""IGF2"", ""PDGFB"", 
""EPHB3"", ""CCN1"", ""HES1"", ""UTRN"", ""CSK"", ""BCL10"", ""RUNX1"", ""PPP1R12A"", ""BAD"", ""FYN"", ""CRK"", ""DOCK8"", ""TNFSF13B"", ""EPHA2"", ""CD276"", ""PCK1"", ""PTPN11"", ""CD4"", ""CD46"", ""PPP2CA"", ""CD47"", ""SEMA5A"", ""CBLB"", ""SART1"", ""NF2"", ""ANGPT1"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.976939203,0.995423635,0.012413637,0.169185435,0.738184795,286,"c(""EFNB1"", ""ZP3"", ""FUT9"", ""SERPINE2"", ""IL10"", ""TESPA1"", ""IGF1"", ""CD27"", ""F11R"", ""WNT5A"", ""TGFB1"", ""CD6"", ""FOXA2"", ""JAK3"", ""TBX21"", ""IL12B"", ""HFE"", ""NCKAP1L"", ""IFNB1"", ""EPB41L5"", ""FADD"", ""AKT1"", ""LGALS3"", ""DLG1"", ""ALOX5"", ""DUSP10"", ""FUT4"", ""FOXP3"", ""CCR7"", ""CEACAM1"", ""RGCC"", ""CD83"", ""IRAK1"", ""ZDHHC21"", ""PRDX2"", ""FUT7"", ""SPTA1"", ""AFDN"", ""IL1RN"", ""CD5"", ""TNFSF11"")"
Adhesion,GOCC_ANCHORING_JUNCTION,0.037297149,0.573119694,0.321775918,-0.209590955,-1.151672863,396,"c(""VEGFA"", ""HSPA1A"", ""APP"", ""FLNA"", ""NOTCH1"", ""B2M"", ""PDGFRB"", ""CD9"", ""HSPA1B"", ""JAG1"", ""VIM"", ""MCAM"", ""YBX3"", ""PTPN12"", ""GJA1"", ""HSPA8"", ""JAM3"", ""NFASC"", ""ANXA5"", ""STARD10"", ""PTPRM"", ""ENAH"", ""PARK7"", ""RRAS"", ""ACTN1"", ""PTK7"", ""FES"", ""IQGAP1"", ""HSP90B1"", ""HSPA9"", ""ACTN4"", ""PTPRK"", ""AKAP12"", ""EPB41L3"", ""CLTC"", ""ITGB1"", ""NCKAP1"", ""TJP1"", ""ILK"", ""SAV1"", ""MYH9"", ""HCK"", ""CYTH2"", ""ANXA1"", ""ATP1B1"", ""KIFC3"", ""CD81"", ""ATP1A2"", ""LAMA1"", ""ADAM9"", ""FZD1"", ""DNM2"", ""RAC2"", ""ARF1"", ""FGFR4"", ""ATP6V0C"", ""FGFRL1"", 
""EVL"", ""CSK"", ""CLDN7"", ""CD59"", ""PPP1R12A"", ""BSG"", ""PDLIM1"", ""GSN"", ""PFN1"", ""TNFSF13B"", ""EPHA2"", ""SYNE2"", ""RHOB"", ""IRF2"", ""HSPB1"", ""CD46"", ""CD151"", ""CTNNB1"", ""NF2"", ""ADGRE5"", ""ERBIN"", ""CSPG4"", ""CADM4"", ""MAGI1"", ""TGM2"", ""ASH1L"", ""SIRT2"", ""AQP3"", ""MARCKS"", ""WDR1"", ""TRPC6"", ""PRUNE1"", ""PLPP3"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,0.001483002,0.202758571,0.455059867,-0.260823651,-1.421894836,234,"c(""HSPA1A"", ""FLNA"", ""B2M"", ""PDGFRB"", ""CD9"", ""HSPA1B"", ""VIM"", ""MCAM"", ""PTPN12"", ""GJA1"", ""HSPA8"", ""NFASC"", ""ANXA5"", ""ENAH"", ""RRAS"", ""ACTN1"", ""PTK7"", ""FES"", ""IQGAP1"", ""HSP90B1"", ""HSPA9"", ""ACTN4"", ""AKAP12"", ""CLTC"", ""ITGB1"", ""NCKAP1"", ""ILK"", ""MYH9"", ""HCK"", ""ANXA1"", ""CD81"", ""ADAM9"", ""FZD1"", ""DNM2"", ""RAC2"", ""ARF1"", ""ATP6V0C"", ""EVL"", ""CD59"", ""PPP1R12A"", ""BSG"", ""PDLIM1"", ""GSN"", ""PFN1"", ""TNFSF13B"", ""EPHA2"", ""SYNE2"", ""RHOB"", ""IRF2"", ""HSPB1"", ""CD46"", ""CD151"", ""CTNNB1"", ""ADGRE5"", ""ERBIN"", ""CSPG4"")"
Adhesion,GOCC_CELL_SURFACE,0.243380855,0.863693901,0.081526514,0.242754463,1.093588372,497,"c(""GPR37"", ""SCUBE2"", ""ITGA6"", ""FCN1"", ""ITGB7"", ""SERPINE2"", ""FCER2"", ""ACKR4"", ""MAP3K5"", ""PROCR"", ""NEU3"", ""CD58"", ""TLR2"", ""KCNQ1"", ""CX3CR1"", ""TSPAN32"", ""CLEC4A"", ""LRP6"", ""CD27"", ""CSF1R"", ""SLC6A3"", ""RSPO2"", ""EPHA4"", ""AMELX"", ""WNT5A"", ""WNT6"", ""TGFB1"", ""RAMP1"", ""CD6"", ""HEG1"", ""SLC1A1"", ""IL12B"", ""PDIA3"", ""HFE"", ""P2RY1"", ""CD2"", ""IL31RA"", ""WNT7A"", ""CXCR1"", ""DSCAML1"", ""FZD10"", ""LRPAP1"", ""CD109"", ""C1QBP"", ""GRIN1"", ""KCNJ3"", ""LPAR2"", ""F10"", ""SCN5A"", ""RTN4RL1"", ""SCARA5"", ""KCNN2"", ""IL13RA2"", ""ULBP3"", ""IGHA1"", 
""LGALS3"", ""MSLN"", ""ITGA5"", ""IGKC"", ""GRIA1"", ""AAMP"", ""ITGB6"", ""F2R"", ""CSF2RA"", ""RALA"", ""TNFRSF10A"", ""CDH5"", ""ADAM10"", ""FUT4"", ""ABCG1"", ""CCR7"", ""CD5L"", ""CEACAM1"", ""ULBP1"", ""CD83"", ""CD8B"", ""FGF10"", ""AMBP"", ""SDC2"", ""NPTN"", ""F2"", ""FAS"", ""FURIN"", ""CD5"", ""TRDC"", ""PROM1"", ""TRBC1"", ""SLC7A11"", ""TGFBR2"", ""CASR"", ""ITGB4"", ""SLC38A1"", ""SLC32A1"", ""KLRD1"", ""LY9"", ""CCRL2"", ""ICOSLG"", ""CD69"", ""ITGAL"", ""LY6D"", ""NDP"", ""PLXNB3"", ""F3"", ""ITGA3"", ""ROR2"", ""CLSTN2"", ""TREML1"", ""ACE"", ""TNFRSF4"", ""IL12RB2"", ""ITGA9"", ""NLGN3"", 
""ABCB1"", ""CD48"")"
