gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
L3MBTL4,-0.407244006,9.662710408,-3.656839501,0.000255809,0.440801165,0.013800987,NA
NELFB,-2.148511339,5.612633663,-3.889658306,0.000100616,0.440801165,-0.154276256,NA
PLA2G3,-2.711666764,4.303210734,-3.632228684,0.000281482,0.440801165,-1.571313336,Metabolism or Transport (lipid)
RPL35A,2.805323811,3.904394964,3.742649501,0.000182451,0.440801165,-1.374445851,NA
SDCCAG8,-0.653001187,8.616999736,-3.666213329,0.000246621,0.440801165,0.295588065,NA
ZNF582,-3.196732001,4.077734075,-4.040206355,5.35E-05,0.440801165,-0.976682782,NA
CTC-326K19.6,-1.437854981,6.293134889,-3.567271073,0.000361316,0.484989527,-0.376241685,NA
RIPPLY2,-3.08425824,3.547739921,-3.519913,0.000432369,0.507817432,-2.195154669,NA
DISC1,0.434623907,9.435449289,3.478805514,0.000504414,0.526608266,-0.527474036,NA
ANK1,-0.469923906,9.189755037,-3.35674034,0.000789714,0.620248605,-0.859449033,NA
ERCC6L2,1.100624471,7.029170448,3.355890285,0.000792144,0.620248605,-0.768815531,NA
ZBTB25,-1.2099903,6.702713391,-3.395992589,0.000684746,0.620248605,-0.717656641,Development (differentiation)
TAOK3,-0.681183021,8.28697859,-3.333108787,0.000859919,0.621523001,-0.765109285,NA
BID,-1.356566121,6.347075309,-3.275914282,0.001054477,0.644766255,-1.185954465,NA
PARL,1.257714871,6.568360004,3.264484471,0.001097942,0.644766255,-1.142374802,NA
VEZT,-1.132479307,6.835693156,-3.267056642,0.001088018,0.644766255,-1.051381709,Matrisome/cell adhesion/binding/signaling
ACE2,-1.382877361,5.929620239,-2.936666416,0.003320289,0.650343288,-2.112462216,NA
ADAR,-1.168128454,6.329119866,-2.960133472,0.003077617,0.650343288,-1.913689004,NA
ATP6V0D1,-1.122860007,6.614466389,-3.042935518,0.002344981,0.650343288,-1.672059607,NA
BHMT,-2.154230027,4.75519996,-3.012785751,0.002590913,0.650343288,-2.551862182,Metabolism (other)
C2orf70,2.102600086,4.850036786,3.164597856,0.001554625,0.650343288,-2.160136651,NA
CCT6B,1.943289103,5.169640078,3.174773245,0.001501149,0.650343288,-1.990431005,Metabolism (other)
CDH24,1.710735253,5.468958936,3.012961306,0.002589415,0.650343288,-2.183890945,Matrisome/cell adhesion/binding/signaling
CHCHD6,-0.445957085,9.016986697,-2.971272931,0.002968183,0.650343288,-1.992963025,NA
CRYBA1,-2.974764979,3.543382852,-3.037282677,0.002389397,0.650343288,-3.082940695,NA
CTD-3105H18.18,-1.296622543,6.095831093,-2.980601966,0.002879279,0.650343288,-1.94184381,NA
FAM71F1,-1.850574179,4.905870465,-2.961675626,0.00306225,0.650343288,-2.420184853,NA
GATA5,-1.622166996,5.501608633,-2.966637785,0.00301328,0.650343288,-2.222914747,NA
GMPR,-1.021536357,6.814372274,-2.955067277,0.003128594,0.650343288,-1.855963839,NA
GNA12,-0.831735219,7.538789059,-3.118503448,0.00181955,0.650343288,-1.370577027,NA
GTF2H1,-1.525312559,5.829023876,-3.066219159,0.002169895,0.650343288,-1.896192453,NA
HLA-DPB1,-2.566834175,4.07803166,-3.044102745,0.002335905,0.650343288,-2.800912877,Inflammation/Immune/Stress/Toxic/Detox
IVL,-2.817681765,3.65030719,-3.059758742,0.002217234,0.650343288,-2.943489714,NA
LGI3,2.286003926,4.426387823,3.151932558,0.001623636,0.650343288,-2.350277179,NA
MICU1,-0.656658516,8.156976153,-3.110512582,0.001869492,0.650343288,-1.424427899,NA
MYO15A,-0.793009681,7.595354136,-3.067900207,0.00215773,0.650343288,-1.510478168,NA
NGDN,1.366089014,6.049880492,2.942998875,0.003253144,0.650343288,-2.084813273,NA
NOTCH4,-1.321795191,6.234877977,-3.141581718,0.001682118,0.650343288,-1.534973042,Development (differentiation)
PASD1,0.973013191,7.193316255,3.195927853,0.001395356,0.650343288,-1.180806195,NA
PGAM1,-2.273790945,4.775378499,-3.062941303,0.002193797,0.650343288,-2.538470409,Metabolism (other)
RAB3B,1.157810676,6.755627089,3.189388242,0.001427302,0.650343288,-1.289776181,Transport
RIOK3,1.701552382,5.472219895,3.065607535,0.002174337,0.650343288,-2.04688516,NA
RMND5A,1.469343203,5.913204429,2.966826121,0.003011435,0.650343288,-2.102088782,NA
RNF14,-1.390700067,6.118054672,-3.088713354,0.002012207,0.650343288,-1.729549986,NA
RP11-831H9.11,-1.763212965,5.144508372,-2.936477148,0.003322316,0.650343288,-2.40743584,NA
RP3-403A15.5,1.034463195,6.880869821,2.993499234,0.002760373,0.650343288,-1.760845045,NA
SCUBE3,-1.247448669,6.404346262,-2.990375417,0.002788754,0.650343288,-1.884162107,Matrisome/cell adhesion/binding/signaling
ZRANB3,-0.444967742,9.193950881,-3.210493167,0.001326559,0.650343288,-1.330653018,NA
