gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
EHMT1,3.51483688,8.887170758,4.460591089,8.31E-06,0.018402177,2.367721978,NA
CD6,-3.232780827,7.842706334,-3.844557492,0.000121898,0.135001846,0.2617127,Inflammation/Immune/Stress/Toxic/Detox
PTPRB,3.018512456,8.328456964,3.666917895,0.000247409,0.182670385,-0.202763939,NA
ACAP2,-2.75447804,8.172975997,-3.155694204,0.001608317,0.445302727,-1.592831713,Metabolism or Transport (lipid)
C4orf51,-2.724393014,7.761801863,-3.166738559,0.001548562,0.445302727,-1.549871693,NA
CTD-2135J3.4,2.856743746,8.267304373,3.343949296,0.000830519,0.445302727,-1.111700614,NA
DAPK2,2.740090351,8.604854612,3.180858588,0.001475145,0.445302727,-1.518133413,Development (apoptosis)
RRP12,-2.725959803,8.338068273,-3.220347816,0.001286514,0.445302727,-1.402933498,NA
RCSD1,2.648695552,8.10023325,3.023918204,0.002504767,0.616450968,-1.896593622,NA
MFSD1,-2.761986019,8.20490512,-2.989053597,0.002808673,0.622120975,-2.030134135,Metabolism or Transport (lipid)
ABCC1,2.048708087,8.569880848,2.402558495,0.016308088,0.654943331,-3.127192647,Transport
ABCG2,-2.265071624,8.039804903,-2.514347295,0.011948725,0.654943331,-2.949287393,Metabolism or Transport (lipid)
AP1B1,-2.583915855,7.564397768,-2.572924009,0.010105835,0.654943331,-2.915249031,Transport
ARHGAP20,-1.82105577,8.501063889,-2.314055399,0.020695034,0.654943331,-3.265817142,NA
ARHGEF7,1.613119123,9.217021702,2.298134555,0.02158504,0.654943331,-3.286533009,NA
ASCC3,-1.496439323,9.634890908,-2.688762803,0.007189629,0.654943331,-2.471374835,NA
BMP6,2.057440353,8.425037808,2.386790015,0.017024003,0.654943331,-3.159060125,NA
BRE,-1.204584108,10.01808339,-2.307773929,0.021042284,0.654943331,-3.323127739,NA
C7orf50,-1.77097295,9.175160146,-2.711541472,0.006714339,0.654943331,-2.427315853,NA
CCDC30,-2.459048145,8.257469328,-2.752071909,0.005938015,0.654943331,-2.489262151,NA
CELSR1,-1.936391646,8.872725023,-2.85736952,0.004284953,0.654943331,-2.10111177,Matrisome/cell adhesion/binding/signaling
CHURC1-FNTB,2.091631756,8.114075873,2.57676575,0.009994327,0.654943331,-2.780358498,NA
COL5A1,1.114148215,10.24676954,2.328460412,0.019917516,0.654943331,-3.314244802,Matrisome/cell adhesion/binding/signaling
