gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
A1BG,-0.475517701,4.957884549,-0.908820112,0.370077642,0.997874122,-4.598511226,NA
A3GALT2,-0.572319336,5.143985585,-1.324261588,0.194574275,0.997874122,-4.577666972,Metabolism or Transport (lipid)
AAAS,-0.193980786,6.193697195,-0.614829912,0.542910978,0.997874122,-4.62569079,Metabolism (other)
AADACL3,0.045707932,4.241200473,0.077209156,0.938926421,0.997874122,-4.608789247,NA
AADACL4,0.117083064,5.145476701,0.271797492,0.78748198,0.997874122,-4.618800291,NA
AAK1,0.100392438,8.560353742,0.613269201,0.543929707,0.997874122,-4.706754343,Metabolism (other)
AAMDC,0.126403631,6.953730004,0.560416599,0.579005045,0.997874122,-4.656621392,Development (differentiation)
AAMP,-0.100677386,5.485704321,-0.237922305,0.813422016,0.997874122,-4.622251415,Development (differentiation)
AAR2,0.386241448,6.280401533,1.370995026,0.179688991,0.997874122,-4.554663785,NA
AARD,-0.272852195,4.938202155,-0.558380016,0.580378579,0.997874122,-4.607995724,NA
AARS,0.170775366,6.033022283,0.504075664,0.617578955,0.997874122,-4.628954944,NA
AATF,0.193209923,7.08974061,0.866821972,0.392339382,0.997874122,-4.623046739,NA
ABAT,-0.034888673,7.848556856,-0.17838205,0.859520626,0.997874122,-4.721337028,Metabolism (other)
ABC13-47488600E17.1,0.123480184,5.663082887,0.362094587,0.719604868,0.997874122,-4.628060096,NA
ABCA3,0.351354441,7.087711622,1.637366773,0.111117895,0.997874122,-4.471660004,Metabolism or Transport (lipid)
ABCA4,-0.167790962,8.298826388,-0.962494056,0.342846992,0.997874122,-4.624139384,Metabolism or Transport (lipid)
ABCA5,0.2427185,6.573716556,0.958271913,0.344939274,0.997874122,-4.60492774,Metabolism or Transport (lipid)
ABCA7,-0.394612534,6.411941174,-1.421140457,0.164718137,0.997874122,-4.545199484,Metabolism or Transport (lipid)
ABCB10,-0.208042799,6.435016987,-0.760387189,0.452457074,0.997874122,-4.621022174,Metabolism or Transport (lipid)
ABCB8,-0.055719368,5.982700472,-0.169384168,0.866535263,0.997874122,-4.639397739,Metabolism (other)
ABCB9,0.390524309,7.455839259,1.892277411,0.067312551,0.997874122,-4.374811538,Metabolism (other)
ABCC1,0.06652819,8.655269045,0.439572415,0.66313072,0.997874122,-4.737306726,Transport
ABCC4,0.094323235,9.141503104,0.682712779,0.499584201,0.997874122,-4.716249931,Transport
ABCC5,-0.233706845,7.64576594,-1.249788292,0.220224979,0.997874122,-4.550271087,Transport
ABCC6,-0.195337689,6.928483172,-0.85783177,0.397213093,0.997874122,-4.621876534,Transport
ABCC9,0.119599755,7.76514753,0.58613299,0.561799973,0.997874122,-4.680584192,Transport
ABCD3,-0.045557624,7.260067826,-0.210062055,0.834919212,0.997874122,-4.690947633,Metabolism or Transport (lipid)
ABCD4,0.039483693,5.400751108,0.085031517,0.932753462,0.997874122,-4.620804342,Metabolism or Transport (lipid)
ABCF1,0.449281289,5.555297984,1.254299932,0.218602026,0.997874122,-4.577264943,Metabolism (other)
ABCF3,-0.64491323,4.557802587,-1.023951036,0.313354484,0.997874122,-4.594690216,Metabolism (other)
ABCG1,-0.076271843,7.9916631,-0.442381591,0.661117821,0.997874122,-4.707685543,Metabolism or Transport (lipid)
ABCG8,0.33582323,6.035731291,1.074885128,0.29027319,0.997874122,-4.590426549,Metabolism or Transport (lipid)
ABHD1,0.461929265,3.991987392,0.730365989,0.470353581,0.997874122,-4.600904268,NA
ABHD10,-0.401925329,5.192927444,-0.88432258,0.382961437,0.997874122,-4.600279029,Metabolism or Transport (lipid)
ABHD11,0.502601359,5.153358725,1.139837103,0.262613187,0.997874122,-4.588622049,Metabolism or Transport (lipid)
ABHD13,0.509595133,5.504159032,1.204526619,0.237009583,0.997874122,-4.582021759,Metabolism or Transport (lipid)
ABHD14B,0.126900709,6.260818001,0.454880633,0.652192931,0.997874122,-4.640422305,Metabolism or Transport (lipid)
ABHD15,-0.298901057,5.344522724,-0.715932734,0.479101314,0.997874122,-4.609149083,NA
ABHD16A,-0.04493419,5.255056804,-0.104897394,0.917096347,0.997874122,-4.620944069,Metabolism or Transport (lipid)
ABHD17A,0.405561988,5.132188895,0.932192405,0.358051389,0.997874122,-4.598897307,Metabolism or Transport (lipid)
ABHD17B,-0.004786763,6.607314774,-0.017605122,0.986060573,0.997874122,-4.659824714,Metabolism or Transport (lipid)
ABHD17C,0.065945285,7.109393802,0.299109873,0.766744075,0.997874122,-4.678704744,Metabolism or Transport (lipid)
ABHD18,0.011741513,7.127657046,0.052265232,0.958634509,0.997874122,-4.685962801,NA
ABHD2,-0.002362299,8.191410265,-0.013213457,0.989537573,0.997874122,-4.742010804,Metabolism or Transport (lipid)
ABHD6,-0.00197808,6.936147266,-0.008759482,0.993064118,0.997874122,-4.680347433,Metabolism or Transport (lipid)
ABHD8,-0.277977286,6.543233442,-0.989924935,0.329460723,0.997874122,-4.600282916,Metabolism or Transport (lipid)
ABI2,0.318665703,7.496216957,1.654412348,0.10758761,0.997874122,-4.445134957,Motility
ABL1,-0.126902932,8.372989594,-0.795520337,0.432032905,0.997874122,-4.6642653,Development (differentiation)
ABLIM1,0.14290851,8.932108319,0.910425084,0.369243493,0.997874122,-4.651536793,Motility
ABR,0.025192504,9.289762694,0.184139778,0.855038014,0.997874122,-4.797660711,Motility
AC002310.11,0.054363859,6.014005643,0.173359469,0.863434776,0.997874122,-4.642773085,NA
AC002310.13,-0.207638447,5.982732952,-0.63410377,0.530412782,0.997874122,-4.621710041,NA
AC002398.9,0.101308105,5.46444263,0.239616792,0.812119086,0.997874122,-4.622048915,NA
AC003005.4,-0.426929506,4.884394583,-0.913773947,0.367506937,0.997874122,-4.599003094,NA
AC003006.7,-0.314005126,6.839965411,-1.364231677,0.18178678,0.997874122,-4.54022133,NA
AC004953.1,-0.300582955,3.593766368,-0.397619007,0.693488126,0.997874122,-4.601879106,NA
AC005943.2,-0.122096516,6.472192438,-0.454380479,0.652549076,0.997874122,-4.646339754,NA
AC006445.1,0.188721338,2.820977009,0.189983031,0.850493817,0.997874122,-4.599998922,NA
AC006449.2,-0.510011747,3.610948617,-0.672042121,0.506265427,0.997874122,-4.599554263,NA
AC006486.9,0.0511311,6.630788499,0.19405359,0.847331273,0.997874122,-4.661532692,NA
AC007040.11,0.128510816,7.052370929,0.527854032,0.601155214,0.997874122,-4.660358291,NA
AC007192.4,-0.01623255,6.77364404,-0.066228923,0.947597785,0.997874122,-4.669203249,NA
AC007557.5,0.541777824,3.533040436,0.730900509,0.4700314,0.997874122,-4.599149435,NA
AC008686.1,0.181941223,4.700272897,0.355984386,0.724132742,0.997874122,-4.6107886,NA
AC009065.1,-0.040550057,4.530828815,-0.074135065,0.94135339,0.997874122,-4.612491871,NA
AC009133.23,-0.200594701,5.760887619,-0.55966053,0.579514775,0.997874122,-4.62019413,NA
AC010184.1,-0.403392125,4.08767505,-0.567013535,0.574566869,0.997874122,-4.601630933,NA
AC010547.9,0.146881947,6.604557371,0.583149908,0.563782431,0.997874122,-4.640826642,NA
AC010642.1,0.078354865,6.179436094,0.264826279,0.79280116,0.997874122,-4.641519581,NA
AC010646.3,-0.115600035,6.084364931,-0.378496142,0.707501933,0.997874122,-4.637554101,NA
AC011155.1,1.424421618,2.375315758,1.489821206,0.145829285,0.997874122,-4.589294902,NA
AC011380.1,-0.257966572,2.516648576,-0.232253083,0.817785118,0.997874122,-4.599036888,NA
AC011513.3,-0.012767134,6.277402309,-0.043248147,0.965766049,0.997874122,-4.649689449,NA
AC011530.4,-0.882652209,5.083676853,-1.885460823,0.068255199,0.997874122,-4.546393199,NA
AC013264.1,0.264077019,9.134415344,1.793577978,0.082109216,0.997874122,-4.293555997,NA
AC013461.1,-0.075175239,8.282539726,-0.44960425,0.655954256,0.997874122,-4.717319189,NA
AC015688.3,-0.089315108,5.491953513,-0.215183195,0.830957473,0.997874122,-4.623687284,NA
AC016991.1,0.559921957,3.485968065,0.650679546,0.519787664,0.997874122,-4.600151266,NA
AC024592.12,-0.449164837,6.891854989,-1.859920144,0.071888752,0.997874122,-4.430248145,NA
AC025263.3,0.396882515,6.590882323,1.552325171,0.130185172,0.997874122,-4.517694772,NA
AC025335.1,-0.454578471,4.292868318,-0.749261395,0.459042122,0.997874122,-4.600709746,NA
AC027682.1,-0.014756657,6.514213888,-0.054432845,0.956920655,0.997874122,-4.660712235,NA
AC037459.4,0.150142942,6.424954493,0.563554954,0.576891575,0.997874122,-4.638458206,NA
AC069368.3,0.271525132,7.769608465,1.423401043,0.164067093,0.997874122,-4.500366854,NA
AC073610.5,-0.075653295,5.166165285,-0.149454008,0.882110971,0.997874122,-4.621348984,NA
AC087651.1,-1.30936625,2.740072538,-1.260066338,0.21654081,0.997874122,-4.592687383,NA
AC087762.1,-0.874886696,3.380117462,-0.967195889,0.340527006,0.997874122,-4.595520118,NA
AC090154.1,-0.123429587,2.679644192,-0.102970876,0.918613346,0.997874122,-4.599207444,NA
AC092718.1,0.233474164,5.236771052,0.555889459,0.582060456,0.997874122,-4.614328409,NA
AC092835.2,-0.017026566,6.501210397,-0.064181806,0.949215195,0.997874122,-4.659364716,NA
AC100821.1,0.421999592,2.94555972,0.474690784,0.638154143,0.997874122,-4.59962221,NA
AC104389.1,-0.400056538,2.597553047,-0.351308011,0.727604946,0.997874122,-4.59848538,NA
AC104532.2,-0.566631436,6.03295815,-1.647623243,0.108982403,0.997874122,-4.527907282,NA
AC105009.1,-0.150077845,2.802471791,-0.153991185,0.878560671,0.997874122,-4.599797804,NA
AC107081.1,-1.553624663,2.609730291,-1.514497343,0.13948177,0.997874122,-4.589170149,NA
AC118758.1,0.667916878,2.468397473,0.651140849,0.519493619,0.997874122,-4.597835958,NA
AC124312.1,0.569151498,2.498143357,0.593501284,0.556918406,0.997874122,-4.598438306,NA
AC126407.1,0.66406192,2.720380646,0.672741409,0.50582608,0.997874122,-4.598118626,NA
AC129492.1,-0.071662943,4.604335457,-0.12713118,0.899613097,0.997874122,-4.612534828,NA
AC131097.4,0.653936308,5.058497123,1.44655104,0.157516158,0.997874122,-4.57201275,NA
AC138028.1,0.487507654,3.175661147,0.552635533,0.584261419,0.997874122,-4.59924386,NA
AC138517.6,0.129835774,3.981941057,0.206805118,0.837441084,0.997874122,-4.60622282,NA
AC138645.1,-2.909979734,1.953919263,-3.127922031,0.003680249,0.997874122,-4.558650711,NA
AC138645.2,-2.909979734,1.953919263,-3.127922031,0.003680249,0.997874122,-4.558650711,NA
AC242988.1,1.121063947,2.387493002,1.031766742,0.309732767,0.997874122,-4.594864066,NA
ACAA1,-0.056495339,6.823989749,-0.238059139,0.813316781,0.997874122,-4.667474344,NA
