gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
GPX3,-2.16266557,6.150391056,-4.751573792,2.28E-06,0.01100292,-1.772960476,Inflammation/Immune/Stress/Toxic/Detox
NUP37,-2.40753619,5.716315225,-4.720698453,2.64E-06,0.01100292,-2.255491909,NA
TTK,-2.158259169,5.579128186,-3.943559168,8.52E-05,0.236363004,-3.158717776,Development (cell cycle)
GATAD1,-1.940179407,5.730096277,-3.843936042,0.000127819,0.26589638,-3.051087125,NA
ATP6V1B2,-1.79654062,6.154931913,-3.776250491,0.000167487,0.278732531,-2.965437279,NA
A1BG,0.083610839,5.415364361,0.127743044,0.898375035,0.998389603,-4.67502947,NA
A1CF,-0.377408453,6.647360008,-0.733130997,0.463630469,0.998389603,-4.660670266,NA
A2M,0.213942261,6.203532506,0.382736771,0.701986868,0.998389603,-4.688693104,Metabolism (other)
A2ML1,0.587704382,6.379273804,1.077010385,0.28170531,0.998389603,-4.59078051,Immune/Inflammation/Stress/Toxin
A4GALT,0.223858116,6.848955688,0.492588803,0.622398777,0.998389603,-4.718058359,Metabolism (other)
AAAS,-0.058445041,6.679875178,-0.127727175,0.898387591,0.998389603,-4.746366091,Metabolism (other)
AADACL2,-0.574554171,4.962388233,-0.833962058,0.404478475,0.998389603,-4.621205775,NA
AADAT,0.063258262,6.071085658,0.110165588,0.912297598,0.998389603,-4.696662255,Metabolism (other)
AAK1,0.188103483,8.395886563,0.519823823,0.603288102,0.998389603,-4.772645742,Metabolism (other)
AAMP,-0.274569308,6.227009596,-0.537791175,0.590827035,0.998389603,-4.68954351,Development (differentiation)
AASDH,0.276944469,6.534099755,0.56041388,0.575308164,0.998389603,-4.692357907,NA
AASDHPPT,0.367968584,6.461107773,0.690797926,0.489834296,0.998389603,-4.662727298,NA
AASS,-0.196487838,7.34517176,-0.460322909,0.645372952,0.998389603,-4.737256838,NA
AATF,0.35247265,7.425351986,0.832437013,0.405338064,0.998389603,-4.667928846,NA
AATK,-0.387814456,7.250554924,-0.828971937,0.40729521,0.998389603,-4.655016362,NA
AATK-AS1,0.019647024,5.990181186,0.031120456,0.975178967,0.998389603,-4.68197537,NA
ABC13-47488600E17.1,-0.345648763,6.244268961,-0.609234415,0.542491437,0.998389603,-4.66502235,NA
ABCA1,-0.966441737,8.049790809,-2.422104694,0.015587306,0.998389603,-3.848240146,Metabolism or Transport (lipid)
ABCA10,-0.821527033,6.672149238,-1.828067358,0.06780277,0.998389603,-4.300264488,Metabolism or Transport (lipid)
ABCA3,0.199998172,7.178866399,0.462455187,0.643843891,0.998389603,-4.733555203,Metabolism or Transport (lipid)
ABCA4,0.3216014,8.706839239,0.851781026,0.394515969,0.998389603,-4.681606596,Metabolism or Transport (lipid)
ABCA5,0.038051479,7.104909001,0.083112548,0.933776756,0.998389603,-4.747635352,Metabolism or Transport (lipid)
ABCA6,0.831735423,6.154991094,1.467340646,0.142561444,0.998389603,-4.49623269,Metabolism or Transport (lipid)
ABCA8,-0.470799622,6.514595079,-0.916287088,0.359711681,0.998389603,-4.6274789,Metabolism or Transport (lipid)
ABCA9,0.201223745,6.907374647,0.444645831,0.656660801,0.998389603,-4.724933732,Metabolism or Transport (lipid)
ABCB1,-0.010363503,8.131063523,-0.029859779,0.976184152,0.998389603,-4.838117507,Metabolism or Transport (lipid)
ABCB11,-0.551192549,6.922100626,-1.22897104,0.219338317,0.998389603,-4.548470849,Metabolism or Transport (lipid)
ABCB6,0.361169263,5.752040637,0.590060657,0.555267859,0.998389603,-4.657535509,Metabolism (other)
ABCB9,0.343631132,7.668534677,0.818151115,0.41344325,0.998389603,-4.672670343,Metabolism (other)
ABCC1,0.335860424,8.024178391,0.890141907,0.373579009,0.998389603,-4.670775839,Transport
ABCC10,0.220730296,6.737035635,0.449291301,0.65330762,0.998389603,-4.706953022,Transport
ABCC12,0.334748645,6.799844686,0.607472486,0.543659348,0.998389603,-4.669470895,Transport
ABCC3,-1.075772478,6.416254378,-1.963921523,0.049783849,0.998389603,-4.321150587,Transport
ABCC5,0.054950161,7.56376581,0.123980895,0.901352433,0.998389603,-4.755208217,Transport
ABCC8,-0.538002284,7.249778016,-1.083087429,0.279000482,0.998389603,-4.591236374,Transport
ABCD3,0.240990179,7.558820665,0.623279316,0.533226662,0.998389603,-4.733876302,Metabolism or Transport (lipid)
ABCE1,-0.181545116,5.898345325,-0.309166658,0.757251703,0.998389603,-4.685226661,Metabolism (other)
ABCF1,-0.628517009,5.709620152,-1.04577094,0.295890265,0.998389603,-4.595466757,Metabolism (other)
ABCF2,0.61438085,6.591716765,1.154910814,0.248370915,0.998389603,-4.572947325,NA
ABCF3,-0.776174783,5.577173304,-1.310867135,0.190168775,0.998389603,-4.540507179,Metabolism (other)
ABCG2,0.096042418,7.566306069,0.227496865,0.820078526,0.998389603,-4.763462038,Metabolism or Transport (lipid)
ABHD1,0.623769662,5.292536762,0.811783093,0.41708693,0.998389603,-4.617838102,NA
ABHD12B,0.475151366,5.741924031,0.765909596,0.443889918,0.998389603,-4.63647219,Metabolism or Transport (lipid)
ABHD15,-0.687127283,5.694441137,-1.151567065,0.249742412,0.998389603,-4.57532631,NA
ABHD16A,0.59960588,6.143725075,1.060496264,0.289145317,0.998389603,-4.593660944,Metabolism or Transport (lipid)
ABHD17B,-0.352449353,6.679875178,-0.651002122,0.515177364,0.998389603,-4.666428971,Metabolism or Transport (lipid)
ABHD17C,-0.122285878,6.963408739,-0.244206262,0.807115373,0.998389603,-4.719508837,Metabolism or Transport (lipid)
ABHD18,0.233615373,6.88400708,0.496638314,0.619540649,0.998389603,-4.710164609,NA
ABHD3,-0.159286405,6.981584045,-0.367607362,0.713234808,0.998389603,-4.744481735,Metabolism or Transport (lipid)
ABHD4,-0.175301039,5.85178968,-0.277219,0.781662614,0.998389603,-4.675386401,Metabolism or Transport (lipid)
ABHD5,-0.241459828,6.877279273,-0.483262013,0.629003252,0.998389603,-4.700031638,Metabolism or Transport (lipid)
ABHD6,0.086551745,7.19884611,0.186780346,0.851866358,0.998389603,-4.741201449,Metabolism or Transport (lipid)
ABHD8,0.096236,7.346426144,0.19832,0.842830348,0.998389603,-4.729054913,Metabolism or Transport (lipid)
ABI1,0.218447409,7.585424679,0.487984024,0.625655749,0.998389603,-4.721868151,Motility
ABI2,0.359787171,7.195600049,0.757525437,0.448892938,0.998389603,-4.667261178,Motility
ABI3BP,-0.040191404,8.665793791,-0.109647449,0.912708432,0.998389603,-4.815441125,Motility
ABL2,0.298754372,7.843030121,0.736940777,0.461311215,0.998389603,-4.698204229,Motility
ABO,-0.213578962,5.940096335,-0.362303922,0.717192619,0.998389603,-4.681541929,NA
ABT1,0.205609686,5.267795883,0.272326681,0.785420554,0.998389603,-4.652774447,NA
ABTB1,0.230913174,6.142273771,0.414584369,0.678524819,0.998389603,-4.687301023,NA
AC002985.3,-0.063811977,6.363990607,-0.114616446,0.908769489,0.998389603,-4.702699698,NA
AC003002.4,0.177444698,6.432707201,0.347974736,0.727923914,0.998389603,-4.708935918,NA
AC003002.6,-1.516866323,5.542764824,-2.442368139,0.014743554,0.998389603,-4.197423588,NA
AC003005.4,0.898292757,5.656671635,1.324065644,0.185748789,0.998389603,-4.547754604,NA
AC003006.7,0.006620297,6.510744922,0.013450444,0.989270794,0.998389603,-4.730308378,NA
AC004076.7,0.266870573,6.502729208,0.502991722,0.615068033,0.998389603,-4.686952305,NA
AC004076.9,0.87401823,5.622732783,1.09808155,0.27240261,0.998389603,-4.587233618,NA
AC004381.6,-0.677954814,6.150149671,-1.240715557,0.214968165,0.998389603,-4.552604733,NA
AC004754.3,0.412981825,5.867353587,0.68832976,0.49138631,0.998389603,-4.648997776,NA
AC005281.1,0.317037893,5.951259023,0.40931342,0.682387175,0.998389603,-4.645090641,NA
AC005779.2,-0.426917753,6.045034632,-0.761120347,0.446743858,0.998389603,-4.646498722,NA
AC005943.2,-0.449838833,7.37034363,-0.99163215,0.321589115,0.998389603,-4.619392551,NA
AC006116.20,0.996949651,5.034704321,1.112731158,0.266060373,0.998389603,-4.586867649,NA
AC006538.4,0.59960588,6.143725075,1.060496264,0.289145317,0.998389603,-4.593660944,NA
AC007192.4,-0.011221977,7.625411446,-0.025515701,0.979648126,0.998389603,-4.759382706,NA
AC007906.1,1.210126195,5.779499234,1.891370998,0.058830183,0.998389603,-4.402341741,NA
AC008686.1,0.320372905,5.373441233,0.465362712,0.641761328,0.998389603,-4.653952297,NA
AC009065.1,0.07388418,5.514774051,0.11332223,0.909795206,0.998389603,-4.675735692,NA
AC009133.22,0.695814718,5.932753805,1.150889326,0.250021044,0.998389603,-4.575686273,NA
AC009336.19,-1.421009549,5.109280817,-2.216188849,0.026877027,0.998389603,-4.299505955,NA
AC010184.1,0.511234001,5.659475739,0.793461492,0.427675437,0.998389603,-4.630269112,NA
