gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
A2ML1,0.324598547,6.493216208,0.496339619,0.621239744,0.999917524,-4.603586301,Immune/Inflammation/Stress/Toxin
AACS,0.152838913,7.541452805,0.283976603,0.777282729,0.999917524,-4.610791106,Metabolism (other)
AAED1,-0.433977277,6.353733009,-0.695360533,0.489175652,0.999917524,-4.601582426,NA
AAMDC,-0.642595122,7.222655508,-1.40905549,0.163330665,0.999917524,-4.574313808,Development (differentiation)
AARS,0.547978838,6.600711177,0.850869867,0.397798632,0.999917524,-4.598566232,NA
AASDH,0.653913286,6.256073374,0.955697296,0.342577284,0.999917524,-4.596107334,NA
AASS,-1.515771501,5.9373855,-2.284658689,0.025427265,0.999917524,-4.549865993,NA
ABAT,-1.04553767,6.924692278,-2.149730582,0.035101547,0.999917524,-4.52550189,Metabolism (other)
ABCA10,-0.337877577,6.7440149,-0.556588171,0.579618063,0.999917524,-4.605325769,Metabolism or Transport (lipid)
ABCA12,-0.689724438,7.590506791,-1.369073739,0.175437309,0.999917524,-4.578341113,Metabolism or Transport (lipid)
ABCA3,0.233505863,7.208215197,0.415318668,0.679203374,0.999917524,-4.607583314,Metabolism or Transport (lipid)
ABCA4,0.391043193,7.316991268,0.742508793,0.460311297,0.999917524,-4.603025772,Metabolism or Transport (lipid)
ABCA5,0.212125438,6.57412068,0.336460831,0.737549321,0.999917524,-4.605908667,Metabolism or Transport (lipid)
ABCA6,0.402473702,6.654405436,0.647280571,0.519608192,0.999917524,-4.602282567,Metabolism or Transport (lipid)
ABCA9,-0.942147485,5.95153365,-1.414483486,0.161737894,0.999917524,-4.584582992,Metabolism or Transport (lipid)
ABCB1,0.735869794,7.742495375,1.395285185,0.167425578,0.999917524,-4.579933497,Metabolism or Transport (lipid)
ABCB11,-0.432899429,7.26015849,-0.8495029,0.398553214,0.999917524,-4.600685244,Metabolism or Transport (lipid)
ABCB6,0.822899796,6.068801483,1.182850309,0.240947271,0.999917524,-4.591366585,Metabolism (other)
ABCB7,-0.991367741,6.153294814,-1.521896381,0.132626422,0.999917524,-4.580400288,Metabolism (other)
ABCB8,-0.051341085,6.634549026,-0.082885974,0.934183322,0.999917524,-4.607668423,Metabolism (other)
ABCB9,0.030689411,7.966175503,0.072203109,0.942650138,0.999917524,-4.621739671,Metabolism (other)
ABCC10,-0.357569764,6.170477063,-0.551990479,0.582746754,0.999917524,-4.603014665,Transport
ABCC12,-0.695700272,6.679057654,-1.363589263,0.177150078,0.999917524,-4.580540966,Transport
ABCC3,-0.012849691,7.239682366,-0.024084638,0.980854942,0.999917524,-4.612083983,Transport
ABCC6,0.113684493,7.164840766,0.189879496,0.849963675,0.999917524,-4.609045563,Transport
ABCC8,0.17357752,7.320761249,0.349299665,0.727933128,0.999917524,-4.61276179,Transport
ABCC9,-0.004236946,7.107050396,-0.008055397,0.993596147,0.999917524,-4.613290214,Transport
ABCD1,0.654452386,6.785938028,1.04168204,0.301212365,0.999917524,-4.594249654,Metabolism or Transport (lipid)
ABCD3,-0.106507654,7.420359743,-0.21836854,0.827789573,0.999917524,-4.614280186,Metabolism or Transport (lipid)
ABCD4,-0.170955272,6.092866468,-0.252134453,0.801690189,0.999917524,-4.605108018,Metabolism or Transport (lipid)
ABCF1,0.817173335,6.263588023,1.184069623,0.240467517,0.999917524,-4.591198945,Metabolism (other)
ABCF2,0.134731437,6.871199569,0.232829201,0.816586549,0.999917524,-4.608983452,NA
ABCF3,-0.281768298,6.558788049,-0.461656862,0.645786421,0.999917524,-4.605527873,Metabolism (other)
ABCG2,-0.201093299,7.555774972,-0.346953383,0.729687264,0.999917524,-4.607558717,Metabolism or Transport (lipid)
ABCG5,-1.529599783,5.483641163,-2.247749328,0.027806616,0.999917524,-4.55618047,Metabolism or Transport (lipid)
ABCG8,0.006782717,6.068801483,0.009698905,0.992289634,0.999917524,-4.605560309,Metabolism or Transport (lipid)
ABHD11,0.158008781,6.213723161,0.215423157,0.830075908,0.999917524,-4.604078876,Metabolism or Transport (lipid)
ABHD12,-0.78460855,8.447607,-1.951178934,0.05511631,0.999917524,-4.516826131,Metabolism or Transport (lipid)
ABHD14A,0.724501295,6.680292678,1.137778524,0.259166877,0.999917524,-4.591854979,NA
ABHD14A-ACY1,0.259771907,7.383335579,0.452413693,0.652396859,0.999917524,-4.607073554,NA
ABHD14B,0.366520372,7.363696164,0.638362207,0.525361005,0.999917524,-4.604074531,Metabolism or Transport (lipid)
ABHD17A,0.12180035,6.042057371,0.172530533,0.863527906,0.999917524,-4.605118494,Metabolism or Transport (lipid)
ABHD17B,-0.646333928,7.01356678,-1.063740511,0.291172268,0.999917524,-4.593447187,Metabolism or Transport (lipid)
ABHD17C,0.262731628,6.436994844,0.37423876,0.709379704,0.999917524,-4.604845411,Metabolism or Transport (lipid)
ABHD3,0.507286687,6.712607385,0.782795336,0.436438308,0.999917524,-4.599555971,Metabolism or Transport (lipid)
ABHD8,-0.254036532,7.696933772,-0.598404493,0.551538625,0.999917524,-4.612619283,Metabolism or Transport (lipid)
ABL1,-0.067012539,8.388461512,-0.14796782,0.882801748,0.999917524,-4.618204398,Development (differentiation)
ABL2,0.239914842,7.967838166,0.515163574,0.608092998,0.999917524,-4.611197114,Motility
ABTB1,0.304243615,6.378900973,0.426736121,0.670906321,0.999917524,-4.603626359,NA
ABTB2,0.31944869,8.109338311,0.734250345,0.465295754,0.999917524,-4.606848347,NA
AC002398.9,0.087643592,7.454162557,0.157225944,0.875528115,0.999917524,-4.611273378,NA
