Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.178137652,0.856271993,0.213927855,0.198515156,1.100504621,389,"c(""VSIG4"", ""EFNB3"", ""ASTN1"", ""PCDHB16"", ""LAG3"", ""ITGAV"", ""NECTIN1"", ""BMP2"", ""IL20RB"", ""PAG1"", ""CDH24"", ""ITGA2"", ""MYB"", ""CYP1B1"", ""AFDN"", ""PDE5A"", ""CTSG"", ""PIK3CB"", ""NCK1"", ""PLPP3"", ""HBB"", ""CXADR"", ""MUC21"", ""DSG3"", ""IL1B"", ""PLEKHA7"", ""CLDN22"", ""NFAT5"", ""HSPD1"", ""CD93"", ""PSEN1"", ""CD99"", ""CNTN2"", ""NT5E"", ""LAMA3"", ""TNFSF4"", ""DUSP22"", ""PAWR"", ""EBI3"", ""TYK2"", ""LYN"", ""SPI1"", ""DSP"", ""TNFRSF13C"", ""CBLN1"", ""NKAP"", ""FGFRL1"", ""PKHD1"", ""PCDH7"", ""BMP7"", ""MAP2K5"", ""CDHR1"", ""HAVCR2"", ""PRKCZ"", ""CD24"", ""ZBTB1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.264264264,0.867819948,0.147331214,0.217166784,1.081162152,158,"c(""VSIG4"", ""EFNB3"", ""LAG3"", ""IL20RB"", ""PAG1"", ""MYB"", ""PDE5A"", ""CTSG"", ""NCK1"", ""IL1B"", ""NFAT5"", ""HSPD1"", ""NT5E"", ""TNFSF4"", ""DUSP22"", ""PAWR"", ""EBI3"", ""TYK2"", ""LYN"", ""TNFRSF13C"", ""NKAP"", ""BMP7"", ""HAVCR2"", ""PRKCZ"", ""CD24"", ""ZBTB1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.092063492,0.827303183,0.266350657,0.231384858,1.19739054,203,"c(""FUT1"", ""EFNB3"", ""IFT74"", ""ITGAV"", ""ITGA2"", ""MYB"", ""RAC1"", ""AFDN"", ""CTSG"", ""NCK1"", ""PLPP3"", ""IBSP"", ""IL1B"", ""SPOCK2"", ""NFAT5"", ""HSPD1"", ""FERMT2"", ""TNFSF4"", ""EBI3"", ""CYTH3"", ""TYK2"", ""PTK2B"", ""LYN"", ""TNFRSF13C"", ""FERMT1"", ""NKAP"", ""BMP7"", ""CSPG5"", ""HAVCR2"", ""PRKCZ"", ""CD24"", ""ZBTB1"", ""EPB41L4B"", ""VAV3"", ""NFKBIZ"", ""FLOT1"", ""DNM2"", ""PODXL"", ""SIRPA"", ""AP3D1"", ""PLAUR"", ""HMGB1"", ""LIF"", ""ATM"", ""ITPKB"", ""PTPRJ"", ""IGF2"", ""EPHA1"", ""DOCK5"", ""CCDC80"", ""LGALS1"", ""ZMIZ1"", ""IL4I1"", ""PIEZO1"", ""SOCS5"", ""CHRD"", ""RAG1"", 
""DAG1"", ""PTPN6"", ""CSK"", ""LIMS1"", ""IL12RB1"", ""P4HB"", ""CEACAM6"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.166666667,0.854238635,0.19189224,0.242914844,1.16451472,120,"c(""EFNB3"", ""MYB"", ""AFDN"", ""CTSG"", ""NCK1"", ""PLPP3"", ""IL1B"", ""NFAT5"", ""HSPD1"", ""TNFSF4"", ""EBI3"", ""TYK2"", ""LYN"", ""TNFRSF13C"", ""NKAP"", ""BMP7"", ""HAVCR2"", ""PRKCZ"", ""CD24"", ""ZBTB1"", ""NFKBIZ"", ""FLOT1"", ""PODXL"", ""SIRPA"", ""AP3D1"", ""PLAUR"", ""HMGB1"", ""ITPKB"", ""IGF2"", ""LGALS1"", ""ZMIZ1"", ""IL4I1"", ""PIEZO1"", ""SOCS5"", ""RAG1"", ""PTPN6"", ""CSK"", ""IL12RB1"", ""CEACAM6"", ""CD81"", ""ZBTB16"", ""MYO10"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.456582633,0.922974417,0.103576327,0.213976696,0.992017075,96,"c(""EFNB3"", ""MYB"", ""NCK1"", ""IL1B"", ""NFAT5"", ""HSPD1"", ""TNFSF4"", ""EBI3"", ""TYK2"", ""LYN"", ""TNFRSF13C"", ""NKAP"", ""HAVCR2"", ""PRKCZ"", ""CD24"", ""ZBTB1"", ""NFKBIZ"", ""SIRPA"", ""AP3D1"", ""HMGB1"", ""ITPKB"", ""IGF2"", ""LGALS1"", ""ZMIZ1"", ""IL4I1"", ""SOCS5"", ""RAG1"", ""PTPN6"", ""CSK"", ""IL12RB1"", ""CD81"", ""ZBTB16"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.225925926,0.857482664,0.179782316,0.197012538,1.079205204,346,"c(""VSIG4"", ""FUT1"", ""EFNB3"", ""IFT74"", ""LAG3"", ""ITGAV"", ""BMP2"", ""IL20RB"", ""PAG1"", ""ITGA2"", ""MYB"", ""RAC1"", ""CYP1B1"", ""AFDN"", ""PDE5A"", ""CTSG"", ""PIK3CB"", ""NCK1"", ""PLPP3"", ""IBSP"", ""MUC21"", ""IL1B"", ""SPOCK2"", ""NFAT5"", ""HSPD1"", ""FERMT2"", ""ONECUT1"", ""LAMA3"", ""TNFSF4"", ""DUSP22"", ""PAWR"", ""EBI3"", ""CYTH3"", ""TYK2"", ""FBLN1"", ""PTK2B"", ""LYN"", ""SPI1"", ""TNFRSF13C"", ""FERMT1"", ""MMP2"", ""NKAP"", ""PKHD1"", ""BMP7"", ""MAP2K5"", ""CSPG5"", ""HAVCR2"", ""PRKCZ"", ""CD24"", ""ZBTB1"", ""EPB41L4B"", ""AP1AR"", ""VAV3"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.229299363,0.857482664,0.164405756,0.20936143,1.080897806,201,"c(""VSIG4"", ""EFNB3"", ""LAG3"", ""BMP2"", ""IL20RB"", ""PAG1"", ""MYB"", ""AFDN"", ""PDE5A"", ""CTSG"", ""NCK1"", ""PLPP3"", ""MUC21"", ""IL1B"", ""NFAT5"", ""HSPD1"", ""TNFSF4"", ""DUSP22"", ""PAWR"", ""EBI3"", ""TYK2"", ""LYN"", ""SPI1"", ""TNFRSF13C"", ""NKAP"", ""PKHD1"", ""BMP7"", ""MAP2K5"", ""HAVCR2"", ""PRKCZ"", ""CD24"", ""ZBTB1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.542746114,0.92638546,0.053787281,-0.188900384,-0.97599191,461,"c(""UBN1"", ""RHO"", ""PEAK1"", ""HMGA1"", ""VIM"", ""PKD2"", ""GNA12"", ""CCND1"", ""CYTH2"", ""CDC42EP4"", ""YWHAQ"", ""TJP3"", ""CD9"", ""CCDC85C"", ""SLC2A1"", ""RRAS"", ""MMP14"", ""VEGFA"", ""CALR"", ""NCSTN"", ""PXN"", ""TRPV4"", ""RPL7A"", ""NME2"", ""CLDN6"", ""EFS"", ""AHNAK"", ""PCDH12"", ""SYNPO"", ""EIF4G2"", ""MYH9"", ""PTK2"", ""ACTR3"", ""PACSIN2"", ""KCNA5"", ""FXYD1"", ""FLOT2"", ""WASF1"", ""FAM107A"", ""NECTIN2"", ""TRAF4"", ""AMOTL2"", ""MYH2"", ""CNN2"", ""PPIB"", ""VEZT"", ""RPS5"", ""PPP1CC"", ""EZR"", ""GJA4"", ""WASF2"", ""HYOU1"", ""RPLP1"", ""SPTBN4"", ""VCL"", ""KRT18"", ""HSPA5"", 
""RPS2"", ""RPS11"", ""GJB7"", ""WDR1"", ""MPP3"", ""GNB2"", ""EPHA4"", ""PTPRA"", ""SDCCAG8"", ""PLEC"", ""ITGB7"", ""RPL12"", ""IQGAP1"", ""SPRY4"", ""SDC4"", ""ITGA3"", ""CNN3"", ""ARPC5"", ""CDC42"", ""BAIAP2"", ""L1CAM"", ""FZD2"", ""ITGA6"", ""ITGA2B"", ""LIN7C"", ""KLF11"", ""CDH3"", ""ACTB"", ""ARPC3"", ""EPPK1"", ""FHL3"", ""SRP68"", ""C1QTNF5"", ""TWF1"", ""DIXDC1"", ""MYADM"", ""PARD6B"", ""OCEL1"", ""NPHP4"", ""YWHAZ"", ""ALKBH6"", ""ZFYVE21"", ""PARD6A"", ""CORO2B"", ""CAMSAP3"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.294444444,0.87834336,0.088094501,-0.215548364,-1.059728445,270,"c(""PEAK1"", ""HMGA1"", ""VIM"", ""GNA12"", ""YWHAQ"", ""CD9"", ""RRAS"", ""MMP14"", ""CALR"", ""NCSTN"", ""PXN"", ""TRPV4"", ""RPL7A"", ""NME2"", ""EFS"", ""AHNAK"", ""MYH9"", ""PTK2"", ""ACTR3"", ""PACSIN2"", ""FLOT2"", ""WASF1"", ""FAM107A"", ""NECTIN2"", ""CNN2"", ""PPIB"", ""RPS5"", ""PPP1CC"", ""EZR"", ""HYOU1"", ""RPLP1"", ""VCL"", ""HSPA5"", ""RPS2"", ""RPS11"", ""GNB2"", ""PTPRA"", ""PLEC"", ""ITGB7"", ""RPL12"", ""IQGAP1"", ""SPRY4"", ""SDC4"", ""ITGA3"", ""CNN3"", ""ARPC5"", ""CDC42"", ""L1CAM"", ""FZD2"", ""ITGA6"", ""ITGA2B"", ""KLF11"", ""ACTB"", ""ARPC3"", ""EPPK1"", ""FHL3"", ""SRP68"", ""TWF1"", 
""DIXDC1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.269662921,0.871918271,0.164405756,0.193741937,1.057889047,333,"c(""BMP10"", ""TLR4"", ""MBL2"", ""LYZL6"", ""ASTN1"", ""RAMP2"", ""LAG3"", ""AMELX"", ""ITGAV"", ""BMP2"", ""ITGA2"", ""CHRNA4"", ""FASLG"", ""CTSG"", ""BTN3A3"", ""CXCL9"", ""AXL"", ""HSPD1"", ""CD93"", ""TSPAN15"", ""PDGFA"", ""KLRC1"", ""FERMT2"", ""ADAMTS13"", ""PDIA3"", ""TGFBR3"", ""PSEN1"", ""ANGPTL3"", ""FZD10"", ""ANXA5"", ""RAMP1"", ""CNTN2"", ""IL1R1"", ""NT5E"", ""TNFSF4"", ""CSF1R"", ""TLR3"", ""ANXA4"", ""IGF2R"", ""EBI3"", ""TNFRSF13C"", ""TSPAN33"", ""PKHD1"", ""TSPAN14"", ""CSPG5"", ""HAVCR2"", ""CD24"", ""MICA"", ""MR1"", ""IL9R"", ""VAMP4"", ""CTSB"", ""KCNE2"", ""FLOT1"", ""LILRA5"", 
""F10"", ""BMPR2"", ""SLC9A1"", ""IL6R"", ""GSR"", ""ANTXR1"", ""NRDC"", ""ITGB5"", ""KCNN2"", ""CAPN5"", ""CD99L2"", ""CD59"", ""SIRPA"", ""MPZL1"", ""SLAMF7"", ""PLAUR"", ""SLC26A9"", ""HMGB1"")"
