Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.423545332,0.992477578,0.06767604,0.19223463,1.005329512,364,"c(""HHLA2"", ""ROPN1B"", ""TNFSF9"", ""SPN"", ""TGFB2"", ""MYL9"", ""ZBTB1"", ""BAIAP2"", ""LILRB1"", ""COL19A1"", ""GPNMB"", ""APOA1"", ""CTNNA1"", ""MPZL2"", ""MYB"", ""CD46"", ""ITGAX"", ""NINJ2"", ""KIT"", ""MINK1"", ""ITPKB"", ""PCDHA11"", ""CDH16"", ""EFNA5"", ""ITGA3"", ""PCDHA9"", ""SELP"", ""HLA-E"", ""ITGA11"", ""PAG1"", ""RIC8A"", ""PDLIM5"", ""CBFB"", ""AFDN"", ""PCDH19"", ""RET"", ""WNT4"", ""SLC39A8"", ""PCDHA4"", ""PCDHA3"", ""PCDHA8"", ""PCDHA7"", ""EZR"", ""CNTN6"", ""PCDHAC1"", ""AP3D1"", ""PCDHA5"", ""CAV1"", ""PCDHA2"", ""MAP3K8"", ""DSG2"", ""THY1"", ""CXCL13"", ""SDC4"", ""PCDHA1"", 
""NFKBIZ"", ""GATA5"", ""STXBP1"", ""PTPN23"", ""DSCAML1"", ""CD4"", ""COL14A1"", ""CCDC88B"", ""NPHP1"", ""SOX4"", ""RC3H2"", ""LGALS9"", ""FN1"", ""DLG5"", ""PRKCZ"", ""COL8A2"", ""MEGF11"", ""DOCK8"", ""PCDHA12"", ""DUSP3"", ""MMRN1"", ""P2RY12"", ""SKAP1"", ""CDH20"", ""GOLPH3"", ""TESPA1"", ""FOXP3"", ""F11R"", ""MALT1"", ""CDH23"", ""ITGAM"", ""PLG"", ""BAD"", ""YES1"", ""BCL6"", ""BCL10"", ""ITGA2B"", ""CADM1"", ""CD276"", ""CRB1"", ""IL36B"", ""CLDN11"", ""EPCAM"", ""DSP"", ""CD200R1"", ""CNN3"", ""ZDHHC21"", ""TYRO3"", ""PTPN2"", ""XG"", ""CD55"", ""PIK3R6"", ""MAD1L1"", ""PAWR"", ""IL23A"", ""MEGF10"", 
""SYK"", ""NTN1"", ""HLA-DRB1"", ""CEACAM6"", ""IL7R"", ""CD70"", ""SMAD7"", ""CITED2"", ""NOTCH4"", ""CDH26"", ""ITGAE"", ""DSG1"", ""MSN"", ""PTPRU"", ""TJP1"", ""CDK5R1"", ""CDH6"", ""SERPINB8"", ""NRARP"", ""PCDHA13"", ""HLA-DPA1"", ""LAPTM5"", ""DNAJA3"", ""SOX13"", ""IL4I1"", ""PLA2G2F"", ""SCRIB"", ""RAB10"", ""CD28"", ""PSEN1"", ""CLECL1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.607902736,1,0.055942859,0.201058277,0.940424286,156,"c(""HHLA2"", ""TNFSF9"", ""SPN"", ""ZBTB1"", ""LILRB1"", ""GPNMB"", ""MYB"", ""CD46"", ""ITPKB"", ""SELP"", ""HLA-E"", ""PAG1"", ""CBFB"", ""SLC39A8"", ""EZR"", ""AP3D1"", ""CAV1"", ""MAP3K8"", ""THY1"", ""SDC4"", ""NFKBIZ"", ""CD4"", ""CCDC88B"", ""SOX4"", ""RC3H2"", ""LGALS9"", ""DLG5"", ""PRKCZ"", ""DOCK8"", ""DUSP3"", ""SKAP1"", ""GOLPH3"", ""TESPA1"", ""FOXP3"", ""F11R"", ""MALT1"", ""BAD"", ""YES1"", ""BCL6"", ""BCL10"", ""CD276"", ""IL36B"", ""ZDHHC21"", ""PTPN2"", ""CD55"", ""PIK3R6"", ""MAD1L1"", ""PAWR"", ""IL23A"", ""SYK"", ""HLA-DRB1"", ""IL7R"", ""CD70"", ""SMAD7"", ""MSN"", ""NRARP"", ""HLA-DPA1"", 
""LAPTM5"", ""DNAJA3"", ""SOX13"", ""IL4I1"", ""PLA2G2F"", ""SCRIB"", ""CD28"", ""CLECL1"", ""CHST4"", ""IL6ST"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.242690058,0.982220445,0.102449406,0.228389114,1.1061112,193,"c(""HHLA2"", ""TNFSF9"", ""TGFB2"", ""ZBTB1"", ""LILRB1"", ""APOA1"", ""MYB"", ""CD46"", ""ITPKB"", ""EPHA1"", ""ITGA3"", ""PRKD2"", ""SELP"", ""COL16A1"", ""HLA-E"", ""CBFB"", ""AFDN"", ""RET"", ""WNT4"", ""AP3D1"", ""CAV1"", ""MAP3K8"", ""STX4"", ""THY1"", ""CXCL13"", ""SDC4"", ""DNM2"", ""NDNF"", ""NFKBIZ"", ""MYOC"", ""PTPN23"", ""CD4"", ""CCDC88B"", ""SOX4"", ""RRAS"", ""LGALS9"", ""FN1"", ""VWC2"", ""PRKCZ"", ""FMN1"", ""DOCK8"", ""CSPG5"", ""MMRN1"", ""P2RY12"", ""SKAP1"", ""FUT1"", ""TESPA1"", ""FOXP3"", ""RSU1"", ""F11R"", ""MALT1"", ""BAD"", ""YES1"", ""BCL6"", ""BCL10"", ""CD276"", ""IL36B"", ""GSK3B"", 
""NRP1"", ""ITGB1BP1"", ""STK4"", ""CD55"", ""PIK3R6"", ""APBB1IP"", ""IL23A"", ""MEGF10"", ""SYK"", ""HLA-DRB1"", ""CEACAM6"", ""IL7R"", ""CD70"", ""SMAD7"", ""CITED2"", ""PTPRU"", ""TJP1"", ""EMILIN1"", ""CARMIL1"", ""LDB1"", ""HLA-DPA1"", ""DNAJA3"", ""SOX13"", ""IL4I1"", ""CD28"", ""CLECL1"", ""CHST4"", ""VAV3"", ""IL6ST"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.33129771,0.992477578,0.086794976,0.234521821,1.06951017,125,"c(""HHLA2"", ""TNFSF9"", ""ZBTB1"", ""LILRB1"", ""MYB"", ""CD46"", ""ITPKB"", ""SELP"", ""HLA-E"", ""CBFB"", ""AFDN"", ""AP3D1"", ""CAV1"", ""MAP3K8"", ""THY1"", ""CXCL13"", ""NFKBIZ"", ""PTPN23"", ""CD4"", ""CCDC88B"", ""SOX4"", ""LGALS9"", ""PRKCZ"", ""DOCK8"", ""MMRN1"", ""SKAP1"", ""TESPA1"", ""FOXP3"", ""F11R"", ""MALT1"", ""BAD"", ""YES1"", ""BCL6"", ""BCL10"", ""CD276"", ""IL36B"", ""CD55"", ""PIK3R6"", ""IL23A"", ""MEGF10"", ""SYK"", ""HLA-DRB1"", ""CEACAM6"", ""IL7R"", ""CD70"", ""SMAD7"", ""CITED2"", ""PTPRU"", ""TJP1"", ""HLA-DPA1"", ""DNAJA3"", ""SOX13"", ""IL4I1"", ""CD28"", ""CLECL1"", ""CHST4"", 
""IL6ST"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.654907975,1,0.052912985,0.201562384,0.898480589,105,"c(""HHLA2"", ""TNFSF9"", ""ZBTB1"", ""LILRB1"", ""MYB"", ""CD46"", ""ITPKB"", ""SELP"", ""HLA-E"", ""CBFB"", ""AP3D1"", ""CAV1"", ""MAP3K8"", ""THY1"", ""NFKBIZ"", ""CD4"", ""CCDC88B"", ""SOX4"", ""LGALS9"", ""PRKCZ"", ""DOCK8"", ""SKAP1"", ""TESPA1"", ""FOXP3"", ""MALT1"", ""BAD"", ""YES1"", ""BCL6"", ""BCL10"", ""CD276"", ""IL36B"", ""CD55"", ""PIK3R6"", ""IL23A"", ""SYK"", ""HLA-DRB1"", ""IL7R"", ""CD70"", ""HLA-DPA1"", ""DNAJA3"", ""SOX13"", ""IL4I1"", ""CD28"", ""CLECL1"", ""CHST4"", ""IL6ST"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.649315068,1,0.048118399,0.180027059,0.927564059,314,"c(""HHLA2"", ""TNFSF9"", ""SPN"", ""TGFB2"", ""ZBTB1"", ""GPR4"", ""LILRB1"", ""GPNMB"", ""APOA1"", ""MYB"", ""CD46"", ""PLET1"", ""PLXNA2"", ""MINK1"", ""ITPKB"", ""EPHA1"", ""EFNA5"", ""KNG1"", ""ITGA3"", ""PRKD2"", ""SELP"", ""COL16A1"", ""HLA-E"", ""S1PR1"", ""PAG1"", ""CBFB"", ""AFDN"", ""RET"", ""WNT4"", ""AP3D1"", ""CAV1"", ""MAP3K8"", ""STX4"", ""THY1"", ""CXCL13"", ""SDC4"", ""DNM2"", ""NDNF"", ""NFKBIZ"", ""MYOC"", ""PTPN23"", ""CD4"", ""CCDC88B"", ""SOX4"", ""RRAS"", ""RC3H2"", ""LGALS9"", ""FN1"", ""PEAK1"", ""VWC2"", ""DLG5"", ""PRKCZ"", ""FMN1"", ""DOCK8"", ""CSPG5"", ""DUSP3"", ""MMRN1"", ""P2RY12"", 
""SKAP1"", ""ERBB3"", ""FUT1"", ""GBP1"", ""TESPA1"", ""FOXP3"", ""RSU1"", ""CLASP1"", ""F11R"", ""MALT1"", ""PLG"", ""BAD"", ""YES1"", ""BCL6"", ""BCL10"", ""ABL2"", ""CD276"", ""SLC9A1"", ""PLXND1"", ""IL36B"", ""EPCAM"", ""GSK3B"", ""NRP1"", ""ITGB1BP1"", ""KANK1"", ""ZDHHC21"", ""PTPN2"", ""STK4"", ""CD55"", ""PIK3R6"", ""MAD1L1"", ""APBB1IP"", ""PAWR"", ""IL23A"", ""MEGF10"", ""SYK"", ""PPP2R1A"", ""HLA-DRB1"", ""CEACAM6"", ""IL7R"", ""CD70"", ""SMAD7"", ""CITED2"", ""NOTCH4"", ""PTPRU"", ""TJP1"", ""EMILIN1"", ""CARMIL1"", ""LDB1"", ""PLXNC1"", ""NRARP"", ""HLA-DPA1"", ""LAPTM5"", ""DNAJA3"", ""SOX13"", 
""IL4I1"", ""PLA2G2F"", ""SCRIB"", ""CD28"", ""SEMA6A"", ""CLECL1"", ""CHST4"", ""VAV3"", ""IL6ST"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.485967504,0.992477578,0.065235306,0.204793053,0.986836733,186,"c(""HHLA2"", ""TNFSF9"", ""SPN"", ""ZBTB1"", ""LILRB1"", ""GPNMB"", ""APOA1"", ""MYB"", ""CD46"", ""MINK1"", ""ITPKB"", ""EFNA5"", ""SELP"", ""HLA-E"", ""PAG1"", ""CBFB"", ""AFDN"", ""WNT4"", ""AP3D1"", ""CAV1"", ""MAP3K8"", ""THY1"", ""CXCL13"", ""SDC4"", ""NFKBIZ"", ""PTPN23"", ""CD4"", ""CCDC88B"", ""SOX4"", ""RC3H2"", ""LGALS9"", ""DLG5"", ""PRKCZ"", ""DOCK8"", ""DUSP3"", ""MMRN1"", ""SKAP1"", ""TESPA1"", ""FOXP3"", ""F11R"", ""MALT1"", ""PLG"", ""BAD"", ""YES1"", ""BCL6"", ""BCL10"", ""CD276"", ""IL36B"", ""EPCAM"", ""ZDHHC21"", ""PTPN2"", ""CD55"", ""PIK3R6"", ""MAD1L1"", ""PAWR"", ""IL23A"", ""MEGF10"", 
""SYK"", ""HLA-DRB1"", ""CEACAM6"", ""IL7R"", ""CD70"", ""SMAD7"", ""CITED2"", ""NOTCH4"", ""PTPRU"", ""TJP1"", ""NRARP"", ""HLA-DPA1"", ""LAPTM5"", ""DNAJA3"", ""SOX13"", ""IL4I1"", ""PLA2G2F"", ""SCRIB"", ""CD28"", ""CLECL1"", ""CHST4"", ""IL6ST"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.849797023,1,0.035165229,0.165303354,0.868019501,385,"c(""FZD2"", ""RPL4"", ""MAPRE2"", ""INPP5E"", ""GJA5"", ""CDC42EP4"", ""BAIAP2"", ""ALKBH6"", ""AKAP12"", ""FZD1"", ""CTNNA1"", ""PARVG"", ""ARPC5L"", ""CD46"", ""PDZD2"", ""HYOU1"", ""ADD3"", ""FAP"", ""AMOTL2"", ""UBOX5"", ""PACSIN2"", ""KIT"", ""EPPK1"", ""PPFIA1"", ""RPL30"", ""ARHGEF2"", ""EFNA5"", ""ITGA3"", ""RPL5"", ""ITGA11"", ""TNS3"", ""ZNF185"", ""PDLIM5"", ""FHL1"", ""AFDN"", ""NHS"", ""RPL9"", ""PARK7"", ""FRMD6"", ""THSD1"", ""KCNA2"", ""PLXDC1"", ""EZR"", ""SPECC1L"", ""DCAF6"", ""IQGAP1"", ""ATP6V0C"", ""RALA"", ""CAV1"", ""ITGBL1"", ""TLE2"", ""DSG2"", ""SCN2A"", ""THY1"", ""APP"", ""RPL22"", 
""SDC4"", ""PARVB"", ""TIAM1"", ""SDCBP"", ""DNM2"", ""ITGB6"", ""CTTN"", ""YWHAZ"", ""CDC42BPA"", ""CHP1"", ""NPHP1"", ""RRAS"", ""RAB13"", ""PEAK1"", ""PRKCZ"", ""FMN1"", ""TGFB1I1"", ""MME"", ""PGM5"", ""MYH2"", ""MPZL1"", ""NPHS2"", ""SKAP1"", ""CDH20"", ""SHROOM4"", ""RPS5"", ""TMEM65"", ""TSPAN4"", ""RSU1"", ""SVIL"", ""CLASP1"", ""F11R"", ""ABI2"", ""DOCK7"", ""YES1"", ""ITGA2B"", ""MDC1"", ""CADM1"", ""PLEC"", ""RHOB"", ""SLC9A1"", ""CRB1"", ""HSPA5"", ""CLDN11"", ""EPCAM"", ""DSP"", ""NRP1"", ""TRIP6"", ""GAB1"", ""ITGB1BP1"", ""CNN3"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.214184397,0.982220445,0.108394256,0.225233781,1.11516105,218,"c(""FZD2"", ""RPL4"", ""MAPRE2"", ""INPP5E"", ""ALKBH6"", ""AKAP12"", ""FZD1"", ""CTNNA1"", ""PARVG"", ""ARPC5L"", ""CD46"", ""HYOU1"", ""FAP"", ""UBOX5"", ""PACSIN2"", ""EPPK1"", ""PPFIA1"", ""RPL30"", ""ARHGEF2"", ""ITGA3"", ""RPL5"", ""ITGA11"", ""TNS3"", ""ZNF185"", ""FHL1"", ""NHS"", ""RPL9"", ""THSD1"", ""EZR"", ""DCAF6"", ""IQGAP1"", ""ATP6V0C"", ""RALA"", ""CAV1"", ""ITGBL1"", ""TLE2"", ""THY1"", ""RPL22"", ""SDC4"", ""PARVB"", ""SDCBP"", ""DNM2"", ""ITGB6"", ""CTTN"", ""YWHAZ"", ""CHP1"", ""RRAS"", ""PEAK1"", ""TGFB1I1"", ""MME"", ""PGM5"", ""MPZL1"", ""SHROOM4"", ""RPS5"", ""TSPAN4"", ""RSU1"", ""SVIL"", 
""CLASP1"", ""DOCK7"", ""YES1"", ""ITGA2B"", ""MDC1"", ""PLEC"", ""RHOB"", ""SLC9A1"", ""HSPA5"", ""NRP1"", ""TRIP6"", ""ITGB1BP1"", ""CNN3"", ""XIRP1"", ""PPFIBP1"", ""SORBS3"", ""PIP5K1A"", ""ANXA5"", ""CAPN2"", ""PTK7"", ""APBB1IP"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.858181818,1,0.082205492,-0.157816942,-0.890916525,345,"c(""THBD"", ""ABCA1"", ""ANXA2"", ""GFRA2"", ""ADAM17"", ""IL27RA"", ""IL1RL1"", ""BACE1"", ""TNFRSF1A"", ""RAET1E"", ""SLC7A11"", ""GHRHR"", ""BCAM"", ""SLC6A1"", ""GRIN1"", ""F3"", ""FOLR3"", ""KCNK2"", ""UMODL1"", ""KDR"", ""DNAI2"", ""ABCB11"", ""TMEM8B"", ""PCSK6"", ""LY75"", ""DUOX2"", ""BTN2A1"", ""HLA-DMA"", ""CEACAM5"", ""PDCD1LG2"", ""DPP4"", ""CYP2W1"", ""CD74"", ""SFRP1"", ""GPR37"", ""SLC39A6"", ""CSF3R"", ""CD9"", ""APOH"", ""FZD6"", ""CSF2RA"", ""TSHR"", ""CLEC17A"", ""TEK"", ""RTN4R"", ""CD36"", ""CLU"", ""CD200R1L"", ""ENTPD6"", ""TGFBR1"", ""HYAL2"", ""ADGRE1"", ""AQP4"", ""CLIC4"", ""WIF1"", 
""PDGFRA"", ""GSR"", ""LRP4"", ""LMAN2"", ""SLC22A11"", ""RSPO2"", ""NECTIN2"", ""PPFIA4"", ""ITGAV"", ""CACNG2"", ""ADAM29"", ""CD6"", ""INTU"", ""KCNA1"", ""PHB2"", ""DAG1"", ""CD40"", ""VAMP3"", ""IL12RB2"", ""CNTN2"", ""AJAP1"", ""AAMP"", ""CDH5"", ""SIRPA"", ""APMAP"", ""CD83"")"
