Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.18170581,0.904720661,0.110122264,-0.229736905,-1.129612944,326,"c(""PDGFRA"", ""PDLIM5"", ""SASH3"", ""ABAT"", ""GTPBP4"", ""NPTN"", ""SRC"", ""VSIG4"", ""BCL10"", ""AKNA"", ""ST3GAL4"", ""VSIG10"", ""PCDHGA12"", ""KLRC4-KLRK1"", ""MYB"", ""PCDHGC3"", ""ABCA12"", ""HLA-DMB"", ""TNFSF11"", ""CSRP1"", ""SLC7A11"", ""CD164"", ""PCDHGB3"", ""RAP2B"", ""CLIC1"", ""PCDHGA6"", ""MINK1"", ""NFKBIZ"", ""CCR7"", ""JAML"", ""AMIGO2"", ""BMP5"", ""DCHS1"", ""LCK"", ""MAP2K5"", ""DOCK8"", ""HLA-DRB5"", ""PIK3CB"", ""SKAP1"", ""ANXA1"", ""PCDHGB5"", ""PCDHGB4"", ""PCDHGA8"", ""PCDHGA7"", ""PIP5K1C"", ""FAT4"", ""STAT5B"", ""CD58"", ""EGFR"", ""RAC2"", ""KLRK1"", ""GLI3"", ""ITGB1"", 
""ITCH"", ""CDH9"", ""S100A11"", ""COL14A1"", ""HLA-DPB1"", ""WNT7B"", ""BMP7"", ""PDLIM1"", ""PCDH19"", ""JAM2"", ""PCDHGB6"", ""PCDHGA9"", ""VNN1"", ""PRKCQ"", ""PELI1"", ""KLF4"", ""SLC39A8"", ""IL15"", ""PPM1F"", ""FAT2"", ""ADAMTS18"", ""PIK3CA"", ""VTCN1"", ""XBP1"", ""OBSL1"", ""NR4A3"", ""PCDHGA2"", ""PCDHGA1"", ""CD44"", ""PCDHGA5"", ""HLA-E"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.422068966,0.953759148,0.06879431,-0.226318157,-1.022532016,139,"c(""SASH3"", ""SRC"", ""VSIG4"", ""BCL10"", ""ST3GAL4"", ""KLRC4-KLRK1"", ""MYB"", ""HLA-DMB"", ""TNFSF11"", ""NFKBIZ"", ""CCR7"", ""LCK"", ""DOCK8"", ""HLA-DRB5"", ""SKAP1"", ""ANXA1"", ""STAT5B"", ""RAC2"", ""KLRK1"", ""GLI3"", ""ITGB1"", ""ITCH"", ""HLA-DPB1"", ""BMP7"", ""JAM2"", ""VNN1"", ""PRKCQ"", ""PELI1"", ""KLF4"", ""SLC39A8"", ""IL15"", ""PIK3CA"", ""VTCN1"", ""XBP1"", ""NR4A3"", ""CD44"", ""HLA-E"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.981432361,0.994100878,0.027096742,-0.159128359,-0.742484305,189,"c(""CRKL"", ""SASH3"", ""VAV3"", ""TFE3"", ""SRC"", ""BCL10"", ""ST3GAL4"", ""KLRC4-KLRK1"", ""MYB"", ""PPP3CA"", ""HLA-DMB"", ""TNFSF11"", ""EGFL6"", ""NFKBIZ"", ""CCR7"", ""LCK"", ""DOCK8"", ""HLA-DRB5"", ""SKAP1"", ""ANXA1"", ""STAT5B"", ""KLRK1"", ""GLI3"", ""CDC42"", ""HLA-DPB1"", ""BMP7"", ""CSF1"", ""ARL2"", ""VNN1"", ""PRKCQ"", ""IL15"", ""PPM1F"", ""PIK3CA"", ""VTCN1"", ""XBP1"", ""NR4A3"", ""CD44"", ""HLA-E"", ""TYK2"", ""PNP"", ""EFNB2"", ""ITGA3"", ""GATA3"", ""KIFAP3"", ""SMAD7"", ""ZAP70"", ""P2RY12"", ""TSC1"", ""PTPRU"", ""ZBTB7B"", ""ITGA5"", ""MEGF10"", ""CD47"", ""NEDD9"", ""FOXO3"", ""MIP"", 
""NOD2"", ""CD55"", ""TESK1"", ""COL16A1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.702432046,0.981207076,0.046508405,-0.198968266,-0.87987316,123,"c(""SASH3"", ""SRC"", ""BCL10"", ""ST3GAL4"", ""KLRC4-KLRK1"", ""MYB"", ""HLA-DMB"", ""TNFSF11"", ""NFKBIZ"", ""CCR7"", ""LCK"", ""DOCK8"", ""HLA-DRB5"", ""SKAP1"", ""ANXA1"", ""STAT5B"", ""KLRK1"", ""GLI3"", ""HLA-DPB1"", ""BMP7"", ""VNN1"", ""PRKCQ"", ""IL15"", ""PIK3CA"", ""VTCN1"", ""XBP1"", ""NR4A3"", ""CD44"", ""HLA-E"", ""TYK2"", ""PNP"", ""EFNB2"", ""GATA3"", ""KIFAP3"", ""SMAD7"", ""ZAP70"", ""PTPRU"", ""ZBTB7B"", ""MEGF10"", ""CD47"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.366715758,0.951040173,0.079343496,-0.243260922,-1.04942638,102,"c(""SASH3"", ""SRC"", ""BCL10"", ""ST3GAL4"", ""KLRC4-KLRK1"", ""MYB"", ""HLA-DMB"", ""TNFSF11"", ""NFKBIZ"", ""CCR7"", ""LCK"", ""DOCK8"", ""HLA-DRB5"", ""SKAP1"", ""ANXA1"", ""STAT5B"", ""KLRK1"", ""GLI3"", ""HLA-DPB1"", ""VNN1"", ""PRKCQ"", ""IL15"", ""PIK3CA"", ""VTCN1"", ""XBP1"", ""NR4A3"", ""CD44"", ""HLA-E"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.957605985,0.994100878,0.025130706,-0.160501623,-0.783049678,296,"c(""THBS1"", ""CRKL"", ""SASH3"", ""VAV3"", ""SLK"", ""ABAT"", ""TFE3"", ""GTPBP4"", ""SRC"", ""VSIG4"", ""BCL10"", ""AKNA"", ""ST3GAL4"", ""KLRC4-KLRK1"", ""MYB"", ""PPP3CA"", ""ABCA12"", ""HLA-DMB"", ""TNFSF11"", ""CD164"", ""EGFL6"", ""SPINK5"", ""MINK1"", ""NFKBIZ"", ""CCR7"", ""LCK"", ""MAP2K5"", ""DOCK8"", ""PPP2CA"", ""HLA-DRB5"", ""PIK3CB"", ""SKAP1"", ""ANXA1"", ""FAM107A"", ""STAT5B"", ""RAC2"", ""KLRK1"", ""PTPRA"", ""GLI3"", ""ITCH"", ""CDC42"", ""HLA-DPB1"", ""BMP7"", ""CSF1"", ""ARL2"", ""VNN1"", ""PRKCQ"", ""PELI1"", ""KLF4"", ""IL15"", ""PPM1F"", ""ADAMTS18"", ""PIK3CA"", ""ATXN3"", ""VTCN1"", 
""DLL1"", ""XBP1"", ""NR4A3"", ""CD44"", ""PTEN"", ""HLA-E"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.587044534,0.977838577,0.052057003,-0.205012549,-0.946400239,172,"c(""SASH3"", ""ABAT"", ""GTPBP4"", ""SRC"", ""VSIG4"", ""BCL10"", ""AKNA"", ""ST3GAL4"", ""KLRC4-KLRK1"", ""MYB"", ""ABCA12"", ""HLA-DMB"", ""TNFSF11"", ""MINK1"", ""NFKBIZ"", ""CCR7"", ""LCK"", ""MAP2K5"", ""DOCK8"", ""HLA-DRB5"", ""SKAP1"", ""ANXA1"", ""STAT5B"", ""KLRK1"", ""GLI3"", ""ITCH"", ""HLA-DPB1"", ""BMP7"", ""VNN1"", ""PRKCQ"", ""PELI1"", ""KLF4"", ""IL15"", ""PPM1F"", ""ADAMTS18"", ""PIK3CA"", ""VTCN1"", ""XBP1"", ""NR4A3"", ""CD44"", ""HLA-E"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.469135802,0.966623024,0.159646702,0.17403442,0.991874356,362,"c(""SH3KBP1"", ""MAP2K2"", ""NCSTN"", ""CFL1"", ""AHNAK"", ""ADAM17"", ""ITGA4"", ""CHP1"", ""FGFR3"", ""SLC4A2"", ""ARPC5L"", ""CDH8"", ""ADD1"", ""ACTN2"", ""MYO1E"", ""CLIC4"", ""ACTN3"", ""PPP1CA"", ""ACTB"", ""NF2"", ""PRICKLE4"", ""ARHGAP22"", ""ANXA5"", ""GSN"", ""DAB2"", ""ATP1A2"", ""PPP1R12A"", ""CYTH3"", ""PTPRJ"", ""TSPAN4"", ""GNA12"", ""FAT1"", ""HSP90B1"", ""PTK2"", ""RPL23"", ""FLT1"", ""LCP1"", ""RPL4"", ""RPS17"", ""CLDN11"", ""APBB1IP"", ""AFDN"", ""STARD10"", ""CADM3"", ""EPB41L3"", ""FHOD1"", ""P4HB"", ""PRUNE1"", ""ACTN1"", ""AJAP1"", ""TMEM65"", ""MAP2K1"", ""LYN"", ""PARVA"", ""PKN2"", 
""FZD1"", ""CALR"", ""CLDN14"", ""YWHAZ"", ""ARHGAP17"", ""BCAR3"", ""PRKCD"", ""CAT"", ""PDPK1"", ""CSK"", ""RPL7"", ""ADAM15"", ""FLOT1"", ""NPHP4"", ""RPS5"", ""REXO2"", ""KLHL24"", ""SRCIN1"", ""LIMD1"", ""CDC42EP4"", ""LASP1"", ""CAP1"", ""SSX2IP"", ""ADAM9"", ""ATP6V0C"", ""RHOA"", ""PCDH1"", ""SLC9A1"", ""STX3"", ""RRAS2"", ""KRAS"", ""SVIL"", ""ARHGAP31"", ""ICAM1"", ""TRPV4"", ""ITK"", ""TLN2"", ""CLDN2"", ""IQGAP3"", ""FHL2"", ""HNRNPK"", ""PATJ"", ""AMOTL2"", ""SYNPO2"", ""CORO1C"", ""IL16"", ""TJP2"", ""DST"", ""CD99"", ""DPP4"", ""CDK4"", ""NOX4"", ""TNFSF13B"", ""GRHL2"", ""COL13A1"", ""AJUBA"", 
""RPL18"", ""AOC1"", ""B2M"", ""RANGRF"", ""CLDN16"", ""PLPP3"", ""SORBS2"", ""STRN"", ""SHROOM3"", ""SYNE2"", ""ENAH"", ""CSRP2"", ""CDCA3"", ""RAB21"", ""PKP1"", ""UBOX5"", ""GIT1"", ""NECTIN3"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.095980104,0.85953246,0.287805131,0.222192592,1.187340346,212,"c(""SH3KBP1"", ""MAP2K2"", ""NCSTN"", ""CFL1"", ""AHNAK"", ""ADAM17"", ""ITGA4"", ""CHP1"", ""FGFR3"", ""SLC4A2"", ""ARPC5L"", ""ADD1"", ""ACTN2"", ""ACTN3"", ""ACTB"", ""ARHGAP22"", ""ANXA5"", ""GSN"", ""DAB2"", ""PPP1R12A"", ""TSPAN4"", ""GNA12"", ""FAT1"", ""HSP90B1"", ""PTK2"", ""RPL23"", ""FLT1"", ""LCP1"", ""RPL4"", ""RPS17"", ""APBB1IP"", ""P4HB"", ""PRUNE1"", ""ACTN1"", ""MAP2K1"", ""PARVA"", ""FZD1"", ""CALR"", ""YWHAZ"", ""BCAR3"", ""CAT"", ""PDPK1"", ""RPL7"", ""FLOT1"", ""RPS5"", ""REXO2"", ""SRCIN1"", ""LIMD1"", ""LASP1"", ""CAP1"", ""ADAM9"", ""ATP6V0C"", ""RHOA"", ""SLC9A1"", ""RRAS2"", ""KRAS"", 
""SVIL"", ""ARHGAP31"", ""ICAM1"", ""TRPV4"", ""TLN2"", ""FHL2"", ""HNRNPK"", ""SYNPO2"", ""CORO1C"", ""IL16"", ""DST"", ""CD99"", ""DPP4"", ""NOX4"", ""TNFSF13B"", ""AJUBA"", ""RPL18"", ""B2M"", ""SORBS2"", ""SYNE2"", ""ENAH"", ""CSRP2"", ""RAB21"", ""UBOX5"", ""GIT1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.900497512,0.994100878,0.097215081,0.157541621,0.872604896,274,"c(""TRPV1"", ""PKHD1"", ""HLA-F"", ""SERPINE2"", ""SLC1A3"", ""ADAM17"", ""ITGA4"", ""ERP29"", ""FGFR3"", ""TMX3"", ""LIFR"", ""LRFN5"", ""MUC17"", ""SDC3"", ""ABCB1"", ""KCNH5"", ""CPM"", ""CLIC4"", ""THBD"", ""ADGRA2"", ""CD244"", ""TF"", ""TNFRSF10D"", ""ANXA5"", ""IL2RA"", ""IL6R"", ""PTPRJ"", ""COL23A1"", ""ASIC1"", ""EPHB2"", ""CD48"", ""SLC46A1"", ""WNT2"", ""TNFRSF14"", ""P4HB"", ""SIRPB1"", ""ITGAE"", ""AJAP1"", ""GHRHR"", ""TFPI"", ""PLXNB2"", ""FZD1"", ""CALR"", ""TRPM8"", ""HSPD1"", ""CLEC6A"", ""MAP3K5"", ""ADAM15"", ""LRP8"", ""FLOT1"", ""HYAL4"", ""RTN4RL2"", ""SCNN1B"", ""IL6ST"", ""CCR3"", 
""PDGFA"", ""TNFRSF9"", ""ADAM9"", ""MET"", ""MELTF"", ""CLEC2D"", ""SLC9A1"", ""ACKR2"", ""ERMAP"", ""GPC3"", ""WNT4"", ""ICAM1"", ""TRPV4"", ""TSPEAR"", ""VAMP4"", ""GRIN2A"")"
