"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","FGF13",-2.00433896624188,6.85270423623646,-6.47179797225869,4.03650335956838e-08,0.000303867972908308,6.40034814504923,"Development (differentiation)",0.153619242114817
"2","SPRED1",-0.99807374459764,7.59319655351936,-4.09268881345349,0.000155467426970383,0.230269174337874,0.675183799990592,"Development (differentiation)",0.250510551395507
"3","FBXO33",1.47495595453355,6.18836819240146,4.21529706051368,0.000104437509256038,0.230269174337874,0.443470928384329,NA,0.114590424324938
"4","FBXL7",-0.998267503579787,7.98599551006089,-3.95039202924332,0.000245210556284265,0.230269174337874,0.280537519660004,NA,0.368277739959156
"5","DMXL2",0.83983640742311,8.04470675339425,3.92846425936633,0.000262888700523741,0.230269174337874,0.247528499731171,NA,0.33356024506467
"6","DHX36",-0.985396190254715,6.85545701739726,-3.96269827270536,0.000235798235593115,0.230269174337874,0.112320347829615,NA,0.187429090083957
"8","C3AR1",-2.32626186208525,5.11056681397638,-4.13549636866777,0.000135376919048735,0.230269174337874,-0.227973069703816,"Inflammation/Immune/Stress/Toxic/Detox",0.0624007261175403
"10","AC079781.5",-1.39950277687194,6.14073896050797,-3.9139098764597,0.000275295240308298,0.230269174337874,-0.485021110486143,NA,0.122078511459042
"11","SRSF7",-1.97207783694909,5.31275454419203,-4.048270740426,0.000179360067001263,0.230269174337874,-0.53793170996078,NA,0.0653505786249149
"7","ATP1B3",1.32087436106912,8.80949303545677,3.76041980886633,0.000445655958181883,0.335489805319322,-0.0885245753550867,NA,0.445200816882233
"9","FBXW7",1.0810111544714,7.77704022645066,3.71897641560346,0.00050680184579775,0.346836754105951,-0.319853757200886,NA,0.285228046289993
"12","G3BP2",-1.69395405879792,6.08186069300173,-3.69037190893466,0.000553620617302433,0.347304667254393,-0.883083234240178,NA,0.117767188563649
"18","COL4A1",-1.74968392663934,5.14597980693835,-3.66428735418212,0.000599909614902911,0.347393813922239,-1.09644821746358,"Matrisome/cell adhesion/binding/signaling",0.0653505786249149
"13","ALOX5",1.04654130048496,7.23091626917029,3.51045884767857,0.000957962645206236,0.485149760292425,-0.887414298266757,"Metabolism or Transport (lipid)",0.214431586113002
"14","ACSL4",0.997641236601018,7.37560738540929,3.50744611980033,0.000966690542559295,0.485149760292425,-0.943420628720555,"Metabolism or Transport (lipid)",0.245972316768777
"15","MRC1",-1.43190902801134,8.18492814635487,-3.41681465351243,0.00126765228805563,0.487880921574353,-1.03737557657185,NA,0.337417744497391
"16","AC093895.1",1.8041072953121,6.47911482813281,3.42388606213094,0.00124128280699604,0.487880921574353,-1.06416495954174,NA,0.105060131608804
"17","TCF4",0.904421472772849,9.29922442580845,3.38191223113596,0.00140579380152905,0.487880921574353,-1.06609212337047,"Development (differentiation)",0.525073746312684
"19","MAML3",0.635926055061397,9.00905004687093,3.33701349578429,0.00160459724816346,0.487880921574353,-1.1781542173929,NA,0.46811890174722
"20","MAP2K1",0.918656146562682,7.45214963748678,3.360911140288,0.00149568197314062,0.487880921574353,-1.23919992202432,NA,0.237122759246653
"21","HPCAL1",-1.01623498590164,7.34711727036558,-3.30753320387823,0.00174932668354199,0.487880921574353,-1.33994227659506,NA,0.204447469934196
"22","RASGRP3",-1.28054088166102,6.85237422196499,-3.33154732781443,0.00163054555196266,0.487880921574353,-1.36055994293037,NA,0.17880644429317
"23","VOPP1",0.794611185129614,7.84712287204249,3.27128174778841,0.00194426509660343,0.487880921574353,-1.4012970933521,NA,0.315861130020422
"24","RALGPS2",1.46036152444273,6.98066758999327,3.31147611407246,0.0017292771647736,0.487880921574353,-1.44521864656365,NA,0.19310188336737
"27","LILRB1",1.56361049641234,5.71792763593553,3.39130194170725,0.00136728571327209,0.487880921574353,-1.58724743534083,"Inflammation/Immune/Stress/Toxic/Detox",0.0971182210120263
