"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","AL139383.1",1.15921591797191,6.22008091115117,5.26072182291025,1.24220789839658e-06,0.00814515718978635,4.10622066750078,NA,0.114118177717636
"2","MT-ATP6",-0.912261969290317,9.89786904263986,-4.58582132523753,1.71207653001647e-05,0.0337199193581894,2.793958081563,NA,0.636445647271087
"3","MT-CO1",-0.633422077698118,10.9428390502513,-4.54768727802694,1.97548374258865e-05,0.0337199193581894,2.66656758470422,NA,0.84979702300406
"4","RBMS3",0.534638899528066,11.4240329438762,4.53687906882182,2.05703336026777e-05,0.0337199193581894,2.61757844633208,NA,0.830551796722297
"7","NUDT9",1.17306197802529,5.73460808570732,4.40997073534105,3.29556700939645e-05,0.0432180657612251,1.16241592784555,NA,0.0926176514809803
"5","MT-CO3",-0.739771983244693,10.6148526581789,-4.29978343183461,4.9340704183769e-05,0.0539211662221622,1.82745943834938,NA,0.778529544429409
"6","LHFPL6",0.630664931402617,9.16963200020079,4.17458733855305,7.7533016050596e-05,0.0726262837491083,1.43038521077237,NA,0.463990377386859
"8","MT-ND1",-0.717069731132103,9.13046257069698,-4.03578856934493,0.000126877481404878,0.0924372939524203,0.991062775984654,NA,0.528943016087806
"11","ITGB4",-1.23987826848183,5.30855018688652,-4.06094493109483,0.000116121738395023,0.0924372939524203,-0.101562496509962,"Matrisome/cell adhesion/binding/signaling",0.0700646519320403
"9","EYA1",-0.707606887527615,7.1945053011273,-3.93345909357643,0.00018133783549663,0.118903218735141,0.558819903041531,"Development (differentiation)",0.241617801834311
"10","RALGAPA2",0.706043495917598,9.99074081440533,3.69848651059917,0.000403573648972233,0.220519368025911,-0.0452819199232204,NA,0.559464742144039
"14","PLA1A",1.03143084213492,6.11918111586657,3.69901026822431,0.000402867566758262,0.220519368025911,-0.315328992786657,"Metabolism or Transport (lipid)",0.113216057735679
"12","MT-ND4",-0.614198596251033,10.571859198012,-3.62390162282929,0.000517090027557487,0.220658580551054,-0.305135969495896,NA,0.76559915802135
"13","ACACB",-0.517628721605015,7.9429525074008,-3.61117836943516,0.000539259882810404,0.220658580551054,-0.306277891787303,"Metabolism or Transport (lipid)",0.319651180273643
"15","GRB10",-0.535660470396901,10.7615052516475,-3.60882447109001,0.000543459212177281,0.220658580551054,-0.327625168716319,NA,0.667268079987972
"16","ITGAV",0.549128321623934,8.39303123201186,3.5791884055082,0.000599057549909089,0.220658580551054,-0.374323981712411,"Matrisome/cell adhesion/binding/signaling",0.356487746203578
"17","CAMK2D",0.593722621363222,9.04832339896913,3.5592786186568,0.000639395002359315,0.220658580551054,-0.426730689719029,"Transport",0.425048864832356
"18","NPAS2",0.654792823790793,7.32334648634001,3.56615575724289,0.000625179181011402,0.220658580551054,-0.462738402895718,NA,0.205232295895354
"20","SHC2",-0.82644542424498,6.62401739495889,-3.5902706289398,0.000577663119153575,0.220658580551054,-0.617674242513782,NA,0.163734776725304
"25","EIF4H",-1.03026168355772,5.53923968142304,-3.52741927971805,0.000709344254881408,0.23255851396287,-1.13866730769048,NA,0.0712674785746504
"19","GSE1",-0.616220168775495,8.49844937367425,-3.5121625251304,0.000745352365358557,0.232727402840765,-0.560979338541975,NA,0.360096226131409
"21","RELL1",0.843713516371331,6.77452569479496,3.46998120594576,0.000854124636876482,0.254567965636322,-0.835699572284907,"Matrisome/cell adhesion/binding/signaling",0.152458276950834
"22","MT-ND2",-0.581584541003956,9.39895405512607,-3.40281355723604,0.00105881350072497,0.301853918445811,-0.879179438629077,NA,0.581867388362652
"23","KCTD8",0.973748256972771,7.65153431389123,3.3526005615467,0.00124117059757824,0.327333142603783,-0.993268493999646,"Transport",0.215757029018193
"24","MT-ND5",-0.597615740721005,8.52630316264994,-3.33903315735439,0.00129529650630946,0.327333142603783,-1.02966244406206,NA,0.417831904976695
"28","KMT5B",-0.732072127211855,6.55629770486907,-3.33838169219367,0.0012979505425802,0.327333142603783,-1.24334550708001,NA,0.15020297699594
"26","PROS1",-0.472215675308204,7.57424630793729,-3.29057321546752,0.00150729981804665,0.366050552108588,-1.16802069223825,NA,0.278153661103593
"27","UBE2E2",0.429217420790151,8.78948088858677,3.27157106935085,0.00159900204709995,0.374452015101228,-1.21531525353749,"Metabolism (other)",0.397834912043302
"29","SLC4A10",-0.466039075098751,7.499754793698,-3.24666273074274,0.00172714837671146,0.380216817546665,-1.2716480788998,"Transport",0.323259660201473
"30","RNF145",0.559145897954608,7.90702716968407,3.23676595478457,0.00178068805154029,0.380216817546665,-1.30057986225053,NA,0.282513907683055
"31","PPP3CA",0.488617694826139,8.71538889535785,3.16838476146335,0.0021953122968132,0.380216817546665,-1.48229842749951,"Metabolism (other)",0.397834912043302
"32","SLC39A12",-0.504545852552373,7.26616924684271,-3.15878354926571,0.00226027982270732,0.380216817546665,-1.49648498406161,"Transport",0.282814614343708
"33","CTTNBP2",0.795658732786379,5.97800873371717,3.2044464917481,0.00196655925815174,0.380216817546665,-1.51035090119621,NA,0.0956247180875056
"34","MAP3K20",0.561718338291788,6.88131188399899,3.14989080362676,0.00232205107548904,0.380216817546665,-1.57272335847988,NA,0.165087956698241
"35","HSD17B4",0.679388808637883,6.60338160270492,3.15236241611269,0.00230472632012274,0.380216817546665,-1.57538090136172,"Metabolism or Transport (lipid)",0.147646970380394
"36","HTR2C",-0.410207599164515,9.16684866694921,-3.15402790612366,0.00229312021820248,0.380216817546665,-1.58683729299541,NA,0.644715080439032
"37","HIPK3",0.525728536974082,8.81327548013148,3.13168149864134,0.00245348589738425,0.380216817546665,-1.58812961924989,NA,0.436926777928131
"38","MCF2L",-0.465531868127702,9.36421324644807,-3.12409577367725,0.00251026098764769,0.380216817546665,-1.61858469474746,NA,0.474214403849045
"39","SCAF4",0.711827522190084,6.32008585964882,3.16256488778717,0.00223448158456729,0.380216817546665,-1.61906383452241,NA,0.125695384152759
"40","LEMD3",0.609856600690538,6.65772570486972,3.14041540869767,0.00238960154758937,0.380216817546665,-1.62083668762034,NA,0.149451210344309
"41","STAT3",0.358679322553417,8.86391935800749,3.10982456414278,0.00262040773866464,0.380216817546665,-1.63801835325427,"Inflammation/Immune/Stress/Toxic/Detox",0.451661404300105
"42","AF064858.1",1.26617063561454,5.74816005102062,3.20537469788804,0.00196097685828455,0.380216817546665,-1.63946165368005,NA,0.0769809051270486
"43","AFF3",1.1249230616671,7.49637367768945,3.09970620746083,0.00270121322368725,0.380216817546665,-1.64550687598404,NA,0.198616749360998
"44","THSD4",0.681501911184654,8.38353221329812,3.097298514934,0.00272078002803464,0.380216817546665,-1.66837942051131,"Matrisome/cell adhesion/binding/signaling",0.300706660652533
"49","BID",0.862278621246052,5.82487114738519,3.09673718810207,0.00272536074800873,0.380216817546665,-1.84190312629261,NA,0.0826943316794467
