"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","AC105402.3",-3.9782307861433,4.25985525462577,-9.27609166938301,3.90588260884625e-17,4.32771793060164e-13,25.9294245861207,NA,0.110925838985932
"2","NAA16",0.384146921937662,7.20988685632345,6.78812545798225,1.40151316171176e-10,4.06559055238134e-07,13.7300130499393,NA,0.462255751080604
"3","NEK5",-0.461805120283314,6.49286773313626,-6.78549023335882,1.42226756911773e-10,4.06559055238134e-07,13.6912139042334,NA,0.364669505107575
"4","SLC47A2",-0.540150615846001,6.57658709329145,-6.77984866622479,1.4677222210763e-10,4.06559055238134e-07,13.6549205401085,"Transport",0.377636755111622
"5","RFX3",-0.274755871963164,9.59367013385145,-6.65427864946419,2.94474764836915e-10,5.43796732398836e-07,12.921755053347,NA,0.870343688786
"6","AC016152.1",-0.63557733794271,10.8088487371257,-6.66312775518772,2.80442925932384e-10,5.43796732398836e-07,12.875211629423,NA,0.944957989995305
"7","RASSF3",-0.515014631548806,7.91065616777226,-6.60469097373489,3.868672555596e-10,6.12355598800053e-07,12.7515603035558,"Development (cell cycle)",0.588156254553107
"8","HOPX",0.481009153938828,7.23952903101161,6.4712688514249,8.01382277470242e-10,1.10991445429629e-06,12.0615278433711,NA,0.453384274173965
"9","TMEM108",0.289753596297199,8.31251986803415,6.33548298169833,1.66627619055389e-09,2.05137113237078e-06,11.3229375592765,NA,0.61596865843195
"10","SLC30A10",-0.645471008491762,6.48160858129731,-6.25123052924028,2.6118032212165e-09,2.71684253066878e-06,10.9246334481732,"Transport",0.354713376827314
"11","TMEM232",-0.354621817335801,9.33253608492925,-6.24517093636718,2.6972263391116e-09,2.71684253066878e-06,10.7888496123867,NA,0.807579608554176
"12","IL16",-0.380556775254073,6.89444489431534,-6.18374357889113,3.7336396848257e-09,3.18220982368221e-06,10.5968190211678,"Inflammation/Immune/Stress/Toxic/Detox",0.435689886840103
"13","MAPK10",-0.184783922565478,10.1242311965255,-6.1908557109784,3.59605663984126e-09,3.18220982368221e-06,10.4508081156888,NA,0.932945880753104
"14","DCDC1",-0.313170669391711,8.8065072223124,-6.08609246155017,6.23497398395731e-09,4.93453655301764e-06,10.0222177345733,"Motility",0.751469136002331
