"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","RAB11FIP5",0.427784689369928,4.50265176434922,8.80663927862592,3.77134921243247e-16,3.322558656153e-12,25.7612869065677,"Transport",0.0760616863732091
"2","SERINC5",0.248194321612813,7.91720166986148,8.52464744526972,2.39477800105176e-15,7.51785933825324e-12,24.3210098046199,"Metabolism or Transport (lipid)",0.413493750155982
"3","PDE9A",0.773039167859135,4.36712927027486,8.51438743432509,2.55999750451302e-15,7.51785933825324e-12,23.9351964684171,"Metabolism (other)",0.0685879825607178
"4","SLC4A10",-0.341489705976223,10.2059887504652,-8.42178639314024,4.66638125591106e-15,1.02777047161441e-11,23.6749894886205,"Transport",0.762075896585287
"5","CFAP161",-0.561561471755154,7.64667424745161,-8.27882205818198,1.17159078132992e-14,2.06434295670332e-11,22.7757730584957,"Cilia",0.351027946238479
"6","CCDC149",0.294740735704806,5.73604800496325,8.22820608436179,1.61995572770957e-14,2.33348346815133e-11,22.3841759388199,NA,0.150303421240063
"7","BACE2",0.715470860601302,7.18360387678949,8.20707432573239,1.85407313019969e-14,2.33348346815133e-11,22.3288407061411,"AD",0.284714903060705
"8","LAMA5",-0.554536553701222,5.55175328890987,-8.12273528233744,3.172021409145e-14,3.49318857682093e-11,21.7095383362202,"Matrisome/cell adhesion/binding/signaling",0.1395392143876
"9","DGLUCY",-0.258230035132422,8.76248207180385,-8.05752446477937,4.79518069696335e-14,4.6939491044719e-11,21.4129250657827,NA,0.56192730560787
"13","RGPD8",0.428873675104847,4.34943201165864,8.00981891360186,6.48069855600535e-14,5.70949542784071e-11,20.8533359261835,NA,0.0678815034949596
"10","OTX2-AS1",-0.481372486604561,10.747618377036,-7.99036484996512,7.32574613838272e-14,5.86725667992289e-11,20.9917850717198,NA,0.803854150468522
"11","SGK3",-0.278967978678581,8.88007311655935,-7.96704865073858,8.48320710772494e-14,6.2280878849214e-11,20.8577895862159,"Development (cell cycle)",0.581092470046631
"12","SGK3",-0.278967978678581,8.88007311655935,-7.96704865073858,8.48320710772494e-14,6.2280878849214e-11,20.8577895862159,"Transport",0.581092470046631
"14","CFAP97D2",-0.694044076954064,4.24879439098222,-7.90721044343358,1.23483876576353e-13,8.36840732798208e-11,20.2248414512972,"Cilia",0.0532259024406164
"15","FRK",-0.558344928422738,7.8786612575601,-7.86196817385382,1.63853450216001e-13,1.03110635457355e-10,20.2231943020198,NA,0.373312753290983
"16","SAMMSON",0.876331881431234,4.53495341162967,7.84462565233892,1.82576816103565e-13,1.07233449991494e-10,19.9467276714913,NA,0.0680869199624491
"17","CFAP70",-0.441727553945721,8.23293850559273,-7.79428258736445,2.49767538505807e-13,1.26271851245016e-10,19.8119322273544,"Cilia",0.483475493047516
"18","PXDC1",0.523638987348201,5.82421621115536,7.79721700414361,2.45254195116763e-13,1.26271851245016e-10,19.7944830853448,"Development (apoptosis)",0.146523374282242
"19","IRS2",0.578592749556554,6.77491989259909,7.78644639313901,2.62226645625738e-13,1.26271851245016e-10,19.7614495992889,NA,0.250581213416191
"20","AC006504.5",-0.46040562039086,5.34980157417925,-7.78036177759008,2.7232294820151e-13,1.26271851245016e-10,19.6422234424829,NA,0.115845288763719
"21","CHST11",0.355637764112153,10.3462505630658,7.71012904440455,4.20693374018216e-13,1.85315431255024e-10,19.2956925191117,"Metabolism (other)",0.784552681644791
"22","IL16",-0.372904384771691,7.07262081660692,-7.70219618197308,4.41815940375273e-13,1.85352306414579e-10,19.2605154510797,"Inflammation/Immune/Stress/Toxic/Detox",0.29073341358014
"23","TRPM3",-0.442266562037247,13.2321624402754,-7.63817951383777,6.55378749081797e-13,2.53789358195206e-10,18.866963570865,"Transport",0.991512652310551
"24","TENM2",-0.718244405152155,9.05294793544008,-7.63640605527168,6.62560185980673e-13,2.53789358195206e-10,18.8539205199133,"Development (differentiation)",0.545140748675832
"25","TBL1X",0.265900714887449,7.11396746882898,7.61055313789406,7.76519279862232e-13,2.7897431586739e-10,18.7170349308894,NA,0.275734171893268
"26","RMST",-0.386691015379845,8.90638238110263,-7.60740815092858,7.91641077943785e-13,2.7897431586739e-10,18.6875393685283,NA,0.560938618871822
"27","ARID5B",0.270020873219433,8.77897572279817,7.52889478109773,1.27940762410006e-12,4.33522352627752e-10,18.2244881708889,NA,0.530085833366929
"28","ALDH4A1",-0.518319323544683,5.27142155398864,-7.44439734407561,2.13807000435753e-12,6.97644323644069e-10,17.6734458189971,"Metabolism (other)",0.11939304233307
"29","CCND1",-0.454740362943554,4.9578157383092,-7.43734231088687,2.23140195219747e-12,7.02094685673561e-10,17.6068773657277,"Development (cell cycle)",0.0914256862733805
"30","ZFHX3",0.433910803946791,9.00798960981329,7.36918034997483,3.36774036083327e-12,1.02309629582556e-09,17.282633671119,NA,0.589276492485021
"31","ST6GALNAC2",-0.581113768810918,5.88867528446495,-7.35690538547471,3.62602500058939e-12,1.06484267517308e-09,17.2124524579027,"Metabolism or Transport (lipid)",0.165863238707374
"32","PPP3CC",-0.224865468986351,8.26096890714263,-7.34055541149019,4.00063723181426e-12,1.10142543788386e-09,17.1248981150183,"Metabolism (other)",0.459292023505787
"33","PDK3",0.386026748753643,5.76463378009263,7.34096417312497,3.99082189349648e-12,1.10142543788386e-09,17.1111653257139,NA,0.149598861954374
"34","LDLRAD4",0.180738405992246,10.9772129008967,7.26779503715311,6.18699458646074e-12,1.65174006990058e-09,16.6790955385575,NA,0.865592357739497
"35","SEC24D",0.425448724797867,5.72126736771595,7.2343642286195,7.55288055749268e-12,1.95708463857384e-09,16.5019961881177,NA,0.146220049031183
"36","NWD1",-0.364561130858743,11.3031886402949,-7.15969943249962,1.17694372273166e-11,2.96253548493313e-09,16.0529690281622,NA,0.906796597381804
"37","FAM124A",0.464560911769546,7.27331106610171,7.10517486882118,1.62439176837356e-11,3.97524763315863e-09,15.7821875329346,"Development (differentiation)",0.305413971775393
"38","CROCC",-0.324889964452526,7.22022225323649,-7.06525319730587,2.05468691059065e-11,4.85147869077522e-09,15.5579853193449,"Cilia",0.328418696354146
"39","MAPK10",-0.162338728717225,10.2958529776485,-7.06214311936466,2.09257877695185e-11,4.85147869077522e-09,15.4974486102492,NA,0.784556521204931
"40","C11orf16",-0.593323715446806,5.48040361017041,-7.04501519565038,2.3139328281212e-11,5.22711492711481e-09,15.4231832601368,NA,0.134090878548953
"41","SMOC2",-0.529487386793356,6.67472904897701,-7.03920541673893,2.39413606881289e-11,5.27308469156039e-09,15.4118855767292,"Matrisome/cell adhesion/binding/signaling",0.224998224203435
"42","CABLES1",0.404110495384915,6.22199454501585,7.01071735358629,2.82881751012145e-11,5.88557754666061e-09,15.2496759835769,"Development (differentiation)",0.184932414142636
"43","TAB3",-0.352591428710381,6.53490982207352,-7.00913890431367,2.85505437806819e-11,5.88557754666061e-09,15.2425642410414,"Inflammation/Immune/Stress/Toxic/Detox",0.225489687901354
"44","EPN2",0.331540764954134,7.60349895858538,7.00808873827453,2.87264284343254e-11,5.88557754666061e-09,15.2287023417634,NA,0.381898009764001
"45","UBTD1",0.413610766474442,4.78528891469211,6.97980216818967,3.38871046663814e-11,6.78512254797318e-09,15.0201668311433,"Metabolism (other)",0.0837427264332598
"46","MLLT10",-0.128306387124892,8.08786300212576,-6.94729555385991,4.09520761978866e-11,7.90487426525905e-09,14.872868714705,NA,0.451033129644668
"47","NEAT1",0.490567674004431,12.4216650952725,6.94594931718105,4.12740313509553e-11,7.90487426525905e-09,14.8421692059672,NA,0.970773268214393
"48","C8orf34",-0.412072879522221,5.81082136261513,-6.91247570033736,5.0131652785253e-11,9.39701831995912e-09,14.7004389555223,NA,0.135903150935029
"49","VEZT",-0.225626827674906,6.35041415018355,-6.8831707793878,5.94057309452949e-11,1.0903426867251e-08,14.5389386182853,"Matrisome/cell adhesion/binding/signaling",0.216270904005237
"50","SLC47A2",-0.458171195443205,6.57417132850922,-6.8663191608984,6.54835188680319e-11,1.17736694128033e-08,14.4457067928576,"Transport",0.221018520118335
"51","SLC22A8",-0.53415288949336,6.94014773982446,-6.76852199152081,1.1491620271534e-10,2.02482349184429e-08,13.9006496524056,"Transport",0.269462250404594
"52","AMMECR1",-0.265110971738791,9.23188206194039,-6.75972134412472,1.20852326108517e-10,2.04751729426161e-08,13.8097923191456,NA,0.590854551702557
"53","AHCYL2",-0.231917097601418,10.311126211118,-6.76007936102039,1.20605056664972e-10,2.04751729426161e-08,13.7974658445455,NA,0.815169334201074
"54","LINC01376",-0.498379402523648,7.09525041110676,-6.73405011382407,1.39945642496267e-10,2.32626624602285e-08,13.7128513683569,NA,0.277976475015022
"55","SMC6",-0.422068121501386,8.2686922868126,-6.72747440733332,1.45295818339864e-10,2.37047436958186e-08,13.6511597791843,NA,0.456421952301144
"56","TPST1",0.310281654697018,6.85986534954224,6.71759996349763,1.53709995983338e-10,2.4621546629331e-08,13.6241344245539,NA,0.252159272633727
"57","PITPNC1",0.333541779751782,10.376900586496,6.70294417422968,1.67089234587386e-10,2.62867170841942e-08,13.484859807858,NA,0.805647225053898
"59","HTR2C",-0.384703257756808,12.2235205718775,-6.67893448518563,1.91523478715082e-10,2.96021376750855e-08,13.3524551211944,NA,0.955178894705823
"58","FTCDNL1",-0.388169158010251,5.50064877253281,-6.66892001240658,2.0272431507074e-10,3.07931244098831e-08,13.3543734729945,NA,0.126238978062673
"60","ANKMY1",-0.480069811162873,5.40216229847476,-6.65951999462062,2.13822826703664e-10,3.1928459377276e-08,13.2972820830833,NA,0.124372951834638
"61","NEXMIF",0.280024573508049,6.59141524787242,6.62951969354719,2.53393268677651e-10,3.72065782841685e-08,13.1482820077166,"Development (differentiation)",0.201031689809615
"62","AMOTL2",-0.4764281918367,5.86932546363503,-6.6185840315288,2.69539878746651e-10,3.83007472864193e-08,13.0890862230528,NA,0.173104649131396
"64","TSC22D1",-0.2503358693364,10.0714889574192,-6.62047526879095,2.66676861263161e-10,3.83007472864193e-08,13.0313422786744,NA,0.738959824762475
"63","ENKUR",-0.465476497688559,4.91483904549026,-6.61424202827195,2.76227771347717e-10,3.86280423106887e-08,13.0376936237158,NA,0.092813687263987
"65","RFX3",-0.210125995369733,9.66392031287764,-6.6031528324352,2.94057501868987e-10,4.04788529916527e-08,12.9416584511282,NA,0.697667275236949
"66","IFNAR2",0.299135884327859,5.16508248934221,6.58666016465676,3.22686490626814e-10,4.37364304988036e-08,12.9044273012035,"Inflammation/Immune/Stress/Toxic/Detox",0.109988039770164
"67","CAAP1",-0.198865022373665,6.88817538952396,-6.57874366194511,3.37384793210278e-10,4.50357580027659e-08,12.8638243911646,"Development (apoptosis)",0.266526906677571
"68","MITF",-0.260116412005533,7.58444017493365,-6.56296690189905,3.68666468295117e-10,4.83883695899812e-08,12.7687075790548,NA,0.341820681022782
"69","ST6GAL1",0.573446659815907,8.61079922102486,6.56065403740424,3.73485713066824e-10,4.83883695899812e-08,12.7334499302841,"Metabolism or Transport (lipid)",0.508409596596614
"71","SLC4A5",-0.490488554741647,8.48945337939637,-6.55282113284204,3.90271332010198e-10,4.9830296159563e-08,12.6862152521641,"Transport",0.524370648098554
"70","ERGIC1",0.277712102013165,6.14876803663037,6.5488699469985,3.99017697262969e-10,5.02192273269537e-08,12.7151269017024,NA,0.189002347891026
"72","SPECC1L",0.263975297166265,7.87045897642579,6.54124225484986,4.16450713060768e-10,5.16750814375404e-08,12.6452237906233,NA,0.409542842771932
"74","CUX2",-0.291106095966155,9.72920346286975,-6.52703708159841,4.50933915088141e-10,5.51767748878684e-08,12.5257747660913,"Development (differentiation)",0.689963197816058
"73","NIM1K",-0.486208130070178,6.08100697402547,-6.52062570805407,4.67402218649901e-10,5.64084047439127e-08,12.5640239025179,NA,0.161451584106525
"75","TIMP3",-0.437418948251359,9.1307607145146,-6.50777802694833,5.02201229909938e-10,5.97890923717102e-08,12.4361061504571,NA,0.572109819099124
"76","PKM",-0.371433359844429,7.3154239554258,-6.49761432263774,5.31522700474702e-10,6.24361998824283e-08,12.4179959642129,"Metabolism (other)",0.315250924854049
"77","PGS1",0.213884768323139,4.97917892725777,6.48795077755915,5.60957990645616e-10,6.50268407577352e-08,12.3703634626191,NA,0.104507067670328
"79","ELMO2",0.340862283574612,4.68994135907022,6.4783051742945,5.91933905593884e-10,6.77264637439236e-08,12.3047860848626,NA,0.0867759789438522
"78","CTTN",0.307546971338148,6.26568456810178,6.4725313563747,6.11273471302164e-10,6.86141769925566e-08,12.3062353387208,NA,0.204256920327207
"80","ZBTB46",0.205265900936874,7.32363764109612,6.46943069836066,6.21913980644462e-10,6.86141769925566e-08,12.2735450768282,"Development (cell cycle)",0.324279650523236
"82","ADAMTS9-AS2",0.402344491191934,10.2733179541937,6.46910066062883,6.23057225812092e-10,6.86141769925566e-08,12.2133591221502,NA,0.752480835795451
"81","PVR",0.473830596853026,4.87756434841247,6.46005176695849,6.55219274843818e-10,7.03961196509029e-08,12.2230446757053,NA,0.0937658981787046
"84","RASSF3",-0.377267614374015,8.07743516101746,-6.46082068841582,6.52424108432836e-10,7.03961196509029e-08,12.2009377258558,"Development (cell cycle)",0.4142155874623
"83","TPST2",-0.327008056149214,5.10677637091486,-6.45716571551882,6.65815897959116e-10,7.06727477231303e-08,12.2083673620248,NA,0.106102404908494
"85","SLC25A12",-0.241177982776871,7.37740002975142,-6.45049608239923,6.90952728682353e-10,7.24677802344229e-08,12.1700945907854,"Transport",0.341310019524163
"86","CCDC60",-0.378021736203338,8.71426605713128,-6.44157354135853,7.26042798570637e-10,7.52522006518507e-08,12.0890952685307,NA,0.520316072590724
"87","ARID5A",0.673645483641585,4.02404277889382,6.42550235359706,7.93714985311501e-10,8.13096397743526e-08,11.98308898936,NA,0.0678104716323698
"88","FGD4",-0.231021164306558,8.23792999109236,-6.40672064715154,8.8067481343926e-10,8.91809782344814e-08,11.9136440697221,NA,0.468572240364144
"89","PCYT1B",-0.299350456478342,6.04771373856958,-6.39215519181799,9.54491656903041e-10,9.55576306513158e-08,11.882786953098,"Metabolism (other)",0.177560458673854
"90","G3BP2",-0.207242159496311,5.77794832051839,-6.3825279705222,1.00658149295844e-09,9.72975780129631e-08,11.8320611611036,NA,0.152779937530357
"91","MAPK14",0.186844001641588,6.58921689087895,6.38034929460082,1.018751337106e-09,9.72975780129631e-08,11.8151282710436,NA,0.240214401038217
"92","NQO1",-0.662447153159565,4.94192681822742,-6.38096017796694,1.01532451321791e-09,9.72975780129631e-08,11.8072095757113,"Metabolism (other)",0.0865436855553828
"93","AL078604.4",0.71884104151621,7.07961541606757,6.37887094945364,1.0270913456533e-09,9.72975780129631e-08,11.7930805270447,NA,0.2511437089767
"96","POU2AF1",-0.449041715007933,9.28406834959167,-6.38162140884348,1.01162801133958e-09,9.72975780129631e-08,11.7524970091746,NA,0.591603265929855
"94","SLC30A10",-0.508799911365206,6.64498882813609,-6.37517766157558,1.04822081882604e-09,9.81960286549965e-08,11.7825677136089,"Transport",0.21533405133108
"95","COL27A1",0.469378352657234,4.83711924655442,6.37334429221115,1.05886750536035e-09,9.81960286549965e-08,11.7669868633044,"Matrisome/cell adhesion/binding/signaling",0.0894329545607255
"98","EPHA4",-0.42230976113979,8.74297802225626,-6.36464756518965,1.11083433988562e-09,1.01942193066586e-07,11.6769868879466,"Development (cell cycle)",0.515700921302456
"97","WNT9A",-0.605143037097758,5.4355468878763,-6.35983874471405,1.1406356100704e-09,1.03597935306394e-07,11.7118794208297,"Development (cell cycle)",0.13153373149572
"99","PACS1",0.233263203393353,7.76056525883269,6.35436499851124,1.17551319789219e-09,1.05676237483981e-07,11.6463903434233,NA,0.387325228021878
"100","POLR3A",0.269318556462145,5.38193879012834,6.34105027151859,1.26478053798232e-09,1.11427165396242e-07,11.6115773994386,NA,0.12741964280572
"102","TMEM232",-0.313125601362993,9.42688675054156,-6.3422763416403,1.25628985747417e-09,1.11427165396242e-07,11.5392161955026,NA,0.616685192544342
"101","KIAA1257",-0.385021408205258,4.94289670407267,-6.33128511996947,1.33444618744825e-09,1.16400702093258e-07,11.54510156897,NA,0.100256674595358
"103","AC020907.1",-0.593822113673868,5.33918956627447,-6.31746062397983,1.43955071214293e-09,1.24270358088125e-07,11.4862957657856,NA,0.125342440769985
"104","AL117327.1",-0.563113313065831,4.47657357306071,-6.31577901978472,1.45287705823801e-09,1.24270358088125e-07,11.4445632237998,NA,0.0704847252698731
"105","CAPZB",0.232483476921628,7.77708300822329,6.31130855664659,1.4888959408688e-09,1.26126665760136e-07,11.4185433802381,NA,0.394912198858499
"106","GALNT14",1.05204035881004,4.80325004637996,6.2876118885258,1.69495477254601e-09,1.42214776629813e-07,11.3281546557964,NA,0.0854686087161855
"107","EVC2",0.645058098081267,4.80514917736046,6.28379763308583,1.73063846688152e-09,1.42494625170338e-07,11.3033925545463,"Development (differentiation)",0.0995309977289002
"108","SCAI",-0.188302233143723,8.31911223237816,-6.28463003540787,1.72278872141904e-09,1.42494625170338e-07,11.2639756860576,NA,0.47394186521992
"109","CHKA",-0.285010612868014,7.35368063189296,-6.26244079617274,1.94447839048916e-09,1.5581925414026e-07,11.1746226871648,NA,0.332684447669675
"110","FAM177B",0.85209590541576,3.79168384355077,6.26341069858415,1.93422838728855e-09,1.5581925414026e-07,11.1704502182502,NA,0.0614713578412457
"114","ANKRD12",0.218629748754454,8.29447622457461,6.26234158623396,1.94552984738123e-09,1.5581925414026e-07,11.1430606970589,NA,0.486314847771039
"111","HOPX",0.337005642683058,7.30448920912243,6.25856810473756,1.98593899549113e-09,1.5762272567817e-07,11.1627696067772,NA,0.304742048750895
"112","PDP1",0.326332289427068,5.44775035246565,6.25223244005319,2.0556448240477e-09,1.60581659908247e-07,11.1516634808474,NA,0.128080047149799
"113","VEPH1",-0.313541117791213,6.47815858240483,-6.2518726972213,2.05967395796049e-09,1.60581659908247e-07,11.1431953900385,NA,0.214251295371602
"115","ACTN1",0.356283326160814,6.39455810872951,6.24971469349088,2.08400677712063e-09,1.61053506196779e-07,11.1324342961224,NA,0.211565523053679
"116","ANKRD33B",0.528684342247884,5.75382146068451,6.24185214091573,2.17507013884971e-09,1.66629286289269e-07,11.0982607586795,NA,0.136976307994156
"117","FBLN1",-0.363826653131864,9.09354017875009,-6.2396938637217,2.20074235588617e-09,1.67142587546182e-07,11.0073376651004,NA,0.603440629841445
"119","NTRK2",-0.235817094982676,8.04531669811423,-6.23233875168266,2.29048140720749e-09,1.72471292286308e-07,10.9935967065811,"Development (differentiation)",0.420562380373704
"118","CERKL",-0.306675888814857,5.40070829428042,-6.22256640890381,2.4152831722719e-09,1.80327497861995e-07,10.9967811589038,NA,0.122593315709752
"121","XXYLT1",0.393814714514395,6.63563923040579,6.21445191622957,2.52395962455191e-09,1.86857851195818e-07,10.9452854688379,NA,0.226309433991242
"120","OSMR",0.638656363871556,5.70254692959531,6.2126565546919,2.54864477565209e-09,1.87003332259988e-07,10.9463173978735,NA,0.145734344673474
"122","GDAP1",-0.427176243675422,5.34403409389188,-6.21123362599387,2.56837720811107e-09,1.87003332259988e-07,10.9386223103007,NA,0.112403123098218
"126","TOP1MT",0.372138451686211,3.89696645856649,6.19805132639922,2.75845077918591e-09,1.97576840362828e-07,10.7963444963254,NA,0.0530838387154368
"127","AC016152.1",-0.437129538026664,10.9845413602156,-6.19825578345752,2.755400045298e-09,1.97576840362828e-07,10.7678817772352,NA,0.811892269621592
"125","CASC1",-0.320374786833449,7.50191638118363,-6.19429715833011,2.81505951971642e-09,2.00005438457271e-07,10.8137440867401,NA,0.350181323227611
"123","FAM167A",-0.619773721151675,5.94520908448434,-6.19249445747867,2.84264548188042e-09,2.00349653562932e-07,10.8400395057333,NA,0.172046850312828
"124","NAV3",-0.492666053146469,6.56218873377228,-6.19019149584455,2.87827250810944e-09,2.0125064124162e-07,10.8200700075826,NA,0.211838131823618
"128","NCOR2",-0.304180880516522,7.64556845849573,-6.18392165331935,2.97750041234658e-09,2.06549438053334e-07,10.752829568057,NA,0.370168153536331
"129","PPP1R1B",-0.560711971344862,7.10493271674261,-6.17123941893601,3.18857219555298e-09,2.19463445647045e-07,10.7064503230807,"Metabolism (other)",0.304644139967325
"130","GABRA3",-0.270769165679034,7.35040500013407,-6.16485518265929,3.3003069978382e-09,2.25393059309725e-07,10.6674656669302,NA,0.299272595331479
"132","FOXP4",0.295695718986922,4.04278168383655,6.15958954378033,3.39534481091435e-09,2.30099906031965e-07,10.6150732224615,"Development (differentiation)",0.0560479791435093
"131","ELK3",0.579282902481035,4.86723964618187,6.15560288269805,3.46907794824896e-09,2.33302112397507e-07,10.650846450732,NA,0.0937716575189146
"135","TMEM117",-0.293846392834846,9.79752835863481,-6.14994498040945,3.57642117764293e-09,2.38699019507835e-07,10.5315226877327,NA,0.686313695902997
"133","NEDD9",0.411142142791411,6.37331998214043,6.14209890503848,3.73068310471816e-09,2.46151534537201e-07,10.5716980367059,"Matrisome/cell adhesion/binding/signaling",0.202266108394622
"134","HEXB",0.262175389150759,4.39345643546934,6.14143844449875,3.7439620463093e-09,2.46151534537201e-07,10.5513315328426,"Metabolism or Transport (lipid)",0.0673996386973908
"136","CRADD",-0.190945859449043,8.31232215746428,-6.13608944030033,3.85322718674697e-09,2.51458751964747e-07,10.4833975063612,"Development (apoptosis)",0.458938783972908
