"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","FGL2",-1.16649437477735,5.230503135428,-8.84614911061929,5.4701521962125e-16,4.58781664696342e-12,25.2438207741242,NA,0.0948639069083127
"2","CALD1",-0.483091081004627,8.65494718198188,-8.27500311292602,1.99973830977478e-14,5.17151964098107e-11,22.2797692846885,"Transport",0.53208943578769
"3","NR4A2",-1.35320647426119,6.06365112777589,-8.24345506623854,2.43202368575639e-14,5.17151964098107e-11,21.9878450463178,NA,0.13251521433826
"4","BCL6",0.866399083486966,8.23086254999273,8.22042844890935,2.8048599353236e-14,5.17151964098107e-11,21.9517545953689,"Development (differentiation)",0.491651619518937
"5","PRRX1",0.846525599161195,7.09478214264216,8.20514482268471,3.08305689816446e-14,5.17151964098107e-11,21.8215898765139,NA,0.231625760716913
"6","PATJ",-0.627481052806483,8.68244737897203,-8.1545797446937,4.21317853445855e-14,5.88932139475064e-11,21.5531919236766,NA,0.51440067767895
"7","STK3",0.298098456487567,8.42877404715875,8.04334210150619,8.34835861991179e-14,1.00025262493143e-10,20.8914667404784,"Development (apoptosis)",0.501315232171916
"11","AC105402.3",-1.9969179158646,3.19233137914596,-7.98985114219453,1.15805605391425e-13,1.21407701552235e-10,19.5223540293359,NA,0.0774537996834526
"8","AL078604.4",0.89767711390202,6.91139362847401,7.93560925078945,1.61209302564925e-13,1.50229157845781e-10,20.2395254684085,NA,0.22253059586705
"9","XRN1",0.32510691421956,8.32861924393633,7.90027937107182,1.99851789031969e-13,1.67615695461113e-10,20.0430291942202,NA,0.499008002853385
"10","CFLAR",0.455587801690125,8.26660544407429,7.81646856217893,3.32099342185367e-13,2.53210652991697e-10,19.5512338430136,NA,0.483548451815689
"12","CCN2",-1.75073717409656,5.58917322762232,-7.80071414504162,3.65257388429675e-13,2.5528447639664e-10,19.1897937919299,"Development (differentiation)",0.138913038632159
"13","RNF24",0.721929298654926,8.06282972097967,7.74458864490848,5.12278150094542e-13,3.30498218834071e-10,19.1342942096773,NA,0.390166967609621
"14","ATP1B1",-0.586851560079436,7.1548539836013,-7.6800417844845,7.54744268461218e-13,4.52145727113160e-10,18.7585705118128,NA,0.254486279230478
"15","SLC25A37",0.488477674000483,8.16213228551459,7.63101920508693,1.01191099278153e-12,5.6579316643058e-10,18.4625394734542,"Transport",0.436690519182327
"16","NPAS2",0.637304579609539,7.19000055655495,7.60271847735183,1.19803200053455e-12,6.27993399280204e-10,18.310376140448,NA,0.278884950623063
"17","C8orf34-AS1",-1.69793264682336,5.88490069662413,-7.5400140262976,1.73954572925787e-12,8.5821000184034e-10,17.8908612865863,NA,0.1076372634254
"18","TANK",0.374185010132063,7.34571653776844,7.47493794179715,2.55738281034078e-12,1.19159831279601e-09,17.5796623079358,NA,0.320236741790945
"19","DNAJC1",0.488221070430289,8.28304659139184,7.45543127046029,2.86955783696371e-12,1.26668324097972e-09,17.4599400290155,"Metabolism (other)",0.474263804364787
"20","MAN1A1",0.562063135740103,6.90732212098705,7.40237832913798,3.92199465278312e-12,1.45025708626732e-09,17.1593648855679,"Metabolism (other)",0.236240219353976
"21","CYP1B1",1.04899939396758,7.60662990058498,7.39147135964715,4.18157771950005e-12,1.45025708626732e-09,17.1040825846075,NA,0.27522905102655
"22","MARCH3",1.05467658120993,6.32513486279866,7.39411656322931,4.11710503495938e-12,1.45025708626732e-09,17.0861367707532,NA,0.152366303305914
"23","SLC24A3",0.566273460866951,10.0256391461889,7.39797238048152,4.02488075043381e-12,1.45025708626732e-09,17.0847108989174,"Transport",0.664927885151252
"24","SLC16A7",1.05629806783392,6.19073623827981,7.38477710236256,4.34922933616904e-12,1.45025708626732e-09,17.0196388938269,"Transport",0.174992755077019
"25","CUX1",0.410217920058372,9.42788981973498,7.38111393087985,4.44376316758172e-12,1.45025708626732e-09,17.0018446798181,"Development (differentiation)",0.698087340333044
"26","SLC16A9",-0.871624115872078,5.94673145602758,-7.37912837337351,4.49584884260764e-12,1.45025708626732e-09,16.9783417120262,"Transport",0.129918188100493
"27","ARMC9",0.385475495876183,7.65066041198572,7.35199429751646,5.27106938301262e-12,1.63735033019729e-09,16.8769728937418,NA,0.351423348714862
"28","SPECC1L",0.266254990089804,7.84622114941945,7.34539658405738,5.47869291324529e-12,1.64106419512101e-09,16.840732216299,NA,0.407822287612296
"29","CAB39L",-0.610954958196126,7.37084297139554,-7.30888201735628,6.78249452005667e-12,1.96154419102467e-09,16.6392397933012,"Cilia",0.270859805167302
"30","SFRP2",-1.3238019343092,6.28074899896293,-7.28540616379752,7.77795161930175e-12,2.17445600770279e-09,16.4701022627482,"Development (differentiation)",0.164013910252123
"36","TEF",-0.779376709990145,4.80154864478359,-7.27647369527579,8.19348258658049e-12,2.21673349850486e-09,16.1667000242978,NA,0.0764952406429033
"31","PER3",-0.708961043948312,6.46773269876032,-7.26835613922263,8.59007147802685e-12,2.22697022630197e-09,16.3842195827029,NA,0.192280255912972
"32","RASA3",0.54105825569945,6.97089962863283,7.26398306409176,8.811515255104e-12,2.22697022630197e-09,16.3833067625421,NA,0.252457700795827
"33","NPNT",-0.988357804393743,7.29453324254765,-7.25981349063433,9.02789885468785e-12,2.22697022630197e-09,16.3605043415682,NA,0.288994404690252
"34","ITPKB",-0.435474882621505,8.04277722400074,-7.25169130662737,9.46457766294827e-12,2.23363210604273e-09,16.3012317038166,NA,0.403218975010589
"35","DENND4A",0.348704846353995,9.181291854509,7.24947080361394,9.58754689609374e-12,2.23363210604273e-09,16.2605394865401,NA,0.652243696917007
"37","ELF2",0.34205304645398,8.62738276993723,7.22630386062197,1.09684004213229e-11,2.48626957658473e-09,16.1517084239915,NA,0.533984261798078
"38","ZNF10",-0.667254609303474,6.46649829770219,-7.21036466882499,1.20306486499665e-11,2.65529079545446e-09,16.07527403949,NA,0.178693238814954
"39","DISP1",-0.380217634582086,7.58525110112186,-7.19039466523241,1.35057603609701e-11,2.904431080704e-09,15.974423369928,NA,0.321139570654718
"40","CBFA2T2",-0.353733564323365,7.70548524337021,-7.16252812811242,1.58665982877425e-11,3.2456868253487e-09,15.8150552017591,NA,0.360206424574779
"41","SLC38A2",-0.650837695169692,8.93184966174017,-7.16295835366831,1.5827225297677e-11,3.2456868253487e-09,15.7914503399929,"Transport",0.519360663412024
"42","RAB27A",0.392495800654986,6.3117239965729,7.14570762369383,1.74840969817438e-11,3.49140765204488e-09,15.7093835977008,"Transport",0.169508905682249
"44","TMEM30B",-0.874637850441442,4.35614100635211,-7.12215824053195,2.00251830866076e-11,3.90584210575297e-09,15.2271495540638,NA,0.0518179183664371
"43","KCNMA1",-0.544316719669135,12.2360108418046,-7.09651309018792,2.32077199653267e-11,4.42370789429988e-09,15.3209327549255,"Transport",0.868153547783054
"45","MROH7",-0.533845404355352,6.81226753576521,-7.05302362866678,2.97828912058031e-11,5.55086907873490e-09,15.2150149098878,NA,0.226398270135313
"49","CCDC69",0.693516918896458,4.3341104489731,7.03599070749984,3.28318757989609e-11,5.98610744186707e-09,14.8172779079443,NA,0.0568224882409327
"46","PRMT9",-0.672093412281576,5.61787744926834,-7.01913089247118,3.61524768895664e-11,6.45129412069773e-09,14.9444977622881,"Metabolism (other)",0.116253148754988
"48","LHFPL6",0.452557244312413,9.26393174449887,7.00171834689066,3.99294359403604e-11,6.97683706732922e-09,14.8707846165417,NA,0.55148353730578
"47","ST3GAL1",0.649520388778734,7.36601416705261,6.9960445664355,4.12422207717241e-11,7.05915317576428e-09,14.8981742899556,"Metabolism or Transport (lipid)",0.289640874740855
"50","OSMR-AS1",0.474964672508017,7.90274781780774,6.969068523149,4.80894592328804e-11,8.06652589172336e-09,14.7419978753725,NA,0.394179540337502
"51","PRELID2",-0.525965320466323,6.87313857684572,-6.95639611193407,5.16816997501138e-11,8.49910619223930e-09,14.6852308679463,NA,0.203794110434918
"56","MYL9",-0.844547765990435,3.96846032744058,-6.93426739662738,5.85993976196375e-11,9.45140668915192e-09,14.0738224627701,NA,0.0576695869279297
"52","OGN",-0.809653382577633,5.95955773041155,-6.89892184894545,7.15862863121111e-11,1.13281921377297e-08,14.3379041547716,NA,0.150861588532959
"53","CNTN4",0.569698554266303,7.95241695049876,6.8856148764002,7.71781619872943e-11,1.19869119368044e-08,14.2810602874595,"Matrisome/cell adhesion/binding/signaling",0.311687732673488
"54","GRAMD1A",0.505507620535692,6.51643943138421,6.87689005533731,8.10758856606681e-11,1.21425616613576e-08,14.2499344676273,"Metabolism or Transport (lipid)",0.211183931875432
"55","AMOTL2",-0.806202938604989,5.39437683107292,-6.87905312130416,8.00918479129332e-11,1.21425616613576e-08,14.1490853694513,NA,0.128424619362893
"57","ZMAT1",-0.53799948497388,6.35302894622464,-6.81045337561077,1.17845917151949e-10,1.73398895991825e-08,13.8920198656283,NA,0.18297331639136
"58","NR4A1",-0.970653434395827,6.64913804975555,-6.79650052937151,1.27441473116489e-10,1.84284764659999e-08,13.8194735593043,"Development (apoptosis)",0.183619786441963
"59","EGR1",-1.38850896375971,4.7366707957429,-6.7884949549278,1.33290210834873e-10,1.89475423435945e-08,13.5871081828633,NA,0.0539245190485744
"60","ARRDC4",-0.911423182954667,4.48897788063265,-6.77650955051387,1.42543932340033e-10,1.9925266008931e-08,13.3679251062107,NA,0.0620388327871776
"61","CPQ",-0.395842721640416,8.15915852960416,-6.71145714236157,2.0494829532239e-10,2.77973467940504e-08,13.335976235633,NA,0.41843331327047
"62","C3",0.641932993039365,8.07443665743921,6.71098384609123,2.05488911557306e-10,2.77973467940504e-08,13.3223347950625,"Inflammation/Immune/Stress/Toxic/Detox",0.363817740029871
"63","LINC00607",-1.16293132520206,5.11141718991047,-6.69696806979331,2.2215024885745e-10,2.91120958932412e-08,13.1549744071501,NA,0.0776098441784257
"64","KAZN",0.547432493776357,12.0912516909326,6.69887148486131,2.19811843057987e-10,2.91120958932412e-08,13.1245289942368,NA,0.921498472993156
"66","ENKUR",0.812436716037277,4.81025528775429,6.64580818789494,2.95041196466774e-10,3.80693925348744e-08,12.8969056968222,NA,0.0653714973583896
"65","RDH10",1.1418066210123,7.88547859974728,6.63215369147191,3.1818519866555e-10,3.99212625788695e-08,12.9162049119555,"Metabolism (other)",0.287868655119374
"67","CPLANE1",-0.322875246006279,8.4896797456705,-6.63174024440889,3.18913150445244e-10,3.99212625788695e-08,12.892179763858,"Cilia",0.505260928687666
"68","CPD",0.374855828134434,7.08926192081961,6.61939753799662,3.41415704045513e-10,4.21096104386724e-08,12.8735584577626,NA,0.268976125192269
"69","LINC01725",-0.564505828546864,6.54295633696919,-6.60126945745494,3.77324373728778e-10,4.52088503209037e-08,12.7798373509038,NA,0.164983615328028
"70","CACNA2D3",-0.614398177366265,10.278429514273,-6.60227846621924,3.75231532030626e-10,4.52088503209037e-08,12.6759991807706,"Transport",0.746706346552531
"71","ETNK1",-0.345090123459225,7.0367251869766,-6.56999791025093,4.48197143989204e-10,5.14935540635268e-08,12.6126018154158,NA,0.265587730444281
"72","NEDD9",-0.756818414171874,5.90235517719509,-6.57017538288458,4.47760145348969e-10,5.14935540635268e-08,12.600734861095,"Matrisome/cell adhesion/binding/signaling",0.130419759691478
"75","ZFHX3",0.405728058946913,9.67235832144414,6.57267295783004,4.41654521036774e-10,5.14935540635268e-08,12.5206831111557,NA,0.728070175438597
"74","LONRF1",-0.468795334146465,5.58943659398064,-6.56316898202518,4.65334690374161e-10,5.27400276779472e-08,12.522253670558,NA,0.114258008426403
"73","PLSCR1",0.701427183006821,6.11050191871022,6.55479313918482,4.87236124962681e-10,5.448599173416e-08,12.5270702308875,"Metabolism or Transport (lipid)",0.162553779620589
"76","ARNTL",0.549710677384669,5.85076229618323,6.54977747356232,5.00833251267241e-10,5.51136634877916e-08,12.4857270625634,NA,0.143471767092445
"77","USP25",-0.454558513902465,8.15971810372216,-6.54790961612231,5.05991664309044e-10,5.51136634877916e-08,12.4650111125711,"Metabolism (other)",0.428152656100225
