"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","PRELID2",-0.552657188764424,6.86529808113117,-9.27646832760342,2.8646434812867e-17,2.46244753651405e-13,28.59227010713,NA,0.208063803990553
"2","ATP1B1",-0.605316926034189,6.89423622558551,-8.91644902097859,2.99069440683286e-16,1.28540045605676e-12,26.3437929522498,NA,0.215646835380939
"3","FGL2",-1.15039687685737,4.8119015606897,-8.81890630437613,5.61012293644537e-16,1.60748722538948e-12,25.1830157145192,NA,0.0718355561473715
"4","DNAJC1",0.437128262088313,8.29202396241266,8.51660571730051,3.86831870713621e-15,6.85356245201543e-12,23.8738808785124,"Metabolism (other)",0.479181705411145
"5","SLC16A9",-0.885682002591562,5.63445939145304,-8.51185805689875,3.9864835109443e-15,6.85356245201543e-12,23.7034399780507,"Transport",0.108194860078353
"9","AC105402.3",-1.98240127764872,3.11573992371611,-8.47602342780922,5.00171092627214e-15,7.16578452037256e-12,22.2630923724829,NA,0.0736997764337326
"6","PRRX1",0.756166015914753,6.85888577048824,8.35079178097735,1.1014780420218e-14,1.26423250862406e-11,22.819152292228,NA,0.209871957501384
"7","CUX1",0.367929176252277,9.31911634637169,8.34029050980376,1.17657748592281e-14,1.26423250862406e-11,22.7795022819744,"Development (differentiation)",0.671378611926805
"8","ITPKB",-0.430509820428686,7.86842692431023,-8.3089791482256,1.43196151373487e-14,1.36768235245166e-11,22.5992496955834,NA,0.364504124412175
"10","ST3GAL1",0.69596328604073,7.51268464504966,8.1011500185271,5.2284336425856e-14,4.08578323560598e-11,21.3430161614495,"Metabolism or Transport (lipid)",0.298135078878945
"11","C8orf34-AS1",-1.72043506547818,5.5010303775637,-8.11545686289825,4.78486548899435e-14,4.08578323560598e-11,21.3116979365267,NA,0.0841211883353074
"12","NR1D2",-0.453862589800853,5.78598101557295,-7.91274218576242,1.66849799013876e-13,1.19520072693606e-10,20.1263387662167,"Metabolism or Transport (lipid)",0.141954067294147
"13","GRAMD1A",0.468590790314348,6.33302514219735,7.8746870602128,2.10575266103322e-13,1.39238845186474e-10,19.9676186982445,"Metabolism or Transport (lipid)",0.194467610924611
"14","ELF2",0.336766112140293,8.51933632876461,7.8275385638446,2.80740724798637e-13,1.72374805026363e-10,19.702952097261,NA,0.522437222732274
"15","RNF24",0.666550894046095,7.78411689095655,7.77141422123229,3.9490145514604e-13,2.26304860562357e-10,19.3819535649478,NA,0.343493100282436
"16","NPAS2",0.547076695578744,7.32494570483814,7.7364401029713,4.88153492846142e-13,2.51551720906387e-10,19.1778883099373,NA,0.297280060552118
"19","MICAL1",0.694039691866308,4.40689979158711,7.73331233169239,4.97484790066144e-13,2.51551720906387e-10,18.8048822015718,NA,0.0652547183695782
"17","ZMAT1",-0.595304836770306,6.52378299150627,-7.69729244122913,6.18527832749196e-13,2.94058007744719e-10,18.9429921947529,NA,0.207320919214785
"18","PATJ",-0.521982135036665,8.72683680242593,-7.68908046628196,6.49965349831278e-13,2.94058007744719e-10,18.8773307181715,NA,0.535781115308332
"20","SLC25A37",0.450079053323867,8.16470412955277,7.66475825329655,7.52646722813352e-13,3.23487561465179e-10,18.7336686510941,"Transport",0.430789069782111
"21","BCL6",0.787779674234008,8.21328036129038,7.61720124234793,1.00194431696843e-12,4.07082910858268e-10,18.4708406806757,"Development (differentiation)",0.488299564781655
"22","AL078604.4",0.838731879050853,6.86792809717155,7.61069581216394,1.04185947404396e-12,4.07082910858268e-10,18.4442468664754,NA,0.216459803626119
"23","STK3",0.248181351148286,8.49862904311519,7.59536189065524,1.14226987197843e-12,4.2691094867507e-10,18.3397328573499,"Development (apoptosis)",0.518316314730844
"24","RASA3",0.488579061348128,6.89098682834481,7.57703783400615,1.27486821982757e-12,4.56615300734909e-10,18.246897261842,NA,0.238543104837862
"26","ABHD5",0.510627925181943,4.99524050205951,7.56803441043895,1.34548438126602e-12,4.62631349654507e-10,18.036369317697,"Metabolism or Transport (lipid)",0.0826984939062423
"25","MAN1A1",0.513315021717054,6.9490380266208,7.54575685347452,1.53726445396917e-12,5.08243278704577e-10,18.0670014732116,"Metabolism (other)",0.247555839004254
"27","OSMR-AS1",0.470269426968068,7.74721987097017,7.5209894646283,1.78230038980591e-12,5.67431635213762e-10,17.9214133866031,NA,0.370293018985612
"28","CYP1B1",0.942605915835861,7.25156861563262,7.51211149265431,1.87922209583295e-12,5.76921183420715e-10,17.8738596967592,NA,0.228402026813935
"29","AL137139.2",-0.416926904320017,8.30377046549277,-7.44245142758612,2.84395417696788e-12,8.21067339843166e-10,17.452214756975,NA,0.444770721929818
"30","SFRP2",-1.32609787141743,5.8702226066192,-7.44117805721473,2.86552119535772e-12,8.21067339843166e-10,17.4219765379028,"Development (differentiation)",0.125470435288429
"31","PHC2",0.683083119183088,7.27464047831305,7.40571115817989,3.53564422120101e-12,9.80399926627223e-10,17.2595812344262,NA,0.302914771492848
"32","NPNT",-1.09227763833046,6.70701437127801,-7.37480546648179,4.24429126463516e-12,1.14012274096262e-09,17.077450574145,NA,0.204917056213951
"33","NR4A2",-1.05799110136893,6.30582082269679,-7.36822832395509,4.41230948607969e-12,1.14933976794973e-09,17.0441590824836,NA,0.127236538717613
"34","LINC00607",-1.06340904139398,5.69940665215396,-7.34030117666246,5.20196809824993e-12,1.31517993448695e-09,16.8360783107976,NA,0.10631662309811
"35","CPLANE1",-0.329418011591202,8.32058997619078,-7.31999333303757,5.86231506392495e-12,1.4383265187969e-09,16.7538156190779,"Cilia",0.482847070861396
"36","TFPI",0.642717459919593,6.37039778517911,7.31537417278097,6.02370342911685e-12,1.4383265187969e-09,16.7395134671345,NA,0.159986543973873
"37","MARCH3",0.979583864427038,6.56183357738581,7.29324269642106,6.85988880755224e-12,1.55177905762418e-09,16.6228108881867,NA,0.163252433648475
"38","GBE1",0.430579731142251,7.56710881080056,7.2934627819138,6.85103422191416e-12,1.55177905762418e-09,16.6193055755474,"Metabolism (other)",0.315796113170786
"39","KCNMA1",-0.632859428904132,11.6327021333066,-7.27650109828005,7.56762839159434e-12,1.66798291420884e-09,16.4358749091093,"Transport",0.698339722609628
"40","ARNTL",0.533224275023807,5.86913745459259,7.25592163251692,8.53698165784839e-12,1.83459735827162e-09,16.3862568614878,NA,0.148016287398291
"41","RAB27A",0.355348709742823,6.19969324692998,7.24290395021798,9.21240802716606e-12,1.90513466022579e-09,16.333365906886,"Transport",0.162614674076826
"42","TANK",0.29979107457641,7.64222967555268,7.24112938448361,9.30847553856251e-12,1.90513466022579e-09,16.3231831476536,NA,0.365772635208533
"43","BICD1",0.333723055332997,7.38915752202451,7.23130297520898,9.85860687700718e-12,1.97080429569195e-09,16.2723046473633,"Cilia",0.320708964376572
