"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","MAF",-1.04212071975813,8.2307639975697,-8.63716484470541,4.23300396659496e-14,3.21115680905893e-10,21.642359432156,NA,0.359500891265597
"2","TNFAIP3",1.49329744682145,6.24276776872427,7.89940638991834,1.99800028344773e-12,7.57841507511724e-09,17.4663004479502,NA,0.144884135472371
"3","FGF13",-1.46245930792584,7.18024119185487,-7.72729551808675,4.85138938397882e-12,1.22675466222878e-08,17.0265527075838,"Development (differentiation)",0.168983957219251
"4","LINC01374",-1.22767398560399,7.56549798308707,-7.50091065695322,1.5451347552022e-11,2.93034806324096e-08,15.920535014182,NA,0.223244206773619
"5","LPAR6",-1.00517480867562,8.43390426612572,-7.1797367496952,7.84744318404053e-11,1.19061407988263e-07,14.3505668220155,NA,0.410124777183601
"6","LINC02798",-0.962175262431801,8.33355622995213,-6.65903221154623,1.03683762273876e-09,1.3109083676827e-06,11.8391421368051,NA,0.333903743315508
"7","IFI44L",-2.10803577165127,4.40152271641828,-6.61382341253826,1.29274455611404e-09,1.40096574324016e-06,11.2565419386839,"Inflammation/Immune/Stress/Toxic/Detox",0.0503386809269162
"8","TBC1D4",-0.809685557707595,7.23591522497545,-6.45195366147333,2.83364687915076e-09,2.38844946947085e-06,10.9173713985603,NA,0.220891265597148
"9","TNK2",-0.853207508061637,6.24352612360093,-6.45992525027044,2.72673325518092e-09,2.38844946947085e-06,10.8383307207052,NA,0.155222816399287
"10","TPCN1",-0.783867792206787,7.50479290574896,-6.40345474583406,3.57914513960808e-09,2.71513950290669e-06,10.6938194467436,NA,0.281711229946524
"11","A2M",-1.04539841319421,5.91000656835483,-6.2801625528439,6.45891986158308e-09,4.0831138391641e-06,10.1283965465532,"Metabolism (other)",0.108948306595365
"13","SFMBT2",-0.539178607709082,10.21052250857,-6.29344900472643,6.06227079370189e-09,4.0831138391641e-06,9.99508034975469,NA,0.683921568627451
"12","RNF150",-0.945062560993604,7.32163468504315,-6.25664907919643,7.22451030816049e-09,4.21577963059273e-06,10.0064845377994,NA,0.219251336898396
"14","AC093895.1",1.54838297103502,5.8419736738153,6.16106210620051,1.13694182261066e-08,5.74989377754963e-06,9.5631977327478,NA,0.0688770053475936
"15","NFIA",-0.405008049908756,9.47308250136086,-6.17046657858312,1.08748494721304e-08,5.74989377754963e-06,9.50185817080065,NA,0.630089126559715
"16","GNG7",-0.634256777247131,7.57156637899034,-6.11379531792414,1.42106151987809e-08,6.73760793112198e-06,9.36730579963153,NA,0.273440285204991
"17","AC008014.1",-0.694880367444058,7.18215886011931,-6.08299132861314,1.64271855469218e-08,6.94075499772472e-06,9.23238257547293,NA,0.224313725490196
"18","GMDS-DT",-0.595332731234506,8.25715799106157,-6.08245084385621,1.64689678300877e-08,6.94075499772472e-06,9.20231626620188,NA,0.367629233511586
"19","PLXDC1",-1.51568452554945,4.9125386160505,-6.03868830361256,2.02228627483286e-08,8.07424404256952e-06,8.72790105898348,NA,0.0663814616755793
"20","BLNK",-1.07720973493884,6.80516091859854,-5.87212434630163,4.3901257310296e-08,1.58588065693288e-05,8.31260186514477,NA,0.196862745098039
"21","P3H2",-1.22225339352107,5.50924810570997,-5.87366496353264,4.35897020250611e-08,1.58588065693288e-05,8.20103693144832,"Matrisome/cell adhesion/binding/signaling",0.0833511586452763
"22","PSD3",0.800145503605542,8.66286452550182,5.85928875621231,4.65834242044831e-08,1.60628116370549e-05,8.18840467560162,NA,0.40855614973262
"23","C6orf62",-0.627453317921117,7.38131080593627,-5.84569573728084,4.95993379031709e-08,1.63591555362372e-05,8.18535818338901,NA,0.274081996434938
"25","HLA-DMA",-0.953998384035649,5.46245193559855,-5.79930919490672,6.14067649906806e-08,1.9409654967471e-05,7.83224506953307,"Inflammation/Immune/Stress/Toxic/Detox",0.0869162210338681
"24","LGMN",-1.03629532399797,7.40570869791395,-5.76487837521752,7.19149414029975e-08,2.09750570097243e-05,7.83345747753063,NA,0.203992869875223
"26","CCDC26",-0.963831841199219,6.87583028575431,-5.76108800309609,7.31743853311526e-08,2.09750570097243e-05,7.81594593635125,NA,0.167130124777184
"27","SRGAP3",-0.742181910032964,6.93352946312941,-5.74109549040672,8.01841093174276e-08,2.09750570097243e-05,7.74405336064152,NA,0.202923351158645
"28","FGD4",0.414471216301418,9.96727776755727,5.74319133600342,7.9419408252622e-08,2.09750570097243e-05,7.53777964641812,NA,0.675294117647059
"29","MEF2A",-0.633931076565421,10.1073586123835,-5.75368094123477,7.56983497450119e-08,2.09750570097243e-05,7.51096691095919,"Development (differentiation)",0.653119429590018
"30","AC105402.3",-1.74549162168857,4.13257623596786,-5.73358662888453,8.29835965410591e-08,2.09837854453492e-05,7.27662479695097,NA,0.0651693404634581
"31","PLXNC1",0.690728013569503,7.43822162540269,5.61075768997116,1.45009221221385e-07,3.54851597479169e-05,7.17388196762536,NA,0.262103386809269
"32","LINC01357",-0.961392015371025,5.3435919927435,-5.5990538703501,1.5288123494841e-07,3.62424077599574e-05,7.01774890369599,NA,0.0773618538324421
"33","MXD1",1.13347608755317,6.91425599741236,5.54883828725522,1.91681041922987e-07,4.40634055765994e-05,6.92582536954226,NA,0.182245989304813
"34","TIMP3",-0.895130464464228,6.77046609640252,-5.53515918355311,2.0382491560763e-07,4.50773448140139e-05,6.86659510249563,NA,0.183814616755793
"35","RNF135",-1.00272570063801,5.30762685675023,-5.53066562717035,2.07976149286908e-07,4.50773448140139e-05,6.78970778130803,NA,0.0869875222816399
"36","GAS6",-0.717521567977446,6.36028545945478,-5.51127105962969,2.26863135545917e-07,4.65130742230088e-05,6.76435785217479,NA,0.15650623885918
"37","OTULINL",-0.793356811753155,6.17475766087125,-5.51187065670312,2.26254842060912e-07,4.65130742230088e-05,6.75333282716272,NA,0.137967914438503
"39","MEF2C",-0.467605385300504,9.45567265298284,-5.38625239928398,3.95759226071323e-07,7.90060391836067e-05,6.00748165071532,"Development (differentiation)",0.555294117647059
"38","MIR924HG",0.887382584979937,4.87412444069464,5.37448756046768,4.16890119098417e-07,8.10904729097587e-05,6.1212096383275,NA,0.0668092691622103
"40","CSF1R",-0.635443584214999,7.68218865051219,-5.32822873430467,5.11198696537549e-07,9.51095786780757e-05,5.9571715070291,"Inflammation/Immune/Stress/Toxic/Detox",0.316292335115865
"42","EPB41L1",-1.0278321840393,4.89983197559199,-5.32696932183563,5.14038060348155e-07,9.51095786780757e-05,5.82927229321013,NA,0.0568983957219251
"41","RNF217-AS1",-0.963558529206669,5.19752663318168,-5.31093528484151,5.51561845915206e-07,9.96225753122084e-05,5.86825540398107,NA,0.0698752228163993
"44","PALD1",-0.664197800154035,7.75966049322962,-5.29200188579412,5.99324351945413e-07,0.000105731965903672,5.76289956493152,NA,0.296827094474153
