"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"2","STAC2",1.89149079984815,5.66753938704304,4.6093301579352,4.86204869753911e-05,0.311073875668552,0.973367792824714,NA,0.0784379172229639
"1","ITGA8",-0.856753321510348,9.06142394707467,-4.29043808746135,0.000126755983600983,0.34438898149872,1.06397597374255,"Matrisome/cell adhesion/binding/signaling",0.399532710280374
"3","METAP2",-1.0943865573718,5.97592748270507,-4.20900664393426,0.000161482798452041,0.34438898149872,0.11029808058193,"Metabolism (other)",0.101802403204272
"4","BNIP3L",0.797360262860935,7.40818900630018,3.92054665446557,0.000376867011440089,0.398127321349198,0.0351068946129987,"Development (apoptosis)",0.220627503337784
"5","PDK1",1.07589735684548,6.27565005322983,4.02401942669015,0.000278623804191402,0.398127321349198,-0.00802260814445788,NA,0.108144192256342
"6","LDLRAD3",0.77323372862511,7.74493331145467,3.85220543077139,0.000459459266562591,0.398127321349198,-0.104937577667077,NA,0.214619492656876
"7","KIF1B",-0.613693451477012,7.8421975002392,-3.83123507162488,0.000488155025000316,0.398127321349198,-0.157500496258477,NA,0.279038718291055
"8","ASPH",-0.674896968297096,7.4128826757239,-3.76268767469024,0.000594612890304555,0.398127321349198,-0.359226342083769,NA,0.244993324432577
"9","MTSS1",-0.719057346656444,7.16480423593804,-3.72368053900286,0.000664902909303423,0.398127321349198,-0.50575478267054,NA,0.184913217623498
"10","ATR",-0.70213363476863,6.89256467642254,-3.67128125497703,0.00077209118266225,0.398127321349198,-0.667282216984281,NA,0.179238985313752
"11","MDGA2",1.20172136305228,6.26294011154837,3.71071461408161,0.000690000565609789,0.398127321349198,-0.683603129543988,NA,0.112817089452603
"12","ZBTB7C",0.830492707080486,8.533048237921,3.58501759788367,0.000985869794901134,0.398127321349198,-0.727209304688704,NA,0.288384512683578
"13","CRY1",0.96896350996323,6.20883971778222,3.69165684808389,0.000728560850474841,0.398127321349198,-0.768729123986097,NA,0.107142857142857
"14","PHACTR3",1.02993096294621,6.51251761257932,3.58101502492286,0.00099706344217319,0.398127321349198,-0.904730428137249,"Matrisome/cell adhesion/binding/signaling",0.0881174899866489
"15","ADCY3",0.764480193347809,8.04831183806779,3.51192012726249,0.00121072610807912,0.398127321349198,-0.910961854417485,NA,0.232309746328438
