"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","FRG1-DT",1.71676948949069,5.72644501956979,5.96468527735542,2.91205524014778e-07,0.00101279832887474,6.62337467930372,NA,0.14963376351587
"2","PCNT",1.437677983436,7.0288335251932,5.82705044636887,4.71295000085948e-07,0.00101279832887474,6.20410213929777,NA,0.279037321241716
"3","C1orf21",-1.22326932040283,7.46322923828681,-5.75557381056451,6.04863969524529e-07,0.00101279832887474,5.98632114556152,NA,0.295430763864667
"4","NRIP1",-1.22175043208071,6.84339386969483,-5.74107500770427,6.36236598476222e-07,0.00101279832887474,5.93530427799266,NA,0.232996163236833
"5","ZDHHC14",-1.11518222643594,8.25206857881706,-5.7188480490129,6.8749745143664e-07,0.00101279832887474,5.84952057818625,NA,0.411580048831531
"6","MAGI2",-0.827890155323853,10.9012347900201,-5.73879689590809,6.41310846403138e-07,0.00101279832887474,5.82247053121686,"Matrisome/cell adhesion/binding/signaling",0.881060341820719
"7","HSPA1B",-1.63488505002606,5.885710115519,-5.54106018551212,1.27577790454496e-06,0.00161094298546756,5.27066583326338,"Metabolism (other)",0.181374258807115
"8","MAP1A",1.28646810230528,6.52385083388692,5.29577506788779,2.97769760080078e-06,0.00256581683548837,4.48871859339197,NA,0.227066620160446
"9","LINC02137",2.38749298267002,4.30165301734871,5.36219962866244,2.36863497820356e-06,0.00256581683548837,4.48870115369902,NA,0.128705964422742
"10","ANKRD18A",2.07456232336587,5.60273952512337,5.28044956777535,3.13888527104254e-06,0.00256581683548837,4.38260910279835,NA,0.154865713289152
"11","AHI1",0.839401381401977,8.86026575067667,5.27546756702146,3.19311971833602e-06,0.00256581683548837,4.35783590888783,NA,0.532263690268573
"12","AHSA1",-1.71253741125381,4.77614788867712,-5.18556589181271,4.34727108180089e-06,0.00320212742433651,3.97637072064894,NA,0.0753400767352633
"13","GNG7",1.32079216776583,7.92641403496815,5.10679074729519,5.69143484983161e-06,0.00386973789520474,3.82565092780354,NA,0.407045692361353
"15","AP003464.1",2.75998878905732,3.55481036318425,5.05006284636922,6.90598641692928e-06,0.00436014385280271,3.33256566972178,NA,0.0512731077781653
"14","SEC62",1.37248371239116,7.07278604157332,4.99382647800146,8.36142464922556e-06,0.00492710883163365,3.51202484428277,NA,0.3170561562609
"17","LINC02246",-1.87017279597986,4.62392130186641,-4.9634547661578,9.26916145064928e-06,0.00512063237889306,3.19198985160487,NA,0.0655737704918033
"16","MICU2",1.13460746842703,6.7591792595379,4.91664518957846,1.08615118633849e-05,0.00555472717302081,3.28618156116584,NA,0.259853505406348
"18","MIR181A1HG",-1.55948904375932,6.13903466638223,-4.86541114365399,1.29137704882075e-05,0.00555472717302081,3.11927350251902,NA,0.137077084059993
"19","CFAP161",-1.68309246277132,6.68321746625733,-4.86285912039886,1.3025414257571e-05,0.00555472717302081,3.1099733227353,"Cilia",0.215556330659226
"20","FKBP4",-2.04981046715062,3.90768307023879,-4.90211480947113,1.14084867274732e-05,0.00555472717302081,3.06768427961239,"Metabolism (other)",0.0530170910359261
"21","TRIM9",-0.933085226743246,8.61815805616524,-4.85897604034314,1.31971117358793e-05,0.00555472717302081,3.0051918020959,NA,0.458667596791071
"22","MMP16",-1.17207456998619,8.3387423438696,-4.8427879301319,1.3937202579212e-05,0.00559958789080249,2.97470866328491,NA,0.381932333449599
"23","TRPC4",2.2940094659867,5.42382424196452,4.80724238882012,1.57084303201131e-05,0.0060368180695426,2.81987127008049,"Transport",0.0990582490408092
"24","DCAF5",-1.07024078101639,6.84121246078992,-4.6960203434662,2.28038734451051e-05,0.0083984765575535,2.59042591457006,NA,0.232647366585281
"26","GPC5",1.91832027308982,8.18238681637589,4.68222493282438,2.38786768630767e-05,0.00844254499170941,2.48324820179943,NA,0.327171259155912
"25","ZNF862",1.36916931927941,5.25542019710024,4.65966442015212,2.57443848203174e-05,0.00865201647256155,2.48644250851476,NA,0.12521799790722
"27","PCDH10",1.68893628884668,5.40397998367312,4.65178806871583,2.64288318541873e-05,0.00865201647256155,2.41859586728015,"Development (differentiation)",0.106382978723404
"28","TMEM63B",1.28921403032373,5.70042436733363,4.61123478890371,3.02452754559975e-05,0.00954778534841293,2.34583368468088,NA,0.156260899895361
"29","WDR17",1.02600844012828,7.16844681223632,4.58504034716788,3.29922408240469e-05,0.0100558074704742,2.24582543388473,NA,0.257411928845483
"33","GLI3",1.99265329138913,4.1285882179827,4.57424081200115,3.41946205079493e-05,0.0100748750223255,2.0762574262983,NA,0.0718521102197419
"30","UGDH-AS1",1.29763852591444,5.15968352634215,4.55827876960814,3.60507360165856e-05,0.0100845103599705,2.16449826975911,NA,0.0997558423439135
"31","USP42",1.56808598217584,5.69440207257335,4.54515771956193,3.7650055648719e-05,0.0100845103599705,2.13984778949386,"Metabolism (other)",0.140216253923962
"32","ARHGAP5",-1.01310957994823,7.48789695363195,-4.55139929446956,3.68807949797637e-05,0.0100845103599705,2.10214220980798,NA,0.309033833275201
"34","PANK3",-1.22239182833231,5.74327032666443,-4.45139735159372,5.12817043697707e-05,0.0116453965524623,1.86035756618113,"Metabolism (other)",0.125915591210324
"35","MOB4",-1.37681398110433,5.81373021249665,-4.44830296589571,5.18054788168972e-05,0.0116453965524623,1.85469818231352,NA,0.144053017091036
"36","CHD5",1.25216255336034,7.30056250749244,4.45274615338256,5.10550208282106e-05,0.0116453965524623,1.83869059485453,NA,0.300313916986397
"37","AC138627.1",1.71527198631828,5.22776189436266,4.46350275983218,4.92819426022562e-05,0.0116453965524623,1.83512907228075,NA,0.103941402162539
"38","C3",2.11801431464196,4.02379258204516,4.48139150128866,4.64656397920574e-05,0.0116453965524623,1.83469689080929,"Inflammation/Immune/Stress/Toxic/Detox",0.0617370073247297
"39","SLC22A23",1.06336416550031,6.99110492823516,4.43763192170656,5.36521311958676e-05,0.0116453965524623,1.79137435993705,"Transport",0.26334147192187
"40","PRNP",-1.13690407937347,6.78809281304092,-4.42103604315687,5.66525683624707e-05,0.0116453965524623,1.73758341068114,NA,0.243808859434949
"41","CCDC88C",2.18963986773447,4.68019724168947,4.43928687835079,5.33615801860849e-05,0.0116453965524623,1.73171562806254,NA,0.117544471573073
"42","FAM118A",1.61759415949671,4.83942364969537,4.42625345022746,5.5692048842264e-05,0.0116453965524623,1.7217747254177,NA,0.0931287059644227
"45","SPOCK1",-0.917209948791227,8.93222501312702,-4.42422528837388,5.60635265355089e-05,0.0116453965524623,1.60682537848491,"Matrisome/cell adhesion/binding/signaling",0.520753400767353
"43","MLXIPL",1.44028727826546,5.92805013123481,4.39703758257653,6.12830778309189e-05,0.0120373583321665,1.69807355314288,NA,0.143704220439484
"44","ATP1B1",0.935934135331079,7.16705961043748,4.40126053103492,6.0442297487662e-05,0.0120373583321665,1.6676494004875,NA,0.29438437391001
"46","EVL",0.824254545580974,7.63178850781123,4.38286117575384,6.41899143892549e-05,0.012071801133758,1.558305979102,"Motility",0.348099058249041
"47","RBM25",0.773022091407235,8.38770302237215,4.38539536834163,6.36605872414003e-05,0.012071801133758,1.50366691855719,NA,0.583885594698291
"48","TBL1X",1.14503501851111,6.33678735291711,4.332246499509,7.57078296836415e-05,0.0139412813869522,1.49078602740246,NA,0.202302057900244
"51","LINC00504",1.88806892313865,4.61039569092552,4.32413623367336,7.77317523380592e-05,0.0140218563044103,1.36449782028686,NA,0.0687129403557726
"49","SBK1",-1.82748807755274,4.51309762876006,-4.31454094775966,8.01944437769774e-05,0.0141767737708941,1.4175881154033,NA,0.0662713637949076
"50","TSHZ1",-1.25579568603598,6.32609271625194,-4.29032325140375,8.67531512263776e-05,0.0150355118370579,1.37063408460146,NA,0.16428322288106
"52","USP24",-0.948361528352722,7.02989960829108,-4.27835837885537,9.01835697312931e-05,0.0150402372236774,1.30734790108585,"Metabolism (other)",0.271363794907569
"59","NRXN1",-0.926483542093928,11.0841032112923,-4.28337415608963,8.87297170649922e-05,0.0150402372236774,1.06681040915127,NA,0.844436693407743
"55","BOD1L1",0.821241450857697,7.38675486516219,4.25822476145028,9.62564678711844e-05,0.0157557577687666,1.20448678224771,"Development (cell cycle)",0.33170561562609
"57","CARNMT1-AS1",1.70699998303826,4.47037447268395,4.24469797014801,0.000100558268113574,0.0161606278519251,1.14146516026479,NA,0.0631321939309383
"53","MTSS2",-1.35863715014403,5.44270773349582,-4.23335394610913,0.000104309688712943,0.0161847847751858,1.21829705342156,NA,0.110917335193582
"54","NUPR1",-1.70407978168337,4.2278835561148,-4.23181044843604,0.000104830528301159,0.0161847847751858,1.21727186872607,NA,0.0826648064178584
"58","KCTD6",-1.86544071123081,4.20655022554698,-4.22778219010753,0.000106201778137886,0.0161847847751858,1.11286680579136,"Transport",0.0537146843390303
"56","AC006115.2",1.10909015496104,6.4797701359621,4.21481499690838,0.000110735470262988,0.0163131803609091,1.15452423810881,NA,0.204046041158005
"60","ANKRD26",0.771952533626109,7.97109120288306,4.21692412157473,0.000109985449541122,0.0163131803609091,1.04755599645135,NA,0.413324032089292
"64","DAB1",-0.836505100345403,9.31907611630232,-4.19950716503966,0.000116330133583504,0.0168564270613868,0.918018644259748,"Development (differentiation)",0.530868503662365
"62","PAPOLA",-0.866155700302975,7.18575576759355,-4.17609045005215,0.000125423947755992,0.017881004422826,0.96480213355095,NA,0.296477153819323
"61","DPP7",1.25003036948478,5.21726405676239,4.15610496093619,0.000133728697646807,0.018762348547621,0.996493243136276,"Metabolism (other)",0.129403557725846
"63","THUMPD3-AS1",-1.27246662174796,5.59854473606854,-4.13057537122144,0.000145117306019485,0.0200420604360348,0.923334170840498,NA,0.137077084059993
"71","PLEKHA5",0.682586592663561,9.57129156304893,4.09980222108137,0.000160100484534936,0.0217712028123739,0.575726281841648,NA,0.644576212068364
"66","FAM110B",-1.12643550224787,6.96957985589059,-4.0946958595655,0.000162727807459724,0.0217931983354015,0.748968224693582,NA,0.243111266131845
"65","REEP3",-1.08800442539781,6.348984656832,-4.08850331334261,0.000165970156109653,0.0218956747739287,0.761528105996633,NA,0.192884548308336
"67","SUSD6",-1.1708384814906,5.86807352555455,-4.073125706563,0.000174295096248244,0.0225063901643143,0.739906842240142,NA,0.160097663062435
"73","CADM1",-0.945569808606209,8.84959018581299,-4.07061553247875,0.000175691924577179,0.0225063901643143,0.529794179900207,"Matrisome/cell adhesion/binding/signaling",0.492849668643181
"68","NCDN",1.48460554240981,5.22183552676727,4.06289576295175,0.000180056085819104,0.022735939179358,0.726272743534372,NA,0.108126961981165
"69","CCDC59",-1.32857440291516,5.56982665459812,-4.03544980078024,0.000196439288955684,0.0244553080997084,0.653509698785846,NA,0.111963725148239
"70","AC092422.1",1.41585253327703,5.6064189920634,4.02215015184597,0.000204889034206936,0.0244731645047987,0.610816897014765,NA,0.141262643878619
"72","HOMER1",1.01827700596239,7.13698233409906,4.02430515819081,0.000203496372071888,0.0244731645047987,0.530639062639287,NA,0.276246948029299
"87","FAM155A",-0.65208004722186,10.8759929839241,-4.02820651268258,0.000200998434049345,0.0244731645047987,0.316364819746855,NA,0.741541681199861
"74","ENTPD3",2.04525559699394,4.87975241790079,4.0008095932259,0.000219188077609597,0.0258320455732163,0.522343985586112,NA,0.11056853854203
"75","IL16",-1.50692626137799,5.42484899141035,-3.97390063064212,0.000238599991502882,0.0270736414910856,0.478280497457119,"Inflammation/Immune/Stress/Toxic/Detox",0.12033484478549
"76","SERPINI1",1.34592215192892,6.20806589115382,3.97062540974747,0.000241073329061112,0.0270736414910856,0.466965496659345,NA,0.151028950122079
"77","TCHP",1.43868466428367,4.92555612953641,3.96538012027232,0.000245086152018255,0.0270736414910856,0.456629041108267,"Development (differentiation)",0.0868503662364841
"78","CCP110",1.06371132225573,5.82078342840742,3.9462165829192,0.000260303415270902,0.0270736414910856,0.399921682438488,NA,0.136379490756889
"79","PLA2G4C",1.02683923560074,6.25525450631032,3.95259801476214,0.000255137333266718,0.0270736414910856,0.394837236826703,"Metabolism or Transport (lipid)",0.192884548308336
"80","AL445584.2",1.83617801564911,3.79868646136079,3.97300642993747,0.000239272814726961,0.0270736414910856,0.383042969240304,NA,0.0530170910359261
"81","CHD7",-1.40258377507353,6.33940799174384,-3.95617531404759,0.00025228485044355,0.0270736414910856,0.379594242578044,NA,0.223229856993373
"82","ZC3H6",1.09932549635757,6.37565079208794,3.94848529196756,0.000258455301542469,0.0270736414910856,0.374764146865245,NA,0.205441227764213
"83","AC092969.1",2.0132707945157,4.99712686042374,3.93326811568737,0.000271098447647195,0.0270736414910856,0.362798222881035,NA,0.110917335193582
"84","CFAP36",0.986587568133098,6.0421480603465,3.93395590923216,0.000270514315662362,0.0270736414910856,0.360671445276816,"Cilia",0.165678409487269
"85","NOM1",1.43837075925316,4.59739678529966,3.92441062544228,0.000278730781274894,0.0270736414910856,0.333307519461349,NA,0.0837111963725148
"89","NRDC",0.865098882895497,6.79488969443327,3.92509228583669,0.000278136106627324,0.0270736414910856,0.267547682989743,NA,0.254970352284618
"90","DDB2",1.91877498967661,4.12756562764981,3.92602280819901,0.000277326305898245,0.0270736414910856,0.264140288963254,NA,0.0572026508545518
"93","LHFPL6",-1.03356552978265,7.94387601576898,-3.95637908208375,0.00025212330084927,0.0270736414910856,0.232040602592628,NA,0.413324032089292
"94","DNER",-1.03285408234755,7.83310783480557,-3.92823835341571,0.000275407356076881,0.0270736414910856,0.207061065907193,"Development (differentiation)",0.327868852459016
"105","NLGN1",-0.600795987829652,10.6078445928747,-3.9400480384428,0.000265393208364561,0.0270736414910856,0.0486196853343879,NA,0.800488315312173
"86","IVNS1ABP",1.35027278471408,5.03558699363216,3.9191866915799,0.00028332906230545,0.0272211476273682,0.327471656976059,NA,0.104290198814091
"88","RTF1",0.999966210384091,6.46672508559346,3.91308379997017,0.000288793895544144,0.0274478413195128,0.281324136684289,NA,0.207882804325078
"95","MROH1",0.854773159460924,7.32804252706528,3.90798264255242,0.000293439732369758,0.0275926999405989,0.193576211250296,NA,0.298918730380188
"91","BCL11B",1.84132101738884,6.24312697578508,3.89024904344024,0.000310158813001005,0.0283484186929681,0.241363457823185,NA,0.198116498081618
"92","STAB1",1.4504636190201,4.92920224050856,3.88889812698083,0.000311469481496027,0.0283484186929681,0.239196808988106,NA,0.13986745727241
"96","PRB2",1.99355643923093,4.73640759882013,3.87951699642004,0.000320719749892161,0.0283484186929681,0.187760243029014,NA,0.0903383327520056
"97","AC119673.2",-1.15300578365195,6.0774354351757,-3.88024228308811,0.000319995223170601,0.0283484186929681,0.184361086602824,NA,0.211719567492152
"98","TSPYL1",0.986930633275904,6.07933110984835,3.87954139225228,0.000320695353906178,0.0283484186929681,0.16814760632039,NA,0.182769445413324
"106","CADPS2",-1.2616206004014,8.23698094158357,-3.89283307036259,0.000307666592104971,0.0283484186929681,0.0359833669065646,"Transport",0.393093826299268
"101","AL022068.1",1.21997153154759,5.94286150678098,3.86935829629644,0.000331035725814084,0.0284933718756209,0.150579551395881,NA,0.179630275549355
"108","GDAP1",-0.783122689747517,7.90341681889888,-3.86839492747905,0.000332030467608208,0.0284933718756209,0.0165796690096824,NA,0.346703871642832
"116","ADGRB3",-0.651751181178352,11.3790474091973,-3.87041267627203,0.000329950305426827,0.0284933718756209,-0.201119564629566,"Matrisome/cell adhesion/binding/signaling",0.897453784443669
"99","COL27A1",-1.21934585761378,5.47785572342789,-3.86102140289504,0.00033974022714079,0.0285996558828327,0.164763617727813,"Matrisome/cell adhesion/binding/signaling",0.118590861527729
"100","MSH4",-1.65258585262257,5.10994475405051,-3.86232682426387,0.00033836280980854,0.0285996558828327,0.164519704256171,NA,0.0875479595395884
"102","DPF3",-1.35294279159504,6.07017686594536,-3.83668257083405,0.000366434139515636,0.0304351473695347,0.0738216841666519,NA,0.155912103243809
"110","FRMD4B",1.04772435381661,6.56618727176072,3.83493135551308,0.000368430904914607,0.0304351473695347,-0.00151915525369439,NA,0.261597488664109
"103","WWC3",-1.16769854759177,5.53490474175694,-3.82485610235264,0.000380124267670408,0.030917829802666,0.0697929330366245,NA,0.124520404604116
"104","PBX4",1.6816745227327,5.08885992337172,3.82388524002916,0.000381269764508496,0.030917829802666,0.0508474970821053,"Development (differentiation)",0.0945238925706313
"107","COL4A1",-1.94323411819815,5.08860271057951,-3.82051672340847,0.000385270050623645,0.0309581997951127,0.0253891509953243,"Matrisome/cell adhesion/binding/signaling",0.0791768399023369
"109","GABRA4",1.71466504772512,5.69927759019043,3.80484891247164,0.000404414086334047,0.0322037487306904,0.0132942323399279,NA,0.140565050575514
"111","AC159540.2",1.7260858565289,4.26224711246151,3.80193879314846,0.000408069391394007,0.0322046906297466,-0.0755409403036493,NA,0.0547610742936868
"131","LRP1B",-0.65325381295833,11.0966029917578,-3.79590920987007,0.000415744504213173,0.032520050201241,-0.397273542960919,"Metabolism or Transport (lipid)",0.853156609696547
"112","ZNF706",-0.927429585673134,6.55720817825679,-3.79262851844283,0.000419978740280607,0.0325630884678972,-0.0912976935745293,NA,0.200209277990931
"113","MPHOSPH9",0.792412939766201,7.2579428248179,3.77186426056111,0.000447757256854159,0.0341183309770165,-0.186275779299293,"Metabolism (other)",0.297872340425532
"127","PRRC2C",0.657017681734597,8.90493931069065,3.7746581007503,0.000443919203362582,0.0341183309770165,-0.363133206227138,NA,0.681548657132891
"129","SLC35F3",0.975693720866111,9.06810954813236,3.7678237721067,0.00045336444524874,0.0342503276201163,-0.389896647532733,"Transport",0.454482036972445
"114","CFAP61",0.915157148076144,6.11010286144028,3.75364766001686,0.000473576717586257,0.0354741068368214,-0.190575200364557,"Cilia",0.18695500523195
"115","PTPN18",1.54094059142346,4.27642830684888,3.74273773273772,0.00048971956996624,0.0363750527641311,-0.193001042415513,NA,0.062434600627834
"117","KIAA0930",1.10372608290265,6.27305447056304,3.73522744439831,0.000501138312999353,0.0369130129050107,-0.206447901991776,NA,0.174398325776073
"119","SORL1",-1.11937998827214,6.98559832144402,-3.7308711256516,0.000507878582438637,0.0371003205799596,-0.285724742943793,"AD",0.225671433554238
"120","SORL1",-1.11937998827214,6.98559832144402,-3.7308711256516,0.000507878582438637,0.0371003205799596,-0.285724742943793,"Transport",0.225671433554238
"118","S100PBP",0.944821382467183,6.18379357840851,3.72170598998198,0.000522344958151041,0.037844320369648,-0.264387473334249,NA,0.184513428671085
