"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","FRG1-DT",0.914315284542452,5.6331369033589,5.38282450125309,6.09517730219636e-07,0.00235147235858938,5.08199055118418,NA,0.050620573136656
"3","CHRM5",-1.60518502316302,5.63493132686941,-5.30290408717395,8.49673842308719e-07,0.00235147235858938,3.38747430253509,NA,0.060302813698096
"2","FOS",0.686532353997388,6.13601495880303,4.87941191555817,4.74936617733652e-06,0.00876258059718588,3.71318737880356,NA,0.0982519981805186
"4","L3MBTL4",0.370037548127293,8.40825928764624,4.24506834393151,5.43266769620737e-05,0.070845025120916,1.7408902058354,NA,0.267203846903632
"5","HHATL",0.653812596589294,7.07620669241486,4.11630632164319,8.7046186058307e-05,0.070845025120916,1.29030871667094,NA,0.141204756644356
"6","SLC13A3",0.532935607402994,7.2826645933192,4.09208014396865,9.50299437928349e-05,0.070845025120916,1.20220446538493,"Transport",0.145688478783547
"7","KNOP1",0.633767475841323,6.93867766937521,4.0856031339238,9.72808357924107e-05,0.070845025120916,1.13217042310822,NA,0.146923126908831
"8","LMF1",0.649743941447053,6.37642832535497,4.07140437333529,0.0001023957002651,0.070845025120916,0.958183575747753,NA,0.0942881278835532
"9","DOCK3",0.267619901866057,9.30034921641741,3.99426943897632,0.000135014084624726,0.0830336620442068,0.902797852070947,NA,0.429657547598934
"10","AGPAT4",0.458757883987509,8.07439584284109,3.93554420104835,0.000166301076318724,0.0905453099773057,0.742551147242303,NA,0.227045292091754
"11","AC016152.1",-0.437239622320483,8.68071370666708,-3.91317577043441,0.000179953819354244,0.0905453099773057,0.651320993190577,NA,0.429202677236987
"12","ARHGAP22",0.463133935814263,7.58822426534584,3.88843142318359,0.00019630419507275,0.0905453099773057,0.590346644383944,NA,0.183312755864579
"13","MGMT",-0.545628520332866,6.68024101221182,-3.84636862585528,0.000227404502450815,0.0968218400819431,0.347277706657602,NA,0.102735720319709
"14","STOX1",-0.562378779799,6.58129815645324,-3.82121916443193,0.000248190382110873,0.0981238403559771,0.323346175751724,NA,0.121450386639808
"15","MCF2L",0.575465682663705,6.81086143257878,3.7697588929213,0.000296507385863224,0.103845909038963,0.226847144960755,NA,0.145623497303269
