"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.287128712871287","0.710809245175725","0.0905428948469474","-0.206439559966635","-1.05398232330425","380","c(""CD164"", ""EGFR"", ""BCL6"", ""TGFBR2"", ""IL6ST"", ""SWAP70"", ""CDH11"", ""PAG1"", ""TNXB"", ""PARVA"", ""PLEKHA7"", ""PLEK"", ""MAGI1"", ""CD83"", ""CDH12"", ""CD74"", ""PRKG1"", ""OBSCN"", ""ADGRL3"", ""PTPRT"", ""CYP1B1"", ""TENM2"", ""RPS3"", ""IL1RAPL1"", ""GPC6"", ""HMGB1"", ""RIPOR2"", ""IL18"", ""RGCC"", ""BOC"", ""PRKCA"", ""SIRPA"", ""VMP1"", ""ZFP36L1"", ""ITGAE"", ""MBP"", ""NPTN"", ""CDH4"", ""CNTN1"", ""ZBTB16"", ""NRCAM"", ""FLNA"", ""NECTIN3"", ""CTNNA2"", ""TGFB2"", ""ITGA1"", ""YES1"", ""ROBO2"", ""BMP7"", ""LAMB1"", ""SLC7A11"", ""PCDH11X"", ""MIA3"", ""DLG2"", ""LRFN5"", ""CLEC7A"", 
""JAML"", ""STK10"", ""ANK3"", ""CDH8"", ""TRPV4"", ""PAWR"", ""ICAM1"", ""PRKCQ"", ""PCDH9"", ""FYN"", ""PELI1"", ""CBFB"", ""PCDH11Y"", ""ITGA4"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.269333333333333","0.702185038628227","0.136490437780413","0.215057891183609","1.06858060628428","148","c(""ALOX5"", ""LILRB1"", ""PTPRC"", ""PIK3CA"", ""IL15"", ""NOD2"", ""CR1"", ""TNFSF13B"", ""IL4R"", ""TYK2"", ""ARG2"", ""CD4"", ""FOXO3"", ""RC3H1"", ""CARD11"", ""NFKBIZ"", ""LAPTM5"", ""AP3B1"", ""CD44"", ""JAK2"", ""IL7"", ""TMEM131L"", ""ZBTB1"", ""NCK1"", ""MAD1L1"", ""GOLPH3"", ""PRKAR1A"", ""HLA-DMB"", ""DUSP22"", ""NR4A3"", ""HLA-DQB1"", ""DOCK8"", ""TWSG1"", ""RC3H2"", ""SKAP1"", ""HSPD1"", ""ZC3H8"", ""JAM2"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.0358434431342299","0.432748585693897","0.321775918075361","0.249537906500721","1.27989309175668","191","c(""ALOX5"", ""LILRB1"", ""EPB41L5"", ""BAG4"", ""PPP3CA"", ""PTPRC"", ""UTRN"", ""PIK3CA"", ""IL15"", ""NOD2"", ""ZFHX3"", ""RAC1"", ""PTK2B"", ""DENND6A"", ""CR1"", ""TNFSF13B"", ""RREB1"", ""GSK3B"", ""DOCK5"", ""PTPRJ"", ""IL4R"", ""TYK2"", ""CD4"", ""FOXO3"", ""PREX1"", ""CARD11"", ""APBB1IP"", ""EMP2"", ""NFKBIZ"", ""AP3B1"", ""CD44"", ""JAK2"", ""IL7"", ""ZBTB1"", ""VEGFA"", ""NCK1"", ""AFDN"", ""TSC1"", ""STX3"", ""PIEZO1"", ""TFE3"", ""ITGAV"", ""ATM"", ""HLA-DMB"", ""NR4A3"", ""HLA-DQB1"", ""DOCK8"", ""SKAP1"", ""FMN1"", ""HSPD1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.221590909090909","0.683259259259259","0.157402899305283","0.235970471880801","1.12433950290701","113","c(""ALOX5"", ""LILRB1"", ""PTPRC"", ""PIK3CA"", ""IL15"", ""NOD2"", ""DENND6A"", ""CR1"", ""TNFSF13B"", ""IL4R"", ""TYK2"", ""CD4"", ""FOXO3"", ""CARD11"", ""NFKBIZ"", ""AP3B1"", ""CD44"", ""JAK2"", ""IL7"", ""ZBTB1"", ""NCK1"", ""AFDN"", ""PIEZO1"", ""HLA-DMB"", ""NR4A3"", ""HLA-DQB1"", ""DOCK8"", ""SKAP1"", ""HSPD1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.169354838709677","0.642787456445993","0.176694268938498","0.255425101261765","1.16916340779166","95","c(""ALOX5"", ""LILRB1"", ""PTPRC"", ""PIK3CA"", ""IL15"", ""NOD2"", ""CR1"", ""TNFSF13B"", ""IL4R"", ""TYK2"", ""CD4"", ""FOXO3"", ""CARD11"", ""NFKBIZ"", ""AP3B1"", ""CD44"", ""JAK2"", ""IL7"", ""ZBTB1"", ""NCK1"", ""HLA-DMB"", ""NR4A3"", ""HLA-DQB1"", ""DOCK8"", ""SKAP1"", ""HSPD1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.141914191419142","0.622748097835473","0.216542836735348","0.205254650543019","1.11782965912535","344","c(""ALOX5"", ""LILRB1"", ""CLASP2"", ""EPB41L5"", ""BAG4"", ""ARHGAP6"", ""PPP3CA"", ""PTPRC"", ""PLXND1"", ""PLXNB2"", ""UTRN"", ""PIK3CA"", ""ABAT"", ""PRKCD"", ""IL15"", ""NOD2"", ""ZFHX3"", ""RAC1"", ""RDX"", ""SERPINE1"", ""PTK2B"", ""DENND6A"", ""CR1"", ""TNFSF13B"", ""RREB1"", ""GSK3B"", ""LAMA3"", ""DOCK5"", ""PTPRJ"", ""PTPRR"", ""IL4R"", ""PIK3CB"", ""TYK2"", ""ARG2"", ""AKNA"", ""CD4"", ""MMP14"", ""FOXO3"", ""RC3H1"", ""MINK1"", ""PREX1"", ""CARD11"", ""APBB1IP"", ""EMP2"", ""NFKBIZ"", ""LAPTM5"", ""AP3B1"", ""CD44"", ""JAK2"", ""PIK3R1"", ""PPP1CB"", ""IL7"", ""TMEM131L"", ""PTK2"", ""PTPRA"", 
""ZBTB1"", ""VEGFA"", ""NCK1"", ""AFDN"", ""TSC1"", ""MAP2K5"", ""STX3"", ""PIEZO1"", ""PPP1R12A"", ""MAD1L1"", ""TFE3"", ""PRKAR1A"", ""ITGAV"", ""ATM"", ""HLA-DMB"", ""DUSP22"", ""NR4A3"", ""HLA-DQB1"", ""DOCK8"", ""TWSG1"", ""RC3H2"", ""SKAP1"", ""FMN1"", ""HSPD1"", ""ZC3H8"", ""PLXNA1"", ""GPM6B"", ""DNM2"", ""PKD1"", ""TRIOBP"", ""ZDHHC2"", ""TGFBI"", ""SLC7A1"", ""DOCK1"", ""COL26A1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.115044247787611","0.581143560565674","0.227987202850442","0.227318669915617","1.16545007063955","188","c(""ALOX5"", ""LILRB1"", ""EPB41L5"", ""PTPRC"", ""PIK3CA"", ""ABAT"", ""PRKCD"", ""IL15"", ""NOD2"", ""RDX"", ""DENND6A"", ""CR1"", ""TNFSF13B"", ""PTPRR"", ""IL4R"", ""TYK2"", ""ARG2"", ""AKNA"", ""CD4"", ""FOXO3"", ""RC3H1"", ""MINK1"", ""CARD11"", ""NFKBIZ"", ""LAPTM5"", ""AP3B1"", ""CD44"", ""JAK2"", ""IL7"", ""TMEM131L"", ""PTK2"", ""ZBTB1"", ""VEGFA"", ""NCK1"", ""AFDN"", ""MAP2K5"", ""PIEZO1"", ""MAD1L1"", ""PRKAR1A"", ""HLA-DMB"", ""DUSP22"", ""NR4A3"", ""HLA-DQB1"", ""DOCK8"", ""TWSG1"", ""RC3H2"", ""SKAP1"", ""HSPD1"", ""ZC3H8"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.279229711141678","0.704463695560003","0.0905428948469474","-0.20451467034243","-1.06257853441271","458","c(""FGF13"", ""EGFR"", ""HSPA5"", ""RND3"", ""KAZN"", ""SLC2A1"", ""CDH11"", ""FLRT2"", ""RPL7A"", ""ADAM17"", ""PARVA"", ""HSP90B1"", ""SYNPO2"", ""PDZD2"", ""ENAH"", ""PLEKHA7"", ""RPS19"", ""HSPA9"", ""CALR"", ""MAGI1"", ""PDIA3"", ""PHLDB2"", ""CDH12"", ""P4HB"", ""CLTC"", ""OBSCN"", ""ADGRL3"", ""MAPRE2"", ""RPS29"", ""RPS3"", ""SORBS1"", ""PEAK1"", ""RPL31"", ""PATJ"", ""TNK2"", ""SYNE2"", ""MTDH"", ""ADAM10"", ""CD99L2"", ""RHOB"", ""ACTR3"", ""SORBS2"", ""DAG1"", ""SVIL"", ""MPRIP"", ""FLNA"", ""NECTIN3"", ""CTNNA2"", ""MAGI2"", ""GAK"", ""ITGA1"", ""CLMP"", ""YES1"", ""CYBA"", ""PACSIN2"", ""PARD3"", 
""RPLP1"", ""UBN1"", ""ITGB1BP1"", ""SNTB1"", ""MYO1E"", ""AHI1"", ""JAML"", ""IL16"", ""LIMA1"", ""ANK3"", ""CDH8"", ""TRPV4"", ""HNRNPK"", ""ICAM1"", ""GNA13"", ""ITGBL1"", ""PIP5K1A"", ""CAP1"", ""PCDH9"", ""SHROOM2"", ""RPS11"", ""ITGA4"", ""DDX58"", ""DIXDC1"", ""CDC42"", ""DDR2"", ""LIMS1"", ""FRMD6"", ""CSK"", ""RPS16"", ""RPL12"", ""YWHAH"", ""EPB41L4B"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.231534090909091","0.688479100807868","0.103576326612592","-0.21829102986554","-1.08217129638908","282","c(""EGFR"", ""HSPA5"", ""RND3"", ""FLRT2"", ""RPL7A"", ""ADAM17"", ""PARVA"", ""HSP90B1"", ""SYNPO2"", ""ENAH"", ""RPS19"", ""HSPA9"", ""CALR"", ""PDIA3"", ""PHLDB2"", ""P4HB"", ""CLTC"", ""MAPRE2"", ""RPS29"", ""RPS3"", ""SORBS1"", ""PEAK1"", ""RPL31"", ""SYNE2"", ""ADAM10"", ""CD99L2"", ""RHOB"", ""ACTR3"", ""SORBS2"", ""DAG1"", ""SVIL"", ""MPRIP"", ""FLNA"", ""GAK"", ""ITGA1"", ""YES1"", ""CYBA"", ""PACSIN2"", ""RPLP1"", ""ITGB1BP1"", ""SNTB1"", ""IL16"", ""LIMA1"", ""TRPV4"", ""HNRNPK"", ""ICAM1"", ""GNA13"", ""ITGBL1"", ""PIP5K1A"", ""CAP1"", ""RPS11"", ""ITGA4"", ""DIXDC1"", ""CDC42"", ""DDR2"", ""LIMS1"", 
""RPS16"", ""RPL12"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.00884127189269263","0.257608328821073","0.380730400722792","-0.271390877754431","-1.34830125293497","290","c(""MRC1"", ""EGFR"", ""HSPA5"", ""ARSB"", ""SULF1"", ""TGFBR2"", ""IL6ST"", ""ADAM17"", ""FCGRT"", ""OSMR"", ""CXCR4"", ""CALR"", ""CD83"", ""GRIN2A"", ""SFRP1"", ""SLC4A4"", ""PDIA3"", ""CD74"", ""P4HB"", ""ROR2"", ""PTPRT"", ""IL1RAPL1"", ""GPC6"", ""HMGB1"", ""SIRPA"", ""TLR4"", ""KCNE1"", ""LAMP1"", ""ADAM10"", ""ITGAE"", ""CD99L2"", ""MBP"", ""NPTN"", ""ADGRA3"", ""SCARB1"", ""IL3RA"", ""DAG1"", ""GSR"", ""INTU"", ""NRCAM"", ""INSR"", ""ITGA1"", ""ADAMTS9"", ""CLMP"", ""ROBO2"", ""MMP16"", ""UNC5C"", ""APMAP"", ""MYO18A"", ""SLC7A11"", ""PDIA4"", ""LRFN5"", ""CLEC7A"", ""ANK3"", ""TNFRSF11A"", ""TRPV4"", 
""ICAM1"", ""ITGBL1"", ""ABCB1"", ""PRLR"", ""ITGA4"", ""SLC1A1"", ""KCNB1"", ""MR1"", ""IL12RB2"", ""CLSTN2"", ""ENOX1"", ""CNTNAP2"", ""DMD"", ""SPARC"", ""MET"", ""HLA-DRA"", ""FGFR2"", ""ADGRG6"", ""CLU"", ""LEPR"", ""LIFR"", ""CLEC5A"", ""CD36"", ""CD200R1"", ""CLEC2D"", ""NLGN1"", ""KCNJ3"", ""CLEC2B"")"
