"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.0264665539616008","0.538630686767222","0.352487857583619","0.23917470677021","1.25828019424297","347","c(""ITGAV"", ""VCAM1"", ""SLC7A11"", ""KIF26B"", ""ACVR1"", ""JAG1"", ""NEGR1"", ""CD55"", ""TNIP1"", ""SERPINE2"", ""AP3B1"", ""MYO10"", ""CDH11"", ""SLC39A8"", ""CBFB"", ""LRRC4C"", ""NFAT5"", ""PNP"", ""GOLPH3"", ""TNFSF13B"", ""RPS3"", ""TJP1"", ""NRXN1"", ""SEMA4D"", ""ATP2C1"", ""BCL6"", ""CDH2"", ""FAT4"", ""NFKBIZ"", ""ASTN2"", ""LRFN5"", ""STXBP6"", ""ALCAM"", ""CTNNB1"", ""STAT5B"", ""PTPRT"", ""CELSR1"", ""MAGI1"", ""ITGB1"", ""KLF4"", ""SOCS6"", ""IL15"", ""JAK2"", ""DLG2"", ""DAB1"", ""AKT1"", ""RDX"", ""IL4R"", ""RUNX1"", ""PTPN2"", ""EPHA7"", ""NCK2"", ""PTPRD"", ""CNTN5"", ""XBP1"", ""F11R"", 
""CD93"", ""CD47"", ""JAM3"", ""RHOA"", ""LRRC32"", ""ADGRL3"", ""CLDN11"", ""ZBTB1"", ""FOXO3"", ""CCN1"", ""HMGB1"", ""PLEKHA7"", ""LEF1"", ""PKP4"", ""TLN1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.000557095100519034","0.087722582078158","0.477270815362862","0.370469617028864","1.66326052525094","117","c(""VCAM1"", ""CD55"", ""TNIP1"", ""AP3B1"", ""SLC39A8"", ""CBFB"", ""NFAT5"", ""PNP"", ""GOLPH3"", ""TNFSF13B"", ""RPS3"", ""SEMA4D"", ""BCL6"", ""NFKBIZ"", ""STAT5B"", ""ITGB1"", ""KLF4"", ""SOCS6"", ""IL15"", ""JAK2"", ""AKT1"", ""IL4R"", ""RUNX1"", ""PTPN2"", ""NCK2"", ""XBP1"", ""F11R"", ""CD47"", ""RHOA"", ""LRRC32"", ""ZBTB1"", ""FOXO3"", ""HMGB1"", ""LEF1"", ""FLOT2"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.0554703914286622","0.650815191512866","0.321775918075361","0.268199919218043","1.2881262465189","170","c(""ITGAV"", ""PPP3CA"", ""VCAM1"", ""KIF26B"", ""CD55"", ""CARMIL1"", ""AP3B1"", ""MYO10"", ""CBFB"", ""NFAT5"", ""PNP"", ""TNFSF13B"", ""TSC1"", ""RPS3"", ""TJP1"", ""BCL6"", ""NFKBIZ"", ""STAT5B"", ""MAGI1"", ""CDC42"", ""STX3"", ""IL15"", ""JAK2"", ""AKT1"", ""IL4R"", ""RUNX1"", ""NCK2"", ""XBP1"", ""F11R"", ""CD47"", ""RHOA"", ""ZBTB1"", ""FOXO3"", ""CCN1"", ""HMGB1"", ""LEF1"", ""FLOT2"", ""GSK3B"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.000184286093898542","0.032500695519947","0.518848077743792","0.423785868129708","1.8341326317703","87","c(""VCAM1"", ""KIF26B"", ""CD55"", ""AP3B1"", ""MYO10"", ""CBFB"", ""NFAT5"", ""PNP"", ""TNFSF13B"", ""RPS3"", ""TJP1"", ""BCL6"", ""NFKBIZ"", ""STAT5B"", ""MAGI1"", ""IL15"", ""JAK2"", ""AKT1"", ""IL4R"", ""RUNX1"", ""NCK2"", ""XBP1"", ""F11R"", ""CD47"", ""RHOA"", ""ZBTB1"", ""FOXO3"", ""HMGB1"", ""LEF1"", ""FLOT2"", ""SELE"", ""MMRN1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.000391379015709736","0.0663688492409317","0.49849310876659","0.428772596642589","1.76597380725836","68","c(""VCAM1"", ""CD55"", ""AP3B1"", ""CBFB"", ""NFAT5"", ""PNP"", ""TNFSF13B"", ""RPS3"", ""BCL6"", ""NFKBIZ"", ""STAT5B"", ""IL15"", ""JAK2"", ""AKT1"", ""IL4R"", ""RUNX1"", ""NCK2"", ""XBP1"", ""CD47"", ""RHOA"", ""ZBTB1"", ""FOXO3"", ""HMGB1"", ""LEF1"", ""FLOT2"", ""SELE"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0622317596566524","0.65924043062201","0.266350657088526","0.229135458539977","1.19636120474389","320","c(""ITGAV"", ""PPP3CA"", ""VCAM1"", ""KIF26B"", ""JAG1"", ""SEMA6A"", ""CD55"", ""CARMIL1"", ""SERPINE2"", ""AP3B1"", ""MYO10"", ""CBFB"", ""NFAT5"", ""PNP"", ""TNFSF13B"", ""TSC1"", ""RPS3"", ""SERPINE1"", ""TJP1"", ""SEMA3E"", ""SEMA4D"", ""ROCK2"", ""BCL6"", ""ST6GAL1"", ""NFKBIZ"", ""LIMCH1"", ""FZD4"", ""MMP14"", ""STAT5B"", ""MAGI1"", ""KLF4"", ""SOCS6"", ""CDC42"", ""STX3"", ""IL15"", ""JAK2"", ""DAB1"", ""AKT1"", ""RDX"", ""IL4R"", ""RUNX1"", ""PTPN2"", ""PPP2CA"", ""FAM107A"", ""EPHA7"", ""NCK2"", ""EFNA1"", ""XBP1"", ""F11R"", ""TESC"", ""CD47"", ""JAM3"", ""RHOA"", ""LRRC32"", ""WASHC2C"", ""ZBTB1"", 
""FOXO3"", ""CCN1"", ""HMGB1"", ""LEF1"", ""PKP4"", ""ADAM10"", ""FLOT2"", ""GSK3B"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0118284174957132","0.438247838139491","0.380730400722792","0.300920462877471","1.42085889617965","155","c(""VCAM1"", ""KIF26B"", ""JAG1"", ""CD55"", ""SERPINE2"", ""AP3B1"", ""MYO10"", ""CBFB"", ""NFAT5"", ""PNP"", ""TNFSF13B"", ""RPS3"", ""TJP1"", ""BCL6"", ""NFKBIZ"", ""STAT5B"", ""MAGI1"", ""KLF4"", ""SOCS6"", ""IL15"", ""JAK2"", ""AKT1"", ""RDX"", ""IL4R"", ""RUNX1"", ""PTPN2"", ""EPHA7"", ""NCK2"", ""XBP1"", ""F11R"", ""CD47"", ""RHOA"", ""LRRC32"", ""ZBTB1"", ""FOXO3"", ""HMGB1"", ""LEF1"", ""FLOT2"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.260869565217391","0.858387967255868","0.114266502484433","-0.19950249458654","-1.06689383440096","470","c(""ITGB4"", ""PIP5K1A"", ""HSPA8"", ""NECTIN2"", ""PTPRJ"", ""GAB1"", ""TGM2"", ""NOX4"", ""PPP1R12A"", ""LIMS2"", ""CLASP2"", ""BSG"", ""NCK1"", ""ACTB"", ""CDC42BPB"", ""FLT1"", ""YWHAE"", ""VIM"", ""ATP1B1"", ""ENG"", ""ARHGAP17"", ""CNN3"", ""EPB41L2"", ""PDLIM7"", ""PPFIA1"", ""NOTCH1"", ""HMCN1"", ""ITGB8"", ""RPS16"", ""GIT1"", ""SYNE2"", ""B2M"", ""HEG1"", ""RPL22"", ""CD2AP"", ""HSPB1"", ""TLN2"", ""BAIAP2"", ""MYO1E"", ""SNTB2"", ""ESAM"", ""APC"", ""SLC9A3R2"", ""SLC4A2"", ""TMOD3"", ""RPL8"", ""TNS2"", ""JCAD"", ""PKD2"", ""MAP2K2"", ""UBN1"", ""TNS1"", ""PRKAR2A"", ""CTNNA1"", ""TNKS1BP1"", 
""FERMT2"", ""TBCD"", ""MICALL2"", ""NUMB"", ""ITGA8"", ""ZFYVE21"", ""PNN"", ""CTNND1"", ""SHROOM3"", ""AHNAK"", ""FLNA"", ""ACTN2"", ""HSPA1B"", ""JUP"", ""RPS4X"", ""ITGA1"", ""SMAD7"", ""EPHA4"", ""NRP1"", ""USP33"", ""RPS14"", ""CCDC85C"", ""NPHP4"", ""GNA12"", ""AHI1"", ""CXADR"", ""FOCAD"", ""FLNB"", ""CDH1"", ""CLMP"", ""RPS7"", ""BAIAP2L1"", ""CD99L2"", ""PIP5K1C"", ""ACTN4"", ""ITGB5"", ""PIK3CA"", ""MTF2"", ""ARHGEF2"", ""RPL3"", ""FAT1"", ""SYNM"", ""PTPRA"", ""ARHGEF7"", ""SORBS1"", ""DNM2"", ""RPS17"", ""YWHAH"", ""PATJ"", ""PAK4"", ""CTTN"", ""PRKCI"", ""KIRREL1"", ""HSPA1A"", ""CDH3"", ""ANXA2"", 
""GSN"", ""PLEC"", ""HACD3"", ""DST"", ""MYH9"", ""CASK"", ""CAV2"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.0623818525519849","0.65924043062201","0.248911114434702","-0.237221974212069","-1.20555022452638","294","c(""ITGB4"", ""PIP5K1A"", ""HSPA8"", ""NECTIN2"", ""TGM2"", ""NOX4"", ""PPP1R12A"", ""LIMS2"", ""CLASP2"", ""BSG"", ""ACTB"", ""FLT1"", ""YWHAE"", ""VIM"", ""ENG"", ""CNN3"", ""EPB41L2"", ""PDLIM7"", ""PPFIA1"", ""HMCN1"", ""ITGB8"", ""RPS16"", ""GIT1"", ""SYNE2"", ""B2M"", ""RPL22"", ""HSPB1"", ""TLN2"", ""SNTB2"", ""SLC9A3R2"", ""SLC4A2"", ""RPL8"", ""TNS2"", ""MAP2K2"", ""TNS1"", ""PRKAR2A"", ""CTNNA1"", ""FERMT2"", ""NUMB"", ""ITGA8"", ""ZFYVE21"", ""AHNAK"", ""FLNA"", ""ACTN2"", ""HSPA1B"", ""JUP"", ""RPS4X"", ""ITGA1"", ""NRP1"", ""USP33"", ""RPS14"", ""GNA12"", ""FOCAD"", ""FLNB"", ""RPS7"", ""CD99L2"", 
""PIP5K1C"", ""ACTN4"", ""ITGB5"", ""MTF2"", ""ARHGEF2"", ""RPL3"", ""FAT1"", ""PTPRA"", ""ARHGEF7"", ""SORBS1"", ""DNM2"", ""RPS17"", ""PAK4"", ""CTTN"", ""HSPA1A"", ""GSN"", ""PLEC"", ""HACD3"", ""DST"", ""MYH9"", ""CASK"", ""CAV2"", ""TLE2"", ""CORO2B"", ""RPS3A"", ""PPFIBP1"", ""MSN"", ""MARCKS"", ""YWHAG"", ""ATP6V0C"", ""CPNE3"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.274766355140187","0.866358725213513","0.110122263835536","-0.21125557220467","-1.06987252631597","270","c(""ITGB4"", ""CLDND1"", ""PLVAP"", ""NECTIN2"", ""EGFL7"", ""ROR2"", ""CUBN"", ""PRLR"", ""CD74"", ""PTPRJ"", ""NPTN"", ""MFGE8"", ""KCNH5"", ""HLA-DRB1"", ""RC3H2"", ""RAMP3"", ""NLGN4Y"", ""INSR"", ""ATP5F1A"", ""FGFR2"", ""DIP2A"", ""ENG"", ""NOTCH1"", ""ITGB8"", ""NOTCH2"", ""B2M"", ""KCNQ3"", ""HEG1"", ""HLA-A"", ""NOTCH4"", ""HSP90AB1"", ""CLEC2B"", ""BTNL9"", ""ITGA9"", ""NCAM1"", ""TNS1"", ""BCAM"", ""FERMT2"", ""C3"", ""ITGA8"", ""INTU"", ""CLCN3"", ""PLXNB2"", ""ITGA1"", ""HNRNPU"", ""MYO18A"", ""EPHA4"", ""SFRP1"", ""SLC1A3"", ""SULF1"", ""IDE"", ""CLMP"", ""ADGRA3"", ""CD99L2"", ""LRP6"", ""HSPD1"", 
""ITGB5"")"
