"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.247706422018349","0.704801197391176","0.154190966581424","0.215143111401206","1.0863810413091","218","c(""PDGFRA"", ""BOC"", ""DLG1"", ""NEXMIF"", ""CNN3"", ""MAPK14"", ""PKD1"", ""ACTN1"", ""MYH9"", ""ZMIZ1"", ""SPARCL1"", ""ZFP36L1"", ""EGFR"", ""PCDH15"", ""AFDN"", ""BCL6"", ""KIFC3"", ""CNTN4"", ""STXBP1"", ""TNFSF13B"", ""PLXNB2"", ""ZBTB16"", ""PKP4"", ""PIK3CA"", ""EPB41L5"", ""EFNA5"", ""SLC7A1"", ""NCK1"", ""KIRREL1"", ""AP3B1"", ""PRKCZ"", ""DLG4"", ""CNTN5"", ""NECTIN2"", ""STAT5B"", ""SDC4"", ""DCC"", ""MSN"", ""JAK1"", ""MIA3"", ""CDH13"", ""PTPRS"", ""AP3D1"", ""ACVR1"", ""WNK1"", ""DAB1"", ""NPHP4"", ""SLC7A11"", ""PTPRT"", ""GNAS"", ""FOXO3"", ""ADAM9"", ""BSG"", ""CD9"", ""IL6ST"", ""CDH18"", 
""PTPRD"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.303482587064677","0.737423585675732","0.122679189568808","0.256300687812268","1.07615143462108","67","c(""DLG1"", ""ZMIZ1"", ""BCL6"", ""TNFSF13B"", ""ZBTB16"", ""PIK3CA"", ""SLC7A1"", ""NCK1"", ""AP3B1"", ""PRKCZ"", ""STAT5B"", ""SDC4"", ""MSN"", ""MIA3"", ""AP3D1"", ""WNK1"", ""FOXO3"", ""IL6ST"", ""ZBTB1"", ""ADTRP"", ""GOLPH3"", ""RUNX1"", ""ROCK1"", ""MAD1L1"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.0199346947280574","0.304425146460443","0.352487857583619","0.313555062042743","1.41134655664204","106","c(""ZFHX3"", ""NEDD9"", ""TGM2"", ""ZMIZ1"", ""AFDN"", ""BCL6"", ""FLCN"", ""TNFSF13B"", ""P4HB"", ""SFRP1"", ""ZBTB16"", ""RIN2"", ""PIK3CA"", ""ARHGEF7"", ""EPB41L5"", ""SLC7A1"", ""NCK1"", ""AP3B1"", ""ARPC2"", ""VAV3"", ""PRKCZ"", ""PRKD2"", ""ATM"", ""STAT5B"", ""SDC4"", ""JAK1"", ""CDH13"", ""PRKCE"", ""AP3D1"", ""TSC1"", ""CDK6"", ""FOXO3"", ""ADAM9"", ""IL6ST"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.0776470588235294","0.519602385685885","0.248911114434702","0.340937392551109","1.34293490256109","49","c(""ZMIZ1"", ""AFDN"", ""BCL6"", ""TNFSF13B"", ""ZBTB16"", ""PIK3CA"", ""SLC7A1"", ""NCK1"", ""AP3B1"", ""PRKCZ"", ""STAT5B"", ""JAK1"", ""AP3D1"", ""FOXO3"", ""IL6ST"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0265149524798087","0.348630195496235","0.352487857583619","0.401235777322462","1.49990348087269","38","c(""ZMIZ1"", ""BCL6"", ""TNFSF13B"", ""ZBTB16"", ""PIK3CA"", ""SLC7A1"", ""NCK1"", ""AP3B1"", ""PRKCZ"", ""STAT5B"", ""AP3D1"", ""FOXO3"", ""IL6ST"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.150602409638554","0.636606022584693","0.199915231309662","0.228510831263192","1.14333032423447","204","c(""ZFHX3"", ""ST6GAL1"", ""DLG1"", ""NEXMIF"", ""CASK"", ""MAPK14"", ""CLASP1"", ""PKD1"", ""MACF1"", ""NEDD9"", ""TGM2"", ""ZMIZ1"", ""AFDN"", ""BCL6"", ""CYTH1"", ""FLCN"", ""TNFSF13B"", ""P4HB"", ""TGFBI"", ""SFRP1"", ""PLXNB2"", ""ZBTB16"", ""DUSP1"", ""PKP4"", ""RIN2"", ""PIK3CA"", ""ARHGEF7"", ""EPB41L5"", ""EFNA5"", ""SLC7A1"", ""NCK1"", ""AP3B1"", ""ARPC2"", ""VAV3"", ""PRKCZ"", ""PRKD2"", ""ACTN4"", ""ATM"", ""STAT5B"", ""SDC4"", ""JAK1"", ""MIA3"", ""CDH13"", ""PRKCE"", ""AP3D1"", ""ROCK2"", ""ABL2"", ""TSC1"", ""WNK1"", ""DAB1"", ""CDK6"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.314356435643564","0.748392753510317","0.119887845115423","0.238208311928668","1.06432291961055","93","c(""DLG1"", ""NEXMIF"", ""MAPK14"", ""ZMIZ1"", ""AFDN"", ""BCL6"", ""TNFSF13B"", ""ZBTB16"", ""PIK3CA"", ""EPB41L5"", ""EFNA5"", ""SLC7A1"", ""NCK1"", ""AP3B1"", ""PRKCZ"", ""STAT5B"", ""SDC4"", ""JAK1"", ""MIA3"", ""AP3D1"", ""WNK1"", ""FOXO3"", ""CD9"", ""IL6ST"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.0102530250481179","0.253977152749624","0.380730400722792","0.246595317530249","1.30714216487163","314","c(""SYNM"", ""AHI1"", ""SYNE2"", ""PPFIBP1"", ""DLG1"", ""CTTN"", ""MAP2K2"", ""BCAR1"", ""CASK"", ""CNN3"", ""IRF2"", ""SPECC1L"", ""APP"", ""CLASP1"", ""ACTN1"", ""MYO1E"", ""NEDD9"", ""MYH9"", ""TGM2"", ""USP33"", ""EGFR"", ""MAP2K1"", ""SNTB1"", ""AFDN"", ""CGNL1"", ""CYTH1"", ""KIFC3"", ""PRKD1"", ""DST"", ""GSN"", ""FLCN"", ""HSP90B1"", ""TNFSF13B"", ""P4HB"", ""PKP4"", ""HSPA5"", ""PTPN12"", ""PIK3CA"", ""SDCBP"", ""ARHGEF7"", ""MPZL1"", ""EPB41L5"", ""STRN"", ""EFNA5"", ""PKD2"", ""NCK1"", ""KAZN"", ""KIRREL1"", ""CNTNAP2"", ""ARPC2"", ""TSPAN9"", ""YBX3"", ""IQGAP1"", ""PRKCZ"", ""ACTN4"", ""NDRG1"", 
""SNAP23"", ""NECTIN2"", ""SDC4"", ""SAV1"", ""MSN"", ""DNMBP"", ""JAK1"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.016011204714137","0.28010180606947","0.352487857583619","0.270208923080036","1.33896714700156","182","c(""SYNE2"", ""PPFIBP1"", ""CTTN"", ""MAP2K2"", ""BCAR1"", ""CASK"", ""CNN3"", ""IRF2"", ""CLASP1"", ""ACTN1"", ""NEDD9"", ""MYH9"", ""TGM2"", ""USP33"", ""EGFR"", ""MAP2K1"", ""SNTB1"", ""DST"", ""GSN"", ""HSP90B1"", ""TNFSF13B"", ""P4HB"", ""HSPA5"", ""PTPN12"", ""SDCBP"", ""ARHGEF7"", ""MPZL1"", ""EPB41L5"", ""ARPC2"", ""TSPAN9"", ""IQGAP1"", ""ACTN4"", ""SNAP23"", ""NECTIN2"", ""SDC4"", ""MSN"", ""JAK1"", ""CDH13"", ""PI4KA"", ""AFAP1"", ""LRP1"", ""HNRNPK"", ""ARHGAP26"", ""PHLDB2"", ""PPP1CB"", ""ADAM9"", ""BSG"", ""CD9"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.217514124293785","0.691362174100927","0.158514105424824","0.230169296338534","1.10358044537017","149","c(""PAM"", ""PDGFRA"", ""RAMP1"", ""OSMR"", ""APP"", ""PKD1"", ""ABCA7"", ""EGFR"", ""ANO6"", ""ABCC4"", ""ABCA1"", ""ANTXR1"", ""P4HB"", ""SFRP1"", ""ADAMTS9"", ""PLXNB2"", ""HSPA5"", ""HM13"", ""MPZL1"", ""EFNA5"", ""KLRD1"", ""CNTNAP2"", ""F3"", ""HNRNPU"", ""NECTIN2"", ""SDC4"", ""DCC"", ""MSN"", ""CDH13"", ""IL1R1"", ""ABCG1"", ""ENO1"", ""ARSB"", ""SLC7A11"", ""PTPRT"", ""GPC5"", ""ADAM9"", ""CD9"", ""IL6ST"", ""RPS6KB1"", ""IGF2R"")"
"11","","Adhesion","GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE","GO:0031226","The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]","0.787390029325513","0.937514976551","0.0424170054438747","-0.182764643829268","-0.886219244109216","269","c(""TENM2"", ""TRPM3"", ""HTR2C"", ""GABRA3"", ""TRPC6"", ""SLC39A12"", ""EPHA4"", ""SLC25A13"", ""NTRK2"", ""ROR2"", ""C5AR1"", ""STIM1"", ""SLC6A16"", ""SLC13A4"", ""PTPRJ"", ""CALM1"", ""SCARB1"", ""NRXN3"", ""ERBB4"", ""DPP6"", ""HVCN1"", ""ATP2B3"", ""FGFR2"", ""SLC27A1"", ""SLC38A6"", ""CRHR2"", ""CALM2"", ""SGMS1"", ""SLC16A12"", ""LRRC8D"", ""MTSS1"", ""ITGB8"", ""PTK7"", ""PTK2B"", ""SLC10A7"", ""KL"", ""FRS2"", ""EPHA8"", ""SLCO3A1"", ""PRNP"", ""ITGA6"", ""GHR"", ""PTPRK"", ""SLC16A6"", ""ADIPOR2"", ""RYK"", ""ZNRF3"", ""SLC23A2"")"
"12","","Adhesion","GOBP_CELL_MATRIX_ADHESION","GO:0007160","The binding of a cell to the extracellular matrix via adhesion molecules. [GOC:hb]","0.146766169154229","0.633312807881773","0.183023938384487","0.266442094734765","1.18313827555257","91","c(""CTTN"", ""NEXMIF"", ""CASK"", ""CLASP1"", ""PKD1"", ""MACF1"", ""ACTN1"", ""MKLN1"", ""BCR"", ""BCL6"", ""NID2"", ""SFRP1"", ""ADAMTS9"", ""RIN2"", ""ARHGEF7"", ""EPB41L5"", ""EFNA5"")"
"13","","Adhesion","GOBP_CELL_SUBSTRATE_ADHESION","GO:0031589","The attachment of a cell to the underlying substrate via adhesion molecules. [GOC:mah, GOC:pf]","0.0569432352496442","0.47564677221522","0.321775918075361","0.269748421940125","1.28068993231715","133","c(""ST6GAL1"", ""CTTN"", ""NEXMIF"", ""CASK"", ""CLASP1"", ""PKD1"", ""MACF1"", ""ACTN1"", ""NEDD9"", ""MKLN1"", ""MEGF9"", ""BCR"", ""BCL6"", ""NID2"", ""LAMC1"", ""GAS6"", ""LAMB2"", ""ANTXR1"", ""P4HB"", ""SFRP1"", ""ADAMTS9"", ""RIN2"", ""ARHGEF7"", ""EPB41L5"", ""MERTK"", ""EFNA5"")"
