"","X","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.201520912547529","0.467532443479726","0.105125131597001","0.221357477630132","1.11877596411337","342","c(""PVR"", ""DLG3"", ""MAPK14"", ""STAT5B"", ""LIMS1"", ""ELMO2"", ""BAIAP2L1"", ""DMTN"", ""ITGA10"", ""PLXNB2"", ""AFDN"", ""BMP4"", ""ABL1"", ""CD46"", ""PKD1"", ""DLG1"", ""TMOD3"", ""CEBPB"", ""NEXMIF"", ""PTPRF"", ""PODXL"", ""SLC7A11"", ""STXBP1"", ""JAK2"", ""CD99"", ""PDGFRA"", ""ACTN1"", ""C1QTNF1"", ""SYNJ2BP"", ""KIT"", ""CD58"", ""AP3D1"", ""GNAS"", ""YES1"", ""CLSTN3"", ""PKP4"", ""AMBRA1"", ""PTPN11"", ""WNK1"", ""SOCS5"", ""PTPRU"", ""AKT1"", ""IL6ST"", ""TLN1"", ""BCL6"", ""CSK"", ""MINK1"", ""CNN3"", ""PTPN23"", ""AP3B1"", ""NCK1"", ""ZFP36L1"", ""DSG2"", ""PLPP3"", ""TYK2"", ""GLI2"", ""CD55"", 
""ADGRL1"", ""MAD1L1"", ""PIK3CA"", ""ITGAE"", ""KIFC3"", ""MIA3"", ""GLMN"", ""FNDC3A"", ""JAK1"", ""PCDH15"", ""TNFRSF14"", ""DLG4"", ""GCNT1"", ""GPNMB"", ""GOLPH3"", ""TGFB2"", ""CCDC88B"", ""CNTN5"", ""NKAP"", ""PSEN1"", ""ANXA2"", ""STK10"", ""TNIP1"", ""CNTN4"", ""CADM1"", ""DCC"", ""DNAJA3"", ""ROCK1"", ""ROBO1"", ""OBSL1"", ""TWSG1"", ""CTNND1"", ""BOC"", ""FOXO3"", ""CBLB"", ""NEXN"", ""NT5E"", ""TNXB"", ""VMP1"", ""CD276"", ""NCK2"", ""PTPRS"", ""SDC4"", ""ITGB1"", ""CD47"", ""PKP2"", ""MYH9"", ""HLA-DMA"", ""RHOA"", ""ZMIZ1"", ""FLOT2"")"
"2","2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.00300506888020179","0.0357828576910029","0.431707695803346","0.351252281189069","1.56374610264366","121","c(""STAT5B"", ""BMP4"", ""CD46"", ""DLG1"", ""CEBPB"", ""JAK2"", ""AP3D1"", ""YES1"", ""AMBRA1"", ""PTPN11"", ""WNK1"", ""SOCS5"", ""AKT1"", ""IL6ST"", ""BCL6"", ""CSK"", ""AP3B1"", ""NCK1"", ""TYK2"", ""GLI2"", ""CD55"", ""MAD1L1"", ""PIK3CA"", ""MIA3"", ""GLMN"", ""TNFRSF14"", ""GCNT1"", ""GPNMB"", ""GOLPH3"", ""CCDC88B"", ""NKAP"", ""STK10"", ""TNIP1"", ""DNAJA3"", ""ROCK1"", ""TWSG1"", ""FOXO3"", ""CBLB"", ""NT5E"", ""CD276"", ""NCK2"", ""SDC4"", ""ITGB1"", ""CD47"", ""HLA-DMA"", ""RHOA"", ""ZMIZ1"", ""FLOT2"", ""HAVCR2"", ""ARG2"", ""NFKBIZ"", ""B2M"")"
"3","3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.00353079658382854","0.0398511472245861","0.431707695803346","0.319929263250342","1.49676001687152","168","c(""EMP2"", ""ZFHX3"", ""STAT5B"", ""BAG4"", ""LIMS1"", ""P4HB"", ""DMTN"", ""AFDN"", ""ABL1"", ""CD46"", ""ARHGEF7"", ""STX3"", ""PODXL"", ""STK4"", ""JAK2"", ""TSC1"", ""ATM"", ""AP3D1"", ""NEDD9"", ""YES1"", ""AMBRA1"", ""PTPN11"", ""ARPC2"", ""SOCS5"", ""CCDC80"", ""PTPRU"", ""AKT1"", ""SFRP1"", ""IL6ST"", ""BCL6"", ""CSK"", ""RIN2"", ""PTPN23"", ""AP3B1"", ""NCK1"", ""PLPP3"", ""TYK2"", ""GLI2"", ""CD55"", ""PIK3CA"", ""FLCN"", ""PRKD2"", ""JAK1"", ""TNFRSF14"", ""TGFB2"", ""CCDC88B"", ""NKAP"", ""DAB2"", ""TFE3"", ""DNAJA3"", ""ROCK1"", ""TGM2"", ""CRKL"", ""FOXO3"", ""CD276"", ""NCK2"", ""SDC4"", ""CD47"", 
""HLA-DMA"", ""RHOA"", ""ZMIZ1"", ""FLOT2"")"
"4","4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.00979136749482527","0.079720142526244","0.380730400722792","0.362091309693867","1.54643367783769","90","c(""STAT5B"", ""DMTN"", ""AFDN"", ""CD46"", ""PODXL"", ""JAK2"", ""AP3D1"", ""YES1"", ""AMBRA1"", ""PTPN11"", ""SOCS5"", ""PTPRU"", ""AKT1"", ""IL6ST"", ""BCL6"", ""CSK"", ""PTPN23"", ""AP3B1"", ""NCK1"", ""PLPP3"", ""TYK2"", ""GLI2"", ""CD55"", ""PIK3CA"", ""JAK1"", ""TNFRSF14"", ""CCDC88B"", ""NKAP"", ""DNAJA3"", ""FOXO3"", ""CD276"", ""NCK2"", ""CD47"", ""HLA-DMA"", ""RHOA"", ""ZMIZ1"", ""FLOT2"", ""HAVCR2"", ""NFKBIZ"", ""B2M"", ""MALT1"", ""SERPINF2"")"
"5","5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0109962241587882","0.0856809700896673","0.380730400722792","0.379831083093842","1.53908280609909","70","c(""STAT5B"", ""CD46"", ""JAK2"", ""AP3D1"", ""YES1"", ""AMBRA1"", ""PTPN11"", ""SOCS5"", ""AKT1"", ""IL6ST"", ""BCL6"", ""CSK"", ""AP3B1"", ""NCK1"", ""TYK2"", ""GLI2"", ""CD55"", ""PIK3CA"", ""TNFRSF14"", ""CCDC88B"", ""NKAP"", ""DNAJA3"", ""FOXO3"", ""CD276"", ""NCK2"", ""CD47"", ""HLA-DMA"", ""RHOA"", ""ZMIZ1"", ""FLOT2"", ""HAVCR2"", ""NFKBIZ"", ""B2M"")"
"6","6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0218090279981962","0.126936451023816","0.352487857583619","0.256189972489432","1.28371521960058","313","c(""EMP2"", ""ZFHX3"", ""MAPK14"", ""STAT5B"", ""DAPK3"", ""BAG4"", ""LIMS1"", ""P4HB"", ""DMTN"", ""CASK"", ""CYTH1"", ""PLXNB2"", ""AFDN"", ""ATXN3"", ""BMP4"", ""ABL1"", ""CD46"", ""PKD1"", ""DLG1"", ""ARHGEF7"", ""CEBPB"", ""PML"", ""NEXMIF"", ""MACF1"", ""STX3"", ""PODXL"", ""STK4"", ""ST6GAL1"", ""JAK2"", ""TSC1"", ""ABL2"", ""C1QTNF1"", ""ATM"", ""AP3D1"", ""NEDD9"", ""YES1"", ""PKP4"", ""AMBRA1"", ""PTPN11"", ""WNK1"", ""ARPC2"", ""SOCS5"", ""CLASP1"", ""CCDC80"", ""PTPRU"", ""ACER2"", ""AKT1"", ""SFRP1"", ""IL6ST"", ""BCL6"", ""CSK"", ""MINK1"", ""RIN2"", ""PTPN23"", ""AP3B1"", ""NCK1"", ""PLPP3"", 
""TYK2"", ""SPRY4"", ""GLI2"", ""ACTN4"", ""CD55"", ""MAD1L1"", ""PIK3CA"", ""FLCN"", ""PRKD2"", ""ROCK2"", ""MIA3"", ""GLMN"", ""JAK1"", ""CORO1C"", ""TNFRSF14"", ""TGFBI"", ""GPNMB"", ""TGFB2"", ""CCDC88B"", ""NKAP"")"
"7","7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.040271220455555","0.186769058451615","0.321775918075361","0.291778733863494","1.35949095172637","159","c(""MAPK14"", ""STAT5B"", ""DMTN"", ""AFDN"", ""BMP4"", ""ABL1"", ""CD46"", ""DLG1"", ""CEBPB"", ""NEXMIF"", ""PODXL"", ""JAK2"", ""C1QTNF1"", ""AP3D1"", ""YES1"", ""AMBRA1"", ""PTPN11"", ""WNK1"", ""SOCS5"", ""PTPRU"", ""AKT1"", ""IL6ST"", ""BCL6"", ""CSK"", ""MINK1"", ""PTPN23"", ""AP3B1"", ""NCK1"", ""PLPP3"", ""TYK2"", ""GLI2"", ""CD55"", ""MAD1L1"", ""PIK3CA"", ""MIA3"", ""GLMN"", ""JAK1"", ""TNFRSF14"", ""GPNMB"", ""CCDC88B"", ""NKAP"", ""DNAJA3"", ""TWSG1"", ""FOXO3"", ""CBLB"", ""CD276"", ""NCK2"", ""SDC4"", ""CD47"", ""HLA-DMA"", ""RHOA"", ""ZMIZ1"", ""FLOT2"", ""HAVCR2"", ""ARG2"", ""NFKBIZ"", ""B2M"", 
""NF2"", ""MALT1"", ""SERPINF2"", ""ITCH"")"
"8","8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.291017964071856","0.552262173886479","0.0806388495950661","0.20464537751259","1.06098002766873","490","c(""PVR"", ""CYTH2"", ""DLG3"", ""AHI1"", ""APP"", ""USP33"", ""PAK2"", ""CTTN"", ""RALA"", ""LIMS1"", ""SYNM"", ""P4HB"", ""DNMBP"", ""WNK3"", ""BAIAP2L1"", ""CASK"", ""SPECC1L"", ""RHOU"", ""FRMD6"", ""DDX58"", ""CYTH1"", ""AFDN"", ""MAP2K2"", ""CD46"", ""AMOTL1"", ""DLG1"", ""TMOD3"", ""ARHGEF7"", ""MAP2K1"", ""SGSM3"", ""PPFIBP1"", ""CBL"", ""SYNE2"", ""ANXA5"", ""PTPN12"", ""ARPC3"", ""STRN"", ""STX3"", ""PODXL"", ""JAK2"", ""CAPN2"", ""TNK2"", ""DST"", ""CD99"", ""ACTN1"", ""KIT"", ""BCAR1"", ""NEDD9"", ""YES1"", ""SRP68"", ""PKP4"", ""AMBRA1"", ""ARPC2"", ""ARHGAP17"", ""GIT1"", ""CLASP1"", ""PTPRU"", 
""AKT1"", ""MYO1E"", ""RAP1B"", ""IQGAP1"", ""STARD10"", ""TLN1"", ""CSK"", ""CNN3"", ""GAK"", ""PDLIM7"", ""NCK1"", ""SAV1"", ""AFAP1"", ""DSG2"", ""RHOB"", ""LRP1"", ""PLPP3"", ""SPRY4"", ""SNTB1"", ""ACTN4"", ""YBX3"", ""RPL12"", ""PIK3CA"", ""FLCN"", ""PDPK1"", ""GSN"", ""KIFC3"", ""CADM4"", ""KLHL24"", ""TSPAN4"", ""JAK1"", ""NUMB"", ""CDC42BPB"", ""TCHP"", ""CORO1C"", ""ADD1"", ""CNTNAP2"", ""GAB1"", ""TPM4"", ""SNAP23"", ""TRAF4"", ""ARPC1B"", ""ANXA2"", ""DAB2"", ""IRF2"", ""PRKD1"", ""ERBIN"", ""MAPK15"", ""ADAM17"")"
"9","9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.303108808290155","0.562382933047095","0.0826646449123753","0.214493324585762","1.06539171053044","289","c(""PVR"", ""USP33"", ""CTTN"", ""RALA"", ""LIMS1"", ""P4HB"", ""CASK"", ""RHOU"", ""MAP2K2"", ""CD46"", ""ARHGEF7"", ""MAP2K1"", ""PPFIBP1"", ""CBL"", ""SYNE2"", ""ANXA5"", ""PTPN12"", ""ARPC3"", ""JAK2"", ""CAPN2"", ""DST"", ""CD99"", ""ACTN1"", ""BCAR1"", ""NEDD9"", ""YES1"", ""SRP68"", ""AMBRA1"", ""ARPC2"", ""GIT1"", ""CLASP1"", ""IQGAP1"", ""TLN1"", ""CNN3"", ""GAK"", ""PDLIM7"", ""AFAP1"", ""RHOB"", ""LRP1"", ""SPRY4"", ""SNTB1"", ""ACTN4"", ""RPL12"", ""PDPK1"", ""GSN"", ""TSPAN4"", ""JAK1"", ""NUMB"", ""CORO1C"", ""ADD1"", ""TPM4"", ""SNAP23"", ""ARPC1B"", ""DAB2"", ""IRF2"", ""ERBIN"", ""ADAM17"", 
""RAB21"", ""MPZL1"", ""TGM2"", ""RPL27"", ""NEXN"", ""G3BP1"", ""CNN2"", ""PXN"", ""SNTB2"", ""SDC4"", ""ITGB1"", ""MYH9"", ""IGF2R"", ""SENP1"", ""CAP1"", ""ACTR3"", ""RHOA"", ""FLOT2"", ""RPS29"", ""CAPN1"", ""ARF1"", ""ACTN2"", ""WASF1"", ""LIMA1"", ""B2M"", ""PCBP2"", ""PPP1CB"", ""SORBS3"", ""PPFIA1"", ""ADAM10"", ""FERMT2"", ""PRUNE1"", ""RPLP0"", ""CD59"")"
"10","10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.0190537409197758","0.117124250824617","0.352487857583619","0.278347599560375","1.35559383058395","239","c(""EMP2"", ""PVR"", ""OSMR"", ""ANO6"", ""APP"", ""RALA"", ""P4HB"", ""VAMP4"", ""IL13RA1"", ""ITGA10"", ""PLXNB2"", ""ARSB"", ""CD46"", ""PKD1"", ""ABCA7"", ""ACVR1B"", ""MFGE8"", ""ANXA5"", ""RPS6KB1"", ""PAM"", ""SLC7A11"", ""LRRC8A"", ""IL6R"", ""CAPN2"", ""FZD3"", ""PDGFRA"", ""KIT"", ""EGFL8"", ""CD58"", ""SPARC"", ""CLSTN3"", ""CD302"", ""ABCC4"", ""SLC11A2"", ""DCBLD2"", ""SFRP1"", ""ABCG1"", ""RER1"", ""ABCA1"", ""IL6ST"", ""ENO2"", ""TLN1"", ""ANTXR1"", ""ENTPD6"", ""PTGFRN"", ""DIP2A"", ""DSG2"", ""TGFBR3"", ""HM13"")"
