"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.230492196878751","0.653959392516456","0.0937465422491719","0.222486282806589","1.09539278692386","391","c(""CNTN4"", ""VMP1"", ""PLAUR"", ""EFNA5"", ""CD44"", ""ZMIZ1"", ""BCL6"", ""CBLB"", ""RUNX1"", ""ST3GAL4"", ""CYP1B1"", ""PTPRT"", ""DSCAM"", ""ITGA5"", ""TENM4"", ""FLOT2"", ""TMOD3"", ""NOTCH1"", ""IL1RAP"", ""FYN"", ""TGFB1"", ""JAK2"", ""MAPK14"", ""JAK3"", ""HAVCR2"", ""CLSTN3"", ""TYK2"", ""MAP2K5"", ""IL18"", ""VEGFA"", ""IL6ST"", ""GCNT1"", ""NLGN4Y"", ""NRXN1"", ""NTN1"", ""PDGFRA"", ""PRKCA"", ""DENND6A"", ""CNTN5"", ""TNFRSF14"", ""NKAP"", ""ITGA2"", ""ZBTB1"", ""RHOA"", ""PTPRD"", ""PAG1"", ""PLXNB2"", ""METAP1"", ""TENM3"", ""ZFP36L1"", ""ADGRL1"", ""RDX"", ""CD55"", ""TRAF6"", ""PELI1"", 
""GRID2"", ""STAT5B"", ""DLG1"", ""ETS1"", ""PCDH11X"", ""SERPINE2"", ""FLOT1"", ""CDH13"", ""KIF26B"", ""CITED2"", ""LEF1"", ""ROCK1"", ""PPIA"", ""CD46"", ""YTHDF2"", ""SLC7A11"", ""DNAJA3"", ""CEBPB"", ""CDH18"", ""GLI3"", ""OBSL1"", ""FBLIM1"", ""YES1"", ""CLDN12"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.103786816269285","0.518314458562726","0.161978948883402","0.284099719875057","1.2455835495505","134","c(""CD44"", ""ZMIZ1"", ""BCL6"", ""CBLB"", ""RUNX1"", ""ST3GAL4"", ""ITGA5"", ""FLOT2"", ""FYN"", ""JAK2"", ""JAK3"", ""HAVCR2"", ""TYK2"", ""IL18"", ""IL6ST"", ""GCNT1"", ""TNFRSF14"", ""NKAP"", ""ZBTB1"", ""RHOA"", ""PAG1"", ""CD55"", ""TRAF6"", ""PELI1"", ""STAT5B"", ""DLG1"", ""ETS1"", ""LEF1"", ""ROCK1"", ""CD46"", ""DNAJA3"", ""CEBPB"", ""GLI3"", ""YES1"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.117105263157895","0.54135257247636","0.14641623786055","0.26075855854305","1.20078295740709","201","c(""PLAUR"", ""CD44"", ""ZMIZ1"", ""BCL6"", ""RUNX1"", ""ST3GAL4"", ""TGM2"", ""PPP3CA"", ""ITGA5"", ""MAP4K4"", ""FLOT2"", ""EMP2"", ""STX3"", ""FLCN"", ""FYN"", ""JAK2"", ""JAK3"", ""HAVCR2"", ""GSK3B"", ""TYK2"", ""IL18"", ""RAC1"", ""VEGFA"", ""ITGB1BP1"", ""IL6ST"", ""PRKCA"", ""DENND6A"", ""TNFRSF14"", ""ZFHX3"", ""NKAP"", ""ITGA2"", ""DAB2"", ""ZBTB1"", ""RHOA"", ""CD55"", ""TRAF6"", ""STAT5B"", ""ETS1"", ""FLOT1"", ""CDH13"", ""KIF26B"", ""CITED2"", ""UTRN"", ""LEF1"", ""ROCK1"", ""CD46"", ""DNAJA3"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.0480840455337397","0.39549902406243","0.321775918075361","0.3250460966578","1.38071085804418","105","c(""PLAUR"", ""CD44"", ""ZMIZ1"", ""BCL6"", ""RUNX1"", ""ST3GAL4"", ""FLOT2"", ""FYN"", ""JAK2"", ""JAK3"", ""HAVCR2"", ""TYK2"", ""IL18"", ""IL6ST"", ""DENND6A"", ""TNFRSF14"", ""NKAP"", ""ZBTB1"", ""RHOA"", ""CD55"", ""TRAF6"", ""STAT5B"", ""ETS1"", ""FLOT1"", ""KIF26B"", ""CITED2"", ""LEF1"", ""CD46"", ""DNAJA3"", ""GLI3"", ""YES1"", ""FSTL3"", ""MEGF10"", ""KIFAP3"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0196851667202452","0.27368379991388","0.352487857583619","0.361891263539244","1.46732944219793","81","c(""CD44"", ""ZMIZ1"", ""BCL6"", ""RUNX1"", ""ST3GAL4"", ""FLOT2"", ""FYN"", ""JAK2"", ""JAK3"", ""HAVCR2"", ""TYK2"", ""IL18"", ""IL6ST"", ""TNFRSF14"", ""NKAP"", ""ZBTB1"", ""RHOA"", ""CD55"", ""TRAF6"", ""STAT5B"", ""ETS1"", ""LEF1"", ""CD46"", ""DNAJA3"", ""GLI3"", ""YES1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0990220048899755","0.508691343441952","0.154190966581424","0.242139586485102","1.18256703776443","360","c(""PLAUR"", ""EFNA5"", ""CD44"", ""ZMIZ1"", ""BCL6"", ""SPRY4"", ""CBLB"", ""RUNX1"", ""ST3GAL4"", ""CYP1B1"", ""PTPRA"", ""TGM2"", ""PPP3CA"", ""DSCAM"", ""ITGA5"", ""MAP4K4"", ""FLOT2"", ""NOTCH1"", ""EMP2"", ""STX3"", ""FAF1"", ""FLCN"", ""FYN"", ""ADAM10"", ""TGFB1"", ""JAK2"", ""MAPK14"", ""JAK3"", ""FBLN1"", ""HAVCR2"", ""GSK3B"", ""TYK2"", ""APOD"", ""MAP2K5"", ""IL18"", ""RAC1"", ""FZD4"", ""VEGFA"", ""ITGB1BP1"", ""PLXND1"", ""IL6ST"", ""PRKCA"", ""DLC1"", ""RCC2"", ""DENND6A"", ""TNFRSF14"", ""ZFHX3"", ""NKAP"", ""ITGA2"", ""DAB2"", ""ABL2"", ""ZBTB1"", ""RHOA"", ""PAG1"", ""PLXNB2"", ""TENM3"", 
""RDX"", ""CD55"", ""TRAF6"", ""PELI1"", ""STAT5B"", ""DLG1"", ""SPOCK1"", ""ETS1"", ""SERPINE1"", ""SERPINE2"", ""FLOT1"", ""SEMA5A"", ""CDH13"", ""KIF26B"", ""CITED2"", ""UTRN"", ""SEMA3E"", ""LEF1"", ""ROCK1"", ""CD46"", ""YTHDF2"", ""DNAJA3"", ""PEAK1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0456375838926174","0.386970048037775","0.245041785430996","0.28839651563569","1.30835443046767","178","c(""PLAUR"", ""EFNA5"", ""CD44"", ""ZMIZ1"", ""BCL6"", ""CBLB"", ""RUNX1"", ""ST3GAL4"", ""FLOT2"", ""NOTCH1"", ""FYN"", ""TGFB1"", ""JAK2"", ""MAPK14"", ""JAK3"", ""HAVCR2"", ""TYK2"", ""MAP2K5"", ""IL18"", ""VEGFA"", ""IL6ST"", ""PRKCA"", ""DENND6A"", ""TNFRSF14"", ""NKAP"", ""ZBTB1"", ""RHOA"", ""PAG1"", ""TENM3"", ""RDX"", ""CD55"", ""TRAF6"", ""PELI1"", ""STAT5B"", ""DLG1"", ""ETS1"", ""SERPINE2"", ""FLOT1"", ""KIF26B"", ""CITED2"", ""LEF1"", ""CD46"", ""YTHDF2"", ""DNAJA3"", ""CEBPB"", ""GLI3"", ""YES1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.187782805429864","0.610811341835702","0.102449405629826","0.219640450796171","1.10613647611554","531","c(""LRP1"", ""RPS29"", ""CLMP"", ""PLAUR"", ""EFNA5"", ""MPDZ"", ""CD44"", ""RPS2"", ""SPRY4"", ""ADAM17"", ""SYNPO"", ""PTPRA"", ""TGM2"", ""HSPA9"", ""PPP3CA"", ""ITGA5"", ""MAP4K4"", ""SNAP23"", ""FLOT2"", ""TMOD3"", ""RPL23"", ""NOTCH1"", ""RPL30"", ""PRKD1"", ""STX3"", ""PPP1CC"", ""RPL22"", ""HSP90B1"", ""CNTNAP2"", ""AHI1"", ""MRC2"", ""FLCN"", ""ADAM10"", ""IRF2"", ""NUMB"", ""JAK2"", ""ASAP3"", ""APP"", ""SIPA1L3"", ""RAC1"", ""GJA1"", ""FZD4"", ""PPIB"", ""ARHGAP22"", ""VEGFA"", ""ARPC1B"", ""AVIL"", ""PCBP2"", ""RPL37A"", ""BCAR1"", ""ITGB1BP1"", ""DLC1"", ""TMEM65"", ""RPLP2"", ""CAPN2"", ""TRPC6"", 
""LAYN"", ""PDGFRB"", ""ITGA2"", ""DAB2"", ""MAPRE2"", ""PGM5"", ""RHOA"", ""UBA1"", ""RPLP0"", ""HSPA1A"", ""SCARB2"", ""RDX"", ""ATP1A2"", ""RPL38"", ""RPL31"", ""MAPK3"", ""DLG1"", ""SVIL"", ""DDR2"", ""ABI2"", ""PTPN12"", ""RPS15"", ""MAPK15"", ""TNS2"", ""FLOT1"", ""RPLP1"", ""NCSTN"", ""SDCCAG8"", ""RPS17"", ""CDH13"", ""PMP22"", ""IL1RL1"", ""PPIA"", ""CD46"", ""VIM"", ""PEAK1"", ""RAB13"", ""NCKAP1"", ""BMPR2"", ""RPS4X"", ""CDH18"", ""WNK3"", ""OBSL1"", ""FBLIM1"", ""YES1"", ""CLDN12"", ""ARHGAP24"", ""KRIT1"", ""RPS8"", ""ARF1"", ""ASH1L"", ""LIN7A"", ""PXN"", ""TRPC4"", ""ACTG1"", ""STX16"", ""RPL10A"", 
""MPP7"", ""PI4KA"", ""STRN"", ""MMP14"", ""GIT2"", ""SLC9A1"", ""PRKCI"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.0821078431372549","0.471832258064516","0.170932335370056","0.247110744931935","1.20068274594548","330","c(""LRP1"", ""RPS29"", ""PLAUR"", ""CD44"", ""RPS2"", ""SPRY4"", ""ADAM17"", ""PTPRA"", ""TGM2"", ""HSPA9"", ""ITGA5"", ""MAP4K4"", ""SNAP23"", ""FLOT2"", ""RPL23"", ""RPL30"", ""PPP1CC"", ""RPL22"", ""HSP90B1"", ""MRC2"", ""ADAM10"", ""IRF2"", ""NUMB"", ""JAK2"", ""ASAP3"", ""RAC1"", ""GJA1"", ""PPIB"", ""ARHGAP22"", ""ARPC1B"", ""AVIL"", ""PCBP2"", ""RPL37A"", ""BCAR1"", ""ITGB1BP1"", ""DLC1"", ""RPLP2"", ""CAPN2"", ""LAYN"", ""PDGFRB"", ""ITGA2"", ""DAB2"", ""MAPRE2"", ""PGM5"", ""RHOA"", ""RPLP0"", ""HSPA1A"", ""SCARB2"", ""RDX"", ""RPL38"", ""RPL31"", ""MAPK3"", ""SVIL"", ""DDR2"", ""PTPN12"", ""RPS15"", 
""TNS2"", ""FLOT1"", ""RPLP1"", ""NCSTN"", ""RPS17"", ""CDH13"", ""IL1RL1"", ""PPIA"", ""CD46"", ""VIM"", ""PEAK1"", ""NCKAP1"", ""RPS4X"", ""FBLIM1"", ""YES1"", ""ARHGAP24"", ""RPS8"", ""ARF1"", ""PXN"", ""ACTG1"", ""STX16"", ""RPL10A"", ""PI4KA"", ""MMP14"", ""GIT2"", ""SLC9A1"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.0152412529949226","0.242482888603184","0.380730400722792","0.280306886116629","1.35044769309527","307","c(""CLMP"", ""PLAUR"", ""EFNA5"", ""TFPI"", ""CD44"", ""C3"", ""ADAMTS9"", ""IL15RA"", ""NOTCH3"", ""ADAM17"", ""PTPRT"", ""ITGA5"", ""NOTCH1"", ""EMP2"", ""ANTXR2"", ""PDIA4"", ""CNTNAP2"", ""ADAM10"", ""PCSK6"", ""TGFB1"", ""SLC3A2"", ""IQGAP2"", ""ENO1"", ""HAVCR2"", ""ARSB"", ""CLSTN3"", ""APP"", ""FZD4"", ""VEGFA"", ""DCBLD2"", ""IL6ST"", ""NLGN4Y"", ""NRXN1"", ""PDGFRA"", ""ECE1"", ""HM13"", ""ENO2"", ""TNFRSF14"", ""MIF"", ""TNFRSF1A"", ""CAPN2"", ""LAYN"", ""ABCA1"", ""PDGFRB"", ""ITGA2"", ""MSR1"", ""CRYAB"", ""PLXNB2"", ""IL13RA1"", ""HLA-C"", ""CD55"", ""IL1R1"", ""HNRNPU"", ""FURIN"", ""PAM"", 
""SERPINE2"", ""ACKR3"", ""FLOT1"", ""ERP44"", ""LDLR"", ""ADGRF5"", ""CDH13"", ""IL1RL1"", ""CD46"", ""SLC7A11"", ""SULF2"", ""NOTCH2"", ""SORL1"", ""BMPR2"", ""LMAN2"", ""IDE"", ""ACVR1B"", ""RTN4RL1"", ""FGF10"", ""KCNB1"", ""SCARB1"", ""CD63"", ""NRDC"", ""TRPC4"", ""SDC2"", ""KCNQ3"", ""RER1"", ""SLC9A1"", ""CLEC2B"", ""LPAR1"", ""TNFRSF10D"", ""PSEN1"", ""GPC6"", ""NLGN4X"", ""CD302"", ""CD276"", ""SLC11A2"", ""PTGFRN"", ""P4HB"", ""ATP5F1B"", ""MSN"", ""MFGE8"", ""ZPLD1"", ""DCC"", ""MAP3K5"", ""PTPRK"", ""OSMR"", ""CLSTN2"", ""CALR"", ""IL15"")"
