"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.167832167832168","0.663794485190487","0.101713902282311","-0.369395571268171","-1.09833502621167","164","c(""FGL2"", ""ITPKB"", ""NPNT"", ""NLGN1"", ""TFRC"", ""HES1"", ""MYL9"", ""CDON"", ""CDH1"", ""JAM3"", ""EXT1"", ""NR4A3"", ""NECTIN2"", ""BMP7"", ""BCL2"", ""CD9"", ""FLNA"", ""ADGRL3"", ""TENM2"", ""BOC"", ""ERBB2"", ""LAMB1"", ""CRB1"", ""PTPRU"", ""BMP6"", ""CDH5"", ""SWAP70"", ""ASTN2"", ""PEAR1"", ""NCK2"", ""WNT5A"", ""ALCAM"", ""FAT1"", ""KLF4"", ""VCAM1"", ""RAB10"", ""PDLIM5"", ""DSP"", ""GLI2"", ""SCARF2"", ""TLN2"", ""OBSCN"", ""PAK4"", ""MAGI1"", ""CCN1"", ""LPP"", ""SPINT2"", ""CD46"", ""STXBP3"", ""ATP2C1"", ""JAM2"", ""IL1RAPL1"", ""PTPRM"", ""NPTN"", ""NEXN"", ""THBS4"", ""VEZT"", ""CD2AP"", 
""PKP2"", ""CADM1"", ""TJP2"", ""ITGA11"", ""DLG5"", ""TLN1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.16983016983017","0.664034007197546","0.100990587455923","-0.414632350455863","-1.15557692516181","49","c(""FGL2"", ""ITPKB"", ""TFRC"", ""HES1"", ""EXT1"", ""NR4A3"", ""BMP7"", ""ERBB2"", ""NCK2"", ""KLF4"", ""VCAM1"", ""GLI2"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.000143972156180359","0.0513983374098617","0.518848077743792","-0.522967487535496","-1.49084347079928","71","c(""ITPKB"", ""SFRP2"", ""NPNT"", ""NEDD9"", ""CCDC80"", ""TFRC"", ""HES1"", ""DOCK5"", ""TPM1"", ""NR4A3"", ""BMP7"", ""FOXC2"", ""LDB1"", ""FLNA"", ""EPB41L4B"", ""ERBB2"", ""ABI3BP"", ""CDC42"", ""PTPRU"", ""COL16A1"", ""COL8A1"", ""NCK2"", ""WNT5A"", ""ECM2"", ""VCAM1"", ""GLI2"", ""COL26A1"", ""MAGI1"", ""CCN1"", ""PTPRJ"", ""CD46"", ""IFT74"", ""EGFLAM"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.044","0.405528662420382","0.213927855492356","-0.4836204997895","-1.3058812274293","34","c(""ITPKB"", ""TFRC"", ""HES1"", ""NR4A3"", ""BMP7"", ""PTPRU"", ""NCK2"", ""WNT5A"", ""VCAM1"", ""GLI2"", ""MAGI1"", ""CD46"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0793969849246231","0.510571106597597","0.156312403073186","-0.498851181094101","-1.28267957744898","23","c(""ITPKB"", ""TFRC"", ""HES1"", ""NR4A3"", ""NCK2"", ""VCAM1"", ""GLI2"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.00568867929109876","0.213823563248573","0.407017918923954","-0.432793486978579","-1.27611763047236","138","c(""FGL2"", ""ITPKB"", ""SFRP2"", ""NPNT"", ""NEDD9"", ""CCDC80"", ""TFRC"", ""HES1"", ""DOCK5"", ""LMO7"", ""TPM1"", ""PPP1CB"", ""CDH1"", ""JAM3"", ""NR4A3"", ""PLXNA2"", ""BMP7"", ""BCL2"", ""FOXC2"", ""TBCD"", ""CD9"", ""LDB1"", ""FLNA"", ""EPB41L4B"", ""ERBB2"", ""ABI3BP"", ""CDC42"", ""PTPRU"", ""COL16A1"", ""BMP6"", ""COL8A1"", ""SWAP70"", ""ACTN4"", ""NCK2"", ""WNT5A"", ""ECM2"", ""KLF4"", ""VCAM1"", ""CLASP2"", ""GLI2"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0779220779220779","0.508279480308932","0.157402899305283","-0.421425479944927","-1.19609867541644","66","c(""FGL2"", ""ITPKB"", ""TFRC"", ""HES1"", ""CDH1"", ""NR4A3"", ""BMP7"", ""CD9"", ""ERBB2"", ""PTPRU"", ""BMP6"", ""SWAP70"", ""NCK2"", ""WNT5A"", ""KLF4"", ""VCAM1"", ""GLI2"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.028971028971029","0.367355214373479","0.266350657088526","-0.384958853084664","-1.16494439101554","238","c(""ATP1B1"", ""PATJ"", ""NEDD9"", ""PLEC"", ""AMOTL2"", ""LMO7"", ""PARD3B"", ""PPP1CB"", ""FRMD4A"", ""TGFBR1"", ""CDH1"", ""JAM3"", ""ITGBL1"", ""NECTIN2"", ""FLNB"", ""WTIP"", ""SHROOM3"", ""EPB41L2"", ""PNN"", ""TSPAN4"", ""TBCD"", ""YWHAZ"", ""CD9"", ""DOCK7"", ""AHNAK"", ""DST"", ""DMD"", ""ANK2"", ""FLNA"", ""ADGRL3"", ""ITGB8"", ""EPB41L4B"", ""CRB1"", ""RPL18"", ""CDC42"", ""FXYD1"", ""PTPRU"", ""CDH5"", ""ACTN4"", ""ARHGAP31"", ""PAK1"", ""LIMA1"", ""ALCAM"", ""FAT1"", ""RAB10"", ""CLASP2"", ""MDC1"", ""PDLIM5"", ""DSP"", ""ARL14EP"", ""LSR"", ""SCARF2"", ""SYNPO2"", ""YWHAE"", ""TLN2"", ""ITGB4"", 
""FRS2"", ""WDR1"", ""OBSCN"", ""GAB1"", ""PRAG1"", ""PAK4"", ""DLL1"", ""MAGI1"", ""MXRA8"", ""JCAD"", ""LPP"", ""PTPRJ"", ""CORO1C"", ""CAT"", ""RPL7A"", ""FBF1"", ""CD99L2"", ""PIP5K1A"", ""CD46"", ""TNK2"", ""PRKCI"", ""NPM1"", ""JAM2"", ""HSPG2"", ""LPXN"", ""WASF1"", ""PDCD6IP"", ""AKAP6"", ""EIF4G2"", ""PARD6G"", ""ARPC2"", ""PTPRM"", ""PIK3R1"", ""RPL3"", ""NEXN"", ""PKN2"", ""RPS18"", ""VEZT"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.290709290709291","0.787009062032448","0.0713052987340038","-0.360117328107127","-1.06382649644078","143","c(""NEDD9"", ""PLEC"", ""LMO7"", ""PPP1CB"", ""ITGBL1"", ""NECTIN2"", ""FLNB"", ""EPB41L2"", ""TSPAN4"", ""YWHAZ"", ""CD9"", ""DOCK7"", ""AHNAK"", ""DST"", ""DMD"", ""FLNA"", ""ITGB8"", ""RPL18"", ""CDC42"", ""ACTN4"", ""ARHGAP31"", ""PAK1"", ""LIMA1"", ""ALCAM"", ""FAT1"", ""RAB10"", ""CLASP2"", ""MDC1"", ""ARL14EP"", ""SCARF2"", ""SYNPO2"", ""YWHAE"", ""TLN2"", ""ITGB4"", ""PRAG1"", ""PAK4"", ""LPP"", ""CORO1C"", ""CAT"", ""RPL7A"", ""CD99L2"", ""PIP5K1A"", ""CD46"", ""NPM1"", ""HSPG2"", ""LPXN"", ""WASF1"", ""PDCD6IP"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.028687382876793","0.367355214373479","0.352487857583619","-0.420368159929723","-1.23069289726107","116","c(""NLGN1"", ""TFRC"", ""LMO7"", ""ADGRA3"", ""INTU"", ""SULF1"", ""UNC5C"", ""ANTXR1"", ""TGFBR1"", ""DIP2A"", ""ITGBL1"", ""NECTIN2"", ""CD9"", ""TMEM8B"", ""DMD"", ""CLEC2D"", ""FGFR2"", ""FCGRT"", ""ITGB8"", ""F3"", ""SLC4A4"", ""CDH5"", ""WNT5A"", ""ANXA4"", ""CUBN"", ""ALCAM"", ""ROR1"", ""VCAM1"", ""LIFR"", ""PLA2R1"", ""SCUBE1"", ""ABCB1"", ""ITGB4"", ""INSR"", ""TRPV1"", ""MXRA8"", ""USP14"", ""PTPRJ"", ""CD99L2"", ""CD46"", ""JAM2"", ""IL1RAPL1"", ""SORL1"", ""ADGRA2"", ""NPTN"", ""FZD6"", ""NOTCH2"", ""HLA-B"", ""ACVR2A"", ""ITGA11"", ""TLN1"", ""ATP5F1A"", ""MYO18A"")"
