"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.0289877715901246","0.30656851773465","0.352487857583619","0.381094423290803","1.18766153880873","208","c(""BCL6"", ""CYP1B1"", ""VMP1"", ""PLAUR"", ""CD44"", ""CNTN4"", ""RUNX1"", ""PTPRG"", ""MAPK14"", ""NFKBIZ"", ""FLOT2"", ""CDH13"", ""ZMIZ1"", ""PDLIM1"", ""JAK2"", ""CTNNB1"", ""FAT3"", ""TGFB1"", ""IL4R"", ""ITGA5"", ""LYN"", ""ITGA2"", ""VEGFA"", ""FYN"", ""CBLB"", ""CDH11"", ""CDH4"", ""CLSTN2"", ""CEBPB"", ""CD55"", ""LIMS1"", ""KIF26B"", ""IGSF11"", ""UBASH3B"", ""EFNA5"", ""GOLPH3"", ""DLG1"", ""PTPRT"", ""PDGFRA"", ""TENM4"", ""ST3GAL4"", ""LRRC7"", ""PCDH7"", ""NLGN4X"", ""PAG1"", ""TENM1"", ""PTPN2"", ""IL6ST"", ""TNFSF13B"", ""RIPK2"", ""ABL1"", ""ITGAE"", ""KIFAP3"", ""ACTN1"", ""STAT5B"", 
""PLPP3"", ""CARD11"", ""PTPN11"", ""NTNG1"", ""LEF1"", ""NRXN1"", ""PKHD1"", ""NCAM2"", ""PCDH11X"", ""CNTN5"", ""DSCAM"", ""PRKCA"", ""ZFP36L1"", ""C1QTNF1"", ""PVR"", ""SDK1"", ""MSN"", ""CD58"", ""SKAP1"", ""ZBTB1"", ""NDFIP1"", ""CDH18"", ""ITGA10"", ""DNAJB6"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.0679320679320679","0.405807852392791","0.169570644405628","0.409169593307692","1.21157674892027","75","c(""BCL6"", ""CD44"", ""RUNX1"", ""NFKBIZ"", ""FLOT2"", ""ZMIZ1"", ""JAK2"", ""IL4R"", ""ITGA5"", ""LYN"", ""FYN"", ""CBLB"", ""CEBPB"", ""CD55"", ""GOLPH3"", ""DLG1"", ""ST3GAL4"", ""PAG1"", ""PTPN2"", ""IL6ST"", ""TNFSF13B"", ""RIPK2"", ""STAT5B"", ""CARD11"", ""PTPN11"", ""LEF1"", ""MSN"", ""SKAP1"", ""ZBTB1"", ""NDFIP1"", ""NCK1"", ""PIK3CA"", ""GCNT1"", ""SIRPA"", ""CBFB"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.030189326713701","0.30656851773465","0.352487857583619","0.405257615355086","1.23164420432854","119","c(""BCL6"", ""ZFHX3"", ""PLAUR"", ""CD44"", ""RUNX1"", ""NFKBIZ"", ""FLOT2"", ""EDIL3"", ""CDH13"", ""ZMIZ1"", ""JAK2"", ""IL4R"", ""ITGA5"", ""LYN"", ""ITGA2"", ""VEGFA"", ""FYN"", ""CD55"", ""TRIOBP"", ""LIMS1"", ""KIF26B"", ""TFE3"", ""MAP4K4"", ""TGM2"", ""ST3GAL4"", ""STX3"", ""IL6ST"", ""TNFSF13B"", ""RIPK2"", ""ABL1"", ""PPP3CA"", ""KIFAP3"", ""STAT5B"", ""PLPP3"", ""CARD11"", ""RIN2"", ""FERMT2"", ""PTPN11"", ""DNM2"", ""LEF1"", ""NID1"", ""PRKCA"", ""GSK3B"", ""CALR"", ""SKAP1"", ""ZBTB1"", ""RREB1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.0649350649350649","0.400530753152815","0.173747838999571","0.422220985228693","1.23432471118563","63","c(""BCL6"", ""PLAUR"", ""CD44"", ""RUNX1"", ""NFKBIZ"", ""FLOT2"", ""ZMIZ1"", ""JAK2"", ""IL4R"", ""LYN"", ""FYN"", ""CD55"", ""KIF26B"", ""ST3GAL4"", ""IL6ST"", ""TNFSF13B"", ""RIPK2"", ""KIFAP3"", ""STAT5B"", ""PLPP3"", ""CARD11"", ""PTPN11"", ""LEF1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0679320679320679","0.405807852392791","0.169570644405628","0.428917244186057","1.24086225077849","53","c(""BCL6"", ""CD44"", ""RUNX1"", ""NFKBIZ"", ""FLOT2"", ""ZMIZ1"", ""JAK2"", ""IL4R"", ""LYN"", ""FYN"", ""CD55"", ""ST3GAL4"", ""IL6ST"", ""TNFSF13B"", ""RIPK2"", ""STAT5B"", ""CARD11"", ""PTPN11"", ""LEF1"", ""SKAP1"", ""ZBTB1"", ""NCK1"", ""PIK3CA"", ""SIRPA"", ""CBFB"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.00253438170945597","0.142572218254638","0.431707695803346","0.406494143252422","1.26448353453115","196","c(""BCL6"", ""CYP1B1"", ""ZFHX3"", ""SEMA5A"", ""PLAUR"", ""CD44"", ""RUNX1"", ""PTPRG"", ""MAPK14"", ""NFKBIZ"", ""FLOT2"", ""EDIL3"", ""APOD"", ""CDH13"", ""ZMIZ1"", ""ABL2"", ""JAK2"", ""TGFB1"", ""IL4R"", ""ITGA5"", ""LYN"", ""SPRY4"", ""ITGA2"", ""CORO2B"", ""VEGFA"", ""FYN"", ""CBLB"", ""CEBPB"", ""CD55"", ""TRIOBP"", ""LIMS1"", ""KIF26B"", ""CYTH1"", ""BCAS3"", ""UBASH3B"", ""EFNA5"", ""SPOCK1"", ""TFE3"", ""SERPINE1"", ""DLG1"", ""MAP4K4"", ""ARHGAP6"", ""TGM2"", ""ST3GAL4"", ""STX3"", ""SEMA3E"", ""PAG1"", ""PTPN2"", ""IL6ST"", ""TNFSF13B"", ""RIPK2"", ""ABL1"", ""PPP3CA"", ""KIFAP3"", ""STAT5B"", 
""PLPP3"", ""CARD11"", ""RIN2"", ""FERMT2"", ""PTPN11"", ""DNM2"", ""LEF1"", ""NID1"", ""PKHD1"", ""TGFBI"", ""DSCAM"", ""PRKCA"", ""GSK3B"", ""C1QTNF1"", ""LIMCH1"", ""CALR"", ""SLK"", ""SKAP1"", ""ZBTB1"", ""SLC9A1"", ""RREB1"", ""NDFIP1"", ""ADAM10"", ""DLC1"", ""NCK1"", ""ZDHHC2"", ""PTEN"", ""CSF1"", ""FAM107A"", ""PIK3CA"", ""PTPRA"", ""SIRPA"", ""RAC1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.028687382876793","0.30656851773465","0.352487857583619","0.414070547283521","1.24477237289845","99","c(""BCL6"", ""PLAUR"", ""CD44"", ""RUNX1"", ""PTPRG"", ""MAPK14"", ""NFKBIZ"", ""FLOT2"", ""ZMIZ1"", ""JAK2"", ""TGFB1"", ""IL4R"", ""LYN"", ""VEGFA"", ""FYN"", ""CBLB"", ""CEBPB"", ""CD55"", ""KIF26B"", ""UBASH3B"", ""EFNA5"", ""DLG1"", ""ST3GAL4"", ""PAG1"", ""PTPN2"", ""IL6ST"", ""TNFSF13B"", ""RIPK2"", ""ABL1"", ""KIFAP3"", ""STAT5B"", ""PLPP3"", ""CARD11"", ""PTPN11"", ""LEF1"", ""PKHD1"", ""PRKCA"", ""C1QTNF1"", ""SKAP1"", ""ZBTB1"", ""NDFIP1"", ""NCK1"", ""ZDHHC2"", ""PIK3CA"", ""SIRPA"", ""CBFB"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.27972027972028","0.697851168439404","0.0732558655828455","0.333762704812021","1.04809856979578","274","c(""SPECC1L"", ""PLAUR"", ""CD44"", ""LIN7A"", ""CLMP"", ""KAZN"", ""IRF2"", ""FLOT2"", ""NIBAN2"", ""BCAR1"", ""CDH13"", ""GJA1"", ""PDLIM1"", ""JAK2"", ""CTNNB1"", ""ITGA5"", ""LYN"", ""SPRY4"", ""ITGA2"", ""FLRT2"", ""CORO2B"", ""VEGFA"", ""KLHL24"", ""HSP90B1"", ""CDH11"", ""AHI1"", ""PTPN12"", ""TRIOBP"", ""LIMS1"", ""CYTH1"", ""LRP1"", ""ARPC1B"", ""RAP1B"", ""SNAP23"", ""IGSF11"", ""SORBS1"", ""UBA1"", ""CNTNAP2"", ""EFNA5"", ""RND3"", ""SIPA1L3"", ""DLG1"", ""MAP4K4"", ""ARHGAP26"", ""MAP2K1"", ""TRPC6"", ""TGM2"", ""ADAM17"", ""ASH1L"", ""SYNPO"", ""YWHAG"", ""EPB41L3"", ""HYOU1"", ""STX3"", ""DIXDC1"", 
""STARD8"", ""TSPAN9"", ""CDC42EP4"", ""YBX3"", ""TNFSF13B"", ""PPP3CA"", ""ACTN1"", ""PLPP3"", ""PDIA3"", ""RPS29"", ""BMPR2"", ""FERMT2"", ""DNM2"", ""TMEM65"", ""PRKD1"", ""SAV1"", ""TES"", ""LAMA1"", ""PTPRK"", ""SGSM3"", ""AKAP12"", ""DBN1"", ""PVR"", ""CALR"", ""MSN"", ""PABPC1"", ""SKAP1"", ""KRIT1"", ""RAB21"", ""AMOTL1"", ""SLC9A1"", ""NCKAP1"", ""NUMB"", ""SHROOM2"", ""CDH18"", ""MPDZ"", ""ADAM10"", ""DLC1"", ""ACTN2"", ""NCK1"", ""PARD3"", ""FAM107A"", ""PIK3CA"", ""PTPRA"", ""SCARB2"", ""RAC1"", ""KRAS"", ""CTTN"", ""CDC42BPA"", ""FZD4"", ""CD59"", ""PARVB"", ""USP33"", ""GAK"", ""HSPA1A"", ""FRMD6"", 
""RPL37A"", ""ARHGAP17"", ""GIT2"", ""JAG1"", ""TNS2"", ""ARHGAP24"", ""PI4KA"", ""RHOU"", ""GJC1"", ""G3BP1"", ""PXN"", ""PIKFYVE"", ""KIF23"", ""STX16"", ""P4HB"", ""PCBP2"", ""VAPA"", ""SVIL"", ""PPIB"", ""FBLIM1"", ""KIRREL3"", ""FRMD5"", ""LIN7C"", ""NF2"", ""HCK"", ""CHP1"", ""PEAK1"", ""FLCN"", ""CLDN12"", ""HSPA8"", ""SYMPK"", ""RPL31"", ""SYNM"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.763236763236763","0.966431201272978","0.025411808387565","0.302337227988807","0.935190330369698","175","c(""PLAUR"", ""CD44"", ""IRF2"", ""FLOT2"", ""BCAR1"", ""CDH13"", ""GJA1"", ""PDLIM1"", ""JAK2"", ""CTNNB1"", ""ITGA5"", ""SPRY4"", ""ITGA2"", ""FLRT2"", ""CORO2B"", ""HSP90B1"", ""PTPN12"", ""TRIOBP"", ""LIMS1"", ""LRP1"", ""ARPC1B"", ""SNAP23"", ""SORBS1"", ""RND3"", ""MAP4K4"", ""ARHGAP26"", ""MAP2K1"", ""TGM2"", ""ADAM17"", ""YWHAG"", ""HYOU1"", ""DIXDC1"", ""STARD8"", ""TSPAN9"", ""TNFSF13B"", ""ACTN1"", ""PDIA3"", ""RPS29"", ""FERMT2"", ""DNM2"", ""TES"", ""AKAP12"", ""PVR"", ""CALR"", ""MSN"", ""PABPC1"", ""RAB21"", ""SLC9A1"", ""NCKAP1"", ""NUMB"", ""ADAM10"", ""DLC1"", ""ACTN2"", ""FAM107A"", 
""PTPRA"", ""SCARB2"", ""RAC1"", ""KRAS"", ""CTTN"", ""CD59"", ""PARVB"", ""USP33"", ""GAK"", ""HSPA1A"", ""RPL37A"", ""GIT2"", ""TNS2"", ""ARHGAP24"", ""PI4KA"", ""RHOU"", ""G3BP1"", ""PXN"", ""KIF23"", ""STX16"", ""P4HB"", ""PCBP2"", ""SVIL"", ""PPIB"", ""FBLIM1"", ""HCK"", ""CHP1"", ""PEAK1"", ""HSPA8"", ""RPL31"", ""APBB1IP"", ""SNTB1"", ""ASAP3"", ""FLT1"", ""RPS7"", ""CLTC"", ""CLASP1"", ""MPZL1"", ""FLOT1"", ""PALLD"", ""ITGB1"", ""YWHAB"", ""PTK2B"", ""MMP14"", ""MPRIP"", ""SHROOM4"", ""RHOA"", ""MRC2"", ""ENG"", ""SYNE2"", ""CAV2"", ""ANXA6"", ""NHS"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.000371389785067097","0.080004209050593","0.49849310876659","0.433561752153374","1.33697071850434","166","c(""TFPI"", ""ADAMTS9"", ""PLAUR"", ""CD44"", ""IL1R1"", ""C3"", ""ECE1"", ""CLMP"", ""MAP3K5"", ""CDH13"", ""IDE"", ""OSMR"", ""TNFRSF1A"", ""TGFB1"", ""IL4R"", ""ERP44"", ""ABCC4"", ""ITGA5"", ""ITGA2"", ""NRDC"", ""VEGFA"", ""PAM"", ""MFGE8"", ""PDIA4"", ""PCSK6"", ""KLRD1"", ""CLSTN2"", ""CD55"", ""LDLR"", ""ACVR1B"", ""HM13"", ""CNTNAP2"", ""EFNA5"", ""PICALM"", ""ARSB"", ""SLC1A1"", ""ENO1"", ""PTPRT"", ""GRIN2B"", ""PDGFRA"", ""ADAM17"", ""NLGN4X"", ""IL6ST"", ""IL13RA1"", ""ITGAE"", ""LPAR1"", ""PDIA3"", ""BMPR2"", ""FERMT2"", ""PTGFRN"", ""NRXN1"", ""PKHD1"", ""TMC1"", ""ANTXR2"", ""PTPRK"", ""IQGAP2"", 
""ROR2"", ""PVR"", ""CALR"", ""ENPEP"", ""MSN"", ""CD58"", ""SLC9A1"", ""LMAN2"", ""ITGA10"", ""ADAM10"", ""CRYAB"", ""KCNQ3"", ""PPFIA2"", ""GSR"", ""CD302"", ""SIRPA"", ""CD200"", ""KCNH5"", ""LRPAP1"", ""GRIN2A"", ""FZD4"", ""CD36"", ""EPHA5"", ""CD59"", ""UNC5D"", ""SLC11A2"", ""ENTPD6"", ""ENO2"", ""ABCA1"")"
