,show,Aggregated,pathway,gs_number,gs_description,pval,padj,log2err,ES,NES,size,leadingEdge
1,,Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.028077114,0.394756208,0.352487858,0.195676334,1.13854977,387,"c(""PTPN2"", ""LILRB1"", ""IL7"", ""KIFC3"", ""RIPK2"", ""PCDH15"", ""CD44"", ""DCC"", ""ANXA2"", ""ITGAX"", ""ALCAM"", ""FAT3"", ""VEGFA"", ""NOD2"", ""NRXN1"", ""TWSG1"", ""TENM1"", ""ACTN1"", ""PTPN22"", ""COL19A1"", ""BCL6"", ""ZDHHC2"", ""MEGF11"", ""FLOT2"", ""NF2"", ""AFDN"", ""FYN"", ""DAB1"", ""ZBTB1"", ""PLAUR"", ""RHOH"", ""CNTN5"", ""ITGA1"", ""TFRC"", ""PIK3CB"", ""CDH13"", ""MALT1"", ""NECTIN2"", ""HMCN1"", ""SLC39A8"", ""CD55"", ""PTPRC"", ""CELSR1"", ""TMEM131L"", ""PRKCA"", ""PTPRD"", ""ALOX5"", ""CD58"", ""CTNNA1"", ""CLSTN2"", ""ASTN2"", ""TENM3"", ""RHOA"", ""VMP1"", ""PTPRT"", ""SLC7A1"", 
""DUSP10"", ""MAP3K8"", ""LIMS1"", ""ACVR1"", ""EXT1"", ""MYO10"", ""SKAP1"", ""LYN"", ""FLNA"", ""EPB41L5"", ""DLG4"", ""HSPD1"", ""DNAJB6"", ""PTPRM"", ""NLGN4X"", ""IL4R"", ""TJP2"", ""PTPN11"", ""CTNNA3"", ""GLDN"", ""CDH18"", ""TMOD3"", ""CTNNA2"", ""PCDH7"", ""PKP2"", ""STXBP1"", ""UNC5D"", ""PKD1"", ""UBASH3B"", ""GPNMB"", ""JAK3"", ""OLR1"", ""EMILIN2"", ""RUNX3"", ""DLG1"", ""NTN1"", ""MYH9"", ""ETS1"", ""IL1RAPL1"", ""STK10"", ""EZR"", ""RDX"", ""LAPTM5"", ""SDK2"", ""COL14A1"", ""IL1RAP"", ""ROBO1"", ""CADM1"", ""STXBP3"", ""TNIP1"", ""F11R"", ""LRRC4C"", ""CNTN4"", ""VSIR"", ""PAG1"", ""CD93"")"
2,,Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.256637168,0.742344183,0.083129129,-0.265939266,-1.112349923,164,"c(""HLA-DMA"", ""IL6ST"", ""HLA-DRB5"", ""LOXL3"", ""IGF1"", ""CD74"", ""HLA-DPA1"", ""HLA-DMB"", ""JAK2"", ""SYK"", ""HLA-DRB1"", ""HMGB1"", ""HLA-DPB1"", ""CSK"", ""PECAM1"", ""TGFBR2"", ""IL2RA"", ""NCKAP1L"", ""VAV1"", ""CARD11"", ""CD276"", ""HLA-DQA1"", ""NFKBID"", ""CD83"", ""HLA-DRA"", ""FOXO3"", ""DLG5"", ""CD4"", ""FGL2"", ""DUSP22"", ""CEBPB"")"
3,,Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.333692142,0.782060598,0.068151344,-0.250116859,-1.065678014,202,"c(""HLA-DMA"", ""IL6ST"", ""HLA-DRB5"", ""IGF1"", ""CD74"", ""NRP1"", ""HLA-DPA1"", ""HLA-DMB"", ""JAK2"", ""SYK"", ""HLA-DRB1"", ""ADGRG1"", ""HMGB1"", ""HLA-DPB1"", ""CSK"", ""PDGFB"", ""TGFBR2"", ""DAB2"", ""SFRP1"", ""IL2RA"", ""NCKAP1L"", ""ANK3"", ""VAV1"", ""CARD11"", ""CD276"", ""HLA-DQA1"", ""JAK1"", ""NFKBID"", ""TPM1"", ""CD83"", ""HLA-DRA"", ""FOXO3"", ""PREX1"", ""FN1"", ""CDC42"", ""CD4"", ""ATM"", ""TGFB2"", ""PLEKHA2"", ""ZFHX3"")"
4,,Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.071991001,0.534023646,0.175204048,-0.316826324,-1.294181839,124,"c(""HLA-DMA"", ""IL6ST"", ""HLA-DRB5"", ""IGF1"", ""CD74"", ""HLA-DPA1"", ""HLA-DMB"", ""JAK2"", ""SYK"", ""HLA-DRB1"", ""HMGB1"", ""HLA-DPB1"", ""CSK"", ""TGFBR2"", ""IL2RA"", ""NCKAP1L"", ""ANK3"", ""VAV1"", ""CARD11"", ""CD276"", ""HLA-DQA1"", ""JAK1"", ""NFKBID"", ""CD83"", ""HLA-DRA"", ""FOXO3"")"
5,,Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.058411215,0.500605746,0.199915231,-0.335348321,-1.335286959,107,"c(""HLA-DMA"", ""IL6ST"", ""HLA-DRB5"", ""IGF1"", ""CD74"", ""HLA-DPA1"", ""HLA-DMB"", ""JAK2"", ""SYK"", ""HLA-DRB1"", ""HMGB1"", ""HLA-DPB1"", ""CSK"", ""TGFBR2"", ""IL2RA"", ""NCKAP1L"", ""VAV1"", ""CARD11"", ""CD276"", ""HLA-DQA1"", ""NFKBID"", ""CD83"", ""HLA-DRA"", ""FOXO3"")"
6,,Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.539813857,0.866848901,0.043712583,-0.221265117,-0.978362325,353,"c(""HLA-DMA"", ""IL6ST"", ""HLA-DRB5"", ""LOXL3"", ""ST6GAL1"", ""IGF1"", ""TGFB1"", ""CD74"", ""BCAS3"", ""NRP1"", ""HLA-DPA1"", ""HLA-DMB"", ""JAK2"", ""SYK"", ""FBLN1"", ""HLA-DRB1"", ""ADGRG1"", ""HMGB1"", ""CD164"", ""HLA-DPB1"", ""RCC2"", ""CSK"", ""PDGFB"", ""PEAK1"", ""TGFBR2"", ""NUAK1"", ""DAB2"", ""SFRP1"", ""IL2RA"", ""PIK3CG"", ""NCKAP1L"", ""ANK3"", ""PRKCD"", ""VAV1"", ""ACTG1"", ""CARD11"", ""CD276"", ""ABAT"", ""HLA-DQA1"", ""ROCK2"", ""JAK1"", ""PRKG1"", ""NFKBID"", ""TPM1"", ""CD83"", ""HLA-DRA"", ""FOXO3"", ""PREX1"", ""DLG5"", ""FN1"", ""CDC42"", ""DSCAM"", ""CD4"", ""FGL2"", ""KANK1"", 
""ATM"", ""DUSP22"", ""CEBPB"", ""TGFB2"", ""PLEKHA2"", ""ZFHX3"")"
7,,Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.320734341,0.777080799,0.070281284,-0.252822309,-1.075037553,197,"c(""HLA-DMA"", ""IL6ST"", ""HLA-DRB5"", ""LOXL3"", ""IGF1"", ""TGFB1"", ""CD74"", ""HLA-DPA1"", ""HLA-DMB"", ""JAK2"", ""SYK"", ""HLA-DRB1"", ""HMGB1"", ""HLA-DPB1"", ""CSK"", ""TGFBR2"", ""IL2RA"", ""NCKAP1L"", ""ANK3"", ""PRKCD"", ""VAV1"", ""CARD11"", ""CD276"", ""ABAT"", ""HLA-DQA1"", ""JAK1"", ""PRKG1"", ""NFKBID"", ""CD83"", ""HLA-DRA"", ""FOXO3"", ""DLG5"", ""CD4"", ""FGL2"", ""DUSP22"", ""CEBPB"")"
8,,Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.912690355,0.977610555,0.015367633,-0.186327962,-0.834237483,451,"c(""FGF13"", ""TNK2"", ""PLXDC1"", ""FRMD4A"", ""FRMD4B"", ""PARD3B"", ""BCAR3"", ""DDX58"", ""NRP1"", ""IL16"", ""ITGB5"", ""JAK2"", ""ACTB"", ""ATP1B1"", ""ARHGAP22"", ""NPHP4"", ""EPB41L2"", ""FAT1"", ""CSK"", ""FRS2"", ""CDHR3"", ""PEAK1"", ""GAK"", ""GIT2"", ""PECAM1"", ""DAB2"", ""ADAM17"", ""PNN"", ""RAP2B"", ""PLEKHG5"", ""TMEM65"", ""ZYX"", ""MAPRE2"", ""ANK3"", ""PRKCD"", ""VAV1"", ""ACTG1"", ""RPS11"", ""PGM5"", ""CDH12"", ""TIAM1"", ""KAZN"", ""AKAP6"", ""PARD3"", ""JAML"", ""ARHGAP24"", ""JAK1"", ""RPL4"", ""ACTR2"", ""CTNND1"", ""ITGB8"", ""MARCKS"", ""ITGA6"", ""RPL3"", ""SORBS1"", ""RPL6"", 
""TGFBR1"", ""PDZD2"", ""ANK2"", ""PKN2"", ""CAT"", ""DMD"", ""CDC42"", ""GAB1"", ""RPLP1"", ""NCKAP1"", ""EGFR"", ""RPS19"", ""PAK2"", ""SDCCAG8"", ""EVL"")"
9,,Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.729166667,0.925970388,0.241339977,0.164695405,0.924967045,280,"c(""LCP1"", ""SLA"", ""PPP1CB"", ""SDCBP"", ""FLT1"", ""IGF2R"", ""TES"", ""MAP2K1"", ""PTK2B"", ""CD44"", ""PRKAR2A"", ""ALCAM"", ""GNA12"", ""HSPA1A"", ""PTPN12"", ""ACTN1"", ""FLNB"", ""FLOT2"", ""ALOX15B"", ""CAPN2"", ""KRAS"", ""PLAUR"", ""ITGA1"", ""DNM2"", ""CDH13"", ""NECTIN2"", ""HMCN1"")"
10,,Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.163201663,0.666076338,0.105920293,-0.263169288,-1.157521283,293,"c(""HLA-DMA"", ""CSF1R"", ""IL6ST"", ""MRC1"", ""CLEC2D"", ""FCGRT"", ""TGFB1"", ""PDGFC"", ""CD74"", ""MAP3K5"", ""ADGRG6"", ""ANXA4"", ""CD200R1"", ""KCNQ1"", ""HLA-DPA1"", ""CSF3R"", ""ITGB5"", ""C3"", ""CSF2RA"", ""HLA-DRB1"", ""LPAR1"", ""ABCC4"", ""HMGB1"", ""HLA-DPB1"", ""PDGFB"", ""TLR4"", ""FGFR2"", ""TGFBR2"", ""ROR2"", ""SFRP1"", ""ADAM17"", ""AXL"", ""IL2RA"", ""SCARB1"", ""ANK3"", ""CD302"", ""CD84"", ""CD276"", ""ACVR2A"", ""ADGRA3"", ""CLSTN1"", ""TSPAN15"", ""ITGB8"", ""IL6R"", ""ITGA6"", ""CD83"", ""HLA-DRA"", ""TGFBR1"", ""FAM234A"", ""DMD"", ""CD4"", ""EGFR"", ""VAMP4"", ""SLC4A4"", 
""TRPV1"", ""CLEC7A"", ""ARSB"", ""TRPV4"", ""IQGAP2"", ""SULF1"", ""TYROBP"", ""SORL1"", ""INTU"", ""ADGRV1"", ""EPHA4"", ""DIP2A"")"
