"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.757396449704142","1","0.119348440591015","0.162979789057308","0.910469998956916","317","c(""LIMS1"", ""KIRREL1"", ""BCL2"", ""RUNX3"", ""DLG5"", ""MSN"", ""JAG1"", ""HSPB1"", ""EFNA5"", ""COL13A1"", ""BAIAP2"", ""CD9"", ""SDK2"", ""PIEZO1"", ""NPHP4"", ""SEMA4D"", ""CEBPB"", ""PPIA"", ""PEAR1"", ""ALCAM"", ""HSPD1"", ""PELI1"", ""TENM4"", ""ACVR1"", ""SMAD7"", ""ANXA1"", ""NOTCH1"", ""GNAS"", ""ACTN1"", ""CD164"", ""ITPKB"", ""PTPRD"", ""IL6ST"", ""CCN1"", ""ZFP36L1"", ""MAGI1"", ""BCL6"", ""BSG"", ""XBP1"", ""ESAM"", ""ASS1"", ""CLDN12"", ""TRAF6"", ""HMGB1"", ""ITGA9"", ""DNAJB6"", ""HSPH1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.202127659574468","0.903742859578822","0.186432558434075","0.233790997639057","1.12017633510299","96","c(""RUNX3"", ""DLG5"", ""MSN"", ""SEMA4D"", ""CEBPB"", ""HSPD1"", ""PELI1"", ""SMAD7"", ""ANXA1"", ""ITPKB"", ""IL6ST"", ""BCL6"", ""XBP1"", ""ASS1"", ""TRAF6"", ""HMGB1"", ""HSPH1"", ""ZDHHC21"", ""ZMIZ1"", ""DLG1"", ""MAP3K8"", ""FLOT2"", ""CBFB"", ""SDC4"", ""B2M"", ""ETS1"", ""TFRC"", ""CD44"", ""GLI3"", ""PTPN2"", ""FYN"", ""NCK2"", ""IL4R"", ""NFAT5"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.339055793991416","0.987197181360173","0.156312403073186","0.2048356471179","1.04808674857202","157","c(""LIMS1"", ""MAP4K4"", ""RUNX3"", ""UTRN"", ""ZFHX3"", ""TFE3"", ""PIEZO1"", ""HSPD1"", ""SMAD7"", ""CDK6"", ""ANXA1"", ""PRKD2"", ""EMP2"", ""TGM2"", ""PPP3CA"", ""ITPKB"", ""IL6ST"", ""CCN1"", ""P4HB"", ""MAGI1"", ""BCL6"", ""XBP1"", ""CRKL"", ""TRAF6"", ""HMGB1"", ""HSPH1"", ""EDIL3"", ""ZMIZ1"", ""SFRP1"", ""RIN2"", ""ATM"", ""MAP3K8"", ""RSU1"", ""ABL1"", ""FLOT2"", ""CBFB"", ""SDC4"", ""B2M"", ""ETS1"", ""TFRC"", ""ARHGEF7"", ""RREB1"", ""VEGFA"", ""CD44"", ""GLI3"", ""PRKCE"", ""FYN"", ""NCK2"", ""IL4R"", ""PREX1"", ""NFAT5"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.457627118644068","1","0.115734447701689","0.22123591482357","0.996170913259833","75","c(""RUNX3"", ""PIEZO1"", ""HSPD1"", ""SMAD7"", ""ANXA1"", ""ITPKB"", ""IL6ST"", ""MAGI1"", ""BCL6"", ""XBP1"", ""TRAF6"", ""HMGB1"", ""HSPH1"", ""ZMIZ1"", ""MAP3K8"", ""FLOT2"", ""CBFB"", ""B2M"", ""ETS1"", ""TFRC"", ""CD44"", ""GLI3"", ""FYN"", ""NCK2"", ""IL4R"", ""NFAT5"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.2398753894081","0.928884395011796","0.158514105424824","0.267570841333757","1.14675989505064","57","c(""RUNX3"", ""HSPD1"", ""ANXA1"", ""ITPKB"", ""IL6ST"", ""BCL6"", ""XBP1"", ""TRAF6"", ""HMGB1"", ""HSPH1"", ""ZMIZ1"", ""MAP3K8"", ""FLOT2"", ""CBFB"", ""B2M"", ""ETS1"", ""TFRC"", ""CD44"", ""GLI3"", ""FYN"", ""NCK2"", ""IL4R"", ""NFAT5"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.358695652173913","1","0.172324344900946","0.184335717032937","1.0156184134529","289","c(""LIMS1"", ""PPP2CA"", ""MAP4K4"", ""BCL2"", ""RUNX3"", ""UTRN"", ""DLG5"", ""ZFHX3"", ""TFE3"", ""JAG1"", ""EFNA5"", ""CD9"", ""PIEZO1"", ""SEMA4D"", ""CEBPB"", ""HSPD1"", ""PELI1"", ""RASA1"", ""SMAD7"", ""CDK6"", ""ANXA1"", ""PRKD2"", ""NOTCH1"", ""EMP2"", ""TGM2"", ""THBS1"", ""CD164"", ""PPP3CA"", ""ITPKB"", ""IL6ST"", ""CCN1"", ""ARHGDIA"", ""P4HB"", ""MAGI1"", ""BCL6"", ""XBP1"", ""CRKL"", ""ASS1"", ""ADAM10"", ""TRAF6"", ""DLC1"", ""HMGB1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.401639344262295","1","0.13880510939114","0.206938752514766","1.03194745670629","132","c(""RUNX3"", ""DLG5"", ""JAG1"", ""EFNA5"", ""CD9"", ""PIEZO1"", ""CEBPB"", ""HSPD1"", ""PELI1"", ""SMAD7"", ""ANXA1"", ""NOTCH1"", ""ITPKB"", ""IL6ST"", ""MAGI1"", ""BCL6"", ""XBP1"", ""ASS1"", ""TRAF6"", ""HMGB1"", ""HSPH1"", ""ZDHHC21"", ""ZMIZ1"", ""DLG1"", ""ZDHHC2"", ""MAP3K8"", ""TGFB1"", ""ABL1"", ""FLOT2"", ""CBFB"", ""NEXMIF"", ""SDC4"", ""B2M"", ""ETS1"", ""TFRC"", ""VEGFA"", ""CD44"", ""GLI3"", ""C1QTNF1"", ""PTPN2"", ""FYN"", ""NCK2"", ""IL4R"", ""NFAT5"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.984962406015038","1","0.11776578836269","0.144999704731593","0.842997889183043","460","c(""LIMS1"", ""HSPA8"", ""MAP4K4"", ""KIRREL1"", ""HSPA5"", ""MSN"", ""YWHAG"", ""JAG1"", ""NHS"", ""HSPB1"", ""ITGBL1"", ""EFNA5"", ""COL13A1"", ""BAIAP2"", ""CD9"", ""TRPC4"", ""MAPRE2"", ""HNRNPK"", ""NPHP4"", ""PPIA"", ""ALCAM"", ""SORBS3"", ""CD59"", ""SMAD7"", ""ANXA1"", ""NOTCH1"", ""HSPA1B"", ""PAK1"", ""SYNPO"", ""TGM2"", ""ACTN1"", ""RPL12"", ""HSPA1A"", ""PPP3CA"", ""TGFB1I1"", ""PTPRK"", ""YBX3"", ""GJC1"", ""P4HB"", ""MAGI1"", ""BSG"", ""ESAM"", ""PMP22"", ""ARPC3"", ""ARHGAP26"", ""ADAM10"", ""CLDN12"", ""SYNM"", ""DLC1"", ""DCTN4"", ""PPP1CB"", ""BCAR1"", ""MAP2K1"", ""PARVA"", ""HSP90B1"", 
""NDRG1"", ""TNS3"", ""IRF2"", ""ANXA6"", ""CAP1"", ""PRKD1"", ""RPL9"", ""CDC42EP4"", ""SYNPO2"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.716666666666667","1","0.118815039412263","0.170733700364466","0.938038225659673","291","c(""LIMS1"", ""HSPA8"", ""MAP4K4"", ""HSPA5"", ""MSN"", ""YWHAG"", ""NHS"", ""HSPB1"", ""ITGBL1"", ""CD9"", ""MAPRE2"", ""HNRNPK"", ""PPIA"", ""ALCAM"", ""SORBS3"", ""CD59"", ""ANXA1"", ""HSPA1B"", ""PAK1"", ""TGM2"", ""ACTN1"", ""RPL12"", ""HSPA1A"", ""TGFB1I1"", ""P4HB"", ""BSG"", ""ARPC3"", ""ARHGAP26"", ""ADAM10"", ""DLC1"", ""DCTN4"", ""PPP1CB"", ""BCAR1"", ""MAP2K1"", ""PARVA"", ""HSP90B1"", ""TNS3"", ""IRF2"", ""ANXA6"", ""CAP1"", ""RPL9"", ""SYNPO2"", ""LASP1"", ""RPL37A"", ""PGM5"", ""ARPC1B"", ""FAT1"", ""PIP5K1C"", ""RPL4"", ""RPL23"", ""PTPN12"", ""RSU1"", ""FLOT2"", ""SH3KBP1"", ""MYH9"", ""G3BP1"", 
""HSPA9"", ""RPS29"", ""SDC4"", ""B2M"", ""PFN1"", ""RPL38"", ""ARHGEF7"", ""MPRIP"", ""ACTR2"", ""RPS14"", ""EGFR"", ""YWHAB"", ""CYFIP1"", ""CD44"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.00161897751740466","0.17155855540849","0.45505986738723","0.271410913883431","1.46188770342126","235","c(""SDC2"", ""BGN"", ""LDLR"", ""AXL"", ""HSPA5"", ""TSPAN14"", ""HSP90AB1"", ""ADAMTS9"", ""PDGFA"", ""MSN"", ""ITGBL1"", ""EFNA5"", ""NRDC"", ""NOTCH3"", ""ECE1"", ""CD9"", ""TRPC4"", ""TFPI"", ""ABCB1"", ""KCNQ3"", ""ALCAM"", ""HSPD1"", ""LAMP1"", ""CD59"", ""KLRD1"", ""ANXA1"", ""NOTCH1"", ""EMP2"", ""THBS1"", ""CPM"", ""ARSB"", ""NCAM1"", ""FCGRT"", ""PTPRK"", ""IL6ST"", ""P4HB"", ""UNC5C"", ""BCAM"", ""ADAM10"", ""HMGB1"", ""SLC7A5"", ""MFGE8"", ""ITGA9"", ""IL6R"", ""ADGRA2"", ""HLA-B"", ""ERP44"", ""MAP3K5"", ""PDIA4"", ""CRYAB"", ""RTN4RL1"", ""SULF2"", ""SFRP1"", ""SPARC"", ""ITGA7"", ""MYO18A"", 
""ATP5F1A"")"
