geneSym,FC_ADvsMCI,LOG10 FC,t_ADvsMCI,p_ADvsMCI
PJA1,0.969020173,-0.013667182,-0.959161192,0.365564604
IL1RAP,1.00601468,0.002604318,0.032642083,0.97475972
CLN6,0.815904293,-0.088360782,-1.696984787,0.128136208
SLC7A8,0.968097373,-0.014080958,-0.382542472,0.712022033
UAP1L1,0.955783589,-0.019640431,0.011574296,0.991048687
IMP3,1.050943276,0.021579276,-0.201019286,0.845700261
APOA4,0.850213756,-0.070471873,-0.15421809,0.88125731
HSD11B1,1.075545565,0.031628814,1.967050784,0.08472926
CHAC2,0.987958402,-0.005261341,-2.207515942,0.058306469
STX2,0.889017318,-0.051089779,-0.883940745,0.402510758
MAN2B2,0.721423029,-0.141809998,-2.073882354,0.071794617
FBH1,0.85707582,-0.066980757,-1.476198319,0.178133325
PPP1R1A,1.318127251,0.119957339,1.982897523,0.082677108
H3-3A,1.043405676,0.018453195,1.518068099,0.16747646
KATNAL1,0.992186307,-0.003406771,-1.228369919,0.254217074
GTF2F1,0.858336457,-0.066342441,-2.840637118,0.021790598
ZNF488,1.213536618,0.084052885,2.018785256,0.078205776
FABP5,0.909717254,-0.041093568,-1.077190089,0.312802572
GABRA3,0.974025974,-0.011429462,-1.024097116,0.335756052
ALDH9A1,1.047950208,0.020340648,1.633210545,0.14106722
H2AC6,1.311497386,0.117767429,2.191619791,0.059769849
PARP14,0.897246453,-0.04708825,-1.019381383,0.337856178
GRIA2,1.001491054,0.000647074,-1.27890771,0.236777866
HLA-B,0.647446912,-0.188795836,-2.98160438,0.017557375
TMEM168,0.946234087,-0.024001411,-1.124122426,0.293557355
H4C1,1.077392347,0.032373886,2.670691503,0.028331859
VRK2,1.070976148,0.029779799,0.921773483,0.383602899
IP6K1,1.006510158,0.002818162,-0.604837373,0.562045913
APC,1.118214633,0.048525171,2.00351205,0.08007931
CFAP58,0.714285714,-0.146128036,-2.963987005,0.018036019
IPO4,0.886634165,-0.052255538,-1.007264618,0.343298548
KDSR,1.058129305,0.024538742,1.019051523,0.338003456
MOB4,0.911731465,-0.040133057,-4.177576851,0.003089856
TMEM98,1.170293283,0.068294712,1.760635979,0.116334075
GATAD2A,1.070308461,0.029508959,0.828410856,0.431456624
RBM4B,0.9909948,-0.003928624,0.231557355,0.822694734
C11orf96,0.667580719,-0.175496215,-1.765391015,0.115494493
SAV1,1.000976148,0.000423729,0.260850855,0.800796645
GSTM1,0.617852147,-0.20911544,-0.872018788,0.408605681
SLC37A4,0.809239702,-0.091922818,-1.141470859,0.286687851
IFIH1,0.839490256,-0.07598434,-0.787200279,0.453852227
MFN2,1.050398316,0.021354017,0.897717256,0.395549266
CEP43,1.113801453,0.04680778,1.139014526,0.287652545
RGL1,1.067055394,0.028186965,0.484980737,0.640691013
ZNF806,1.029241495,0.012517287,3.898456719,0.004554555
ITPA,1.10466144,0.043229194,0.162070838,0.875268736
TMEM63A,0.895828726,-0.047775015,-1.859094394,0.100069693
FGL1,0.654285971,-0.184232392,-2.170055462,0.061813181
ACTMAP,0.868697479,-0.061131439,-0.421720243,0.684332945
MED15,1.105772653,0.043665845,2.119939099,0.06683153
GPATCH11,1.006802721,0.002944381,-0.829017115,0.431132952
C2orf49,1.034674896,0.014803912,1.681301084,0.131210554
CDC42BPG,0.971898883,-0.012378917,-0.241679514,0.815108181
BZW2,0.921483097,-0.035512627,-0.627558111,0.547783356
SERPINF1,0.688320805,-0.162209104,-1.133404134,0.289865775
SFI1,1.049156273,0.020840182,-0.102948766,0.920537503
MYL4,0.769995804,-0.113511641,-1.774094542,0.113972446
