"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.000518517534579416","0.0112137485071698","0.477270815362862","0.2680143370599","1.4500784836574","453","c(""TGFB2"", ""MAP2K5"", ""CDH5"", ""CDH11"", ""KIRREL1"", ""TJP1"", ""JAM2"", ""EFNB2"", ""EFNB1"", ""ICAM1"", ""ITGA9"", ""TGFBR2"", ""ARG1"", ""BMP5"", ""PRKG1"", ""PTPRU"", ""NT5E"", ""ALCAM"", ""DSP"", ""ANXA2"", ""HMCN1"", ""PCDHGB4"", ""MPZL2"", ""IGF2"", ""GPC6"", ""TRIM29"", ""NECTIN3"", ""CD83"", ""CD34"", ""DSC2"", ""PKP2"", ""ITGAX"", ""NLGN3"", ""METTL3"", ""FGL2"", ""JUP"", ""PCDH10"", ""CD177"", ""JAK2"", ""GPAM"", ""MAGI1"", ""NPNT"", ""ASS1"", ""ADIPOQ"", ""RGCC"", ""METAP1"", ""ITGA2B"", ""EMB"", ""NRXN2"", ""IL18"", ""CAV1"", ""CBLN1"", ""PVR"", ""SRC"", ""CCN3"", ""NECTIN2"", ""MMRN1"", ""CD55"", 
""BAIAP2L1"", ""CBFB"", ""DSG2"", ""EGFR"", ""LRRC7"", ""EMILIN2"", ""ITGA1"", ""CLDN4"", ""LGALS3"", ""HBB"", ""CXADR"", ""RAB10"", ""FADD"", ""SHC1"", ""VCAM1"", ""PRDX2"", ""PTPRG"", ""EPHA7"", ""SART1"", ""RAC2"", ""VSIR"", ""CBLL1"", ""HLA-A"", ""HLA-DRB1"", ""JAM3"", ""B2M"", ""WNT5A"", ""LAMB1"", ""ITGAL"", ""PDGFRA"", ""APOA1"", ""TLN2"", ""GPC4"", ""S100A11"", ""PIK3R6"", ""PCDHA6"", ""ADAM9"", ""COL14A1"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""ITGA8"", ""LILRB1"", ""SLC7A11"", ""CASP3"", ""CDH22"", ""TNXB"", ""CD300A"", ""NCK2"", ""CYP1B1"", ""MYADM"", ""RIPK2"", ""BMP7"", ""PIK3CA"", 
""MAD1L1"", ""MAPK7"", ""ERBB2"", ""NEGR1"", ""CDH23"", ""VEZT"", ""ROCK1"", ""LGALS1"", ""STXBP6"", ""NINJ1"", ""CLSTN1"", ""ESAM"", ""IGSF21"", ""PDE5A"", ""LIMS1"", ""S100A9"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.0668202764976959","0.266667137140881","0.266350657088526","0.255310685167546","1.23762866418816","170","c(""JAM2"", ""EFNB2"", ""EFNB1"", ""ICAM1"", ""TGFBR2"", ""ARG1"", ""NT5E"", ""IGF2"", ""CD83"", ""FGL2"", ""CD177"", ""JAK2"", ""GPAM"", ""ASS1"", ""IL18"", ""CAV1"", ""SRC"", ""CD55"", ""CBFB"", ""LGALS3"", ""FADD"", ""VCAM1"", ""PRDX2"", ""SART1"", ""RAC2"", ""VSIR"", ""HLA-A"", ""HLA-DRB1"", ""B2M"", ""ITGAL"", ""PIK3R6"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""CASP3"", ""CD300A"", ""NCK2"", ""RIPK2"", ""BMP7"", ""PIK3CA"", ""MAD1L1"", ""ERBB2"", ""ROCK1"", ""LGALS1"", ""PDE5A"", ""S100A9"", ""TFRC"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.063607900775591","0.259728055812629","0.287805130535564","0.241960486549408","1.22800415329413","245","c(""TGFB2"", ""OLFM4"", ""TJP1"", ""EFNB2"", ""SFRP2"", ""EFNB1"", ""TGFBR2"", ""PTPRU"", ""EMILIN1"", ""CHRD"", ""VIT"", ""PLEKHA2"", ""IGF2"", ""CD83"", ""S100A10"", ""JUP"", ""JAK2"", ""GPAM"", ""MAGI1"", ""NPNT"", ""COL16A1"", ""LIF"", ""CSF1"", ""EFEMP2"", ""IL18"", ""CAV1"", ""SRC"", ""HRG"", ""MMRN1"", ""CD55"", ""NRP1"", ""CBFB"", ""EMILIN2"", ""FADD"", ""VCAM1"", ""NEDD9"", ""P4HB"", ""SART1"", ""VSIR"", ""HLA-A"", ""HLA-DRB1"", ""B2M"", ""WNT5A"", ""APOA1"", ""PIK3R6"", ""ADAM9"", ""GSK3B"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""NCK2"", ""MYADM"", ""CRKL"", ""RIPK2"", 
""BMP7"", ""PIK3CA"", ""SMAD3"", ""ERBB2"", ""ROCK1"", ""LGALS1"", ""ABI3BP"", ""FMN1"", ""RREB1"", ""LIMS1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.2152466367713","0.501953230806272","0.140406238523342","0.238050551561721","1.11498878130879","134","c(""TJP1"", ""EFNB2"", ""EFNB1"", ""TGFBR2"", ""PTPRU"", ""IGF2"", ""CD83"", ""JAK2"", ""GPAM"", ""MAGI1"", ""IL18"", ""CAV1"", ""SRC"", ""MMRN1"", ""CD55"", ""CBFB"", ""EMILIN2"", ""FADD"", ""VCAM1"", ""SART1"", ""VSIR"", ""HLA-A"", ""HLA-DRB1"", ""B2M"", ""WNT5A"", ""PIK3R6"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""NCK2"", ""RIPK2"", ""BMP7"", ""PIK3CA"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.196120689655172","0.47842610598322","0.144630528034484","0.249236184605033","1.12975036431717","105","c(""EFNB2"", ""EFNB1"", ""TGFBR2"", ""IGF2"", ""CD83"", ""JAK2"", ""GPAM"", ""IL18"", ""CAV1"", ""SRC"", ""CD55"", ""CBFB"", ""FADD"", ""VCAM1"", ""SART1"", ""VSIR"", ""HLA-A"", ""HLA-DRB1"", ""B2M"", ""PIK3R6"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""NCK2"", ""RIPK2"", ""PIK3CA"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.000889651547947482","0.0157181826030586","0.477270815362862","0.265668453036853","1.42034812049084","407","c(""TGFB2"", ""COL1A1"", ""MAP2K5"", ""EFNA1"", ""VTN"", ""OLFM4"", ""MMP2"", ""TJP1"", ""DACT2"", ""EFNB2"", ""BST1"", ""SFRP2"", ""EFNB1"", ""SLC9A1"", ""TGFBR2"", ""ARG1"", ""PRKG1"", ""PEAK1"", ""PTPRU"", ""APOD"", ""RASA1"", ""EMILIN1"", ""CHRD"", ""FZD7"", ""VIT"", ""PLEKHA2"", ""IGF2"", ""SERPINI1"", ""CD83"", ""PHLDB2"", ""S100A10"", ""PLXNC1"", ""METTL3"", ""PLXND1"", ""FGL2"", ""JUP"", ""JAK2"", ""GPAM"", ""MAGI1"", ""NPNT"", ""ASS1"", ""COL16A1"", ""ADIPOQ"", ""LAMA4"", ""RGCC"", ""LIF"", ""CSF1"", ""RCC2"", ""EFEMP2"", ""IL18"", ""CAV1"", ""SRC"", ""ARHGAP6"", ""HRG"", ""MMRN1"", ""CD55"", ""NRP1"", 
""CBFB"", ""TGFBI"", ""EMILIN2"", ""LGALS3"", ""FAF1"", ""FADD"", ""ROCK2"", ""VCAM1"", ""PIK3R1"", ""NEDD9"", ""PML"", ""PRDX2"", ""PTPRG"", ""EPHA7"", ""P4HB"", ""SART1"", ""RAC2"", ""VSIR"", ""CBLL1"", ""HLA-A"", ""HLA-DRB1"", ""JAM3"", ""B2M"", ""WNT5A"", ""APOA1"", ""PIK3R6"", ""ADAM9"", ""GSK3B"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""CASP3"", ""CD300A"", ""NF1"", ""NCK2"", ""CYP1B1"", ""KNG1"", ""MYADM"", ""CRKL"", ""RIPK2"", ""BMP7"", ""PIK3CA"", ""MAD1L1"", ""MAPK7"", ""SMAD3"", ""ERBB2"", ""ARHGDIA"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.100656455142232","0.33786090571615","0.208955027549354","0.23263241800962","1.1640430415038","211","c(""MAP2K5"", ""TJP1"", ""EFNB2"", ""EFNB1"", ""TGFBR2"", ""ARG1"", ""PRKG1"", ""PTPRU"", ""IGF2"", ""CD83"", ""METTL3"", ""FGL2"", ""JAK2"", ""GPAM"", ""MAGI1"", ""ASS1"", ""ADIPOQ"", ""RGCC"", ""IL18"", ""CAV1"", ""SRC"", ""MMRN1"", ""CD55"", ""CBFB"", ""EMILIN2"", ""LGALS3"", ""FADD"", ""VCAM1"", ""PRDX2"", ""PTPRG"", ""EPHA7"", ""SART1"", ""VSIR"", ""HLA-A"", ""HLA-DRB1"", ""B2M"", ""WNT5A"", ""APOA1"", ""PIK3R6"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""CASP3"", ""CD300A"", ""NCK2"", ""MYADM"", ""RIPK2"", ""BMP7"", ""PIK3CA"", ""MAD1L1"", ""MAPK7"", ""ERBB2"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.242225859247136","0.533961684253663","0.109684061970549","-0.197005975653754","-1.06431597090205","612","c(""DMD"", ""MAPRE1"", ""JAK1"", ""PTK2"", ""ACTB"", ""CLDN5"", ""PPP1CA"", ""EZR"", ""RPL37A"", ""RPL38"", ""CDC42BPB"", ""RPL27"", ""RPS8"", ""MYO1E"", ""RPL5"", ""RPL18"", ""KCNA5"", ""XIRP1"", ""ZFYVE21"", ""RPL7A"", ""GIT1"", ""BCAR3"", ""PPP1CB"", ""RPL22"", ""EPPK1"", ""PPL"", ""RPS3A"", ""PDLIM4"", ""RPL4"", ""CTTN"", ""PTK2B"", ""CNN3"", ""RPS13"", ""RPL3"", ""PDLIM5"", ""WDR1"", ""SRP68"", ""RPL13A"", ""FLII"", ""KAZN"", ""RPS15"", ""PLEKHA7"", ""ARPC5L"", ""RPL31"", ""RPS11"", ""CSRP2"", ""RPL8"", ""PDPK1"", ""ZNF185"", ""MICALL2"", ""RPS18"", ""RPL19"", ""CLTC"", ""ARHGEF7"", ""HSPB1"", ""PKN2"", 
""CLASP2"", ""SNTB1"", ""TSPAN33"", ""CDC42EP4"", ""AJM1"", ""AJUBA"", ""RPL7"", ""BAIAP2"", ""PKP4"", ""EIF4G2"", ""MTDH"", ""HACD3"", ""ITGB8"", ""OCLN"", ""FAT1"", ""PTPRA"", ""ARPC3"", ""PALS1"", ""GAK"", ""RPS4X"", ""RPL6"", ""SORBS2"", ""CNN2"", ""TBCD"", ""RPL9"", ""ITGB4"", ""PCDH1"", ""CRB2"", ""EPB41L4B"", ""P2RX7"", ""PNN"", ""ITGB5"", ""TMEM65"", ""FLOT2"", ""MPDZ"", ""MARVELD3"", ""FXYD1"", ""DBN1"", ""OPALIN"", ""ITGA6"", ""PRKCG"", ""TRPV4"", ""SLC4A2"", ""SYNE2"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.0487964967190941","0.233971794756135","0.321775918075361","-0.240228698751662","-1.23433545464841","370","c(""DMD"", ""MAPRE1"", ""JAK1"", ""PTK2"", ""ACTB"", ""EZR"", ""RPL37A"", ""RPL38"", ""RPL27"", ""RPS8"", ""RPL5"", ""RPL18"", ""XIRP1"", ""ZFYVE21"", ""RPL7A"", ""GIT1"", ""BCAR3"", ""PPP1CB"", ""RPL22"", ""EPPK1"", ""RPS3A"", ""RPL4"", ""CTTN"", ""PTK2B"", ""CNN3"", ""RPS13"", ""RPL3"", ""SRP68"", ""RPL13A"", ""FLII"", ""RPS15"", ""ARPC5L"", ""RPL31"", ""RPS11"", ""CSRP2"", ""RPL8"", ""PDPK1"", ""ZNF185"", ""RPS18"", ""RPL19"", ""CLTC"", ""ARHGEF7"", ""HSPB1"", ""CLASP2"", ""SNTB1"", ""AJUBA"", ""RPL7"", ""HACD3"", ""ITGB8"", ""FAT1"", ""PTPRA"", ""ARPC3"", ""GAK"", ""RPS4X"", ""RPL6"", ""SORBS2"", ""CNN2"", 
""RPL9"", ""ITGB4"", ""ITGB5"", ""FLOT2"", ""ITGA6"", ""TRPV4"", ""SLC4A2"", ""SYNE2"", ""ACTR2"", ""ARPC2"", ""SDC4"", ""RPS17"", ""MCAM"", ""PI4KA"", ""RPL10A"", ""RPS9"", ""ACTR3"", ""FLOT1"", ""DST"", ""CD151"", ""RPL23"", ""ANXA1"", ""CORO1C"", ""RPS7"", ""BSG"", ""CNN1"", ""PPFIA1"", ""RPS2"", ""ACTN3"", ""RPS14"", ""PALLD"", ""DDR2"", ""MAPK1"", ""FLNA"", ""CSRP1"", ""ACTN1"", ""PRUNE1"", ""ACTN4"", ""CSPG4"", ""EFS"", ""ITGAV"", ""NCKAP1"", ""EPB41L5"", ""TGFB1I1"", ""RDX"", ""SH3KBP1"", ""CD44"", ""BCAR1"", ""TNS3"", ""ITGA3"", ""MSN"", ""MAP2K2"", ""FZD1"", ""AIF1L"", ""CD46"", ""HCK"", ""ANXA6"", 
""RPS5"", ""PCBP2"", ""SCARB2"", ""GNA13"", ""IQGAP1"", ""ACTN2"", ""RPL30"", ""TRIP6"", ""LPP"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","6.17873701197468e-05","0.00198787514237111","0.538434096309916","0.285850749805052","1.52851714930529","405","c(""F10"", ""F2"", ""CDH5"", ""ANPEP"", ""JAM2"", ""LAMP1"", ""SLC9A1"", ""TPBG"", ""SDC2"", ""SCARA5"", ""ICAM1"", ""ITGA9"", ""TGFBR2"", ""PLAT"", ""CLMP"", ""SCUBE1"", ""NT5E"", ""ALCAM"", ""ACE"", ""ANO6"", ""ANXA2"", ""MPZL1"", ""RTN2"", ""SCNN1G"", ""ENG"", ""GPC6"", ""CD83"", ""CD34"", ""GSR"", ""NRDC"", ""ITGAX"", ""NLGN3"", ""AZGP1"", ""CLU"", ""CD8A"", ""ENPP1"", ""MXRA8"", ""OIT3"", ""ADIPOQ"", ""FGF10"", ""SERPINA5"", ""ENPEP"", ""NOTCH2"", ""ITGA2B"", ""SLC6A1"", ""VAMP5"", ""SULF2"", ""EGFL7"", ""CSF1R"", ""PVR"", ""NECTIN2"", ""HLA-F"", ""HRG"", ""CD55"", ""DSG2"", ""EGFR"", ""ECE1"", ""ITGA1"", 
""LGALS3"", ""IGHV3-53"", ""CNTFR"", ""VASN"", ""PDGFRB"", ""LPAR1"", ""WNT6"", ""PKD1L3"", ""ENTPD6"", ""HSPA5"", ""VCAM1"", ""TNFRSF10B"", ""P4HB"", ""MIF"", ""LEPR"", ""SLC2A4"", ""HLA-A"", ""HLA-DRB1"", ""FAM234A"", ""B2M"", ""WNT5A"", ""ABCB1"", ""ITGAL"", ""PDGFRA"", ""GPC4"", ""BST2"", ""TF"", ""ABCA7"", ""ADAM9"", ""ADA"", ""APP"", ""LRPAP1"", ""PDIA4"", ""ITGA8"", ""LILRB1"", ""HSP90AB1"", ""APOH"", ""SLC7A11"", ""ANXA5"", ""SCUBE3"", ""NGFR"")"
