"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.69030969030969","1","0.0305608138615649","-0.31181981231","-0.956961023445172","209","c(""ELMO2"", ""JAK1"", ""PTK2"", ""ACTB"", ""CLDN5"", ""PPP1CA"", ""EZR"", ""PRKCQ"", ""SOX9"", ""AP3D1"", ""ITCH"", ""FGL1"", ""ITGA7"", ""TRAF6"", ""PTPN23"", ""CNN3"", ""PDLIM5"", ""PLEKHA7"", ""RIC8A"", ""HMGB1"", ""ZDHHC2"", ""ITPKB"", ""HSPB1"", ""AJUBA"", ""ABAT"", ""AP3B1"", ""BAIAP2"", ""FCGR2B"", ""CYFIP2"", ""PKP4"", ""TWSG1"", ""LGALS9"", ""HLA-E"", ""FAT1"", ""HLA-DMB"", ""PCDH1"", ""CRB2"", ""ITGB5"", ""FLOT2"", ""ITGA6"", ""TRPV4"", ""HLA-DMA"", ""SOX2"", ""DOCK8"", ""FGA"", ""SDC4"", ""KIFAP3"", ""TENM4"", ""LYN"", ""VMP1"", ""PTPN6"", ""CCN1"", ""IRAK1"", ""ST3GAL4"", ""HLA-DQB1"", ""FLOT1"", 
""FNDC3A"", ""ATP2C1"", ""MYL9"", ""ICAM3"", ""SRPX2"", ""SLC7A1"", ""ANXA1"", ""DUSP3"", ""BSG"", ""SPINT2"", ""FGFRL1"", ""CLDN12"", ""MPZ"", ""PALLD"", ""FGG"", ""BAD"", ""ADGRL3"", ""ABL1"", ""AKNA"", ""FLNA"", ""CSRP1"", ""ACTN1"", ""CTNNA2"", ""ITGAV"", ""FGB"", ""ADTRP"", ""EPB41L5"", ""HLA-DQA2"", ""NRXN1"", ""RDX"", ""ALOX5"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.697302697302697","1","0.0300618095810087","-0.316005099357778","-0.922352107100181","74","c(""EZR"", ""PRKCQ"", ""AP3D1"", ""ITCH"", ""FGL1"", ""TRAF6"", ""HMGB1"", ""ITPKB"", ""AP3B1"", ""FCGR2B"", ""TWSG1"", ""LGALS9"", ""HLA-E"", ""HLA-DMB"", ""FLOT2"", ""HLA-DMA"", ""DOCK8"", ""SDC4"", ""LYN"", ""PTPN6"", ""IRAK1"", ""ST3GAL4"", ""HLA-DQB1"", ""SLC7A1"", ""ANXA1"", ""DUSP3"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.58041958041958","1","0.0387962208304479","-0.324386087805541","-0.973545278627703","122","c(""PREX1"", ""JAK1"", ""DOCK5"", ""PRKCQ"", ""UNC13D"", ""AP3D1"", ""TRAF6"", ""PTPN23"", ""PTK2B"", ""PRKD2"", ""SFRP1"", ""HMGB1"", ""ITPKB"", ""ARHGEF7"", ""AP3B1"", ""IFT74"", ""LGALS9"", ""HLA-E"", ""HLA-DMB"", ""EPB41L4B"", ""FLOT2"", ""HLA-DMA"", ""SOX2"", ""DOCK8"", ""ARPC2"", ""FGA"", ""SDC4"", ""KIFAP3"", ""HSD17B12"", ""LYN"", ""PTPN6"", ""CCN1"", ""IRAK1"", ""CARMIL1"", ""TSC1"", ""ST3GAL4"", ""HLA-DQB1"", ""FLOT1"", ""SLC7A1"", ""ANXA1"", ""FGG"", ""BAD"", ""FLCN"", ""ABL1"", ""FLNA"", ""UTRN"", ""ITGAV"", ""FGB"", ""EPB41L5"", ""HLA-DQA2"", ""ALOX5"", ""CD44"", ""CCDC80"", ""ITGA3"", ""CSPG5"", 
""STX3"", ""TPM1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.424575424575425","1","0.0531298054705469","-0.357086016887054","-1.03286477605965","63","c(""JAK1"", ""PRKCQ"", ""AP3D1"", ""TRAF6"", ""PTPN23"", ""HMGB1"", ""ITPKB"", ""AP3B1"", ""LGALS9"", ""HLA-E"", ""HLA-DMB"", ""FLOT2"", ""HLA-DMA"", ""SOX2"", ""DOCK8"", ""FGA"", ""KIFAP3"", ""LYN"", ""PTPN6"", ""IRAK1"", ""ST3GAL4"", ""HLA-DQB1"", ""FLOT1"", ""SLC7A1"", ""ANXA1"", ""FGG"", ""BAD"", ""FGB"", ""HLA-DQA2"", ""ALOX5"", ""CD44"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.665334665334665","1","0.0323604297137014","-0.32566361848732","-0.927364971089819","51","c(""PRKCQ"", ""AP3D1"", ""TRAF6"", ""HMGB1"", ""ITPKB"", ""AP3B1"", ""LGALS9"", ""HLA-E"", ""HLA-DMB"", ""FLOT2"", ""HLA-DMA"", ""DOCK8"", ""LYN"", ""PTPN6"", ""IRAK1"", ""ST3GAL4"", ""HLA-DQB1"", ""SLC7A1"", ""ANXA1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.703296703296703","1","0.0296354881939192","-0.310918872895534","-0.953104860807779","194","c(""MACF1"", ""DDR1"", ""PREX1"", ""JAK1"", ""PTK2"", ""DOCK5"", ""CDKN2A"", ""PRKCQ"", ""SOX9"", ""UNC13D"", ""AP3D1"", ""ITCH"", ""PPP1CB"", ""FGL1"", ""TRAF6"", ""PTPN23"", ""PTK2B"", ""PRKD2"", ""SFRP1"", ""MYF5"", ""WASHC2C"", ""HMGB1"", ""ZDHHC2"", ""ITPKB"", ""ARHGEF7"", ""CLASP2"", ""ABAT"", ""AP3B1"", ""FCGR2B"", ""PKP4"", ""TWSG1"", ""IFT74"", ""LGALS9"", ""HLA-E"", ""PTPRA"", ""HLA-DMB"", ""TBCD"", ""EPB41L4B"", ""FLOT2"", ""TRPV4"", ""HLA-DMA"", ""SOX2"", ""DOCK8"", ""ARPC2"", ""FGA"", ""SDC4"", ""KIFAP3"", ""HSD17B12"", ""LYN"", ""PTPN6"", ""CCN1"", ""IRAK1"", ""CARMIL1"", ""TSC1"", ""ST3GAL4"", 
""HLA-DQB1"", ""FLOT1"", ""SLC7A1"", ""ANXA1"", ""CORO1C"", ""DUSP3"", ""ATXN3"", ""SPINT2"", ""FGG"", ""BAD"", ""FLCN"", ""ABL1"", ""AKNA"", ""FLNA"", ""ACTN4"", ""UTRN"", ""ITGAV"", ""FGB"", ""ADTRP"", ""MELTF"", ""EPB41L5"", ""HLA-DQA2"", ""RDX"", ""ALOX5"", ""CD44"", ""CCDC80"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.451548451548452","1","0.0502948063662358","-0.341745011551913","-1.01376894064334","100","c(""JAK1"", ""PTK2"", ""PRKCQ"", ""AP3D1"", ""ITCH"", ""FGL1"", ""TRAF6"", ""PTPN23"", ""HMGB1"", ""ZDHHC2"", ""ITPKB"", ""ABAT"", ""AP3B1"", ""FCGR2B"", ""TWSG1"", ""LGALS9"", ""HLA-E"", ""HLA-DMB"", ""FLOT2"", ""TRPV4"", ""HLA-DMA"", ""SOX2"", ""DOCK8"", ""FGA"", ""SDC4"", ""KIFAP3"", ""LYN"", ""PTPN6"", ""IRAK1"", ""ST3GAL4"", ""HLA-DQB1"", ""FLOT1"", ""SLC7A1"", ""ANXA1"", ""DUSP3"", ""SPINT2"", ""FGG"", ""BAD"", ""ABL1"", ""AKNA"", ""FGB"", ""ADTRP"", ""EPB41L5"", ""HLA-DQA2"", ""RDX"", ""ALOX5"", ""CD44"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.102897102897103","0.692732464386008","0.135002033828631","-0.352848645817105","-1.10051994668084","335","c(""DMD"", ""MAPRE1"", ""JAK1"", ""PTK2"", ""ACTB"", ""CLDN5"", ""PPP1CA"", ""EZR"", ""RPL37A"", ""RPL38"", ""CDC42BPB"", ""RPL27"", ""RPS8"", ""MYO1E"", ""RPL5"", ""RPL18"", ""KCNA5"", ""XIRP1"", ""ZFYVE21"", ""RPL7A"", ""GIT1"", ""BCAR3"", ""PPP1CB"", ""RPL22"", ""EPPK1"", ""PPL"", ""RPS3A"", ""PDLIM4"", ""RPL4"", ""CTTN"", ""PTK2B"", ""CNN3"", ""RPS13"", ""RPL3"", ""PDLIM5"", ""WDR1"", ""SRP68"", ""RPL13A"", ""FLII"", ""KAZN"", ""RPS15"", ""PLEKHA7"", ""ARPC5L"", ""RPL31"", ""RPS11"", ""CSRP2"", ""RPL8"", ""PDPK1"", ""ZNF185"", ""MICALL2"", ""RPS18"", ""RPL19"", ""CLTC"", ""ARHGEF7"", ""HSPB1"", ""PKN2"", 
""CLASP2"", ""SNTB1"", ""TSPAN33"", ""CDC42EP4"", ""AJM1"", ""AJUBA"", ""RPL7"", ""BAIAP2"", ""PKP4"", ""EIF4G2"", ""MTDH"", ""HACD3"", ""ITGB8"", ""OCLN"", ""FAT1"", ""PTPRA"", ""ARPC3"", ""PALS1"", ""GAK"", ""RPS4X"", ""RPL6"", ""SORBS2"", ""CNN2"", ""TBCD"", ""RPL9"", ""ITGB4"", ""PCDH1"", ""CRB2"", ""EPB41L4B"", ""P2RX7"", ""PNN"", ""ITGB5"", ""TMEM65"", ""FLOT2"", ""MPDZ"", ""MARVELD3"", ""FXYD1"", ""DBN1"", ""OPALIN"", ""ITGA6"", ""PRKCG"", ""TRPV4"", ""SLC4A2"", ""SYNE2"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.115884115884116","0.716256482678126","0.126253987849115","-0.361934490006421","-1.11148299646426","216","c(""DMD"", ""MAPRE1"", ""JAK1"", ""PTK2"", ""ACTB"", ""EZR"", ""RPL37A"", ""RPL38"", ""RPL27"", ""RPS8"", ""RPL5"", ""RPL18"", ""XIRP1"", ""ZFYVE21"", ""RPL7A"", ""GIT1"", ""BCAR3"", ""PPP1CB"", ""RPL22"", ""EPPK1"", ""RPS3A"", ""RPL4"", ""CTTN"", ""PTK2B"", ""CNN3"", ""RPS13"", ""RPL3"", ""SRP68"", ""RPL13A"", ""FLII"", ""RPS15"", ""ARPC5L"", ""RPL31"", ""RPS11"", ""CSRP2"", ""RPL8"", ""PDPK1"", ""ZNF185"", ""RPS18"", ""RPL19"", ""CLTC"", ""ARHGEF7"", ""HSPB1"", ""CLASP2"", ""SNTB1"", ""AJUBA"", ""RPL7"", ""HACD3"", ""ITGB8"", ""FAT1"", ""PTPRA"", ""ARPC3"", ""GAK"", ""RPS4X"", ""RPL6"", ""SORBS2"", ""CNN2"", 
""RPL9"", ""ITGB4"", ""ITGB5"", ""FLOT2"", ""ITGA6"", ""TRPV4"", ""SLC4A2"", ""SYNE2"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.999000999000999","1","0.0014426950408889","-0.237092098772989","-0.726025366646419","190","c(""DMD"", ""ANTXR1"", ""KCNA5"", ""TFPI"", ""SULF1"", ""ITGA7"", ""CLPTM1"", ""SFRP1"", ""VAMP4"", ""HMGB1"", ""SPA17"", ""FGFR2"", ""TSPAN33"", ""TRPV2"", ""FCGR2B"", ""ITGB8"", ""SMIM1"", ""HLA-E"", ""GPC1"", ""IGHV3-49"", ""SLC46A1"", ""EGFL8"", ""CD109"", ""SLC7A5"", ""ITGB4"", ""P2RX7"", ""TMEM123"", ""ITGB5"", ""MYO18A"", ""ITGA6"", ""TRPV4"", ""HLA-DMA"", ""PRND"", ""GRIA2"", ""TMX3"", ""FGA"", ""SDC4"", ""MCAM"", ""IGHV1-24"", ""AIMP1"", ""ROR2"", ""FLOT1"", ""CD151"", ""ATP6AP2"", ""IGHE"", ""HYAL2"", ""SRPX2"", ""ANXA1"", ""CLCN3"", ""SPARC"", ""LDLR"", ""PICALM"", ""LMAN2"", ""FGG"", ""FCGR3A"", 
""ABCC4"", ""LBP"", ""CSPG4"", ""ITGAV"", ""FGB"", ""ADTRP"", ""MELTF"", ""NRXN1"", ""CD44"", ""BCAM"", ""LRRC8A"", ""ITGA3"", ""CSPG5"", ""MSN"", ""IGHV3-23"", ""FZD1"", ""CD46"", ""FOLR1"", ""B4GALT1"", ""AQP4"", ""IL13RA1"", ""HLA-DRA"", ""CTSB"", ""THBS1"", ""PRLR"", ""SLC1A3"", ""SLC32A1"", ""CD74"", ""MICA"", ""EPHA2"", ""NRCAM"", ""AOC3"", ""LMO7"", ""DAG1"", ""MFGE8"", ""CDH2"", ""FCGRT"", ""NPTN"", ""ADCYAP1R1"", ""RPS6KB1"", ""RER1"", ""CD200"", ""FCER1G"", ""PTPRJ"", ""SLC1A2"", ""TNR"", ""SLC1A4"", ""CD38"", ""SORT1"", ""DSCAML1"")"
