"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.0849150849150849","0.615592025096575","0.150169802128406","0.370575369875295","1.11055413039732","245","c(""TGFB2"", ""MAP2K5"", ""CDH5"", ""CDH11"", ""KIRREL1"", ""TJP1"", ""JAM2"", ""EFNB2"", ""EFNB1"", ""ICAM1"", ""ITGA9"", ""TGFBR2"", ""ARG1"", ""BMP5"", ""PRKG1"", ""PTPRU"", ""NT5E"", ""ALCAM"", ""DSP"", ""ANXA2"", ""HMCN1"", ""PCDHGB4"", ""MPZL2"", ""IGF2"", ""GPC6"", ""TRIM29"", ""NECTIN3"", ""CD83"", ""CD34"", ""DSC2"", ""PKP2"", ""ITGAX"", ""NLGN3"", ""METTL3"", ""FGL2"", ""JUP"", ""PCDH10"", ""CD177"", ""JAK2"", ""GPAM"", ""MAGI1"", ""NPNT"", ""ASS1"", ""ADIPOQ"", ""RGCC"", ""METAP1"", ""ITGA2B"", ""EMB"", ""NRXN2"", ""IL18"", ""CAV1"", ""CBLN1"", ""PVR"", ""SRC"", ""CCN3"", ""NECTIN2"", ""MMRN1"", ""CD55"", 
""BAIAP2L1"", ""CBFB"", ""DSG2"", ""EGFR"", ""LRRC7"", ""EMILIN2"", ""ITGA1"", ""CLDN4"", ""LGALS3"", ""HBB"", ""CXADR"", ""RAB10"", ""FADD"", ""SHC1"", ""VCAM1"", ""PRDX2"", ""PTPRG"", ""EPHA7"", ""SART1"", ""RAC2"", ""VSIR"", ""CBLL1"", ""HLA-A"", ""HLA-DRB1"", ""JAM3"", ""B2M"", ""WNT5A"", ""LAMB1"", ""ITGAL"", ""PDGFRA"", ""APOA1"", ""TLN2"", ""GPC4"", ""S100A11"", ""PIK3R6"", ""PCDHA6"", ""ADAM9"", ""COL14A1"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""ITGA8"", ""LILRB1"", ""SLC7A11"", ""CASP3"", ""CDH22"", ""TNXB"", ""CD300A"", ""NCK2"", ""CYP1B1"", ""MYADM"", ""RIPK2"", ""BMP7"", ""PIK3CA"", 
""MAD1L1"", ""MAPK7"", ""ERBB2"", ""NEGR1"", ""CDH23"", ""VEZT"", ""ROCK1"", ""LGALS1"", ""STXBP6"", ""NINJ1"", ""CLSTN1"", ""ESAM"", ""IGSF21"", ""PDE5A"", ""LIMS1"", ""S100A9"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.49050949050949","0.943201922793759","0.0465084048719156","0.348349242917404","1.00296954782497","97","c(""JAM2"", ""EFNB2"", ""EFNB1"", ""ICAM1"", ""TGFBR2"", ""ARG1"", ""NT5E"", ""IGF2"", ""CD83"", ""FGL2"", ""CD177"", ""JAK2"", ""GPAM"", ""ASS1"", ""IL18"", ""CAV1"", ""SRC"", ""CD55"", ""CBFB"", ""LGALS3"", ""FADD"", ""VCAM1"", ""PRDX2"", ""SART1"", ""RAC2"", ""VSIR"", ""HLA-A"", ""HLA-DRB1"", ""B2M"", ""ITGAL"", ""PIK3R6"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""CASP3"", ""CD300A"", ""NCK2"", ""RIPK2"", ""BMP7"", ""PIK3CA"", ""MAD1L1"", ""ERBB2"", ""ROCK1"", ""LGALS1"", ""PDE5A"", ""S100A9"", ""TFRC"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.230769230769231","0.759970126960418","0.0833634065110386","0.371490503378183","1.08102748613994","124","c(""TGFB2"", ""OLFM4"", ""TJP1"", ""EFNB2"", ""SFRP2"", ""EFNB1"", ""TGFBR2"", ""PTPRU"", ""EMILIN1"", ""CHRD"", ""VIT"", ""PLEKHA2"", ""IGF2"", ""CD83"", ""S100A10"", ""JUP"", ""JAK2"", ""GPAM"", ""MAGI1"", ""NPNT"", ""COL16A1"", ""LIF"", ""CSF1"", ""EFEMP2"", ""IL18"", ""CAV1"", ""SRC"", ""HRG"", ""MMRN1"", ""CD55"", ""NRP1"", ""CBFB"", ""EMILIN2"", ""FADD"", ""VCAM1"", ""NEDD9"", ""P4HB"", ""SART1"", ""VSIR"", ""HLA-A"", ""HLA-DRB1"", ""B2M"", ""WNT5A"", ""APOA1"", ""PIK3R6"", ""ADAM9"", ""GSK3B"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""NCK2"", ""MYADM"", ""CRKL"", ""RIPK2"", 
""BMP7"", ""PIK3CA"", ""SMAD3"", ""ERBB2"", ""ROCK1"", ""LGALS1"", ""ABI3BP"", ""FMN1"", ""RREB1"", ""LIMS1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.301698301698302","0.815426804271426","0.0694481442003175","0.377339532129264","1.07089769554133","72","c(""TJP1"", ""EFNB2"", ""EFNB1"", ""TGFBR2"", ""PTPRU"", ""IGF2"", ""CD83"", ""JAK2"", ""GPAM"", ""MAGI1"", ""IL18"", ""CAV1"", ""SRC"", ""MMRN1"", ""CD55"", ""CBFB"", ""EMILIN2"", ""FADD"", ""VCAM1"", ""SART1"", ""VSIR"", ""HLA-A"", ""HLA-DRB1"", ""B2M"", ""WNT5A"", ""PIK3R6"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""NCK2"", ""RIPK2"", ""BMP7"", ""PIK3CA"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.177822177822178","0.701951661301255","0.0982123351217438","0.407250283041795","1.13438626679732","55","c(""EFNB2"", ""EFNB1"", ""TGFBR2"", ""IGF2"", ""CD83"", ""JAK2"", ""GPAM"", ""IL18"", ""CAV1"", ""SRC"", ""CD55"", ""CBFB"", ""FADD"", ""VCAM1"", ""SART1"", ""VSIR"", ""HLA-A"", ""HLA-DRB1"", ""B2M"", ""PIK3R6"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""NCK2"", ""RIPK2"", ""PIK3CA"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0220788405322491","0.459456607885821","0.352487857583619","0.392268402255987","1.17035262765909","214","c(""TGFB2"", ""COL1A1"", ""MAP2K5"", ""EFNA1"", ""VTN"", ""OLFM4"", ""MMP2"", ""TJP1"", ""DACT2"", ""EFNB2"", ""BST1"", ""SFRP2"", ""EFNB1"", ""SLC9A1"", ""TGFBR2"", ""ARG1"", ""PRKG1"", ""PEAK1"", ""PTPRU"", ""APOD"", ""RASA1"", ""EMILIN1"", ""CHRD"", ""FZD7"", ""VIT"", ""PLEKHA2"", ""IGF2"", ""SERPINI1"", ""CD83"", ""PHLDB2"", ""S100A10"", ""PLXNC1"", ""METTL3"", ""PLXND1"", ""FGL2"", ""JUP"", ""JAK2"", ""GPAM"", ""MAGI1"", ""NPNT"", ""ASS1"", ""COL16A1"", ""ADIPOQ"", ""LAMA4"", ""RGCC"", ""LIF"", ""CSF1"", ""RCC2"", ""EFEMP2"", ""IL18"", ""CAV1"", ""SRC"", ""ARHGAP6"", ""HRG"", ""MMRN1"", ""CD55"", ""NRP1"", 
""CBFB"", ""TGFBI"", ""EMILIN2"", ""LGALS3"", ""FAF1"", ""FADD"", ""ROCK2"", ""VCAM1"", ""PIK3R1"", ""NEDD9"", ""PML"", ""PRDX2"", ""PTPRG"", ""EPHA7"", ""P4HB"", ""SART1"", ""RAC2"", ""VSIR"", ""CBLL1"", ""HLA-A"", ""HLA-DRB1"", ""JAM3"", ""B2M"", ""WNT5A"", ""APOA1"", ""PIK3R6"", ""ADAM9"", ""GSK3B"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""CASP3"", ""CD300A"", ""NF1"", ""NCK2"", ""CYP1B1"", ""KNG1"", ""MYADM"", ""CRKL"", ""RIPK2"", ""BMP7"", ""PIK3CA"", ""MAD1L1"", ""MAPK7"", ""SMAD3"", ""ERBB2"", ""ARHGDIA"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.283716283716284","0.802640228828719","0.0725351864394589","0.367356560311041","1.0664777216045","112","c(""MAP2K5"", ""TJP1"", ""EFNB2"", ""EFNB1"", ""TGFBR2"", ""ARG1"", ""PRKG1"", ""PTPRU"", ""IGF2"", ""CD83"", ""METTL3"", ""FGL2"", ""JAK2"", ""GPAM"", ""MAGI1"", ""ASS1"", ""ADIPOQ"", ""RGCC"", ""IL18"", ""CAV1"", ""SRC"", ""MMRN1"", ""CD55"", ""CBFB"", ""EMILIN2"", ""LGALS3"", ""FADD"", ""VCAM1"", ""PRDX2"", ""PTPRG"", ""EPHA7"", ""SART1"", ""VSIR"", ""HLA-A"", ""HLA-DRB1"", ""B2M"", ""WNT5A"", ""APOA1"", ""PIK3R6"", ""NFAT5"", ""ADA"", ""SPTA1"", ""ZBTB16"", ""IGFBP2"", ""LILRB1"", ""CASP3"", ""CD300A"", ""NCK2"", ""MYADM"", ""RIPK2"", ""BMP7"", ""PIK3CA"", ""MAD1L1"", ""MAPK7"", ""ERBB2"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.0178734195963761","0.409065994148478","0.352487857583619","0.38659052618025","1.1629550092575","277","c(""TM4SF20"", ""JCAD"", ""CDH5"", ""FLRT2"", ""AKAP12"", ""CDH11"", ""KIRREL1"", ""HSPA1B"", ""TJP1"", ""PPFIBP1"", ""JAM2"", ""EFNB2"", ""SLC9A1"", ""ICAM1"", ""AFAP1"", ""REXO2"", ""CLMP"", ""PEAK1"", ""KIAA1210"", ""PTPRU"", ""ALCAM"", ""NDRG1"", ""FLNB"", ""LIMA1"", ""DSP"", ""ANXA2"", ""MPZL1"", ""APC"", ""SGSM3"", ""TES"", ""HMCN1"", ""ENG"", ""PARD3"", ""TRIM29"", ""NECTIN3"", ""SDCCAG8"", ""FHOD1"", ""OCEL1"", ""FRMD4A"", ""DCAF6"", ""PHLDB2"", ""DSC2"", ""PALS2"", ""GJB6"", ""PKP2"", ""ASAP3"", ""PARD3B"", ""GJB2"", ""JUP"", ""JAK2"", ""LRP1"", ""MAGI1"", ""TSPAN9"", ""ARHGAP31"", ""VIM"", ""MXRA8"", 
""FSCN1"", ""CAV2"", ""ITGA2B"", ""PRKCI"", ""VAMP5"", ""SDCBP"", ""CAV1"", ""PARK7"", ""PVR"", ""SRC"", ""CCN3"", ""NECTIN2"", ""TNS2"", ""TSPAN4"", ""ARHGAP26"", ""HSPA8"", ""FBLN7"", ""BAIAP2L1"", ""NRP1"", ""ARMC5"", ""DSG2"", ""EGFR"", ""ITGA1"", ""CLDN4"", ""EPB41L2"", ""CXADR"", ""RAB10"", ""PDGFRB"", ""LIN7C"", ""HSPA5"", ""TPM4"", ""PIK3R1"", ""GJC2"", ""NEDD9"", ""HYOU1"", ""MPP1"", ""AHNAK"", ""P4HB"", ""NOX4"", ""RAC2"", ""SVIL"", ""FZD2"", ""RAP1B"", ""JAM3"", ""B2M"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.0889110889110889","0.616099970938681","0.14641623786055","0.382871667189603","1.12792703225001","154","c(""TM4SF20"", ""FLRT2"", ""AKAP12"", ""HSPA1B"", ""PPFIBP1"", ""EFNB2"", ""SLC9A1"", ""ICAM1"", ""AFAP1"", ""REXO2"", ""PEAK1"", ""ALCAM"", ""FLNB"", ""LIMA1"", ""MPZL1"", ""TES"", ""HMCN1"", ""ENG"", ""DCAF6"", ""PHLDB2"", ""ASAP3"", ""JUP"", ""JAK2"", ""LRP1"", ""TSPAN9"", ""ARHGAP31"", ""VIM"", ""CAV2"", ""ITGA2B"", ""SDCBP"", ""CAV1"", ""PVR"", ""SRC"", ""NECTIN2"", ""TNS2"", ""TSPAN4"", ""ARHGAP26"", ""HSPA8"", ""FBLN7"", ""NRP1"", ""ARMC5"", ""EGFR"", ""ITGA1"", ""EPB41L2"", ""RAB10"", ""PDGFRB"", ""HSPA5"", ""TPM4"", ""NEDD9"", ""HYOU1"", ""AHNAK"", ""P4HB"", ""NOX4"", ""RAC2"", ""SVIL"", ""FZD2"", 
""B2M"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.048951048951049","0.551297742839611","0.20207170902116","0.382099381555772","1.14049924400121","218","c(""F10"", ""F2"", ""CDH5"", ""ANPEP"", ""JAM2"", ""LAMP1"", ""SLC9A1"", ""TPBG"", ""SDC2"", ""SCARA5"", ""ICAM1"", ""ITGA9"", ""TGFBR2"", ""PLAT"", ""CLMP"", ""SCUBE1"", ""NT5E"", ""ALCAM"", ""ACE"", ""ANO6"", ""ANXA2"", ""MPZL1"", ""RTN2"", ""SCNN1G"", ""ENG"", ""GPC6"", ""CD83"", ""CD34"", ""GSR"", ""NRDC"", ""ITGAX"", ""NLGN3"", ""AZGP1"", ""CLU"", ""CD8A"", ""ENPP1"", ""MXRA8"", ""OIT3"", ""ADIPOQ"", ""FGF10"", ""SERPINA5"", ""ENPEP"", ""NOTCH2"", ""ITGA2B"", ""SLC6A1"", ""VAMP5"", ""SULF2"", ""EGFL7"", ""CSF1R"", ""PVR"", ""NECTIN2"", ""HLA-F"", ""HRG"", ""CD55"", ""DSG2"", ""EGFR"", ""ECE1"", ""ITGA1"", 
""LGALS3"", ""IGHV3-53"", ""CNTFR"", ""VASN"", ""PDGFRB"", ""LPAR1"", ""WNT6"", ""PKD1L3"", ""ENTPD6"", ""HSPA5"", ""VCAM1"", ""TNFRSF10B"", ""P4HB"", ""MIF"", ""LEPR"", ""SLC2A4"", ""HLA-A"", ""HLA-DRB1"", ""FAM234A"", ""B2M"", ""WNT5A"", ""ABCB1"", ""ITGAL"", ""PDGFRA"", ""GPC4"", ""BST2"", ""TF"", ""ABCA7"", ""ADAM9"", ""ADA"", ""APP"", ""LRPAP1"", ""PDIA4"", ""ITGA8"", ""LILRB1"", ""HSP90AB1"", ""APOH"", ""SLC7A11"", ""ANXA5"", ""SCUBE3"", ""NGFR"")"
