gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
ACAA1,-4.460578002,-1.949802174,-2.779851333,0.011654496,0.096125412,-2.722704807,,,,,,,,,,,,,,,,,,,
ACADSB,-3.566039841,5.21336087,-2.691398009,0.014143882,0.096125412,-2.88332324,,,,,,,,,,,,,,,,,,,
ADGRE1,-3.380844395,-7.508273913,-2.675281494,0.014648796,0.096125412,-2.912371406,,,,,,,,,,,,,,,,,,,
ADH4,-4.660824247,-2.871254348,-4.227216211,0.000424016,0.096125412,0.051037985,,,,,,,,,,,,,,,,,,,
AFM,-2.880059985,1.31721087,-3.000019441,0.007147123,0.096125412,-2.3151824,,,,,,,,,,,,,,,,,,,
AGXT,-4.143740575,-2.273008696,-3.003495515,0.007091642,0.096125412,-2.308670806,,,,,,,,,,,,,,,,,,,
AHNAK,-3.328844189,-0.071095652,-2.750302058,0.012435587,0.096125412,-2.776580026,,,,,,,,,,,,,,,,,,,
AHSP,-4.53383586,0.035086957,-2.911369556,0.008712208,0.096125412,-2.480479647,,,,,,,,,,,,,,,,,,,
AIFM1,-4.17435786,1.896319565,-3.205633909,0.004492767,0.096125412,-1.926622642,,,,,,,,,,,,,,,,,,,
AK1,-1.246247788,8.001715217,-2.926968442,0.008414755,0.096125412,-2.451504659,,,,,,,,,,,,,,,,,,,
AKAP12,-2.711700278,2.462506522,-2.724958451,0.01314502,0.096125412,-2.822615288,,,,,,,,,,,,,,,,,,,
AKR1B10,-7.395461834,-2.37261087,-3.471775389,0.002443766,0.096125412,-1.415758336,,,,,,,,,,,,,,,,,,,
AKR1C4,-2.99536563,-2.706523913,-3.214687891,0.004401241,0.096125412,-1.909371025,,,,,,,,,,,,,,,,,,,
AKR7L,-1.175599537,3.624671739,-2.712880515,0.013496511,0.096125412,-2.84449687,,,,,,,,,,,,,,,,,,,
AKT1S1,-3.430679776,2.539515217,-3.187273952,0.004684095,0.096125412,-1.961573038,,,,,,,,,,,,,,,,,,,
AKT2,-4.052268174,4.529069565,-3.294817556,0.003666665,0.096125412,-1.756251651,,,,,,,,,,,,,,,,,,,
AMPD3,-4.254606184,1.126995652,-3.113872773,0.005531369,0.096125412,-2.100832946,,,,,,,,,,,,,,,,,,,
AMY1A_AMY1B_AMY1C,-3.204804858,1.503413043,-3.18789351,0.004677511,0.096125412,-1.960394366,,,,,,,,,,,,,,,,,,,
