"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.771228771228771","1","0.0248493879589072","-0.205544785106456","-0.915356234175079","358","c(""FGA"", ""ARG2"", ""PDE5A"", ""PPM1F"", ""PTPRM"", ""RAB10"", ""IL1B"", ""NLGN1"", ""PAG1"", ""IL6"", ""SWAP70"", ""FADD"", ""LPP"", ""CCL19"", ""SERPINB8"", ""BOC"", ""CTNNA1"", ""APOA1"", ""ADA"", ""SOX2"", ""TNFSF13B"", ""AIF1"", ""TNFAIP8L2"", ""MYH9"", ""DHPS"", ""PLG"", ""NINJ1"", ""IL18"", ""IL15"", ""IDO1"", ""PRKAR1A"", ""CASP3"", ""ASS1"", ""IL1A"", ""PDLIM5"", ""CCN1"", ""GLI2"", ""FCGR2B"", ""SOX9"", ""KRT18"", ""CDH3"", ""CD2AP"", ""ARG1"", ""CDON"", ""FOXO3"", ""EPO"", ""CD200R1"", ""SERPINF2"", ""FXYD5"", ""ATP1B2"", ""NCK2"", ""ITGAV"", ""CD28"", ""FGL1"", ""CORO1A"", ""CDH15"", ""CX3CL1"", 
""MINK1"", ""LGALS9"", ""CD34"", ""SRC"", ""LILRB2"", ""FN1"", ""ABL1"", ""SEMA4D"", ""PRKG1"", ""IGSF9"", ""CD2"", ""PTPN6"", ""PCDH7"", ""FSTL3"", ""CD80"", ""SELE"", ""SART1"", ""STXBP3"", ""NT5E"", ""PTPRC"", ""ROBO2"", ""HSPB1"", ""PRDX2"", ""CLEC4M"", ""SCRIB"", ""L1CAM"", ""CDHR5"", ""LILRB1"", ""ROBO1"", ""DSG4"", ""SIGLEC1"", ""CDH1"", ""ERBB2"", ""DSCAM"", ""DNAJB6"", ""CEACAM1"", ""CR1"", ""ADAM9"", ""IGFBP2"", ""BSG"", ""ITGAM"", ""PALLD"", ""LGALS3"", ""SLITRK2"", ""ANXA1"", ""XCL1"", ""ITGA5"", ""TGFB1"", ""UNC5D"", ""BAIAP2"", ""CD276"", ""PKD1"", ""CXCL13"", ""IRAK1"", ""TNIP1"", ""TNFRSF14"", 
""CD4"", ""CD5"", ""PCDH9"", ""IL4R"", ""IL12B"", ""SKAP1"", ""IL10"", ""DSG2"", ""IL1RN"", ""SCARF2"", ""SELL"", ""CCL5"", ""CD70"", ""DLG4"", ""PCDHB15"", ""CDHR2"", ""ICAM3"", ""ICAM2"", ""PVR"", ""CDH17"", ""MDK"", ""PAK4"", ""EPCAM"", ""KLF4"", ""MAD1L1"", ""APOA4"", ""TGFBR2"", ""CD209"", ""ITGB7"", ""S100A11"", ""SLAMF1"", ""YES1"", ""CEACAM6"", ""RGCC"", ""ANXA2"", ""CD200"", ""PODXL2"", ""IL7R"", ""IGDCC4"", ""CD58"", ""ITGB5"", ""LAMB1"", ""NECTIN2"", ""ESAM"", ""NECTIN4"", ""ADAM8"", ""VCAM1"", ""PLAUR"", ""CD46"", ""SIRPB1"", ""CD74"", ""SDK2"", ""ITGB2"", ""SERPINE2"", ""NFASC"", ""ICAM1"", ""CD93"", 
""BCL2"", ""PLXNB3"", ""VNN1"", ""F11R"", ""CDH23"", ""ALCAM"", ""IL1RL2"", ""ITGB1"", ""CNTN1"", ""CD6"", ""AMIGO2"", ""EPB41L5"", ""CDH5"", ""HAVCR2"", ""GP6"", ""CD27"", ""CLEC4G"", ""IL2RA"", ""PECAM1"", ""KIRREL2"", ""GP1BA"", ""ZBTB16"", ""PTPRR"", ""DPP4"", ""SFTPD"", ""ZP3"", ""DSG3"", ""CD83"", ""AP3B1"", ""IL1RAP"", ""SLITRK1"", ""CNTN4"", ""CXADR"", ""DSC2"", ""PLXNB2"", ""LYN"", ""PEAR1"", ""HLA-E"", ""CNTN5"", ""CD40LG"", ""SELP"", ""CDH2"", ""THBS4"", ""SCGB1A1"", ""CEACAM5"", ""NRXN3"", ""NLGN2"", ""CD274"", ""PODXL"", ""AGER"", ""CD300A"", ""CD3E"", ""DUSP3"", ""ITGA2"", ""VSIG4"", ""ROBO4"", 
""BMP4"", ""CD55"", ""MDGA1"", ""CDH22"", ""COMP"", ""IGSF21"", ""NPTN"", ""NEO1"", ""HLA-A"", ""EFNB2"", ""VSTM2L"", ""CD177"", ""NEXN"", ""XG"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.645354645354645","1","0.0338245444462164","-0.222614005349867","-0.950928760611398","168","c(""ARG2"", ""PDE5A"", ""IL1B"", ""PAG1"", ""IL6"", ""FADD"", ""CCL19"", ""ADA"", ""TNFSF13B"", ""AIF1"", ""TNFAIP8L2"", ""DHPS"", ""IL18"", ""IL15"", ""IDO1"", ""PRKAR1A"", ""CASP3"", ""ASS1"", ""IL1A"", ""GLI2"", ""FCGR2B"", ""ARG1"", ""FOXO3"", ""EPO"", ""NCK2"", ""CD28"", ""FGL1"", ""CORO1A"", ""LGALS9"", ""SRC"", ""LILRB2"", ""SEMA4D"", ""PTPN6"", ""CD80"", ""SELE"", ""SART1"", ""NT5E"", ""PTPRC"", ""PRDX2"", ""CLEC4M"", ""SCRIB"", ""LILRB1"", ""ERBB2"", ""CEACAM1"", ""CR1"", ""IGFBP2"", ""LGALS3"", ""ANXA1"", ""XCL1"", ""ITGA5"", ""CD276"", ""IRAK1"", ""TNIP1"", ""TNFRSF14"", ""CD4"", ""CD5"", ""IL4R"", 
""IL12B"", ""SKAP1"", ""IL10"", ""SELL"", ""CCL5"", ""CD70"", ""MDK"", ""KLF4"", ""MAD1L1"", ""APOA4"", ""TGFBR2"", ""CD209"", ""ITGB7"", ""SLAMF1"", ""YES1"", ""PODXL2"", ""IL7R"", ""ADAM8"", ""VCAM1"", ""CD46"", ""SIRPB1"", ""CD74"", ""ITGB2"", ""ICAM1"", ""VNN1"", ""F11R"", ""IL1RL2"", ""ITGB1"", ""CD6"", ""HAVCR2"", ""CD27"", ""CLEC4G"", ""IL2RA"", ""PECAM1"", ""ZBTB16"", ""DPP4"", ""SFTPD"", ""ZP3"", ""CD83"", ""AP3B1"", ""LYN"", ""HLA-E"", ""CD40LG"", ""SELP"", ""SCGB1A1"", ""CD274"", ""AGER"", ""CD300A"", ""CD3E"", ""DUSP3"", ""VSIG4"", ""BMP4"", ""CD55"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.418581418581419","1","0.05378728077603","-0.239149130982804","-1.03012656523012","189","c(""FGA"", ""LIF"", ""DMP1"", ""PPM1F"", ""IL1B"", ""IL6"", ""CYTH3"", ""FADD"", ""CCL19"", ""APOA1"", ""ADA"", ""SOX2"", ""TNFSF13B"", ""AIF1"", ""DHPS"", ""CSPG5"", ""IL18"", ""IL15"", ""C1QBP"", ""IL1A"", ""CCN1"", ""EGFLAM"", ""GLI2"", ""ADGRG1"", ""STX4"", ""STK4"", ""EPHA4"", ""BAG4"", ""APBB1IP"", ""FOXO3"", ""EPO"", ""P4HB"", ""SERPINF2"", ""NCK2"", ""ITGAV"", ""CD28"", ""CORO1A"", ""CX3CL1"", ""LGALS9"", ""CRKL"", ""SRC"", ""LILRB2"", ""FN1"", ""ABL1"", ""DAB2"", ""PTPN6"", ""FSTL3"", ""CD80"", ""SELE"", ""SART1"", ""KDR"", ""PTPRC"", ""NEDD9"", ""TGM2"", ""AGR2"", ""HRG"", ""RRAS"", ""AZU1"", ""LILRB1"", 
""ERBB2"", ""CR1"", ""ADAM9"", ""IGFBP2"", ""ANXA1"", ""XCL1"", ""ITGA5"", ""CD276"", ""CXCL13"", ""IRAK1"", ""TNFRSF14"", ""CD4"", ""CD5"", ""IL4R"", ""IL12B"", ""SKAP1"", ""IL10"", ""CCL5"", ""CD70"", ""EPHA1"", ""MDK"", ""TGFBR2"", ""CD209"", ""SLAMF1"", ""YES1"", ""CEACAM6"", ""IL7R"", ""ADAM8"", ""VCAM1"", ""PLAUR"", ""CD46"", ""CSF1"", ""SIRPB1"", ""CD74"", ""ITGB2"", ""TEK"", ""VIT"", ""EDIL3"", ""VNN1"", ""F11R"", ""IL1RL2"", ""CD6"", ""EPB41L5"", ""HAVCR2"", ""GP6"", ""CD27"", ""IL2RA"", ""ZBTB16"", ""DPP4"", ""PDGFB"", ""OLFM4"", ""TSC1"", ""ZP3"", ""PRKD2"", ""CD83"", ""AP3B1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.492507492507492","1","0.0463227785794633","-0.241008911840233","-1.0047364862252","121","c(""FGA"", ""IL1B"", ""IL6"", ""FADD"", ""CCL19"", ""ADA"", ""SOX2"", ""TNFSF13B"", ""AIF1"", ""DHPS"", ""IL18"", ""IL15"", ""IL1A"", ""GLI2"", ""FOXO3"", ""EPO"", ""SERPINF2"", ""NCK2"", ""CD28"", ""CORO1A"", ""CX3CL1"", ""LGALS9"", ""SRC"", ""LILRB2"", ""PTPN6"", ""FSTL3"", ""CD80"", ""SELE"", ""SART1"", ""PTPRC"", ""LILRB1"", ""CR1"", ""IGFBP2"", ""ANXA1"", ""XCL1"", ""CD276"", ""CXCL13"", ""IRAK1"", ""TNFRSF14"", ""CD4"", ""CD5"", ""IL4R"", ""IL12B"", ""SKAP1"", ""IL10"", ""CCL5"", ""CD70"", ""MDK"", ""TGFBR2"", ""CD209"", ""SLAMF1"", ""YES1"", ""CEACAM6"", ""IL7R"", ""ADAM8"", ""VCAM1"", ""PLAUR"", ""CD46"", 
""SIRPB1"", ""CD74"", ""ITGB2"", ""VNN1"", ""F11R"", ""IL1RL2"", ""CD6"", ""HAVCR2"", ""GP6"", ""CD27"", ""IL2RA"", ""ZBTB16"", ""DPP4"", ""ZP3"", ""CD83"", ""AP3B1"", ""LYN"", ""HLA-E"", ""CD40LG"", ""SELP"", ""CD274"", ""PODXL"", ""AGER"", ""CD3E"", ""CD55"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.618381618381618","1","0.0358449292332649","-0.229488915255508","-0.950871038867941","107","c(""IL1B"", ""IL6"", ""FADD"", ""CCL19"", ""ADA"", ""TNFSF13B"", ""AIF1"", ""DHPS"", ""IL18"", ""IL15"", ""IL1A"", ""GLI2"", ""FOXO3"", ""EPO"", ""NCK2"", ""CD28"", ""CORO1A"", ""LGALS9"", ""SRC"", ""LILRB2"", ""PTPN6"", ""CD80"", ""SELE"", ""SART1"", ""PTPRC"", ""LILRB1"", ""CR1"", ""IGFBP2"", ""ANXA1"", ""XCL1"", ""CD276"", ""IRAK1"", ""TNFRSF14"", ""CD4"", ""CD5"", ""IL4R"", ""IL12B"", ""SKAP1"", ""CCL5"", ""CD70"", ""MDK"", ""TGFBR2"", ""CD209"", ""SLAMF1"", ""YES1"", ""IL7R"", ""ADAM8"", ""VCAM1"", ""CD46"", ""SIRPB1"", ""CD74"", ""ITGB2"", ""VNN1"", ""IL1RL2"", ""CD6"", ""HAVCR2"", ""CD27"", ""IL2RA"", ""ZBTB16"", 
""DPP4"", ""ZP3"", ""CD83"", ""AP3B1"", ""LYN"", ""HLA-E"", ""CD40LG"", ""SELP"", ""CD274"", ""AGER"", ""CD3E"", ""CD55"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.478521478521479","1","0.0476387259290825","-0.227502254184049","-1.00340484375383","290","c(""FGA"", ""LIF"", ""DMP1"", ""ARG2"", ""PDE5A"", ""CXCL8"", ""PPM1F"", ""IL1B"", ""EPHA2"", ""PAG1"", ""IL6"", ""CYTH3"", ""SWAP70"", ""FADD"", ""CCL19"", ""APOA1"", ""ADA"", ""SOX2"", ""TNFSF13B"", ""AIF1"", ""TNFAIP8L2"", ""DHPS"", ""PLG"", ""CSPG5"", ""IL18"", ""IL15"", ""IDO1"", ""PRKAR1A"", ""CASP3"", ""C1QBP"", ""ASS1"", ""GBP1"", ""IL1A"", ""CCN1"", ""EGFLAM"", ""GLI2"", ""FCGR2B"", ""ADGRG1"", ""SOX9"", ""STX4"", ""STK4"", ""EPHA4"", ""ARG1"", ""BAG4"", ""APBB1IP"", ""FOXO3"", ""EPO"", ""BST1"", ""PPP1R12A"", ""ATXN3"", ""P4HB"", ""SERPINF2"", ""FXYD5"", ""NCK2"", ""ITGAV"", ""CD28"", ""FGL1"", ""CORO1A"", 
""CX3CL1"", ""MINK1"", ""LGALS9"", ""CRKL"", ""SRC"", ""LILRB2"", ""FN1"", ""ABL1"", ""SEMA4D"", ""PRKG1"", ""ADAM15"", ""DAB2"", ""PTPN6"", ""COL1A1"", ""FSTL3"", ""CD80"", ""SELE"", ""SART1"", ""PLXNA4"", ""KDR"", ""PTPRC"", ""NEDD9"", ""TGM2"", ""PRDX2"", ""AGR2"", ""HRG"", ""RRAS"", ""AZU1"", ""SCRIB"", ""APOD"", ""LILRB1"", ""CDH1"", ""ERBB2"", ""DSCAM"", ""CEACAM1"", ""CR1"", ""ADAM9"", ""IGFBP2"", ""LGALS3"", ""ANXA1"", ""XCL1"", ""ITGA5"", ""TGFB1"", ""CD276"", ""PKD1"", ""CXCL13"", ""IRAK1"", ""TACSTD2"", ""TNFRSF14"", ""CD4"", ""CD5"", ""IL4R"", ""IL12B"", ""SKAP1"", ""IL10"", ""IL1RN"", ""CCL5"", 
""CD70"", ""ST6GAL1"", ""EPHA1"", ""MDK"", ""SERPINE1"", ""PHLDB2"", ""EPCAM"", ""KLF4"", ""MAD1L1"", ""TGFBR2"", ""CD209"", ""SLAMF1"", ""YES1"", ""CEACAM6"", ""RGCC"", ""TNN"", ""IL7R"", ""ADAM8"", ""VCAM1"", ""PLAUR"", ""CD46"", ""CSF1"", ""SIRPB1"", ""CD74"", ""ITGB2"", ""DLL1"", ""TEK"", ""SERPINE2"", ""VIT"", ""BCL2"", ""PLXNB3"", ""EDIL3"", ""VNN1"", ""F11R"", ""IL1RL2"", ""CD6"", ""EPB41L5"", ""HAVCR2"", ""GP6"", ""CD27"", ""CLEC4G"", ""IL2RA"", ""PLAU"", ""ZBTB16"", ""PTPRR"", ""DPP4"", ""SFTPD"", ""PDGFB"", ""OLFM4"", ""TSC1"", ""ZP3"", ""PRKD2"", ""CD83"", ""AP3B1"", ""ACVRL1"", ""PLXNB2"", ""VWC2"", 
""LYN"", ""HLA-E"", ""CD40LG"", ""SELP"", ""VAV3"", ""SCGB1A1"", ""TGFBI"", ""NID1"", ""SMAD3"", ""CD274"", ""LAMA4"", ""PODXL"", ""AGER"", ""CD300A"", ""CD3E"", ""DUSP3"", ""ITGA2"", ""VSIG4"", ""BMP4"", ""CD55"", ""MDGA1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.476523476523477","1","0.0478299633114229","-0.234431693486898","-1.00914944095742","186","c(""FGA"", ""ARG2"", ""PDE5A"", ""PPM1F"", ""IL1B"", ""PAG1"", ""IL6"", ""SWAP70"", ""FADD"", ""CCL19"", ""APOA1"", ""ADA"", ""SOX2"", ""TNFSF13B"", ""AIF1"", ""TNFAIP8L2"", ""DHPS"", ""PLG"", ""IL18"", ""IL15"", ""IDO1"", ""PRKAR1A"", ""CASP3"", ""ASS1"", ""IL1A"", ""GLI2"", ""FCGR2B"", ""ARG1"", ""FOXO3"", ""EPO"", ""SERPINF2"", ""FXYD5"", ""NCK2"", ""CD28"", ""FGL1"", ""CORO1A"", ""CX3CL1"", ""MINK1"", ""LGALS9"", ""SRC"", ""LILRB2"", ""ABL1"", ""PRKG1"", ""PTPN6"", ""FSTL3"", ""CD80"", ""SELE"", ""SART1"", ""PTPRC"", ""PRDX2"", ""SCRIB"", ""LILRB1"", ""CDH1"", ""ERBB2"", ""CEACAM1"", ""CR1"", ""IGFBP2"", 
""LGALS3"", ""ANXA1"", ""XCL1"", ""TGFB1"", ""CD276"", ""CXCL13"", ""IRAK1"", ""TNFRSF14"", ""CD4"", ""CD5"", ""IL4R"", ""IL12B"", ""SKAP1"", ""IL10"", ""IL1RN"", ""CCL5"", ""CD70"", ""MDK"", ""EPCAM"", ""KLF4"", ""MAD1L1"", ""TGFBR2"", ""CD209"", ""SLAMF1"", ""YES1"", ""CEACAM6"", ""RGCC"", ""IL7R"", ""ADAM8"", ""VCAM1"", ""PLAUR"", ""CD46"", ""SIRPB1"", ""CD74"", ""ITGB2"", ""SERPINE2"", ""VNN1"", ""F11R"", ""IL1RL2"", ""CD6"", ""EPB41L5"", ""HAVCR2"", ""GP6"", ""CD27"", ""CLEC4G"", ""IL2RA"", ""ZBTB16"", ""PTPRR"", ""DPP4"", ""SFTPD"", ""ZP3"", ""CD83"", ""AP3B1"", ""LYN"", ""HLA-E"", ""CD40LG"", ""SELP"", 
""SCGB1A1"", ""CD274"", ""PODXL"", ""AGER"", ""CD300A"", ""CD3E"", ""DUSP3"", ""VSIG4"", ""BMP4"", ""CD55"", ""MDGA1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.048951048951049","0.478317414293024","0.20207170902116","-0.277190321641596","-1.20807934016345","234","c(""SNAP23"", ""PTPRM"", ""PPL"", ""RAB10"", ""EPHA2"", ""CYTH3"", ""LPP"", ""CTNNA1"", ""PPP1CC"", ""TNFSF13B"", ""PCBP2"", ""PXN"", ""MYH9"", ""HNRNPK"", ""IL1RL1"", ""DBN1"", ""PRKAR2A"", ""SIRT2"", ""PDLIM5"", ""SH3BP1"", ""ENAH"", ""LRP1"", ""MAP2K1"", ""PKD2"", ""NUMB"", ""KRT18"", ""ERBIN"", ""CDH3"", ""CD2AP"", ""EPHA4"", ""KAZN"", ""ARF6"", ""APBB1IP"", ""ACTN2"", ""PPP1R12A"", ""VASP"", ""P4HB"", ""AKAP12"", ""ANK2"", ""SORBS1"", ""ITGAV"", ""HEG1"", ""EPPK1"", ""CORO1A"", ""PIKFYVE"", ""NDRG1"", ""OCLN"", ""EHD3"", ""SLC9A3R2"", ""SRC"", ""AMOT"", ""CAT"", ""SDCCAG8"", ""VIM"", ""ADAM15"", ""B4GALT1"", 
""HSPG2"", ""CD2"", ""DAB2"", ""PTPN6"", ""DMD"", ""TJAP1"", ""AIF1L"", ""PDZD2"", ""PTPRC"", ""NEDD9"", ""HYOU1"", ""PTK7"", ""HSPB1"", ""TGM2"", ""RRAS"", ""IL16"", ""SCRIB"", ""L1CAM"", ""CLMP"", ""PDLIM7"", ""DSG4"", ""MXRA8"", ""SPTBN2"", ""POF1B"", ""CDH1"", ""LCP1"", ""CEACAM1"", ""ADAM9"", ""ITGB6"", ""BSG"", ""PALLD"", ""DNMBP"", ""ANXA1"", ""VAMP5"", ""ITGA5"", ""AHNAK"", ""MTDH"", ""BAIAP2"", ""TGFBR1"", ""CDC42BPB"", ""HSPA1A"", ""PPIB"", ""PCDH9"", ""SKAP1"", ""MME"", ""DSG2"", ""SCARF2"", ""CSPG4"", ""PDGFRB"", ""DDX58"", ""CALB2"", ""PPP1R9B"", ""PDIA3"", ""AMOTL2"", ""PVR"", ""MICALL2"", ""PHLDB2"", 
""PAK4"", ""EPCAM"", ""CHP1"", ""FLT1"", ""ITGB7"", ""S100A11"", ""FLRT2"", ""YES1"", ""ENG"", ""ANXA2"", ""ITGB5"", ""ADGRE5"", ""NECTIN2"", ""ESAM"", ""NECTIN4"", ""PLAUR"", ""PARK7"", ""CD46"", ""MCAM"", ""CGN"", ""ITGB2"", ""DLL1"", ""TEK"", ""NFASC"", ""AFAP1"", ""ICAM1"", ""C1QTNF5"", ""F11R"", ""ADD1"", ""ALCAM"", ""ITGB1"", ""EPB41L5"", ""CDH5"", ""STX16"", ""PECAM1"", ""KIRREL2"", ""PLAU"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.038961038961039","0.428744983065384","0.227987202850442","-0.303993765422216","-1.27510557965907","129","c(""SNAP23"", ""RAB10"", ""EPHA2"", ""LPP"", ""CTNNA1"", ""PPP1CC"", ""TNFSF13B"", ""PCBP2"", ""PXN"", ""MYH9"", ""HNRNPK"", ""IL1RL1"", ""PRKAR2A"", ""ENAH"", ""LRP1"", ""MAP2K1"", ""NUMB"", ""ERBIN"", ""ARF6"", ""APBB1IP"", ""ACTN2"", ""PPP1R12A"", ""VASP"", ""P4HB"", ""AKAP12"", ""SORBS1"", ""ITGAV"", ""EPPK1"", ""EHD3"", ""SLC9A3R2"", ""SRC"", ""CAT"", ""VIM"", ""HSPG2"", ""DAB2"", ""DMD"", ""AIF1L"", ""PTPRC"", ""NEDD9"", ""HYOU1"", ""PTK7"", ""HSPB1"", ""TGM2"", ""RRAS"", ""IL16"", ""L1CAM"", ""PDLIM7"", ""LCP1"", ""ADAM9"", ""ITGB6"", ""BSG"", ""PALLD"", ""ANXA1"", ""ITGA5"", ""AHNAK"", ""HSPA1A"", 
""PPIB"", ""MME"", ""SCARF2"", ""CSPG4"", ""PDGFRB"", ""PDIA3"", ""PVR"", ""PHLDB2"", ""PAK4"", ""CHP1"", ""FLT1"", ""ITGB7"", ""FLRT2"", ""YES1"", ""ENG"", ""ITGB5"", ""ADGRE5"", ""NECTIN2"", ""PLAUR"", ""CD46"", ""MCAM"", ""ITGB2"", ""TEK"", ""NFASC"", ""AFAP1"", ""ICAM1"", ""ADD1"", ""ALCAM"", ""ITGB1"", ""EPB41L5"", ""STX16"", ""PLAU"", ""DPP4"", ""GIT1"", ""ITGBL1"", ""NPM1"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.996003996003996","1","0.00288973010331959","-0.166175855808412","-0.743501166783467","412","c(""FGA"", ""ENTPD6"", ""EPHA2"", ""NLGN1"", ""SRPX"", ""ADA"", ""ERP44"", ""PLG"", ""LILRA5"", ""CSPG5"", ""IL1RL1"", ""IL15"", ""CLEC4A"", ""SFRP4"", ""DCBLD2"", ""IGSF3"", ""C1QBP"", ""IL1A"", ""MFGE8"", ""CD8A"", ""BST2"", ""GFRA3"", ""FCGR2B"", ""F10"", ""STX4"", ""EPHA4"", ""ADAMTS15"", ""LRPAP1"", ""F2"", ""PDIA4"", ""EPO"", ""ACE2"", ""CD200R1"", ""P4HB"", ""SERPINF2"", ""CD5L"", ""ATP1B2"", ""THBD"", ""ITGAV"", ""CD28"", ""STAB2"", ""HEG1"", ""FCN1"", ""CTSB"", ""CD248"", ""CX3CL1"", ""TNFRSF10B"", ""CD34"", ""LILRB2"", ""AMOT"", ""ADAM15"", ""B4GALT1"", ""CD2"", ""SLAMF8"", ""DMD"", ""RTBDN"", ""GSR"", 
""CD48"", ""CD80"", ""SELE"", ""KDR"", ""NT5E"", ""PTPRC"", ""GPC1"", ""ROBO2"", ""TDGF1"", ""TREML2"", ""ASGR2"", ""HAVCR1"", ""CLEC10A"", ""HRG"", ""TGFBR3"", ""CLEC4M"", ""L1CAM"", ""ENOX2"", ""CD40"", ""F3"", ""LILRB1"", ""CLMP"", ""ROBO1"", ""MXRA8"", ""FGFBP1"", ""AXL"", ""ENO2"", ""CA4"", ""LEPR"", ""CEACAM1"", ""CR1"", ""ULBP2"", ""ADAM9"", ""ITGB6"", ""CLEC4D"", ""ITGAM"", ""LGALS3"", ""PDCD1"", ""MSR1"", ""CSF3R"", ""ANXA1"", ""VAMP5"", ""ARSB"", ""TNFRSF9"", ""ITGA5"", ""TGFB1"", ""TNFRSF1A"", ""UNC5D"", ""CD276"", ""TGFBR1"", ""PKD1"", ""GFRA1"", ""BGN"", ""TNFRSF14"", ""CD4"", ""CD5"", ""LRFN2"", 
""IL4R"", ""IL12B"", ""MME"", ""CD163"", ""DSG2"", ""MBL2"", ""CSPG4"", ""ERP29"", ""MRC1"", ""PDGFRB"", ""ADGRE1"", ""SCARA5"", ""PDIA3"", ""IL5RA"", ""LDLR"", ""PVR"", ""CDH17"", ""CD14"", ""HSPA2"", ""BCAM"", ""CD244"", ""TREML1"", ""IGLC2"", ""EPCAM"", ""APOA4"", ""ANXA4"", ""TLR3"", ""TGFBR2"", ""CD209"", ""ITGB7"", ""SEMA7A"", ""IL1R1"", ""SLAMF1"", ""SDC1"", ""ENG"", ""CEACAM6"", ""CD1C"", ""TLR4"", ""TNN"", ""ANXA2"", ""CD200"", ""ADGRF5"", ""IL7R"", ""FURIN"", ""CXCL9"", ""NOTCH3"", ""CD58"", ""TNFRSF11A"", ""ITGB5"", ""ROR1"", ""NECTIN2"", ""CLEC6A"", ""ADAM8"", ""AREG"", ""MET"", ""VCAM1"", ""PLAUR"", 
""CD46"", ""MCAM"", ""CLU"", ""BMP10"", ""SIRPB1"", ""CD74"", ""ITGB2"", ""TEK"", ""SERPINE2"", ""ACE"", ""IQGAP2"", ""LBP"", ""ICAM1"", ""CD93"", ""PAM"", ""PLXNB3"", ""GFRA2"", ""TFPI"", ""TLR2"", ""ALCAM"", ""ITGB1"", ""SLAMF7"", ""CD6"", ""CDH5"", ""HAVCR2"", ""GP6"", ""CD27"", ""CLEC4G"", ""IL2RA"", ""ANGPTL3"", ""PLAU"", ""GP1BA"", ""IL13RA1"", ""MIF"", ""FCRL6"", ""DPP4"", ""PLAT"", ""PDGFB"", ""ISLR2"", ""GP2"", ""ITGBL1"", ""CNTNAP2"", ""CD83"", ""CXCL10"", ""ANPEP"", ""PLA2G1B"", ""ACVRL1"", ""CRLF1"", ""FAS"", ""PLXNB2"", ""FOLR2"", ""ERMAP"", ""PROCR"", ""ASGR1"", ""SLC1A4"", ""FCRL1"", ""FOLR3"", 
""GHR"", ""HLA-E"", ""ANXA5"", ""CD40LG"", ""SELP"", ""CDH2"", ""FAP"", ""TNFRSF10C"", ""KLRD1"", ""CEACAM5"", ""CD109"", ""LY9"", ""NLGN2"", ""CD274"", ""AGER"", ""CD3E"", ""RGMA"", ""ITGA2"", ""TGFA"", ""CD55"", ""IL2RB"", ""FCRL2"", ""CD22"", ""FCER1A"", ""CD79B"", ""PTPRK"", ""IGSF21"", ""NPTN"", ""NEO1"", ""HLA-A"", ""TSPAN8"", ""LAMP3"", ""HBEGF"", ""ALPP"", ""DCC"", ""ENPEP"")"
