gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
YBX1,-4.072534007,6.215274147,-4.525324951,2.23647512212538e-05,0.193656381,-4.274199841,NA
ARHGEF15,-5.622380955,4.245584038,-3.740584488,0.000358066,0.77779136,-4.509156493,NA
FAM98C,-4.830762269,4.905012882,-3.92353394,0.000192485,0.77779136,-4.459621904,NA
GRAMD1B,-1.619584816,9.569812331,-3.73955766,0.000359298,0.77779136,-3.719429372,Metabolism or Transport (lipid)
A1BG,-0.954060765,5.315511411,-0.573760036,0.567856251,0.999829418,-4.59947606,NA
AAAS,-0.365949934,6.574002614,-0.351079105,0.726518696,0.999829418,-4.609196473,Metabolism (other)
AADACL3,1.286004419,3.999160632,0.540525682,0.590444984,0.999829418,-4.597345179,NA
AAK1,-0.150476874,8.564467332,-0.250556777,0.802845674,0.999829418,-4.639995193,Metabolism (other)
AAMDC,-1.467606332,6.875496886,-1.60328063,0.113099135,0.999829418,-4.562915682,Development (differentiation)
AAR2,-0.441846673,6.106026259,-0.359621368,0.720146456,0.999829418,-4.606092459,NA
AARS,-0.455434546,6.311989543,-0.383949125,0.70210847,0.999829418,-4.605625471,NA
AARS2,0.370315869,4.942460254,0.192076395,0.84820432,0.999829418,-4.599700195,NA
AASS,1.821475419,6.92403002,1.640145734,0.105185698,0.999829418,-4.572227614,NA
AATF,-0.367433116,7.00780176,-0.393028302,0.695419623,0.999829418,-4.611819852,NA
ABAT,-1.478815412,7.781348279,-2.105625497,0.038602938,0.999829418,-4.480687182,Metabolism (other)
ABC13-47488600E17.1,-0.178742672,5.714227781,-0.123182896,0.902293586,0.999829418,-4.603308471,NA
ABCA2,0.583178645,6.543818579,0.495079614,0.621999199,0.999829418,-4.604766804,Metabolism or Transport (lipid)
ABCA3,0.554368534,7.060532632,0.537456402,0.592552232,0.999829418,-4.607166559,Metabolism or Transport (lipid)
ABCA7,1.750673709,6.551720101,1.421129831,0.159446339,0.999829418,-4.583917588,Metabolism or Transport (lipid)
ABCB10,0.242112321,6.720292448,0.221049245,0.825658075,0.999829418,-4.60901969,Metabolism or Transport (lipid)
ABCB8,-1.19519375,6.24773091,-1.042193032,0.300688363,0.999829418,-4.594176546,Metabolism (other)
