gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
GALNT18,-0.9824861,9.476268387,-3.811295428,0.000138681,0.651524414,0.728754305,NA
MET,-2.406698276,7.333261563,-3.944676387,8.01979734531589e-05,0.651524414,-0.638868753,NA
A1BG,-3.648652135,4.230954634,-2.018209265,0.043583652,0.859572647,-4.403995319,NA
AADACL4,-3.300048308,4.384115205,-1.66194551,0.09654038,0.859572647,-4.503241457,NA
AAMDC,-1.269004837,6.692425616,-1.647514053,0.099469149,0.859572647,-4.285367329,Development (differentiation)
ABCB1,1.412532054,8.464871561,2.912455714,0.00359021,0.859572647,-2.309068437,Metabolism or Transport (lipid)
ABCB7,-1.018182936,7.054980386,-1.448722573,0.147431759,0.859572647,-4.41751436,Metabolism (other)
ABI1,1.340458288,7.583643896,2.041721484,0.041193101,0.859572647,-3.872968638,Motility
ABI3BP,0.64538083,8.30533469,1.356472472,0.174965184,0.859572647,-4.537948099,Motility
AC002985.3,-1.558402192,5.954709566,-1.448052471,0.14761906,0.859572647,-4.461794185,NA
AC008522.1,-3.745618521,3.83989111,-1.725142054,0.084518317,0.859572647,-4.506643256,NA
AC009950.1,-2.25618402,6.285642105,-2.38771123,0.016963477,0.859572647,-3.816925914,NA
AC010646.3,2.27104683,5.880995514,1.649201398,0.099123096,0.859572647,-4.434077552,NA
AC016991.1,-3.697332882,4.090208904,-2.022928212,0.043094681,0.859572647,-4.406327869,NA
ACHE,-2.435773945,5.114412997,-1.506123455,0.132052293,0.859572647,-4.503995963,Metabolism (other)
ACLY,1.948753311,6.709671121,2.046484079,0.040722651,0.859572647,-4.08486652,Metabolism or Transport (lipid)
ACOX3,-0.866827427,7.428055801,-1.410700931,0.158349369,0.859572647,-4.448107366,Metabolism or Transport (lipid)
ACP7,3.193418549,5.374768759,1.73681249,0.08243666,0.859572647,-4.474703291,Metabolism (other)
ACSM2A,-3.125524652,4.916154399,-2.490906304,0.012750334,0.859572647,-4.006459765,Metabolism or Transport (lipid)
ACTB,1.607339792,6.750442875,1.740506479,0.081786492,0.859572647,-4.274078337,Motility
ACTG2,-1.516636524,5.727454033,-1.370634144,0.170505404,0.859572647,-4.49631547,NA
ACVRL1,-1.725813448,5.666977335,-1.399373065,0.161717646,0.859572647,-4.497801918,NA
ACYP1,-2.384595111,4.912785529,-1.397885369,0.162163992,0.859572647,-4.533454974,NA
