gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
LMAN1L,-3.798187398,4.628099514,-4.054689839,5.03970606549348e-05,0.434590211,-4.176774009,NA
NOM1,-2.658398032,5.544329651,-3.81872335,0.000134562,0.434590211,-3.958072733,NA
SYT8,-2.964940646,5.577232565,-3.878800585,0.00010532,0.434590211,-4.039442985,NA
FAM186A,-2.084097619,6.268640259,-3.540138517,0.000400854,0.776775625,-3.867806668,NA
SMCO3,-4.163309981,3.82634348,-3.554086423,0.000380197,0.776775625,-4.38951821,NA
BCL7C,-1.401239205,7.310261,-3.142743736,0.001676246,0.944592447,-3.709710311,NA
C5orf30,2.67646199,6.258099981,3.347449647,0.00081714,0.944592447,-4.223835225,NA
CSK,-1.912000046,6.282547639,-3.263604566,0.001101951,0.944592447,-3.982052585,NA
FGF6,-3.141550823,5.163111708,-3.308857128,0.000938484,0.944592447,-4.332601924,Development (differentiation)
FSCN3,-3.51295418,4.555901186,-3.259876349,0.00111653,0.944592447,-4.395465746,Motility
GPR17,-2.736517469,5.048127458,-3.133531078,0.001729741,0.944592447,-4.322933509,NA
GSTA1,-3.662157769,4.022677511,-3.141512009,0.001683309,0.944592447,-4.436949935,NA
MED18,-3.98921454,4.098168264,-3.194690913,0.001402048,0.944592447,-4.451326421,NA
RYK,-1.201506358,8.250485342,-3.319286064,0.000904144,0.944592447,-3.228077525,NA
SMIM5,-2.68181337,5.187192592,-3.404997311,0.000662988,0.944592447,-4.198794432,NA
TRIM51,-5.048983516,2.72896903,-3.174963828,0.001500897,0.944592447,-4.506551052,NA
VSIG4,-3.217450285,4.799807779,-3.162957395,0.001564162,0.944592447,-4.386690599,Matrisome/cell adhesion/binding/signaling
ZNF677,-3.626975161,4.02113002,-3.129298443,0.001754842,0.944592447,-4.436571853,NA
A1BG,-1.412957347,4.957884549,-1.482282908,0.138281295,0.999519196,-4.564395486,NA
A3GALT2,0.098682019,5.143985585,0.102824581,0.91810326,0.999519196,-4.621468278,Metabolism or Transport (lipid)
AAAS,-0.096447248,6.193697195,-0.14398369,0.885514847,0.999519196,-4.647270284,Metabolism (other)
AADACL3,1.288192944,4.241200473,0.845970362,0.397579724,0.999519196,-4.598257149,NA
AADACL4,-1.335594479,5.145476701,-1.480311589,0.138806369,0.999519196,-4.561293047,NA
AAK1,-0.326074777,8.560353742,-0.934204377,0.350210119,0.999519196,-4.640493986,Metabolism (other)
AAMDC,-0.624553918,6.953730004,-1.25100751,0.210946841,0.999519196,-4.555598044,Development (differentiation)
AAMP,0.145166817,5.485704321,0.167270763,0.867158753,0.999519196,-4.626611002,Development (differentiation)
AAR2,-0.281862304,6.280401533,-0.423986885,0.671580085,0.999519196,-4.639890618,NA
AARS,-0.875558835,6.033022283,-1.278716037,0.201012384,0.999519196,-4.5668295,NA
AATF,-0.153660527,7.08974061,-0.306786174,0.759009429,0.999519196,-4.678737167,NA
ABAT,-0.325326934,7.848556856,-0.804388374,0.421182582,0.999519196,-4.653177319,Metabolism (other)
ABC13-47488600E17.1,0.111819529,5.663082887,0.135985721,0.891833981,0.999519196,-4.630404147,NA
