gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
PARVG,-8.255042612,6.13423867,-4.859941681,1.18490221188008e-06,0.009859571,4.268910711,NA
GIGYF1,-8.041807295,5.432679235,-4.694380069,2.69548081697586e-06,0.011214548,3.596779948,NA
SLC39A7,-6.9236543,5.636411305,-4.066736367,4.78955936220041e-05,0.132846412,1.347392247,Transport
EPPK1,-6.658613493,5.699214478,-3.88727222,0.00010177,0.169366225,0.751194417,NA
PPIF,-6.717431404,5.723897584,-3.922039878,8.81547685027749e-05,0.169366225,0.862906171,NA
ANKRD45,6.783073633,6.350292881,3.787754625,0.00015255,0.18133794,0.377495807,NA
TUBB,6.501900038,6.355506404,3.817048853,0.000135547,0.18133794,0.536192043,Transport
CHPF2,-6.779895607,5.311041981,-3.74751379,0.0001792,0.186389916,0.240820919,NA
FAM160B2,-6.058963512,6.286192089,-3.609994457,0.000307103,0.22391105,-0.081342822,NA
LGSN,6.832258497,6.14281385,3.597123069,0.000322689,0.22391105,-0.266756879,NA
PTGIR,-6.295771042,5.451051829,-3.66024896,0.00025275,0.22391105,0.042439846,NA
SLC35E1,-6.16219541,5.889584823,-3.596944566,0.00032291,0.22391105,-0.141721267,Transport
FN3KRP,-5.968378038,5.794532203,-3.563926422,0.000366371,0.228947789,-0.215923517,NA
TXN2,-6.015337028,5.91560469,-3.55074521,0.000385202,0.228947789,-0.266077299,NA
FAM151B,6.299671379,6.741111142,3.532268001,0.000413127,0.229175211,-0.373775572,NA
ADAMTSL5,-5.629410039,6.354269563,-3.457669396,0.000546232,0.254189521,-0.501293429,NA
ARF3,6.426017793,6.376345745,3.350230268,0.000809239,0.254189521,-0.954465476,NA
ATXN7L3,-5.472125187,6.381013675,-3.388001726,0.00070567,0.254189521,-0.694873322,NA
CDO1,-6.361426396,5.393917358,-3.376944669,0.000734636,0.254189521,-0.863827666,NA
CYB561D2,6.246737348,6.125970262,3.353146418,0.000800766,0.254189521,-0.915641523,NA
EFCAB7,6.417302841,6.183840614,3.477120637,0.000508123,0.254189521,-0.567878171,NA
ERN2,-5.87188788,5.516744957,-3.361459286,0.000777063,0.254189521,-0.831612619,NA
GOLGA8B,-5.898141088,5.526364207,-3.383620417,0.000717018,0.254189521,-0.768730254,NA
IPP,6.010348072,6.271013073,3.369563397,0.000754583,0.254189521,-0.828483776,NA
MYLK2,-5.844180792,5.506724792,-3.337817518,0.000846243,0.254189521,-0.898229107,NA
NDUFS6,-5.573767958,5.820857596,-3.312656541,0.000926114,0.254189521,-0.93496103,NA
NR5A1,-5.620866628,5.63760165,-3.320862691,0.000899327,0.254189521,-0.916960267,Development (differentiation)
NSUN2,5.751000692,6.499996801,3.308310494,0.000940598,0.254189521,-0.97223027,NA
PNPLA1,-5.569661886,6.561704136,-3.347193004,0.000818152,0.254189521,-0.831382192,Metabolism or Transport (lipid)
RP11-201K10.3,5.64861058,6.422325803,3.3064132,0.000946987,0.254189521,-0.963551478,NA
SH3GLB1,-5.626364416,6.465588322,-3.353459397,0.000799861,0.254189521,-0.820281776,NA
TTC4,7.122340066,5.827185571,3.293019805,0.000993242,0.258273885,-1.24588838,NA
EMG1,-5.553479394,5.608420532,-3.278909838,0.001044228,0.263303657,-1.031675033,NA
ANXA6,-4.903293163,6.969350435,-3.252528531,0.00114611,0.270689134,-1.03605182,NA
CFHR4,5.713217196,6.65207774,3.230009233,0.001240265,0.270689134,-1.194652061,NA
CTSO,6.242553418,6.318845457,3.22084934,0.001280569,0.270689134,-1.298753553,Metabolism (other)
GRSF1,5.873181338,6.57810691,3.236467976,0.001212555,0.270689134,-1.19858489,NA
RNF125,4.971677608,7.123154461,3.213849686,0.001312178,0.270689134,-1.154546487,NA
RP11-302B13.5,5.430100537,7.12559599,3.209158457,0.001333765,0.270689134,-1.217718731,NA
SLC2A11,5.651611152,6.666293261,3.222470713,0.001273348,0.270689134,-1.207918747,Transport
SNX16,5.873181338,6.57810691,3.236467976,0.001212555,0.270689134,-1.19858489,NA
CACFD1,-5.335378312,6.310241834,-3.17281707,0.00151242,0.283271605,-1.309577895,Cilia
