gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
PAX5,-6.089791353,7.485286262,-4.631406025,3.66455522565008e-06,0.025684868,1.086969716,Development (differentiation)
ABHD17B,6.030216866,7.01356678,3.070216265,0.002143129,0.723093128,-3.075336244,Metabolism or Transport (lipid)
ANKIB1,5.218110917,7.528433527,3.00508456,0.002659765,0.723093128,-2.931363671,NA
ANKMY2,-4.612477236,6.610484041,-2.863304094,0.004198698,0.723093128,-2.992183836,NA
ARHGDIA,6.141463923,6.293304662,3.106163015,0.001899105,0.723093128,-3.04654425,NA
CC2D1B,5.866304284,6.54028283,2.913869756,0.00357543,0.723093128,-3.28888516,NA
CCNJL,6.119778641,6.857865991,3.123618948,0.001790056,0.723093128,-3.009078685,NA
CDK8,-5.188734779,6.828629365,-3.44065949,0.000581989,0.723093128,-1.97748617,Development (cell cycle)
CHMP7,6.523105115,6.43463748,3.401264153,0.000672622,0.723093128,-2.621315984,NA
CHORDC1,5.733274961,6.134789596,2.821387882,0.004788358,0.723093128,-3.398149429,NA
DHCR24,5.674639736,6.294627632,2.860247929,0.004239353,0.723093128,-3.322265561,Metabolism or Transport (lipid)
DHX37,5.834112517,6.134789596,2.842090684,0.004488345,0.723093128,-3.392390749,NA
DNAJC21,5.217262918,6.191339646,2.76308716,0.005733214,0.723093128,-3.352428835,Metabolism (other)
EAPP,5.887299139,5.987897012,2.801980331,0.005085963,0.723093128,-3.4654845,NA
EIF3K,5.616747653,6.327845767,2.87692362,0.004021787,0.723093128,-3.279637182,NA
EXD1,6.026238713,6.724723257,3.064551857,0.002184105,0.723093128,-3.08395717,NA
EXO1,6.526418759,6.215694067,3.252455258,0.001146832,0.723093128,-2.905904801,NA
FAM120C,5.705437633,6.81828587,2.767203479,0.005661358,0.723093128,-3.472322756,Inflammation/Immune/Stress/Toxic/Detox
FBXO36,5.415737982,6.93160126,2.978678294,0.002899902,0.723093128,-3.045484113,NA
GART,5.66829876,6.771789879,2.920477109,0.003500528,0.723093128,-3.222776134,NA
GRAMD1C,6.139824534,6.588533933,3.167391948,0.001541427,0.723093128,-2.936681962,Metabolism or Transport (lipid)
GRIN2C,6.19301182,6.215694067,3.021388838,0.002520718,0.723093128,-3.205122327,NA
GTF2H1,6.56989117,6.722348431,3.308435107,0.000940553,0.723093128,-2.816829852,NA
HAUS8,5.049181015,7.32907189,2.748800622,0.005989031,0.723093128,-3.328888521,NA
INIP,5.65238851,6.33655076,2.793473097,0.00522161,0.723093128,-3.419932692,NA
ISG20L2,6.081404685,6.068077238,2.798282864,0.005144522,0.723093128,-3.516498421,Inflammation/Immune/Stress/Toxic/Detox
KIAA1257,-4.871476782,6.479854484,-2.838427461,0.004540157,0.723093128,-3.123129049,NA
MTA1,-5.280935107,6.930304945,-3.314316112,0.000921005,0.723093128,-2.315416477,NA
NEMF,6.144196852,6.633929311,3.087651384,0.002021389,0.723093128,-3.07954883,NA
NFE2L1,5.716985809,6.693205803,2.772805375,0.005564874,0.723093128,-3.466900684,NA
