Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.007723387,0.394547749,0.407017919,-0.251098954,-1.333952712,389,"c(""CSK"", ""VSIG4"", ""FOXA1"", ""IL1B"", ""PSEN1"", ""ST3GAL4"", ""PCDH12"", ""NPHP4"", ""NFAT5"", ""MYH9"", ""LIMS1"", ""STXBP3"", ""PCDHB7"", ""LAMA3"", ""VMP1"", ""MYL9"", ""SIRPG"", ""CLDN17"", ""TNIP1"", ""MUC21"", ""LAG3"", ""CLEC4G"", ""ITGA2B"", ""ACTN1"", ""PTAFR"", ""ZFP36L1"", ""ITGAV"", ""FLNA"", ""SH2B3"", ""PTPRS"", ""CDH1"", ""PPP1CA"", ""LRFN3"", ""TLN2"", ""PTPN23"", ""CELA2A"", ""JAK1"", ""PDE5A"", ""ROBO3"", ""CDH24"", ""CRB2"", ""HLA-A"", ""PRKAR1A"", ""CTSG"", ""CLDN7"", ""PLPP3"", ""DUSP22"", ""AFDN"", ""CNTN2"", ""EBI3"", ""DLG5"", ""DNAJB6"", ""ITGB5"", ""TRPV4"", ""TJP3"", ""CLDN4"", 
""SDK2"", ""CDHR5"", ""TJP2"", ""FADD"", ""CLDN20"", ""CDHR2"", ""FGA"", ""CTNNB1"", ""RAB10"", ""TMOD3"", ""SPI1"", ""AMIGO3"", ""SOCS5"", ""GOLPH3"", ""CLDN22"", ""NRARP"", ""TNFSF9"", ""NECTIN2"", ""ZMIZ1"", ""ASTN1"", ""FOXJ1"", ""LEF1"", ""STXBP1"", ""TARM1"", ""ZBTB1"", ""PIEZO1"", ""CD99"", ""SOX9"", ""MAP2K5"", ""CD81"", ""HLA-E"", ""PKP2"", ""CD93"", ""PIK3CB"", ""GP1BA"", ""PCDH7"", ""ITGA6"", ""JAM3"", ""ELMO2"", ""CNN3"", ""VCL"", ""ABAT"", ""PDLIM5"", ""ILDR2"", ""CDK5R1"", ""TNFRSF13C"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.192825112,0.83305055,0.149207542,0.22654322,1.130903412,158,"c(""DUSP10"", ""SDC4"", ""FERMT3"", ""HSPH1"", ""CD274"", ""SOX12"", ""BCL6"", ""FUT4"", ""BCL10"", ""RAG2"", ""IHH"", ""IDO1"", ""TNFSF4"", ""SIRPB1"", ""ZDHHC21"", ""BTN2A2"", ""CORO1A"", ""SFTPD"", ""EZR"", ""BMP7"", ""FCGR2B"", ""KLF4"", ""PRNP"", ""TNF"", ""IRF1"", ""LGALS3"", ""IRAK1"", ""CD24"", ""PELI1"", ""ITPKB"", ""TYK2"", ""CCL5"", ""PPARA"", ""GLMN"", ""SLC7A1"", ""HLA-DMB"", ""FOXO3"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.535836177,0.927007804,0.067518895,-0.19879673,-0.981047897,203,"c(""CSK"", ""FOXA1"", ""IL1B"", ""ST3GAL4"", ""NFAT5"", ""STK4"", ""ZFHX3"", ""LIMS1"", ""SIRPG"", ""PTAFR"", ""ARL2"", ""ITGAV"", ""FLNA"", ""ATM"", ""PTPN23"", ""JAK1"", ""LDB1"", ""HLA-A"", ""CTSG"", ""EPB41L4B"", ""RAC1"", ""PLPP3"", ""AFDN"", ""EBI3"", ""HYAL1"", ""SPOCK2"", ""FADD"", ""TRIOBP"", ""FGA"", ""SOCS5"", ""FUT1"", ""TNFSF9"", ""ZMIZ1"", ""LEF1"", ""PTPRJ"", ""ZBTB1"", ""PIEZO1"", ""DOCK5"", ""HSD17B12"", ""CD81"", ""HLA-E"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.66893424,0.941867417,0.070619625,0.192640437,0.915723989,120,"c(""DUSP10"", ""HSPH1"", ""CD274"", ""SOX12"", ""CX3CL1"", ""BCL6"", ""FUT4"", ""BCL10"", ""IHH"", ""TNFSF4"", ""SIRPB1"", ""SOX2"", ""BTN2A2"", ""CORO1A"", ""BMP7"", ""TNF"", ""IRAK1"", ""CD24"", ""ITPKB"", ""TYK2"", ""CCL5"", ""SLC7A1"", ""PODXL"", ""HLA-DMB"", ""FOXO3"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.402298851,0.904223321,0.099233334,0.226147135,1.02768675,96,"c(""DUSP10"", ""HSPH1"", ""CD274"", ""SOX12"", ""BCL6"", ""FUT4"", ""BCL10"", ""IHH"", ""TNFSF4"", ""SIRPB1"", ""BTN2A2"", ""CORO1A"", ""TNF"", ""IRAK1"", ""CD24"", ""ITPKB"", ""TYK2"", ""CCL5"", ""SLC7A1"", ""HLA-DMB"", ""FOXO3"", ""NCK1"", ""TNFSF14"", ""XBP1"", ""PRKCQ"", ""IGF2"", ""DHPS"", ""CD83"", ""HSPD1"", ""MDK"", ""LGALS9"", ""CD27"", ""CCL19"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.375838926,0.898434446,0.085042746,-0.197288678,-1.032431294,346,"c(""CSK"", ""VSIG4"", ""FOXA1"", ""IL1B"", ""MMP2"", ""PLXNA1"", ""ST3GAL4"", ""NFAT5"", ""STK4"", ""ZFHX3"", ""LIMS1"", ""LAMA3"", ""ARHGDIB"", ""SIRPG"", ""MUC21"", ""LAG3"", ""TESC"", ""CLEC4G"", ""PTAFR"", ""ARL2"", ""ITGAV"", ""FLNA"", ""SH2B3"", ""ATM"", ""CDH1"", ""LRFN3"", ""PTPN23"", ""CELA2A"", ""JAK1"", ""ACTN4"", ""PDE5A"", ""LDB1"", ""HLA-A"", ""PRKAR1A"", ""CTSG"", ""EPB41L4B"", ""RAC1"", ""PLPP3"", ""CORO2B"", ""DUSP22"", ""AFDN"", ""EBI3"", ""DLG5"", ""HYAL1"", ""EPHA8"", ""TRPV4"", ""SPOCK2"", ""FADD"", ""TRIOBP"", ""FGA"", ""SPI1"", ""SOCS5"", ""FUT1"", ""NRARP"", ""TNFSF9"", ""ZMIZ1"", ""SLC9A1"", 
""FOXJ1"", ""LEF1"", ""TARM1"", ""PTPRJ"", ""ZBTB1"", ""PIEZO1"", ""DOCK5"", ""CLASP1"", ""HSD17B12"", ""SOX9"", ""MAP2K5"", ""CD81"", ""HLA-E"", ""PIK3CB"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.541737649,0.928004681,0.066896628,-0.196983978,-0.972789515,201,"c(""CSK"", ""VSIG4"", ""FOXA1"", ""IL1B"", ""ST3GAL4"", ""NFAT5"", ""SIRPG"", ""MUC21"", ""LAG3"", ""CLEC4G"", ""PTAFR"", ""SH2B3"", ""CDH1"", ""LRFN3"", ""PTPN23"", ""CELA2A"", ""JAK1"", ""PDE5A"", ""HLA-A"", ""PRKAR1A"", ""CTSG"", ""PLPP3"", ""DUSP22"", ""AFDN"", ""EBI3"", ""DLG5"", ""TRPV4"", ""FADD"", ""FGA"", ""SPI1"", ""SOCS5"", ""NRARP"", ""TNFSF9"", ""ZMIZ1"", ""FOXJ1"", ""LEF1"", ""TARM1"", ""ZBTB1"", ""PIEZO1"", ""MAP2K5"", ""CD81"", ""HLA-E"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.190625,0.83305055,0.12267919,-0.205031992,-1.107722054,461,"c(""CSK"", ""PCDH12"", ""NPHP4"", ""GSN"", ""MYH9"", ""LIMS1"", ""ARF1"", ""AQP7"", ""CLDN17"", ""CD99L2"", ""ARPC3"", ""SYMPK"", ""ITGA2B"", ""TSPAN33"", ""ACTN1"", ""ARL2"", ""CRB3"", ""CPNE3"", ""ITGAV"", ""DBN1"", ""FLNA"", ""CDH1"", ""PPP1CA"", ""CSRP2"", ""TLN2"", ""SORBS1"", ""MARCKS"", ""JAK1"", ""ACTN4"", ""TSPAN9"", ""RPL8"", ""EPPK1"", ""CDH24"", ""HSPG2"", ""SGSM3"", ""ATP1A2"", ""CRB2"", ""PCBP2"", ""IQGAP1"", ""EPB41L4B"", ""GJA4"", ""PLXDC1"", ""RAC1"", ""CLDN7"", ""PLPP3"", ""CORO2B"", ""PDLIM7"", ""VASP"", ""AFDN"", ""PDZD2"", ""PPFIA1"", ""ITGB5"", ""TRPV4"", ""EVL"", ""ZYX"", ""TJP3"", ""CLDN4"", 
""TJP2"", ""PDIA3"", ""TRIOBP"", ""CLDN20"", ""CTNNB1"", ""RAB10"", ""TMOD3"", ""NCSTN"", ""TNK2"", ""DNMBP"", ""CLDN22"", ""DCAF6"", ""DST"", ""NECTIN2"", ""SLC9A1"", ""MPZL1"", ""MYO1E"", ""ARHGAP26"", ""FRMD6"", ""PTPRJ"", ""CD99"", ""ABI2"", ""FLNB"", ""RPS18"", ""PXN"", ""GRHL2"", ""CLASP1"", ""HACD3"", ""GNA12"", ""CD81"", ""PKP2"", ""SPTBN2"", ""ANXA6"", ""RPL38"", ""ITGA6"", ""ASAP3"", ""LIN7B"", ""JAM3"", ""CNN3"", ""SORBS2"", ""MAPK1"", ""ITGB1BP1"", ""TNS3"", ""VCL"", ""PDLIM5"", ""ILDR2"", ""FLII"", ""TSPAN4"", ""SAV1"", ""USP53"", ""PAK1"", ""GNA13"", ""BSG"", ""PANX2"", ""GRB2"", ""CDH3"", ""LAT"", 
""MPDZ"", ""PAK4"", ""OPALIN"", ""ITGB7"", ""AJAP1"", ""MTDH"", ""GRB7"", ""CCDC85C"", ""RPS10"", ""FBLN7"", ""SDCCAG8"", ""LASP1"", ""PTK2B"", ""AMOTL2"", ""PTPN6"", ""ITGB3"", ""EFS"", ""PDZD3"", ""RPS3A"", ""MICALL2"", ""CAPN1"", ""PRKAR2A"", ""ILK"", ""RPGRIP1L"", ""FERMT1"", ""CYTH1"", ""RPS15"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.506944444,0.92163341,0.07113274,-0.192900494,-0.980026688,270,"c(""GSN"", ""MYH9"", ""LIMS1"", ""ARF1"", ""CD99L2"", ""ARPC3"", ""ITGA2B"", ""ACTN1"", ""ARL2"", ""CPNE3"", ""ITGAV"", ""FLNA"", ""CSRP2"", ""TLN2"", ""SORBS1"", ""MARCKS"", ""JAK1"", ""ACTN4"", ""TSPAN9"", ""RPL8"", ""EPPK1"", ""HSPG2"", ""PCBP2"", ""IQGAP1"", ""RAC1"", ""CORO2B"", ""PDLIM7"", ""VASP"", ""PPFIA1"", ""ITGB5"", ""TRPV4"", ""EVL"", ""ZYX"", ""PDIA3"", ""TRIOBP"", ""CTNNB1"", ""RAB10"", ""NCSTN"", ""DCAF6"", ""DST"", ""NECTIN2"", ""SLC9A1"", ""MPZL1"", ""ARHGAP26"", ""CD99"", ""FLNB"", ""RPS18"", ""PXN"", ""CLASP1"", ""HACD3"", ""GNA12"", ""CD81"", ""ANXA6"", ""RPL38"", ""ITGA6"", ""ASAP3"", 
""CNN3"", ""SORBS2"", ""MAPK1"", ""ITGB1BP1"", ""TNS3"", ""VCL"", ""FLII"", ""TSPAN4"", ""PAK1"", ""GNA13"", ""BSG"", ""PAK4"", ""ITGB7"", ""GRB7"", ""RPS10"", ""FBLN7"", ""LASP1"", ""PTK2B"", ""ITGB3"", ""EFS"", ""RPS3A"", ""CAPN1"", ""PRKAR2A"", ""ILK"", ""FERMT1"", ""RPS15"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.468646865,0.919025251,0.072535186,-0.190662135,-0.994784927,333,"c(""SCUBE3"", ""ASGR1"", ""PSEN1"", ""IL9R"", ""ENO1"", ""MR1"", ""P2RX1"", ""SLC34A1"", ""RPS6KB1"", ""SLC39A6"", ""CD99L2"", ""BTN3A3"", ""HM13"", ""TSPAN14"", ""LAG3"", ""CLEC4G"", ""ITGA2B"", ""TSPAN15"", ""ADAMTS13"", ""TSPAN33"", ""HYAL2"", ""ITGAV"", ""COL23A1"", ""ANXA4"", ""MS4A2"", ""LRFN3"", ""LYZL6"", ""FASLG"", ""LRPAP1"", ""CD69"", ""TGFBR3"", ""TDGF1"", ""HLA-A"", ""CTSG"", ""CNTN2"", ""EBI3"", ""ITGB5"", ""TRPV4"", ""KCNB1"", ""SMIM1"", ""LRP4"", ""CD248"", ""PDIA3"", ""TGFBR3L"", ""FGA"", ""ACVR1B"", ""ACKR4"", ""CSF1R"", ""TNFRSF10D"", ""ANTXR1"", ""AXL"", ""MAP3K5"", ""RTP1"", ""NECTIN2"", 
""SLC9A1"", ""ASTN1"", ""MPZL1"", ""CLEC10A"", ""CACNG4"", ""PTPRJ"", ""SEMA7A"", ""MET"", ""LY6G5C"", ""HLA-E"", ""PSEN2"", ""CD93"", ""GP1BA"", ""ITGA6"", ""VAMP4"")"
