Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.707292707,0.999429817,0.029351919,-0.329402727,-0.952141419,162,"c(""P2RY12"", ""SOCS1"", ""BCL10"", ""TYRO3"", ""SCRIB"", ""BAIAP2"", ""MINK1"", ""NINJ2"", ""MYB"", ""DUSP3"", ""ZBTB1"", ""RAB10"", ""GTPBP4"", ""YES1"", ""CBFB"", ""CX3CL1"", ""LCK"", ""NPHP1"", ""RIC8A"", ""PTPN23"", ""BCL6"", ""CCDC88B"", ""GPNMB"", ""ICAM1"", ""DSCAML1"", ""TGFB2"", ""ITGA7"", ""ITGA11"", ""FOXP3"", ""MAP3K8"", ""DSG2"", ""CD84"", ""BLK"", ""MYL9"", ""MAPK14"", ""RC3H2"", ""LRRC4B"", ""CD28"", ""PIK3R6"", ""PAG1"", ""HLA-E"", ""COL8A2"", ""FGL2"", ""PPM1F"", ""SOX13"", ""COL19A1"", ""CEACAM5"", ""MYADM"", ""STXBP1"", ""DSC2"", ""TNFSF9"", ""FLRT3"", ""MPZL2"", ""CD9"", ""NFKBIZ"", 
""CYP1B1"", ""ADTRP"", ""EZR"", ""ADD2"", ""ROPN1B"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ZDHHC21"", ""ITPKB"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.388611389,0.999429817,0.057246114,-0.374425676,-1.040694172,68,"c(""SOCS1"", ""BCL10"", ""SCRIB"", ""MYB"", ""DUSP3"", ""ZBTB1"", ""YES1"", ""CBFB"", ""LCK"", ""BCL6"", ""CCDC88B"", ""GPNMB"", ""ICAM1"", ""FOXP3"", ""MAP3K8"", ""RC3H2"", ""CD28"", ""PIK3R6"", ""PAG1"", ""HLA-E"", ""FGL2"", ""SOX13"", ""TNFSF9"", ""NFKBIZ"", ""ADTRP"", ""EZR"", ""ADD2"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ZDHHC21"", ""ITPKB"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.812187812,0.999429817,0.021939825,-0.3152101,-0.892351786,92,"c(""P2RY12"", ""SOCS1"", ""BCL10"", ""MYB"", ""ZBTB1"", ""ITGB1BP1"", ""YES1"", ""CBFB"", ""CX3CL1"", ""LCK"", ""PTPN23"", ""BCL6"", ""CCDC88B"", ""EMILIN1"", ""EPHA1"", ""TGFB2"", ""FBLN2"", ""FOXP3"", ""MAP3K8"", ""DNM2"", ""CD28"", ""PIK3R6"", ""CRK"", ""HLA-E"", ""PPM1F"", ""SOX13"", ""MYADM"", ""TNFSF9"", ""RRAS"", ""NFKBIZ"", ""TPM1"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ITPKB"", ""CDC42"", ""HLX"", ""SFRP1"", ""NPNT"", ""IL12RB1"", ""FN1"", ""ITGA3"", ""WNT3A"", ""ITGAV"", ""XBP1"", ""NRP1"", ""F11R"", ""CD46"", ""FLNA"", ""IL4I1"", ""KDR"", ""DNAJA3"", ""TNFSF4"", ""MMRN1"", ""SLAMF1"", ""RET"", 
""STX4"", ""FSTL3"", ""HHLA2"", ""CRKL"", ""CD4"", ""MDK"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.694305694,0.999429817,0.030275442,-0.33694426,-0.924772212,57,"c(""SOCS1"", ""BCL10"", ""MYB"", ""ZBTB1"", ""YES1"", ""CBFB"", ""CX3CL1"", ""LCK"", ""PTPN23"", ""BCL6"", ""CCDC88B"", ""FOXP3"", ""MAP3K8"", ""CD28"", ""PIK3R6"", ""HLA-E"", ""SOX13"", ""TNFSF9"", ""NFKBIZ"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ITPKB"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.474525475,0.999429817,0.048022042,-0.371901178,-1.003424628,46,"c(""SOCS1"", ""BCL10"", ""MYB"", ""ZBTB1"", ""YES1"", ""CBFB"", ""LCK"", ""BCL6"", ""CCDC88B"", ""FOXP3"", ""MAP3K8"", ""CD28"", ""PIK3R6"", ""HLA-E"", ""SOX13"", ""TNFSF9"", ""NFKBIZ"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ITPKB"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.635364635,0.999429817,0.034566432,-0.337301609,-0.967075878,136,"c(""P2RY12"", ""SOCS1"", ""BCL10"", ""GPR4"", ""SCRIB"", ""MINK1"", ""MYB"", ""DUSP3"", ""ZBTB1"", ""ITGB1BP1"", ""GTPBP4"", ""YES1"", ""CBFB"", ""CX3CL1"", ""LCK"", ""VTN"", ""PTPN23"", ""BCL6"", ""CCDC88B"", ""EMILIN1"", ""GPNMB"", ""EPHA1"", ""PEAK1"", ""TGFB2"", ""FBLN2"", ""FOXP3"", ""MAP3K8"", ""TESC"", ""BLK"", ""DNM2"", ""PLXNA2"", ""MAPK14"", ""RC3H2"", ""SLC9A1"", ""CD28"", ""PIK3R6"", ""SLK"", ""CLASP1"", ""CRK"", ""PAG1"", ""HLA-E"", ""FGL2"", ""PPM1F"", ""SOX13"", ""MYADM"", ""TNFSF9"", ""CD9"", ""RRAS"", ""NFKBIZ"", ""TPM1"", ""CYP1B1"", ""ADTRP"", ""ZP3"", ""SOX12"", ""RASA1"", ""LGALS9"", ""BAD"", 
""ZDHHC21"", ""ITPKB"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.267732268,0.999429817,0.075501529,-0.382876464,-1.076727523,82,"c(""SOCS1"", ""BCL10"", ""SCRIB"", ""MINK1"", ""MYB"", ""DUSP3"", ""ZBTB1"", ""GTPBP4"", ""YES1"", ""CBFB"", ""CX3CL1"", ""LCK"", ""PTPN23"", ""BCL6"", ""CCDC88B"", ""GPNMB"", ""FOXP3"", ""MAP3K8"", ""BLK"", ""MAPK14"", ""RC3H2"", ""CD28"", ""PIK3R6"", ""PAG1"", ""HLA-E"", ""FGL2"", ""PPM1F"", ""SOX13"", ""MYADM"", ""TNFSF9"", ""CD9"", ""NFKBIZ"", ""ADTRP"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ZDHHC21"", ""ITPKB"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.310689311,0.999429817,0.067992259,-0.35848238,-1.044181952,193,"c(""PARVG"", ""EPPK1"", ""ANXA6"", ""FLRT1"", ""NCSTN"", ""ALKBH6"", ""DES"", ""SCRIB"", ""UBOX5"", ""BAIAP2"", ""ADAM17"", ""SYMPK"", ""RPS10"", ""WASF2"", ""FAP"", ""GJB6"", ""RHO"", ""ITGB1BP1"", ""RAB10"", ""HSPA5"", ""KIF23"", ""TIAM1"", ""YES1"", ""MTDH"", ""AKAP12"", ""RPL4"", ""NPHP1"", ""ADD1"", ""DOCK7"", ""FZD2"", ""VANGL2"", ""CLTC"", ""KIAA1210"", ""RPS17"", ""PTK7"", ""ARMC5"", ""RPS5"", ""FHL1"", ""ICAM1"", ""CD151"", ""MAPRE2"", ""RPS11"", ""CDC42BPA"", ""PEAK1"", ""ITGA11"", ""DSG2"", ""HYOU1"", ""DNM2"", ""ARHGEF2"", ""THSD1"", ""LASP1"", ""RPS8"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.052947053,0.999429817,0.193813303,-0.410797424,-1.174142181,121,"c(""PARVG"", ""EPPK1"", ""ANXA6"", ""FLRT1"", ""NCSTN"", ""ALKBH6"", ""UBOX5"", ""ADAM17"", ""RPS10"", ""FAP"", ""ITGB1BP1"", ""RAB10"", ""HSPA5"", ""KIF23"", ""YES1"", ""AKAP12"", ""RPL4"", ""ADD1"", ""DOCK7"", ""FZD2"", ""CLTC"", ""RPS17"", ""PTK7"", ""ARMC5"", ""RPS5"", ""FHL1"", ""ICAM1"", ""CD151"", ""MAPRE2"", ""RPS11"", ""PEAK1"", ""ITGA11"", ""HYOU1"", ""DNM2"", ""ARHGEF2"", ""THSD1"", ""LASP1"", ""RPS8"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.95004995,0.999429817,0.01046104,-0.290292264,-0.83872252,156,"c(""P2RY12"", ""TYRO3"", ""LAMP1"", ""PDGFA"", ""DUOX2"", ""VASN"", ""ADAM17"", ""BCAM"", ""LRFN2"", ""PSEN2"", ""CXCR5"", ""FAP"", ""CNTFR"", ""HYAL2"", ""HSPA5"", ""CX3CL1"", ""ICAM1"", ""NRROS"", ""DSCAML1"", ""CD151"", ""FCRL5"", ""SLC9A3"", ""CD226"", ""APMAP"", ""ITGA7"", ""ITGA11"", ""RAMP3"", ""DSG2"", ""CD84"", ""RC3H2"", ""CASR"", ""PPFIA4"", ""ASIC1"", ""SLC9A1"", ""CD28"", ""USP14"", ""FOLR3"", ""MST1R"", ""HLA-E"", ""ANXA5"", ""SLC1A4"", ""LAMP3"", ""CEACAM5"", ""CD9"", ""CYP2W1"", ""ADTRP"", ""CUBN"", ""GHR"", ""RTN2"", ""KCNH2"", ""SLC11A2"", ""MXRA8"", ""ELSPBP1"", ""FZD1"")"
