Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.768637532,0.999274258,0.069945874,-0.169225057,-0.908458394,364,"c(""P2RY12"", ""SOCS1"", ""BCL10"", ""TYRO3"", ""SCRIB"", ""BAIAP2"", ""MINK1"", ""NINJ2"", ""MYB"", ""DUSP3"", ""ZBTB1"", ""RAB10"", ""GTPBP4"", ""YES1"", ""CBFB"", ""CX3CL1"", ""LCK"", ""NPHP1"", ""RIC8A"", ""PTPN23"", ""BCL6"", ""CCDC88B"", ""GPNMB"", ""ICAM1"", ""DSCAML1"", ""TGFB2"", ""ITGA7"", ""ITGA11"", ""FOXP3"", ""MAP3K8"", ""DSG2"", ""CD84"", ""BLK"", ""MYL9"", ""MAPK14"", ""RC3H2"", ""LRRC4B"", ""CD28"", ""PIK3R6"", ""PAG1"", ""HLA-E"", ""COL8A2"", ""FGL2"", ""PPM1F"", ""SOX13"", ""COL19A1"", ""CEACAM5"", ""MYADM"", ""STXBP1"", ""DSC2"", ""TNFSF9"", ""FLRT3"", ""MPZL2"", ""CD9"", ""NFKBIZ"", 
""CYP1B1"", ""ADTRP"", ""EZR"", ""ADD2"", ""ROPN1B"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ZDHHC21"", ""ITPKB"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.521226415,0.999274258,0.085784441,-0.206222449,-0.982909047,156,"c(""SOCS1"", ""BCL10"", ""SCRIB"", ""MYB"", ""DUSP3"", ""ZBTB1"", ""YES1"", ""CBFB"", ""LCK"", ""BCL6"", ""CCDC88B"", ""GPNMB"", ""ICAM1"", ""FOXP3"", ""MAP3K8"", ""RC3H2"", ""CD28"", ""PIK3R6"", ""PAG1"", ""HLA-E"", ""FGL2"", ""SOX13"", ""TNFSF9"", ""NFKBIZ"", ""ADTRP"", ""EZR"", ""ADD2"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ZDHHC21"", ""ITPKB"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.552884615,0.999274258,0.08359906,-0.193616431,-0.961323968,193,"c(""P2RY12"", ""SOCS1"", ""BCL10"", ""MYB"", ""ZBTB1"", ""ITGB1BP1"", ""YES1"", ""CBFB"", ""CX3CL1"", ""LCK"", ""PTPN23"", ""BCL6"", ""CCDC88B"", ""EMILIN1"", ""EPHA1"", ""TGFB2"", ""FBLN2"", ""FOXP3"", ""MAP3K8"", ""DNM2"", ""CD28"", ""PIK3R6"", ""CRK"", ""HLA-E"", ""PPM1F"", ""SOX13"", ""MYADM"", ""TNFSF9"", ""RRAS"", ""NFKBIZ"", ""TPM1"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ITPKB"", ""CDC42"", ""HLX"", ""SFRP1"", ""NPNT"", ""IL12RB1"", ""FN1"", ""ITGA3"", ""WNT3A"", ""ITGAV"", ""XBP1"", ""NRP1"", ""F11R"", ""CD46"", ""FLNA"", ""IL4I1"", ""KDR"", ""DNAJA3"", ""TNFSF4"", ""MMRN1"", ""SLAMF1"", ""RET"", 
""STX4"", ""FSTL3"", ""HHLA2"", ""CRKL"", ""CD4"", ""MDK"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.470588235,0.999274258,0.089164712,-0.212841065,-0.991700975,125,"c(""SOCS1"", ""BCL10"", ""MYB"", ""ZBTB1"", ""YES1"", ""CBFB"", ""CX3CL1"", ""LCK"", ""PTPN23"", ""BCL6"", ""CCDC88B"", ""FOXP3"", ""MAP3K8"", ""CD28"", ""PIK3R6"", ""HLA-E"", ""SOX13"", ""TNFSF9"", ""NFKBIZ"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ITPKB"", ""HLX"", ""IL12RB1"", ""WNT3A"", ""XBP1"", ""F11R"", ""CD46"", ""IL4I1"", ""DNAJA3"", ""TNFSF4"", ""MMRN1"", ""SLAMF1"", ""FSTL3"", ""HHLA2"", ""CD4"", ""MDK"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.421052632,0.999274258,0.096240602,-0.225732642,-1.020278823,105,"c(""SOCS1"", ""BCL10"", ""MYB"", ""ZBTB1"", ""YES1"", ""CBFB"", ""LCK"", ""BCL6"", ""CCDC88B"", ""FOXP3"", ""MAP3K8"", ""CD28"", ""PIK3R6"", ""HLA-E"", ""SOX13"", ""TNFSF9"", ""NFKBIZ"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ITPKB"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.858227848,0.999274258,0.063784539,-0.167423117,-0.880203429,314,"c(""P2RY12"", ""SOCS1"", ""BCL10"", ""GPR4"", ""SCRIB"", ""MINK1"", ""MYB"", ""DUSP3"", ""ZBTB1"", ""ITGB1BP1"", ""GTPBP4"", ""YES1"", ""CBFB"", ""CX3CL1"", ""LCK"", ""VTN"", ""PTPN23"", ""BCL6"", ""CCDC88B"", ""EMILIN1"", ""GPNMB"", ""EPHA1"", ""PEAK1"", ""TGFB2"", ""FBLN2"", ""FOXP3"", ""MAP3K8"", ""TESC"", ""BLK"", ""DNM2"", ""PLXNA2"", ""MAPK14"", ""RC3H2"", ""SLC9A1"", ""CD28"", ""PIK3R6"", ""SLK"", ""CLASP1"", ""CRK"", ""PAG1"", ""HLA-E"", ""FGL2"", ""PPM1F"", ""SOX13"", ""MYADM"", ""TNFSF9"", ""CD9"", ""RRAS"", ""NFKBIZ"", ""TPM1"", ""CYP1B1"", ""ADTRP"", ""ZP3"", ""SOX12"", ""RASA1"", ""LGALS9"", ""BAD"", 
""ZDHHC21"", ""ITPKB"", ""PPP2R1A"", ""CDC42"", ""CORO1C"", ""ABL2"", ""HLX"", ""SFRP1"", ""NPNT"", ""IL12RB1"", ""FN1"", ""FZD7"", ""ITGA3"", ""WNT3A"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.241545894,0.999274258,0.13725078,-0.221141752,-1.090262353,186,"c(""SOCS1"", ""BCL10"", ""SCRIB"", ""MINK1"", ""MYB"", ""DUSP3"", ""ZBTB1"", ""GTPBP4"", ""YES1"", ""CBFB"", ""CX3CL1"", ""LCK"", ""PTPN23"", ""BCL6"", ""CCDC88B"", ""GPNMB"", ""FOXP3"", ""MAP3K8"", ""BLK"", ""MAPK14"", ""RC3H2"", ""CD28"", ""PIK3R6"", ""PAG1"", ""HLA-E"", ""FGL2"", ""PPM1F"", ""SOX13"", ""MYADM"", ""TNFSF9"", ""CD9"", ""NFKBIZ"", ""ADTRP"", ""ZP3"", ""SOX12"", ""LGALS9"", ""BAD"", ""ZDHHC21"", ""ITPKB"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.091397849,0.981417603,0.245041785,-0.217432318,-1.170083654,385,"c(""PARVG"", ""EPPK1"", ""ANXA6"", ""FLRT1"", ""NCSTN"", ""ALKBH6"", ""DES"", ""SCRIB"", ""UBOX5"", ""BAIAP2"", ""ADAM17"", ""SYMPK"", ""RPS10"", ""WASF2"", ""FAP"", ""GJB6"", ""RHO"", ""ITGB1BP1"", ""RAB10"", ""HSPA5"", ""KIF23"", ""TIAM1"", ""YES1"", ""MTDH"", ""AKAP12"", ""RPL4"", ""NPHP1"", ""ADD1"", ""DOCK7"", ""FZD2"", ""VANGL2"", ""CLTC"", ""KIAA1210"", ""RPS17"", ""PTK7"", ""ARMC5"", ""RPS5"", ""FHL1"", ""ICAM1"", ""CD151"", ""MAPRE2"", ""RPS11"", ""CDC42BPA"", ""PEAK1"", ""ITGA11"", ""DSG2"", ""HYOU1"", ""DNM2"", ""ARHGEF2"", ""THSD1"", ""LASP1"", ""RPS8"", ""SLC9A1"", ""CLASP1"", ""RPL5"", ""ANXA5"", 
""AMOTL2"", ""VAPA"", ""MYADM"", ""GJA5"", ""DSC2"", ""FLRT3"", ""CD9"", ""RRAS"", ""PARK7"", ""HSP90B1"", ""EZR"", ""PPFIA1"", ""MXRA8"", ""FZD1"", ""ADD3"", ""NHS"", ""CDC42BPB"", ""CDC42"", ""ARPC5L"", ""CORO1C"", ""CDC42EP4"", ""RPL8"", ""CBL"", ""CAP1"", ""TNS3"", ""IQGAP1"", ""TSPAN4"", ""SLC2A2"", ""PLXDC1"", ""TPM4"", ""SPECC1L"", ""ITGA3"", ""ABI2"", ""CNTNAP1"", ""CLDN12"", ""CDCA3"", ""PLEC"", ""PACSIN2"", ""ITGAV"", ""NRP1"", ""F11R"", ""RPS4X"", ""KIT"", ""CTNNA1"", ""NECTIN1"", ""CD46"", ""CHP1"", ""FLNA"", ""PDLIM7"", ""VIM"", ""TWF1"", ""PATJ"", ""IGSF5"", ""RALA"", ""SDCCAG8"", ""TM4SF20"", 
""CD53"", ""SNAP23"", ""FLNC"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.001445819,0.942985627,0.455059867,-0.295464253,-1.486988088,218,"c(""PARVG"", ""EPPK1"", ""ANXA6"", ""FLRT1"", ""NCSTN"", ""ALKBH6"", ""UBOX5"", ""ADAM17"", ""RPS10"", ""FAP"", ""ITGB1BP1"", ""RAB10"", ""HSPA5"", ""KIF23"", ""YES1"", ""AKAP12"", ""RPL4"", ""ADD1"", ""DOCK7"", ""FZD2"", ""CLTC"", ""RPS17"", ""PTK7"", ""ARMC5"", ""RPS5"", ""FHL1"", ""ICAM1"", ""CD151"", ""MAPRE2"", ""RPS11"", ""PEAK1"", ""ITGA11"", ""HYOU1"", ""DNM2"", ""ARHGEF2"", ""THSD1"", ""LASP1"", ""RPS8"", ""SLC9A1"", ""CLASP1"", ""RPL5"", ""ANXA5"", ""FLRT3"", ""CD9"", ""RRAS"", ""HSP90B1"", ""EZR"", ""PPFIA1"", ""FZD1"", ""NHS"", ""CDC42"", ""ARPC5L"", ""CORO1C"", ""RPL8"", ""CBL"", ""CAP1"", ""TNS3"", 
""IQGAP1"", ""TSPAN4"", ""TPM4"", ""ITGA3"", ""PLEC"", ""PACSIN2"", ""ITGAV"", ""NRP1"", ""RPS4X"", ""CTNNA1"", ""CD46"", ""CHP1"", ""FLNA"", ""PDLIM7"", ""VIM"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.833607908,0.999274258,0.045134422,0.171320269,0.881292052,345,"c(""LRFN4"", ""TEK"", ""SEMA7A"", ""GFRA2"", ""RTN4R"", ""FZD6"", ""ABCA1"", ""SORT1"", ""APOH"", ""CD74"", ""GHRHR"", ""TSHR"", ""INTU"", ""ANXA2"", ""AIMP1"", ""DIP2A"", ""PDGFRA"", ""PCSK6"", ""CLEC2B"", ""ADAM29"", ""ABCB11"", ""ITGA9"", ""GSR"", ""SLC46A1"", ""ANTXR2"", ""CD36"", ""LY75"", ""TMEM102"", ""SLC39A6"", ""HLA-C"", ""DAG1"", ""UMODL1"", ""CAPN2"", ""SRPX2"", ""SLC46A2"", ""GREM1"", ""KCNJ3"", ""EPHA5"", ""PRLR"", ""LMAN2"", ""CDH17"", ""CSF1R"", ""CLCN3"", ""ENTPD6"", ""GLRA1"", ""FCRL4"", ""MAP3K5"", ""LMO7"", ""SLC6A1"", ""GRIN1"", ""ITGB3"", ""AJAP1"", ""FGF10"", ""NOTCH2"", ""CLIC4"", 
""WNT4"", ""ALCAM"", ""DCBLD2"", ""S1PR1"", ""CNTN2"", ""ADAM10"", ""MSR1"", ""GRIN2A"", ""AQP11"", ""P2RY1"", ""CD5L"", ""THY1"", ""KCNK2"", ""TRPV4"", ""ROR1"", ""AQP4"")"
