Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.396551724,1,0.057005953,0.243072267,1.038659135,326,"c(""NINJ2"", ""SPN"", ""PDLIM5"", ""JAM2"", ""IL18"", ""GTPBP4"", ""CD300A"", ""ZAP70"", ""HLA-DPB1"", ""CD47"", ""HLX"", ""IL10"", ""PIK3CA"", ""JAML"", ""LRRC32"", ""BMP5"", ""PCDHGA7"", ""PCDHGA8"", ""PCDHGB4"", ""PCDHGB5"", ""YTHDF2"", ""GLI3"", ""HSPB1"", ""XG"", ""PCDHGB3"", ""PCDHGA6"", ""CD28"", ""KIFAP3"", ""SCARF2"", ""CSRP1"", ""PCDHGB2"", ""PCDHGA4"", ""PCDHGB1"", ""SERPINB8"", ""ITGA5"", ""IL20RB"", ""PCDHGA3"", ""FSTL3"", ""PCDHGA1"", ""PCDHGA2"", ""PCDHGA10"", ""PCDHGA5"", ""BLK"", ""CDH3"", ""TTYH1"", ""HLA-DRB1"", ""ACTB"", ""KLRK1"", ""SIRPA"", ""PCDHGA9"", ""PCDHGB6"", ""PIK3CB"", 
""PDGFRA"", ""PIK3R6"", ""ITGAD"", ""AJUBA"", ""ITGAV"", ""ADAM8"", ""RAC2"", ""SMAD7"", ""OBSL1"", ""KLRC4-KLRK1"", ""CDH22"", ""WNT4"", ""IL23R"", ""NOD2"", ""LCK"", ""DPP4"", ""CD164"", ""CR1"", ""LIMS1"", ""SKAP1"", ""MILR1"", ""CD93"", ""ADAMTS18"", ""PCDHGA12"", ""ITGA3"", ""VTCN1"", ""PTK2"", ""TNFSF11"", ""MINK1"", ""SLC39A8"", ""AP3B1"", ""ADGRL1"", ""PDLIM1"", ""BMP6"", ""ITGA1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.489177489,1,0.050294806,0.246229904,0.989896433,139,"c(""SPN"", ""JAM2"", ""IL18"", ""CD300A"", ""ZAP70"", ""HLA-DPB1"", ""CD47"", ""HLX"", ""IL10"", ""PIK3CA"", ""LRRC32"", ""GLI3"", ""CD28"", ""ITGA5"", ""IL20RB"", ""HLA-DRB1"", ""KLRK1"", ""SIRPA"", ""PIK3R6"", ""ADAM8"", ""RAC2"", ""SMAD7"", ""KLRC4-KLRK1"", ""IL23R"", ""NOD2"", ""LCK"", ""DPP4"", ""CR1"", ""SKAP1"", ""VTCN1"", ""TNFSF11"", ""SLC39A8"", ""AP3B1"", ""SPTA1"", ""ZC3H8"", ""HSPD1"", ""FCHO1"", ""NCKAP1L"", ""HHLA2"", ""CD55"", ""ITCH"", ""IL7"", ""ITGB1"", ""HLA-DMB"", ""ZBTB7B"", ""DLG1"", ""AIF1"", ""HLA-DPA1"", ""PRKAR1A"", ""CSK"", ""XBP1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.75782881,1,0.028081064,0.213500983,0.881057344,189,"c(""IL18"", ""ZAP70"", ""HLA-DPB1"", ""CD47"", ""HLX"", ""IL10"", ""PIK3CA"", ""TSC1"", ""SPOCK2"", ""PPP3CA"", ""GLI3"", ""CD28"", ""NDNF"", ""KIFAP3"", ""ITGA5"", ""NEDD9"", ""FSTL3"", ""HLA-DRB1"", ""KLRK1"", ""SIRPA"", ""PIK3R6"", ""ITGAV"", ""ADAM8"", ""CASS4"", ""SMAD7"", ""KLRC4-KLRK1"", ""WNT4"", ""IL23R"", ""NOD2"", ""LCK"", ""DPP4"", ""CR1"", ""LIMS1"", ""SKAP1"", ""ITGA3"", ""VTCN1"", ""NRP1"", ""TNFSF11"", ""STX4"", ""AP3B1"", ""VAV3"", ""EGFL6"", ""FRMD5"", ""DISC1"", ""CDC42"", ""PPM1F"", ""TGM2"", ""SPTA1"", ""HSPD1"", ""FCHO1"", ""NCKAP1L"", ""HHLA2"", ""CRKL"", ""CD55"", ""IL7"", ""HLA-DMB"", 
""ZBTB7B"", ""AIF1"", ""HLA-DPA1"", ""AFDN"", ""CSK"", ""XBP1"", ""RELL2"", ""CX3CL1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.751920966,1,0.030990082,0.216582691,0.855232253,123,"c(""IL18"", ""ZAP70"", ""HLA-DPB1"", ""CD47"", ""HLX"", ""IL10"", ""PIK3CA"", ""GLI3"", ""CD28"", ""KIFAP3"", ""FSTL3"", ""HLA-DRB1"", ""KLRK1"", ""SIRPA"", ""PIK3R6"", ""ADAM8"", ""SMAD7"", ""KLRC4-KLRK1"", ""IL23R"", ""NOD2"", ""LCK"", ""DPP4"", ""CR1"", ""SKAP1"", ""VTCN1"", ""TNFSF11"", ""AP3B1"", ""SPTA1"", ""HSPD1"", ""FCHO1"", ""NCKAP1L"", ""HHLA2"", ""CD55"", ""IL7"", ""HLA-DMB"", ""ZBTB7B"", ""AIF1"", ""HLA-DPA1"", ""AFDN"", ""CSK"", ""XBP1"", ""CX3CL1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.667403315,1,0.036993252,0.231194227,0.895172222,102,"c(""IL18"", ""ZAP70"", ""HLA-DPB1"", ""CD47"", ""HLX"", ""PIK3CA"", ""GLI3"", ""CD28"", ""HLA-DRB1"", ""KLRK1"", ""SIRPA"", ""PIK3R6"", ""ADAM8"", ""KLRC4-KLRK1"", ""IL23R"", ""NOD2"", ""LCK"", ""DPP4"", ""CR1"", ""SKAP1"", ""VTCN1"", ""TNFSF11"", ""AP3B1"", ""SPTA1"", ""HSPD1"", ""FCHO1"", ""NCKAP1L"", ""HHLA2"", ""CD55"", ""IL7"", ""HLA-DMB"", ""ZBTB7B"", ""AIF1"", ""HLA-DPA1"", ""CSK"", ""XBP1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.846625767,1,0.020854749,0.198338009,0.842132789,296,"c(""ARHGDIA"", ""SPN"", ""IL18"", ""GTPBP4"", ""PPP2CA"", ""CD300A"", ""ZAP70"", ""HLA-DPB1"", ""CD47"", ""PRLR"", ""HLX"", ""IL10"", ""PIK3CA"", ""TSC1"", ""PTPRO"", ""SPOCK2"", ""LRRC32"", ""PPP3CA"", ""YTHDF2"", ""GLI3"", ""CD28"", ""NDNF"", ""KIFAP3"", ""FAM107A"", ""ITGA5"", ""IL20RB"", ""PPP1CB"", ""NEDD9"", ""FSTL3"", ""BLK"", ""HLA-DRB1"", ""KLRK1"", ""SIRPA"", ""PIK3CB"", ""PIK3R6"", ""ITGAV"", ""ADAM8"", ""RAC2"", ""GPR4"", ""CASS4"", ""SMAD7"", ""ADAM10"", ""KLRC4-KLRK1"", ""WNT4"", ""IL23R"", ""NOD2"", ""LCK"", ""DPP4"", ""CD164"", ""CR1"", ""LIMS1"", ""SKAP1"", ""ADAMTS18"", ""ITGA3"", ""VTCN1"", 
""PEAK1"", ""PTK2"", ""NRP1"", ""TNFSF11"", ""MINK1"", ""STX4"", ""AP3B1"", ""VAV3"", ""EGFL6"", ""FRMD5"", ""DISC1"", ""CDC42"", ""BMP6"", ""ADAM22"", ""PPM1F"", ""TGM2"", ""SERPINE2"", ""SPINK5"", ""SPTA1"", ""ZC3H8"", ""HSPD1"", ""ATXN3"", ""FCHO1"", ""NCKAP1L"", ""HHLA2"", ""CRKL"", ""CD55"", ""ITCH"", ""IL7"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.639448568,1,0.037070539,0.22575611,0.924890672,172,"c(""SPN"", ""IL18"", ""GTPBP4"", ""CD300A"", ""ZAP70"", ""HLA-DPB1"", ""CD47"", ""HLX"", ""IL10"", ""PIK3CA"", ""LRRC32"", ""YTHDF2"", ""GLI3"", ""CD28"", ""KIFAP3"", ""IL20RB"", ""FSTL3"", ""BLK"", ""HLA-DRB1"", ""KLRK1"", ""SIRPA"", ""PIK3R6"", ""ADAM8"", ""SMAD7"", ""KLRC4-KLRK1"", ""WNT4"", ""IL23R"", ""NOD2"", ""LCK"", ""DPP4"", ""CR1"", ""SKAP1"", ""ADAMTS18"", ""VTCN1"", ""PTK2"", ""TNFSF11"", ""MINK1"", ""AP3B1"", ""BMP6"", ""PPM1F"", ""SERPINE2"", ""SPTA1"", ""ZC3H8"", ""HSPD1"", ""FCHO1"", ""NCKAP1L"", ""HHLA2"", ""CD55"", ""ITCH"", ""IL7"", ""HLA-DMB"", ""JAG1"", ""ZBTB7B"", ""DLG1"", ""AIF1"", 
""HLA-DPA1"", ""PRKAR1A"", ""MAPK14"", ""AFDN"", ""CSK"", ""XBP1"", ""CX3CL1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.358509567,1,0.061436411,0.243626686,1.045912935,362,"c(""ALOX15B"", ""FLNC"", ""COL17A1"", ""EHD3"", ""PPIB"", ""IGF2R"", ""PDLIM5"", ""JAM2"", ""TJAP1"", ""ARPC1B"", ""ZAP70"", ""ERBIN"", ""SCARB2"", ""SCN4B"", ""YWHAH"", ""USP53"", ""PIK3CA"", ""ZFYVE21"", ""JAML"", ""WAS"", ""SYNPO"", ""RPS11"", ""PPP3CA"", ""HSPB1"", ""SNTB1"", ""SNAP23"", ""LSR"", ""MTDH"", ""SCARF2"", ""FAM107A"", ""CSRP1"", ""HSPA1B"", ""FZD5"", ""OCEL1"", ""ITGA5"", ""PPP1CB"", ""NEDD9"", ""CDH3"", ""RPGRIP1L"", ""RPL7"", ""ACTB"", ""RAB13"", ""FHL1"", ""SYMPK"", ""MPP2"", ""LAMA1"", ""RPLP2"", ""LAMTOR3"", ""AJUBA"", ""SCN5A"", ""ITGAV"", ""UBA1"", ""RAC2"", ""WTIP"", ""CASS4"", ""CDCA3"", 
""SMAD7"", ""CALB2"", ""OBSL1"", ""MPP1"", ""ADAM10"", ""MAP2K1"", ""P2RX7"", ""ARHGAP31"", ""CDH22"", ""FRMD6"", ""HEG1"", ""CBL"", ""SRCIN1"", ""IQGAP3"", ""EIF4G2"", ""DPP4"", ""FHL2"", ""GAB1"", ""LIMS1"", ""PPFIA1"", ""SKAP1"", ""IRF2"", ""DOCK7"", ""SLA"", ""TM4SF20"", ""STRN"", ""PCDHGA12"", ""ITGA3"", ""IQGAP1"", ""PEAK1"", ""PTK2"", ""NRP1"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.758584807,1,0.027869911,0.212695233,0.883164965,212,"c(""ALOX15B"", ""FLNC"", ""COL17A1"", ""EHD3"", ""PPIB"", ""IGF2R"", ""ARPC1B"", ""ERBIN"", ""SCARB2"", ""ZFYVE21"", ""RPS11"", ""HSPB1"", ""SNTB1"", ""SNAP23"", ""SCARF2"", ""FAM107A"", ""CSRP1"", ""HSPA1B"", ""ITGA5"", ""PPP1CB"", ""NEDD9"", ""RPL7"", ""ACTB"", ""FHL1"", ""RPLP2"", ""LAMTOR3"", ""AJUBA"", ""ITGAV"", ""RAC2"", ""CASS4"", ""ADAM10"", ""MAP2K1"", ""ARHGAP31"", ""CBL"", ""SRCIN1"", ""DPP4"", ""FHL2"", ""LIMS1"", ""PPFIA1"", ""IRF2"", ""DOCK7"", ""SLA"", ""TM4SF20"", ""ITGA3"", ""IQGAP1"", ""PEAK1"", ""PTK2"", ""NRP1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.869609856,1,0.019454174,0.194711229,0.821875106,274,"c(""NRDC"", ""SPN"", ""IGF2R"", ""JAM2"", ""CHRNA4"", ""CD163L1"", ""SLC2A4"", ""HLA-DPB1"", ""ACHE"", ""CD47"", ""CLEC6A"", ""PRLR"", ""PKD2L1"", ""LRRC32"", ""CD28"", ""FZD5"", ""ITGA5"", ""NOTCH3"", ""P2RX1"", ""APMAP"", ""HLA-DRB1"", ""KLRK1"", ""AQP11"", ""TNFRSF10A"", ""DNAI2"", ""SIRPA"", ""TNFRSF1A"", ""FGFR2"", ""PDGFRA"", ""ITGAD"", ""BACE1"", ""KCNC1"", ""TLR4"", ""SCN5A"", ""NCR2"", ""ITGAV"", ""ADAM8"", ""KCNB1"", ""CNTFR"", ""GRIA2"", ""CCRL2"", ""ADAM10"", ""P2RX7"", ""KLRC4-KLRK1"", ""TGFB3"", ""IL3RA"", ""WNT4"", ""IL23R"", ""SLC6A1"", ""HEG1"", ""NOD2"", ""PROM1"", ""PCSK6"", ""FURIN"", 
""ZPLD1"", ""DPP4"")"
