"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","ELL2",2.36745687076903,6.69697241657095,4.93553849661155,2.83883798606422e-05,0.11049568652746,2.37707798696559,NA,0.191309987029831
"2","LMNTD1",-2.15249379995106,7.67748808999655,-4.77596450882829,4.44650650009898e-05,0.11049568652746,2.08482489397128,NA,0.271725032425422
"3","PTBP3",-2.58126776613239,5.50104791292994,-4.9191730125506,2.97262469224991e-05,0.11049568652746,2.02364303623218,NA,0.0888456549935149
"4","NDRG1",1.75294393784447,6.48598183319592,4.36772251054922,0.000139380921513874,0.140965597269819,0.976441450271801,NA,0.175745784695201
"5","EBF1",2.11702099344005,6.4125294338785,4.3174813549785,0.00016028904384031,0.140965597269819,0.861788465570403,"Development (apoptosis)",0.157587548638132
"6","SMOX",-2.7905928461727,5.62025829117069,-4.34470449568857,0.000148602381508149,0.140965597269819,0.784352904493437,"Metabolism (other)",0.107003891050584
"7","SLC7A14-AS1",2.82584695251532,6.31726995541532,4.26250108213815,0.000186728321630374,0.140965597269819,0.677720210561244,"Transport",0.150453955901427
"8","ZNF518A",-1.46177565592149,7.20920144277142,-4.21426955475392,0.000213435470323426,0.140965597269819,0.656666202526758,NA,0.266536964980545
"9","AHCTF1",-1.73184570272256,7.14675349667347,-4.2145631750749,0.000213262007335917,0.140965597269819,0.656501408510189,NA,0.24124513618677
"11","ATP5F1A",-2.51514350563665,5.40152177197646,-4.16786887175376,0.000242669109106233,0.140965597269819,0.366158731983069,NA,0.105706874189364
"12","KCNH1",2.82056226942678,5.13767651790099,4.16320759532706,0.000245815260161992,0.140965597269819,0.363726448129709,"Transport",0.0609597924773022
"13","TTR",-1.28681024716473,11.6176454179961,-4.18854263750676,0.000229186581924813,0.140965597269819,0.350400770186377,NA,0.981193255512322
"14","SF3A3",-2.96433739793451,4.49425441769722,-4.2902792919075,0.000172872474544636,0.140965597269819,0.32729221925628,NA,0.0544747081712062
"10","TXNRD1",1.87218075861476,7.21647662244252,4.12528256409707,0.000272950402054167,0.145346089093844,0.436564688805976,"Inflammation/Immune/Stress/Toxic/Detox",0.232814526588846
"15","ZCCHC2",-2.0392263952487,6.27666101539914,-4.09463410323938,0.000297014390524196,0.147616152090525,0.241226067971252,NA,0.151102464332036
"16","BAALC",1.32054948658376,7.60024984578038,4.0176874259403,0.000367001410402375,0.160246536385581,0.139613043857396,"Development (differentiation)",0.2905317769131
"17","EGFR",-1.22386978235973,7.98564259458487,-3.99842715231148,0.000386913166323334,0.160246536385581,0.0904131562020876,"Development (differentiation)",0.335927367055772
"23","DDX19B",-3.08977906936536,4.70827744922977,-4.03223897325527,0.000352627978539509,0.160246536385581,-0.290786948068162,NA,0.069390402075227
"18","HSPA1A",-2.00647577877501,7.11995765423911,-3.91865382928773,0.000481284001061348,0.164549615559027,-0.068769435471939,"Metabolism (other)",0.234111543450065
"19","FOXP1",1.22961317762722,9.39100132684717,3.93790221762723,0.000456633913603608,0.164549615559027,-0.155962516809429,"Development (differentiation)",0.687418936446174
"22","FAP",-2.53278602399286,5.50435183893749,-3.9153889435643,0.000485592426867684,0.164549615559027,-0.197321539326277,NA,0.0894941634241245
"25","AC007319.1",2.49735155588593,4.89057089991786,3.92879953640995,0.000468132980025445,0.164549615559027,-0.335012921355865,NA,0.0590142671854734
"20","LPIN1",-1.36411104211951,7.52605204383635,-3.87782027002742,0.000537968075910976,0.167106333579847,-0.18379599731437,"Metabolism or Transport (lipid)",0.330090791180285
"21","C8orf34",-1.52619155145352,8.40005549711648,-3.88971095462706,0.000520819771115601,0.167106333579847,-0.191908604879409,NA,0.380674448767834
"28","BMPER",2.54757615805425,4.69657550431372,3.85912327814901,0.000566054933187842,0.168797581076614,-0.591854029239904,NA,0.0544747081712062
"24","HNRNPDL",-1.91755781640862,6.35796535179413,-3.8177447326209,0.000633407337888479,0.179854115565634,-0.330959398210021,NA,0.184824902723735
"26","CACNA1C",1.34529527689111,8.33621251305649,3.80742805256341,0.00065138311472463,0.179854115565634,-0.418572663932983,"Transport",0.398832684824903
"29","RPLP2",-2.37498793345849,4.96214698465745,-3.79351320079218,0.000676419201883469,0.180096612501474,-0.621089519962646,NA,0.0713359273670558
"27","ARHGAP24",2.48412053282374,5.66818808043069,3.76804593506265,0.000724695217555313,0.186296649892237,-0.515561876935305,NA,0.107652399481193
"30","CABLES1",3.16280858604059,5.33894945959936,3.67791472380436,0.00092405371815945,0.21256579335415,-0.760459238600545,"Development (differentiation)",0.0804150453955901
"31","COL11A1",-2.22872922988499,5.73205759300833,-3.64700382680796,0.00100400674432273,0.21256579335415,-0.762950297882787,"Matrisome/cell adhesion/binding/signaling",0.11348897535668
"32","FKBP5",-1.27534943880856,8.24887740320293,-3.65260410759474,0.000989038807445219,0.21256579335415,-0.78710934721758,"Metabolism (other)",0.393644617380026
"33","MIR4300HG",-1.94834081859128,8.87527044713193,-3.65135850597299,0.000992349068456466,0.21256579335415,-0.846758251061019,NA,0.425421530479896
"34","CHSY3",2.07394647800333,5.26433195153981,3.61955231185226,0.0010806190143855,0.21256579335415,-0.865008261214748,"Metabolism (other)",0.0804150453955901
"35","MAN2A1",1.14931357185797,7.44493422369517,3.59452398910218,0.00115539545147591,0.21256579335415,-0.878922955624115,"Metabolism (other)",0.284046692607004
"36","CRISPLD1",-1.95175908029602,6.10768060411723,-3.58109774755721,0.00119755376537549,0.21256579335415,-0.886632907922457,NA,0.134889753566796
