"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","ST3GAL1",1.09991912412764,7.83231055752611,5.80530180767871,3.93816587015863e-07,0.00296465126705542,6.36035606927331,"Metabolism or Transport (lipid)",0.283639664170638
"2","HSPA1A",-1.71920609241493,8.65646707536242,-5.4902811140489,1.22258688914538e-06,0.00410287684808671,5.29457700630344,"Metabolism (other)",0.403902881778988
"3","IGFBP6",-1.92511516783105,4.88187605671464,-5.40887231533501,1.63504656539056e-06,0.00410287684808671,4.7057815240429,"Development (cell cycle)",0.067165872475607
"4","IGFBP6",-1.92511516783105,4.88187605671464,-5.40887231533501,1.63504656539056e-06,0.00410287684808671,4.7057815240429,"Development (differentiation)",0.067165872475607
"5","COBLL1",-1.57058666607561,6.7521808535628,-5.16856900863291,3.8338949646232e-06,0.00721539032342086,4.22877741376937,NA,0.215112321307012
"6","YWHAH",-1.39289645689522,5.02549984031667,-4.99673030833664,7.0087542308565e-06,0.0105523803699775,3.42964505125657,"Development (apoptosis)",0.0683004311322895
"7","YWHAH",-1.39289645689522,5.02549984031667,-4.99673030833664,7.0087542308565e-06,0.0105523803699775,3.42964505125657,"Development (cell cycle)",0.0683004311322895
"8","SLC11A1",1.7345501721035,8.31786711703282,4.80048714146538,1.38584806726718e-05,0.0173877737506455,3.03379763760102,"Transport",0.313592012707057
"9","HULC",-1.26722939666923,6.64107579462429,-4.68146201218859,2.08679060111798e-05,0.0192159052143983,2.67066266682541,NA,0.172679827547084
"10","ZFAND2A",-1.84086985412576,6.54771188403333,-4.65591800524997,2.27739001609797e-05,0.0192159052143983,2.59202122370411,NA,0.14431586113002
"11","SUCLA2",-1.24494813571846,5.85777383683979,-4.65237321284288,2.30515160322866e-05,0.0192159052143983,2.5435139693816,NA,0.117086453369639
"12","PLIN2",2.04615331095472,7.23788089090051,4.62250659980699,2.55259102210393e-05,0.0192159052143983,2.48757118016837,"Metabolism or Transport (lipid)",0.175856591785795
"13","PARVB",0.696067272250584,7.11879016514166,4.48200138325173,4.1111618628526e-05,0.025790688752962,2.04767019489222,NA,0.205808940322215
"14","ZNF121",-1.38583601080211,4.75171944096349,-4.49455486688839,3.94061514293418e-05,0.025790688752962,1.90342572834715,NA,0.0521896982073973
"15","REV3L",0.567440291681896,8.10297161789799,4.40281784966568,5.36530137016286e-05,0.0296296106143942,1.7700098237641,NA,0.353301565690946
"16","SUSD6",0.699990878903224,7.78309239875844,4.38909718254821,5.61761694213117e-05,0.0296296106143942,1.74057879077509,NA,0.27955525300658
"17","TRPC6",-1.48551510023518,5.40435562532289,-4.37423947437437,5.90388096726772e-05,0.0296296106143942,1.65773862652667,"Transport",0.0855457227138643
"18","AC097522.2",-1.90939317561209,4.5857439676954,-4.34540976457812,6.50043564929677e-05,0.0305845497299413,1.4668854584981,NA,0.0535511685954164
"19","LHFPL6",-1.19649383596277,7.09186651506898,-4.29128757727776,7.78279099591523e-05,0.0312413551455284,1.46048993649567,NA,0.230996142500567
"20","LAPTM5",0.997143589845946,6.66435864049695,4.27203237125967,8.29587364281165e-05,0.0312413551455284,1.41634943658394,NA,0.156115271159519
"21","TEX11",-1.43491555751296,5.35627017899009,-4.27953066678038,8.09227597629073e-05,0.0312413551455284,1.38942560477478,NA,0.0916723394599501
"22","SLA",0.900762190149694,7.48991434269587,4.26438119277786,8.5087529933252e-05,0.0312413551455284,1.37593001841394,"Inflammation/Immune/Stress/Toxic/Detox",0.226457907873837
