"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","FGFR1",1.65469526050075,8.6278887709162,6.56444173996166,5.87543333240103e-09,2.24697426974974e-05,10.182457344075,NA,0.331378740039092
"2","TMEM255B",-1.4567897718244,7.00402387734289,-6.52835055242186,6.85366560850921e-09,2.24697426974974e-05,9.50007230312704,NA,0.169448203277703
"3","AC119673.2",-2.16169293175187,6.52493881708652,-5.85902767729589,1.14314370100425e-07,0.000249853108249495,6.98833441842112,NA,0.197864982709367
"4","GNA14",-0.873011746610286,9.04059563354917,-5.25112552046177,1.34821144655479e-06,0.00219727719731245,5.15079298317734,NA,0.423996391520072
"5","SPRY1",-1.30620017655922,7.66570230120338,-5.19631991867321,1.67552020536255e-06,0.00219727719731245,4.83227205066351,NA,0.217711622312434
"6","MCTP1",-1.13791400181216,9.83731136486482,-4.99890578732035,3.63664957829807e-06,0.00397425188081674,4.2055756663039,NA,0.519470756277252
"7","CCNH",0.888312977652656,7.76381097418199,4.80253908148039,7.75821222253443e-06,0.00636150920617708,3.51844824540234,NA,0.253495714930086
"8","C22orf34",-1.21246276051654,7.70350455380959,-4.77157666321224,8.7316734567018e-06,0.00636150920617708,3.34420158204611,NA,0.252894301608781
"10","SHC1",-1.67544676816123,4.76846372254275,-4.77593494262127,8.58777678094471e-06,0.00636150920617708,2.54716123641419,NA,0.0548789655690874
"9","ST8SIA6",1.09500671911329,8.05501057032452,4.71916160246143,1.0657332407811e-05,0.00698801285980169,3.23711380592738,"Matrisome/cell adhesion/binding/signaling",0.307171853856563
"11","CMIP",-0.690370196044714,9.8403207468991,-4.44815276979504,2.93595435577559e-05,0.0175009570098368,2.23904810503962,NA,0.607577807848444
"12","CTNNB1",0.980984984661108,9.38906487517432,4.24031312706521,6.25619716117121e-05,0.0341849039881663,1.5723102209941,NA,0.43978349120433
"13","PKP4",-0.571488333613756,9.33431642136638,-4.19409582206832,7.38331457415964e-05,0.0372403028175114,1.40909194396371,"Matrisome/cell adhesion/binding/signaling",0.491956096827545
"14","IQCJ-SCHIP1",0.812595330676776,7.45858614997266,4.13937767462496,8.97179292528928e-05,0.0376113955987037,1.30376533331697,NA,0.212148549090362
"15","BCAS2",1.34626009409104,6.57048959039773,4.13298044185771,9.17770824430775e-05,0.0376113955987037,1.21749520459936,NA,0.123440084197865
"25","MALAT1",0.259095272369893,15.7008462755128,4.14560694663444,8.77556495350313e-05,0.0376113955987037,0.6301617585778,NA,1
"16","AC079447.1",1.06841513073317,5.47273456798483,4.10558333956244,0.000101122186371439,0.0390034221198543,1.06207500800433,NA,0.074424898511502
"17","EGFL7",-0.650000537065087,8.43783970397614,-4.05101132905929,0.000122538974470066,0.0424310465341307,0.988541115513899,"Development (differentiation)",0.417831904976695
"18","SGO1-AS1",0.910363113843003,7.10600665626067,4.03888523579526,0.000127858352989382,0.0424310465341307,0.978877972010151,NA,0.168095023304766
"19","DNAJA4",1.47036358416833,7.60526246966472,4.01455168349616,0.000139210077130945,0.0424310465341307,0.912236898852751,"Metabolism (other)",0.192752969478274
"20","RND1",-1.30372309794085,7.84261930704791,-4.00060746709918,0.000146145087153891,0.0424310465341307,0.867694825982853,NA,0.186137422943918
"21","CIRBP",-0.951896708799384,6.18322688426805,-4.02603956354692,0.000133735247173706,0.0424310465341307,0.861948623140535,NA,0.159374530145843
"22","RERE",-0.386274912119709,9.64740537330659,-3.99536840279044,0.000148835453757054,0.0424310465341307,0.738626465303724,NA,0.612088407758232
"23","A2M",0.824812402762475,8.03976893357028,3.95036399921418,0.000173988650828023,0.0467104197658634,0.692930098767123,"Metabolism (other)",0.278454367764246
"24","ATP11A",-0.629328760426787,8.94617112740663,-3.94361832581963,0.00017809371574601,0.0467104197658634,0.642537181188115,"Metabolism or Transport (lipid)",0.41362201172756
"26","CHORDC1",1.09739242716225,8.08855576440831,3.91372195509361,0.000197431638689163,0.049790740572494,0.574028321191723,NA,0.291535107502631
"27","MIR4435-2HG",-1.09051197230868,6.75131731192424,-3.87106893446364,0.00022853574822844,0.0535845879905602,0.444293927846118,NA,0.133664110660051
"29","AC011246.1",1.18979650047378,5.3471243573119,3.86043540771059,0.000236991467397628,0.0535845879905602,0.279044278018122,NA,0.0759284318147647
"31","INSR",-0.570847067470295,11.0526672764844,-3.86811421762173,0.000230855898501573,0.0535845879905602,0.193061364478865,NA,0.679145993083747
"28","USP36",1.11425108933112,7.19549124025164,3.81416225420518,0.000277400098484584,0.0606304148587805,0.296680834937246,"Metabolism (other)",0.192151556156969
"30","PLSCR4",-0.995050293454069,7.84370430731162,-3.80379424078258,0.000287317298797582,0.0607722428456693,0.269522118289879,"Metabolism or Transport (lipid)",0.245226281762141
"32","ODF2L",-0.595213759969369,7.63597130669917,-3.77555396023608,0.000316076641284471,0.0647660792781962,0.185643077363458,NA,0.272440234551195
"37","BST2",1.0840687124421,5.2743394958694,3.73713810187884,0.000359637201794556,0.0693570921225559,-0.102437924311427,NA,0.0733724251992182
"39","PILRB",-1.24360544215637,5.14010521708264,-3.7432602524476,0.000352331049874813,0.0693570921225559,-0.155482496716242,"Inflammation/Immune/Stress/Toxic/Detox",0.0628476920763795
"33","SCAF8",-0.646500703786498,7.49745356081912,-3.72134752681355,0.000379154409687151,0.0710318704091042,0.0264110258609396,NA,0.239061795218764
"34","INSIG1",1.28953281388133,6.42085801962065,3.70125197809487,0.000405455243639022,0.0719128881361419,-0.0366415571385854,"Metabolism or Transport (lipid)",0.113366411066005
"35","PARP14",-0.727208477324781,7.26957942848018,-3.68705551694768,0.000425073398696082,0.0719128881361419,-0.0704702368419312,NA,0.214704555705909
"36","ARL5B",1.38652670959142,6.69780541666517,3.67938084030151,0.00043605216767548,0.0719128881361419,-0.0942085513254725,"Transport",0.14779732371072
"38","UBE2B",0.701304992564918,7.65038145760642,3.66784329287943,0.000453066132361069,0.0719128881361419,-0.13691016006725,"Metabolism (other)",0.266877161329123
"40","SON",-0.488338717550956,8.25676999123515,-3.66014506767987,0.000464767809527624,0.0719128881361419,-0.194116057455743,NA,0.389565478875357
"41","STRAP",1.07587590446978,5.80845684513165,3.6702351324308,0.000449487879670252,0.0719128881361419,-0.202674832819564,NA,0.0939708314539167
"42","HSP90B1",1.15358351390559,8.59480760828477,3.65573783039112,0.000471595880715891,0.0719128881361419,-0.255940145729254,"Metabolism (other)",0.327770260111261
"45","P4HA1",0.672394073639292,9.92651453742222,3.67679210261837,0.000439815909134118,0.0719128881361419,-0.288702202616493,"Matrisome/cell adhesion/binding/signaling",0.485340550293189
"43","BCR",-0.618339622082563,8.19862768497935,-3.63150777223329,0.000510872359938156,0.0744397792025441,-0.267224652281754,"Development (differentiation)",0.316644113667118
"46","AL033523.1",1.4146849595679,4.80187277054952,3.6376723748646,0.000500594626830054,0.0744397792025441,-0.415939294423223,NA,0.0500676589986468
"44","AL078604.4",-1.21755853605097,6.78984524550589,-3.61718422207352,0.000535532818200713,0.0763367106291755,-0.273101797974472,NA,0.155164636896707
"48","ATP8A2",1.15071789950262,4.90724740773101,3.60264948839906,0.000561710607090086,0.0783646053338233,-0.435874535653657,"Metabolism or Transport (lipid)",0.0527740189445196
"47","CFAP43",-0.67451760847046,6.6893732279749,-3.56723547772775,0.000630674335242763,0.0795256080035923,-0.417386076199493,"Cilia",0.226582468801684
"50","HIPK2",-0.479271730613285,8.72953365271015,-3.5801198340718,0.000604702697848517,0.0795256080035923,-0.463784131143014,NA,0.389715832205683
"51","DDX17",-0.388032025746874,9.05329949382401,-3.58733767473802,0.000590600308862722,0.0795256080035923,-0.483958952048657,NA,0.538715982559014
"52","FXR1",0.624525292015431,8.21921188162079,3.56742423011081,0.000630286332481892,0.0795256080035923,-0.486622594040622,NA,0.341151706510299
"59","FMNL2",0.667798249917265,10.8259689005715,3.5678282097496,0.000629456665639324,0.0795256080035923,-0.703942537154613,NA,0.718237858968576
"49","MARCH3",-1.02291685739264,7.25271230240318,-3.55260422276746,0.000661449854238834,0.0803171610045192,-0.454595669509593,NA,0.178770109757931
"54","SFMBT2",-0.517222410100395,8.53640089252533,-3.55559996020909,0.000655034898992238,0.0803171610045192,-0.528959988716259,NA,0.373628025860773
"53","SEMA6B",-0.763434734457947,6.52572043295001,-3.54604368491554,0.000675707029352692,0.0805565634811928,-0.486804192598499,"Development (differentiation)",0.138475417230492
"55","TNFRSF10D",-0.984368882986049,6.33780350005684,-3.50763017804547,0.000765209854502529,0.0880259827363698,-0.596711929469202,NA,0.126296797474064
"56","SAMD4A",-0.804016649005144,7.70976658292815,-3.50840461386958,0.000763299422647386,0.0880259827363698,-0.610355534972106,NA,0.255450308224327
"57","RYBP",0.637511907531488,7.10615766981299,3.48156920795993,0.000832202667075447,0.0940819463450639,-0.660995108873814,NA,0.185836716283266
"58","TXNL1",1.15222963111994,6.77475993525762,3.46579106172704,0.000875419854577013,0.0972903048552792,-0.694658552642503,"Inflammation/Immune/Stress/Toxic/Detox",0.157269583521275
"60","RUNX1",0.73499446831778,6.18748626705642,3.45891553435654,0.000894908677464546,0.097434197757605,-0.71515096342802,NA,0.125845737483085
"61","MAFF",0.921969151171764,6.31441821531767,3.45491587202222,0.000906433744580434,0.097434197757605,-0.729049249678686,NA,0.132160577356788
