"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","DGKG",0.932132957197825,7.62340813478159,9.61021327563323,2.45969947078696e-18,1.09776387381222e-14,30.8204454657747,NA,0.161356809464393
"2","FRK",-0.657472459639525,7.68654785243461,-8.93778282369289,2.13597200323532e-16,4.76642152521962e-13,26.552937802132,NA,0.166435602384583
"3","AC005225.2",0.499130452949318,7.80494015988054,8.50958202876185,3.41319022143741e-15,5.07768931942505e-12,23.8841880413284,NA,0.154323212717778
"4","C4orf47",-0.561176144687458,7.38994917984823,-8.14121442645264,3.52094052297244e-14,3.92848938850651e-11,21.6232721655564,NA,0.133208558621008
"5","CFAP69",-0.458054444905406,8.01591892356167,-7.53404243670139,1.47151832266566e-12,1.31347725481136e-09,18.0863901362419,"Cilia",0.189052174314894
"6","AL161757.4",1.22171803576027,8.32192339780704,7.4621521733442,2.26623054704526e-12,1.46912509143802e-09,17.6770395047626,NA,0.220735708674153
"7","COL21A1",-0.454087228695632,7.72554522673649,-7.45937471987212,2.30425176788396e-12,1.46912509143802e-09,17.6464196951037,"Matrisome/cell adhesion/binding/signaling",0.166153703960442
"8","NT5DC1",-0.467571164872584,9.39312699581473,-7.40731775345073,3.14549481252965e-12,1.75479291853998e-09,17.3724391540078,NA,0.437275289985674
"9","ST3GAL5",0.45576270974072,7.2480622336892,7.38540749541923,3.58443265620048e-12,1.7774803271803e-09,17.2005970210763,"Metabolism or Transport (lipid)",0.120800406673136
"10","LINC00271",-0.726779233896031,6.83311821900736,-7.30294384374684,5.84931566658228e-12,2.61054958199567e-09,16.6627237119935,NA,0.100281898424142
"11","PIP5K1B",-0.231007055607109,10.6226525604663,-7.00083497900763,3.42522055592511e-11,1.38970539464489e-08,15.0528929706355,"Metabolism or Transport (lipid)",0.690882203428994
"12","AC004052.1",-0.937795875125429,8.43135613233207,-6.65904816877516,2.39906989380542e-10,8.92254078004466e-08,13.2050909396301,NA,0.246540967697213
"13","PDZD8",-0.288733543817621,7.79629932850071,-6.53322639559332,4.83922659582438e-10,1.66134371516648e-07,12.5361784153825,NA,0.166139840103517
"14","C21orf62",0.531101516468004,6.85042981542121,6.45576625739686,7.4231945443656e-10,2.3664083751074e-07,12.1156528934727,NA,0.098826193447017
"15","SIPA1L1",-0.266703606535396,9.81812056976297,-6.36197845238812,1.24084041497579e-09,3.69191384802464e-07,11.6014950494547,NA,0.501035167983733
"16","DSCAML1",-0.581068545945551,6.7608423822713,-6.31587811690881,1.59453930730432e-09,4.44776808031199e-07,11.3762355437686,"Development (differentiation)",0.0918804011275937
"17","GALNT11",-0.510223981185398,9.86320244581198,-6.2763087049197,1.97570917217333e-09,5.18681766788799e-07,11.1510954442657,NA,0.50815656915754
"18","DMXL2",-0.352290401004602,7.65719366734205,-6.25695999098276,2.19333769694932e-09,5.43825896749157e-07,11.0951245287705,NA,0.154276999861361
"19","WDR27",-0.388669857002963,7.91510036372267,-6.15191596949633,3.8540415457913e-09,9.05294074677189e-07,10.5541504366531,NA,0.194528397800268
"20","NRSN2-AS1",0.445927765819413,7.69036084373762,5.98666200008175,9.23834299364852e-09,2.02727694144739e-06,9.727276318689,NA,0.149253662368871
"21","AC233296.1",-0.491169103328491,6.58822141206382,-5.98055055754421,9.53905798126712e-09,2.02727694144739e-06,9.6787749570181,NA,0.07322427099219
"22","DIRC3",0.486420667705837,8.49983737937969,5.96138147237499,1.05457903346185e-08,2.1393573756092e-06,9.58007901358991,NA,0.248768427376496
"23","FCGRT",0.437970486079636,6.88474991512158,5.93265653427935,1.22518449634323e-08,2.37739061181732e-06,9.44990769041799,"Inflammation/Immune/Stress/Toxic/Detox",0.0871805536300199
"24","RFX3-AS1",-0.52064691343316,6.3006797733914,-5.88357637326161,1.58120733490912e-08,2.94038680654141e-06,9.18920123116335,NA,0.0749156615370396
"25","PCBP1-AS1",0.390451634629533,7.02083240123238,5.85858789286416,1.79953190972984e-08,3.08896573581703e-06,9.09668923167497,NA,0.103530662230232
"26","SLC23A2",-0.448297099093238,9.71006462965233,-5.86486431462826,1.74207149343723e-08,3.08896573581703e-06,9.06488458434159,"Transport",0.432986736910208
"27","SUMF1",-0.296542347773102,7.33060612220683,-5.8415757406175,1.96475941735527e-08,3.24767454802095e-06,9.01572364017771,NA,0.128388557696751
"29","RSPH1",-0.393234680041432,5.75778601811047,-5.83344028612881,2.04892938557549e-08,3.26584708850836e-06,8.89759377781521,"Cilia",0.0502611026387541
"28","SLC16A1-AS1",0.268474286541059,7.44907373820462,5.82176320917913,2.17593364114309e-08,3.34868684152469e-06,8.91875875754825,NA,0.129197282684043
"30","CDHR3",-0.535690147922191,8.32146223488468,-5.79728374091751,2.46766529425036e-08,3.62176325914519e-06,8.77152352307518,"Matrisome/cell adhesion/binding/signaling",0.241004667498498
"31","HP1BP3",0.348897045916684,8.06059579837252,5.79352841196052,2.51567692210398e-08,3.62176325914519e-06,8.76861292801668,NA,0.188908914460003
"32","CFAP157",-0.54404223170049,7.07177649748651,-5.78065703757278,2.68726583713908e-08,3.74789607223492e-06,8.72058261901134,"Cilia",0.120042515827903
"33","ASPH",-0.290719372327829,8.19233000998418,-5.7573390326372,3.02771350742767e-08,4.09475314656051e-06,8.58415062173842,NA,0.225481769028144
"34","IFT88",-0.339147531890447,7.53985623750206,-5.72942632554801,3.49092997618674e-08,4.58235896580041e-06,8.46564438955247,"Cilia",0.156167105688803
"35","FABP5",-0.447961929487286,6.69455780479076,-5.68622046336252,4.34751440063753e-08,5.54370193429865e-06,8.26311862306661,"Metabolism or Transport (lipid)",0.0985720227367254
"36","LARP7",0.38831911906061,6.37958644688101,5.62133436087221,6.03171090558412e-08,7.47764604767276e-06,7.93584262419063,NA,0.064134202135034
"37","EFCAB6",-0.314419017261321,7.84757197569419,-5.60964513123067,6.39645741403859e-08,7.51247090496163e-06,7.8832999283967,NA,0.17874670733398
"38","PCCA",-0.160227390645367,9.43771863229307,-5.61412207500956,6.25428613639707e-08,7.51247090496163e-06,7.84855276852909,NA,0.421484356948103
"39","KIF9",-0.37215764719293,6.51913470484159,-5.59041355308113,7.04388937675892e-08,7.977909200919e-06,7.80613663272036,NA,0.0777531309210222
"40","FBXL13",-0.322626935580212,7.5226919188057,-5.58741970823057,7.15026592060856e-08,7.977909200919e-06,7.78971022035646,NA,0.137894542261657
"41","VWA3A",-0.425234128624533,8.0126197991653,-5.57945340886516,7.44101347668637e-08,8.09981540157348e-06,7.73539447848601,NA,0.189722260732936
"42","LMCD1",-0.32247004561891,7.30845421291943,-5.57082789439874,7.76882458701563e-08,8.25530098377399e-06,7.7140093835767,"Matrisome/cell adhesion/binding/signaling",0.133347197190258
"43","AC139887.2",0.365378379357075,8.03451172680428,5.5459049136512,8.79717910344356e-08,9.13065356713223e-06,7.57789346325429,NA,0.184722029668654
"44","EFHC2",-0.269975642171152,7.59165333196571,-5.53908556361017,9.10094582096867e-08,9.23125481795072e-06,7.55776586351845,NA,0.155141180276353
"45","ADGB",-0.430950704440288,7.58222472659456,-5.53429495643174,9.32043379721958e-08,9.24379911933133e-06,7.53571210751631,NA,0.154179952862886
