"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","FRK",-0.772865186095846,7.90761689956181,-8.88033331773889,2.45888459106628e-16,2.49945618681888e-12,26.5373734465304,NA,0.532254661497481
"2","DGKG",1.11442052906277,7.59783887363359,8.59856132670175,1.56124662530276e-15,7.18183378086241e-12,24.7373951374445,NA,0.478914471081573
"3","XRCC3",-1.11408839885401,3.11808506717827,-8.55154294082284,2.11957711191217e-15,7.18183378086241e-12,23.5357643927463,NA,0.0595599159567828
"4","TAFA5",0.837397159283764,6.71236813573283,8.32905416553085,8.90840813138001e-15,1.95756461422974e-11,23.024735901842,NA,0.364308885196614
"5","AC139887.2",0.577859338932818,7.79509333469682,8.31691945064721,9.62894547087921e-15,1.95756461422974e-11,22.9740207977641,NA,0.544891913038127
"6","LINC01374",-1.63110979575587,4.31556276810071,-8.14786301570831,2.82888330258871e-14,4.79259979513571e-11,21.6147097819319,NA,0.0860651774489895
"7","ARSB",0.554694199712797,6.00999270661752,8.06396574725351,4.80928810977112e-14,6.98377337654621e-11,21.3598475816504,NA,0.234657277738218
"8","TCTN1",-0.413622534030898,6.96672095043148,-7.9665290759865,8.87558372355844e-14,1.12775385687464e-10,20.8091085757898,NA,0.438444497191233
"9","ECT2L",-0.818973357011924,4.64390908396286,-7.8303124205242,2.07675411973726e-13,2.34557840301436e-10,19.7955902225303,NA,0.116873697813646
"10","QRICH2",1.03380073275592,4.90813466823231,7.78501869522857,2.75039924365405e-13,2.79578083117434e-10,19.5898735149486,NA,0.152741514360313
"11","NT5DC1",-0.557844395348756,9.69127619003554,-7.70084094839759,4.62529355156364e-13,4.27419172287676e-10,19.1778271531508,NA,0.846665084262995
"12","AC005726.1",1.043100939563,4.78448685620745,7.52340256638819,1.36956873208413e-12,1.16013884680293e-09,18.0182027444054,NA,0.125317579625674
"13","DMXL2",-0.389691217754923,7.47144181953133,-7.39790000572634,2.92642634809611e-12,2.12534579331883e-09,17.4355508717772,NA,0.514777892062487
"14","ST3GAL5",0.616744232184812,7.44304392840996,7.39785692575103,2.92718554908644e-12,2.12534579331883e-09,17.4352227668645,"Metabolism or Transport (lipid)",0.455464127787888
"15","AC004052.1",-1.37671833662672,8.59051667802729,-7.37202733089007,3.41922454854228e-12,2.31709450239548e-09,17.2622323902788,NA,0.60962980545226
"16","AC021231.1",-0.686055182035858,4.24856005319142,-7.36027873554908,3.66923332546407e-12,2.33110979708389e-09,17.0011279108402,NA,0.0915947991666007
"17","ZC3H6",-0.570942683843136,5.50416234254988,-7.29237180217312,5.51025421529469e-12,3.29480788814532e-09,16.7838206775467,NA,0.2012773514079
"18","C1GALT1",-0.399312352396412,7.17965589457036,-7.27597025825004,6.0769272943591e-12,3.43177588595335e-09,16.7324915171955,"Inflammation/Immune/Stress/Toxic/Detox",0.447824634508708
"20","C14orf132",0.650343449302316,4.49848723826977,7.23801501064478,7.61818133166598e-12,4.0757270124413e-09,16.3935880985845,NA,0.118486870445095
"19","AC005225.2",0.454713122131864,7.41056448409428,7.22627074403048,8.16895377521231e-12,4.15187075625165e-09,16.444159077268,NA,0.475789223830999
"21","IFT122",-0.422559774602814,6.46758112851037,-7.11280649597468,1.59796884794223e-11,7.52852912827974e-09,15.8004358452471,"Cilia",0.343495881354889
"22","ATXN7L1",0.268731870960084,8.10081192919713,7.10949771195479,1.62939144930796e-11,7.52852912827974e-09,15.7608381839667,NA,0.611555063252191
"23","CAPZB",0.348648266835443,7.81866067922618,6.97564531549374,3.566056281722e-11,1.57604183059583e-08,15.0099608822481,NA,0.564777452505912
"24","GALNT11",-0.514834641153354,9.69090579692056,-6.8908380944383,5.83049321203841e-11,2.46945681251543e-08,14.4652429722941,NA,0.865539643607529
"25","CFAP69",-0.42537937556607,7.80790330385247,-6.84925048922833,7.41023104427723e-11,2.9723882896101e-08,14.3069944359475,"Cilia",0.568645550368788
"26","LINGO2",-1.10332334493632,6.66498623986154,-6.83822941006953,7.89517794584088e-11,2.9723882896101e-08,14.2656463690954,"Development (differentiation)",0.286766709743211
"27","ILDR2",0.657767052743029,4.8425995583984,6.8386441039157,7.87637753187082e-11,2.9723882896101e-08,14.2097979494561,"Inflammation/Immune/Stress/Toxic/Detox",0.13811746709919
"28","PIP5K1B",-0.223914902046257,10.8564321918629,-6.79739622307677,9.97988406812799e-11,3.62305434116147e-08,13.907440741291,"Metabolism or Transport (lipid)",0.963319003788978
"29","EIF4G3",-0.224327642045309,10.3103700008038,-6.78327688114901,1.0819983813852e-10,3.7925908782002e-08,13.8458923164921,NA,0.934615959420137
"30","AC112722.1",0.640854661647942,6.07131372570367,6.75989430263615,1.23668148483707e-10,4.19028909778959e-08,13.8360980929589,NA,0.265571291680952
"31","C4orf47",-0.587980302378306,7.4060772046647,-6.75171745994761,1.29575290811924e-10,4.2488155842039e-08,13.778577552854,NA,0.478408981019947
"32","LINC00271",-0.972017104777791,6.8430681999942,-6.74549258909049,1.34257608949003e-10,4.26477685927067e-08,13.7565813480257,NA,0.376357130926322
"33","HDX",0.725460216016823,4.08675236247689,6.72013027673587,1.55117691265771e-10,4.77809494459563e-08,13.4736929390035,NA,0.0707070707070707
"34","LLGL2",0.558537202623343,5.7470106746995,6.69374090208276,1.80205730076353e-10,5.38762131242978e-08,13.4685101073677,NA,0.231734226512294
"35","ZNF440",-0.466555915927247,5.66669714667976,-6.68821871600504,1.85939955227025e-10,5.40022755680773e-08,13.4368840231014,NA,0.233259487828678
"36","RUSC2",0.349434745612414,7.30396050821086,6.66357670940336,2.13793395714671e-10,6.03669407622118e-08,13.2974930429946,NA,0.471696952114707
"39","RSPH14",-0.784160895510639,3.13735529963458,-6.65280504053033,2.27221716603303e-10,6.24245607911508e-08,12.899620493563,NA,0.05390721839808
"37","MARK1",-0.326681372508523,8.21206296585654,-6.633866760523,2.52870481201696e-10,6.76428537214536e-08,13.1072198994063,NA,0.63027577779536
"38","PDXK",0.284917987838773,7.43751923073994,6.62691883507935,2.62977135775535e-10,6.85426303886746e-08,13.0922343309542,NA,0.508830691598316
"40","SHB",0.508201843189908,7.00344813117489,6.56604052833481,3.70313186391842e-10,9.41058384918268e-08,12.7735757628569,NA,0.386471327724591
"41","C21orf62",0.622023893932428,6.45079152616442,6.54476480013457,4.17173071397192e-10,1.03428396847621e-07,12.668578500496,NA,0.322265298766604
"42","SRP19",0.434868293526622,4.93199172714996,6.48974722251412,5.67072040193668e-10,1.3724493544211e-07,12.3528869208741,NA,0.147607493560496
"43","RTCA-AS1",-0.613262794638206,4.54888772090336,-6.46761174991979,6.41322947518052e-10,1.51605761895837e-07,12.2012621577819,NA,0.118183576408119
"44","ANXA11",0.34160756455134,6.20118361844212,6.44591479878652,7.23342254411878e-10,1.63394978135483e-07,12.1471943792411,NA,0.298041335900344
"45","AC123912.1",-0.774556335380483,3.67571862608774,-6.44661214805682,7.20552603102259e-10,1.63394978135483e-07,11.9744171363428,NA,0.0751290098548584
"46","GNAS",0.302184379430884,7.42387772241184,6.41828295520432,8.42840587631165e-10,1.86249447245017e-07,11.9676775492008,NA,0.510808696187286
"47","AC016831.7",0.5431614726847,7.50699364674449,6.40908385407408,8.86770327308223e-10,1.87792091189335e-07,11.9195421632638,NA,0.485762762525165
"50","PSD2",-0.642121103436911,3.63974618427691,-6.4123281985722,8.71026398086241e-10,1.87792091189335e-07,11.7534716948777,NA,0.0720037626042848
"48","NOS1AP",0.307529226988902,7.46419264457854,6.3965927580457,9.50037708052805e-10,1.97062082653865e-07,11.8558148572628,"Metabolism (other)",0.474672750129669
"49","HP1BP3",0.390339702902383,7.49383035677473,6.39294851608522,9.69316687918667e-10,1.97062082653865e-07,11.8360423311725,NA,0.525538237026488
"52","MIR646HG",-0.486149535064754,8.97032665145458,-6.38553549413023,1.00972636340758e-09,2.01252323216432e-07,11.7316001082474,NA,0.664271083331136
"51","NKD1",0.746153017875632,4.25663156351684,6.38165386131424,1.03154092040384e-09,2.01646412613559e-07,11.7316348714823,NA,0.0790542500725268
"53","TMEM9B-AS1",0.526202559301559,5.23209571161257,6.36524677937165,1.1289721517831e-09,2.16528338167456e-07,11.7122053285881,NA,0.176934708266301
"54","BCAR1",0.43364716299967,6.57249012627261,6.34413304112311,1.26773545959531e-09,2.34370565364451e-07,11.6046425220701,NA,0.354577102618878
"55","KIAA1328",-0.235790779558509,9.07765180622396,-6.3440785742088,1.26811422479536e-09,2.34370565364451e-07,11.5080555729894,NA,0.77717558526958
"56","AL161757.4",1.10939517491424,7.77676360071109,6.3239940536846,1.41562804357292e-09,2.56961768980692e-07,11.4612020876198,NA,0.471556294010602
"57","AC009505.1",0.860475709588834,3.32809555597526,6.31927775120114,1.45263772982332e-09,2.59053728485159e-07,11.3633216055551,NA,0.0560962101432075
"58","FKRP",0.527704912406291,4.14465027902471,6.30976807180174,1.53017236766426e-09,2.68175898574262e-07,11.3549216349851,NA,0.0926365482501253
"62","RFX3",-0.292041778755289,9.67210779909969,-6.30471663096423,1.57299472939282e-09,2.71008329225052e-07,11.2731434404604,NA,0.864111084737717
"59","XXYLT1",0.486720845865905,6.72104118724138,6.29565552368806,1.65277373685429e-09,2.75417131723342e-07,11.3485024249965,NA,0.343509068052149
"61","VWA3A",-0.577734407745188,7.72103056093833,-6.29647741063842,1.64537665552399e-09,2.75417131723342e-07,11.3181166789137,NA,0.542210617928634
"60","TMED3",0.593141581135071,4.93053034476127,6.29102603454107,1.69505321191161e-09,2.77906708049702e-07,11.3186450673936,NA,0.127207672899579
"64","SIPA1L1",-0.285220043119669,9.65825160895723,-6.27773436577187,1.82242582457651e-09,2.94046960425718e-07,11.1302985794163,NA,0.865733048500673
"67","TNRC6B",-0.134047714402018,10.0070892341593,-6.27165388207967,1.88378052772977e-09,2.9919732913083e-07,11.0849013879761,NA,0.914844704661937
"63","DSCAML1",-0.803576753952044,6.36172769159435,-6.25732738638202,2.03646453806416e-09,3.08965104916749e-07,11.156053482302,"Development (differentiation)",0.259122996720908
"65","WARS2-AS1",0.383858457694601,7.95693042806965,6.26204667379695,1.98487440894766e-09,3.08965104916749e-07,11.1276082153521,NA,0.576188341201396
