"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","FRK",-0.714117406733068,7.8786612575601,-9.13106687816724,4.65910560488159e-17,4.10467203790068e-13,28.1456103338029,NA,0.373312753290983
"2","TAFA5",0.809471653805915,6.69467538441056,8.97476463502855,1.31995774649395e-16,5.81441387330586e-13,27.091496045102,NA,0.252439560523946
"3","LINC01374",-1.41712593917626,4.44712616188068,-8.41191137983567,5.24426997956924e-15,1.52625224536233e-11,23.3241085867198,NA,0.0662746475763736
"4","TCTN1",-0.382586349261552,6.98063322996276,-8.35638771535388,7.49501422537863e-15,1.52625224536233e-11,23.1966245759039,NA,0.298389496499281
"5","AC005726.1",1.04991775360527,4.71845024005965,8.33383585217163,8.66204452532538e-15,1.52625224536233e-11,22.8520644539808,NA,0.0808285002870071
"6","DMXL2",-0.380039110082155,7.46163815579318,-8.2666426617375,1.33161625929995e-14,1.95525654073876e-11,22.6547246001404,NA,0.354784955835459
"7","ST3GAL5",0.611207966830291,7.34112604599797,8.22440251128319,1.74340438287525e-14,2.14917762779295e-11,22.3923009226704,"Metabolism or Transport (lipid)",0.306298990387661
"8","ARSB",0.492526587125947,5.92314149077073,8.20229238123789,2.00692401435763e-14,2.14917762779295e-11,22.2024921164473,NA,0.154995363731131
"9","AC139887.2",0.543769605960096,7.74792575496796,8.18816857930875,2.19552765608814e-14,2.14917762779295e-11,22.1725475224774,NA,0.382164859193731
"10","DGKG",1.00495543853036,7.47399552413779,8.07748494337283,4.42641283538876e-14,3.8996697079775e-11,21.4915553837038,NA,0.33053237421121
"11","ZC3H6",-0.535439939834304,5.56785433281294,-8.02483866981377,6.16805708728358e-14,4.94005299445166e-11,21.0920701386127,NA,0.13951233746662
"12","C14orf132",0.639419369489808,4.45707418821393,7.96798106314979,8.81503654084923e-14,6.47170599374014e-11,20.6134533219082,NA,0.0785900367253927
"14","QRICH2",0.989031289859747,4.94546220103354,7.91137764319144,1.25613143131018e-13,8.51270608449435e-11,20.3547457487233,NA,0.10749424545924
"13","AC005225.2",0.441051561266675,7.36997234192217,7.89085918291665,1.4277383726381e-13,8.98455361638692e-11,20.3557379935272,NA,0.331426991723828
"15","ECT2L",-0.759511824709776,4.6570631752113,-7.78582931815838,2.7423514611062e-13,1.61067442482304e-10,19.5583077733518,NA,0.0785919565054627
"17","AC021231.1",-0.650873706292117,4.19191157481338,-7.77094533841132,3.00698160692237e-13,1.65571924731163e-10,19.3625872483329,NA,0.0584880196124732
"16","AC004052.1",-1.38151478388859,8.51199742412786,-7.75427255326571,3.33348004456318e-13,1.72752701132951e-10,19.5346986060364,NA,0.447013110178098
"18","EIF4G3",-0.224904351930424,10.3133698222209,-7.61433513686101,7.88092981553376e-13,3.68602182157004e-10,18.6879476342198,NA,0.809066353358559
"19","KIAA1328",-0.266029158170398,8.99995428431681,-7.61292066426983,7.94942277069589e-13,3.68602182157004e-10,18.6864301232379,NA,0.578475809811228
"22","FKRP",0.532360337609151,4.14049955032543,7.5435705952911,1.21372506766743e-12,5.34645892307501e-10,18.0528683413834,NA,0.062143280865744
"20","PDXK",0.287873855664043,7.42066756005473,7.52657216382655,1.34594003632593e-12,5.64653891430069e-10,18.1871897042096,NA,0.355122837127779
"21","LINC00271",-0.972710856255742,6.78239599961707,-7.51185995499153,1.47179052658325e-12,5.893852063272e-10,18.0960510521186,NA,0.249260404728034
"23","ABCA3",0.417893590965078,5.1673949996787,7.40264342843358,2.84903059179718e-12,1.09130258755362e-09,17.400907361808,"Metabolism or Transport (lipid)",0.107352181734061
"24","ZNF440",-0.448089893733399,5.68929578815957,-7.37718276252364,3.32068132921225e-12,1.218966771265e-09,17.2835924851744,NA,0.154394472569222
"25","PIP5K1B",-0.225083833742706,10.7707743986429,-7.34004215906275,4.14995893964211e-12,1.46244553032988e-09,17.0743311581125,"Metabolism or Transport (lipid)",0.840938542080619
"26","RTCA-AS1",-0.616226175926484,4.50238789226602,-7.33326610583881,4.32192551871606e-12,1.46446783922648e-09,16.9080182669558,NA,0.0747619952658223
"27","IFT122",-0.397354911852192,6.46290466104664,-7.28425301277934,5.79358388355804e-12,1.8904249634869e-09,16.776853901953,"Cilia",0.231483241279879
"28","FTX",-0.209023088461537,9.67222842109264,-7.20543208693297,9.25944717735517e-12,2.91341891544639e-09,16.2985855746163,NA,0.730662535299956
"29","ATAD2B",-0.217574455343271,7.7578394885221,-7.18138728483734,1.06770179122609e-11,3.24360440713856e-09,16.1825775222313,NA,0.396156216343856
"30","ILDR2",0.606833395466639,4.79504892614524,7.17249262537081,1.12539378522281e-11,3.30490641593766e-09,16.0634601467379,"Inflammation/Immune/Stress/Toxic/Detox",0.088455786505098
"31","MARK1",-0.333007778526362,8.14829553749273,-7.160151643432,1.21056153258614e-11,3.39378482967772e-09,16.057327861194,NA,0.440856375493623
"32","C4orf47",-0.555238426664079,7.39576047921436,-7.15708358932024,1.23270277581938e-11,3.39378482967772e-09,16.048361461051,NA,0.326356852558971
"33","SHB",0.486355568732417,6.86193158496879,7.14043056688739,1.3600331043986e-11,3.63087625750051e-09,15.9564308246838,NA,0.252660335231996
"34","LLGL2",0.53970501966567,5.69833340731502,7.09939089532535,1.73184081841596e-11,4.4875051794837e-09,15.7075874845716,NA,0.147986246695579
"35","CAPZB",0.307882975225598,7.77708300822329,7.0939451671866,1.7881691201706e-11,4.50107712820086e-09,15.6831782634804,NA,0.394912198858499
"36","TMED3",0.559014008921881,4.92188807397829,7.08662213164233,1.86677189450715e-11,4.56840566405778e-09,15.5952980496754,NA,0.088052632690399
"37","NT5DC1",-0.468909847831295,9.65383108110478,-7.06927258414621,2.06684655948839e-11,4.92132924029532e-09,15.520363082111,NA,0.665877637057899
"38","ANXA11",0.311514897643289,6.22425716185814,7.0487020806855,2.33158355254713e-11,5.40559239419478e-09,15.43743929908,NA,0.202035734786223
"39","C1GALT1",-0.351959364899062,7.14788853719525,-7.03338250821812,2.55019653198864e-11,5.74326606974917e-09,15.3500932764322,"Inflammation/Immune/Stress/Toxic/Detox",0.296149113157597
