"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","HSP90B1",1.02165472667803,7.18283850810252,8.37266067070049,1.01792753640141e-14,8.75010510290656e-11,22.9242187820147,"Metabolism (other)",0.262820018642203
"2","SECISBP2",-0.466516054921332,6.60504878674769,-7.8218892495873,3.04523763776561e-13,1.30884313671166e-09,19.6159351831819,NA,0.229999929916531
"3","DPH6-DT",0.684199094738986,7.86576998912045,7.69172575708725,6.68701728772284e-13,1.91605335350885e-09,18.8742292748153,"Metabolism (other)",0.355757707429549
"4","CRELD1",1.05161585714333,4.91737066416106,7.6055842075769,1.12125480438828e-12,2.40957657463042e-09,18.1454662425371,NA,0.0898470077862735
"5","RNF217-AS1",-0.8730822740693,5.48803667546125,-7.5195248010949,1.87351000287556e-12,2.73148902856046e-09,17.7666716980844,NA,0.111572883304015
"6","QRICH2",0.799078960946045,5.50456471389457,7.4994276947428,2.11120426871636e-12,2.73148902856046e-09,17.6653571417873,NA,0.112680202120726
"7","AC021231.1",-0.8377594404052,5.24319707710817,-7.49063568857444,2.22433959980494e-12,2.73148902856046e-09,17.5244580432828,NA,0.0943603832164107
"8","HP1BP3",0.405486825150066,7.91770478975032,7.44550587757789,2.90637039880715e-12,2.86112903858566e-09,17.4465224391672,NA,0.436928381702608
"9","TERF2IP",-0.594462643046854,6.45641553715361,-7.44039414693239,2.99559810926837e-12,2.86112903858566e-09,17.4141095907273,NA,0.212780421481985
"10","PPP2R3C",0.430518586763964,5.86794352324723,7.36158205523255,4.76817384060041e-12,4.09872223338011e-09,16.9324275190363,"Metabolism (other)",0.147154260724523
"11","ZNF248",-0.485390236438567,7.17798315723267,-7.33941048031072,5.43168591782267e-12,4.24461564996397e-09,16.8506329089387,NA,0.293018985611864
"12","NDUFA10",-0.360348095155746,6.30405397404891,-7.1590905432139,1.55476043081293e-11,1.06032632130381e-08,15.8318261551319,NA,0.18557401865622
"13","AZIN1-AS1",-0.773439390964457,6.1799912137643,-7.15375348663099,1.60356470183219e-11,1.06032632130381e-08,15.7957808061371,NA,0.177072893816535
"14","AC034195.1",-0.571770144404128,6.03163584960873,-7.04539219817379,2.99511846755391e-11,1.8390027390781e-08,15.1925204623461,NA,0.135184004148941
"15","HNRNPR",-0.307224249350835,6.68187423164688,-6.98891440734432,4.13910436286569e-11,2.3719827402129e-08,14.8965925364458,NA,0.237702103204917
"16","LMO4",-0.886872862485065,6.45819998629867,-6.97183212014637,4.56324252132866e-11,2.45160204458382e-08,14.8015532953136,NA,0.17070931479392
"17","SLC25A36",-0.505203471646122,6.24294213729831,-6.93176337876653,5.73349653618117e-11,2.8991256602949e-08,14.5781594107525,"Transport",0.192210923209543
"18","SCAMP1",-0.36043299113748,6.08018253863797,-6.81990713266844,1.08008212195267e-10,4.88101622944956e-08,13.9661666728026,NA,0.161374196668232
"19","HSPA5",1.18862187290185,6.55831839133626,6.81514967587205,1.10942318001203e-10,4.88101622944956e-08,13.9506239622857,"Metabolism (other)",0.15631417017668
"21","HYOU1",0.784224670222343,4.26744848288337,6.81100118241734,1.13564826185425e-10,4.88101622944956e-08,13.6785277805137,NA,0.0508665820992802
"20","SGCZ",0.874601386149191,5.41915300554367,6.77461150017785,1.39345628566664e-10,5.6298543293521e-08,13.7072475156281,NA,0.125582568839488
"22","AC007262.2",0.637346687312535,5.79189313261514,6.76864963108136,1.44086546353823e-10,5.6298543293521e-08,13.6780982476101,NA,0.121896178348413
"23","IQCJ-SCHIP1",0.564206059144891,6.78232788060599,6.6988253627908,2.12930388424351e-10,7.95804182128575e-08,13.3251054336549,NA,0.213950815421167
"24","AC013652.1",0.661473136899588,4.75515667329811,6.63868747739387,2.97501130123747e-10,1.06554988105989e-07,12.9272457912151,NA,0.0728868081885526
"25","CIRBP",-0.683641454879266,6.66332259996296,-6.61491993747155,3.39374757015681e-10,1.16690616452272e-07,12.8692319538601,NA,0.260976823396665
"26","APOLD1",0.488473287178048,6.26344892131,6.60420632618497,3.6009679267794e-10,1.19053539609984e-07,12.8232713224567,"Metabolism or Transport (lipid)",0.156258103401151
"27","IFRD1",0.374826733899688,6.94863487675435,6.58949965198067,3.90581583819008e-10,1.24349603500303e-07,12.7323998278443,"Inflammation/Immune/Stress/Toxic/Detox",0.251214196107564
"28","TRPC1",-0.310936397219235,7.44028698976154,-6.57107708839149,4.32369433956325e-10,1.31797232751041e-07,12.626039617685,"Transport",0.336884229116878
"29","PLD1",-0.345460183861737,8.32146254479777,-6.56250836426731,4.53274878948805e-10,1.31797232751041e-07,12.5498161394381,"Metabolism or Transport (lipid)",0.452935446116325
"30","PTPRE",-0.565332217051375,9.22576055382864,-6.55984550044039,4.59971729005496e-10,1.31797232751041e-07,12.5065124470667,NA,0.515681176280951
"31","ENOSF1",-0.573299040307509,7.52699136783766,-6.54807069866304,4.90769384357905e-10,1.36085600901308e-07,12.4990911964286,NA,0.377567683110585
"32","ST3GAL2",0.391869309548663,6.02874889156672,6.53718852038982,5.2103030753634e-10,1.39961766361949e-07,12.4672503332277,"Metabolism or Transport (lipid)",0.159699201749283
"33","ZBTB1",0.376566687679887,7.11430147912204,6.52017159255517,5.72065002778066e-10,1.49014265572129e-07,12.3663227595364,NA,0.273017163441659
"34","MTERF1",-0.530300758693356,6.85110866293732,-6.5028063501404,6.29205491073098e-10,1.59077952978363e-07,12.2853840972124,NA,0.238143629062213
"35","HPCAL1",0.599829756425282,5.2151522375942,6.49195924351059,6.6770691311225e-10,1.63988817860368e-07,12.2118462177321,NA,0.0834553953758927
"36","RBM4",-0.47078481913411,5.81513314561918,-6.47848127015676,7.18784628882482e-10,1.71629796385384e-07,12.1559147078364,NA,0.154947542523145
"37","CXXC5",0.544892261198557,4.63740666757925,6.432001276879,9.26162753763088e-10,2.15170135982365e-07,11.8152285632282,NA,0.0618206283683867
"38","PIGL",-0.511324095673017,6.66137736871132,-6.38592774470041,1.18941757967186e-09,2.69058776706825e-07,11.6730417384836,NA,0.237176477184327
"39","PTS",-0.539242508390451,5.83985054947782,-6.37684554895003,1.24938039415583e-09,2.71363060199665e-07,11.629570785362,NA,0.150539292297126
"42","FTX",-0.256629320891962,10.6826265717769,-6.3748802843535,1.26274108980765e-09,2.71363060199665e-07,11.4689646965296,NA,0.876533951936757
"40","NRXN1",0.650284888685948,5.67732571302044,6.36877391243068,1.3051564979264e-09,2.73637201370131e-07,11.5940644446103,NA,0.145198931927926
"41","PDIA6",0.701535084678386,5.35129940304441,6.35884928513265,1.37709730292826e-09,2.81845914665983e-07,11.5046224697979,NA,0.102174690055857
"44","HOOK2",0.596445072803283,4.6869149357736,6.33415967782005,1.57338867142369e-09,3.1453137254786e-07,11.3326929417705,NA,0.0748141035973845
"45","LINC02853",0.706752540586767,4.84648646502249,6.32957127892114,1.61278208798652e-09,3.15078973371184e-07,11.2973606119503,NA,0.0672170555131161
"43","NEDD4L",0.607647872617316,5.864400070348,6.32134584592235,1.68583938453033e-09,3.22032785542728e-07,11.3479131434652,NA,0.128112582085264
"46","AF117829.1",-0.385281038057848,8.12538844777606,-6.31001163360935,1.79185632808365e-09,3.34843412961023e-07,11.2297581510378,NA,0.423325180289725
"47","AC138150.1",-0.786530026263514,5.57713221230021,-6.28786657235432,2.0182219267849e-09,3.69119908141341e-07,11.1650629203763,NA,0.144603222437924
"48","ADK",-0.266478349594158,8.38234223943688,-6.26268601438966,2.30982580358287e-09,4.13651304324966e-07,10.9669219098837,"Metabolism or Transport (lipid)",0.499786245418293
"49","BTF3L4",-0.454282128111818,5.99325453549569,-6.2344172363939,2.68659777546756e-09,4.65602805016835e-07,10.9062787193157,NA,0.169244570283207
"52","PARD3B",-0.294797920728961,10.1396698225912,-6.23291309030627,2.70825270484432e-09,4.65602805016835e-07,10.7466303004248,"Matrisome/cell adhesion/binding/signaling",0.770077161899823
"50","SEM1",0.865030348303435,7.58297768291767,6.22775348493995,2.78384394389658e-09,4.69214167485e-07,10.8375245842219,NA,0.333436122421804
"54","CRYAB",1.32902606757632,4.79792392228129,6.22291678042357,2.85658225578004e-09,4.722150205901e-07,10.6977475129478,NA,0.0692074260444189
"51","LINC01184",-0.460489685576378,6.9242746726048,-6.21134661581565,3.03823371695081e-09,4.92767113790738e-07,10.7656644467277,NA,0.240960984532578
"53","SUCLG2",-0.314010512341071,7.48167521079662,-6.20334932185889,3.17036582515076e-09,5.04675270981405e-07,10.7104654545415,NA,0.328698479889548
"56","CACNB2",-0.25506833481536,10.1558246876575,-6.16173984154366,3.95421561012528e-09,6.18007952447944e-07,10.3710834736059,"Transport",0.764912010204153
"55","LINC01278",-0.192628844282827,8.1801085873131,-6.14732001922894,4.2679287205347e-09,6.55127058602077e-07,10.3733233481343,NA,0.455780834974455
"57","EMC2",-0.32886599335033,6.18392754401001,-6.12591882727968,4.77899077118456e-09,7.16013790144005e-07,10.3577424955623,NA,0.172251151120985
"58","CROCC",0.445249764183858,5.86203585154097,6.12062176783615,4.91447343165382e-09,7.16013790144005e-07,10.3301435615857,"Cilia",0.139795496436256
"60","DNAH14",-0.413471254131871,8.00049085707369,-6.12172279324055,4.88600607380949e-09,7.16013790144005e-07,10.2617534416498,"Cilia",0.401276920812688
"59","RGS7",0.661447712333906,4.90280205519574,6.11604022950908,5.03468668319421e-09,7.2130277881229e-07,10.2808373582972,NA,0.0980117319727796
"61","RPP38",0.436962009583505,5.78300655661552,6.10545223754625,5.32363754602082e-09,7.50196530255655e-07,10.2568869117299,NA,0.129983810718566
"63","LARP4B",-0.230915554052371,7.57956921623791,-6.07470499564255,6.25803081646205e-09,8.6764569190819e-07,10.0432953962092,NA,0.362864171227932
