"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","ZFAND2A",-2.09377713396724,5.03474641737889,-7.92153534287804,1.38131159299257e-12,8.05661478857192e-09,17.9471572518907,NA,0.0655258467023173
"2","PSD3",-0.904815232792874,8.66286452550182,-7.83974227266186,2.12407455538411e-12,8.05661478857192e-09,17.8282543122109,NA,0.40855614973262
"3","AC100849.1",-1.43505643431899,7.40489571480582,-7.40908116944076,2.00130424497325e-11,5.06063133412236e-08,15.6652601800907,NA,0.207272727272727
"4","ARRDC5",1.05061794194418,5.39527502875818,7.30160982155145,3.48013465808953e-11,6.60007537906679e-08,14.9125273663452,NA,0.0823529411764706
"5","TNFAIP2",1.42830412158676,5.39399666322213,7.22741805998373,5.09049284734213e-11,7.72329574798747e-08,14.5410764885697,NA,0.0888413547237077
"6","PUS7",-1.0154062642851,5.79688606663613,-7.11418988458832,9.07105824468802e-11,1.13453164300105e-07,14.1255934685275,NA,0.110516934046346
"7","BCAS3",0.489317799573735,8.68610595858595,7.05969433445047,1.19644781755977e-10,1.13453164300105e-07,13.9115589879215,NA,0.4625311942959
"8","IL7",-1.37502218988469,5.3670184973967,-7.07619317252283,1.10034270025421e-10,1.13453164300105e-07,13.8402793647925,"Inflammation/Immune/Stress/Toxic/Detox",0.0732976827094474
"9","HSPA1A",-1.23014421353703,7.69958206057312,-6.87946897568074,2.97182237342193e-10,2.50491605830876e-07,13.0575852763977,"Metabolism (other)",0.284777183600713
"10","NPL",0.838898072534849,7.42505053043037,6.82531232461288,3.89920796174381e-10,2.68903559979896e-07,12.8041033544932,"Metabolism (other)",0.258538324420677
"11","TNRC6B",0.357991622905196,9.36401207624249,6.8331241774978,3.74960057137306e-10,2.68903559979896e-07,12.7830560998325,NA,0.639144385026738
"12","GMDS-DT",0.633177892329114,8.25715799106157,6.7027839121861,7.1854613291972e-10,4.54240913694083e-07,12.1886658759114,NA,0.367629233511586
"13","ICA1",1.17680601403918,5.85868637117079,6.6694886256963,8.47721346297354e-10,4.94678010231672e-07,12.0056611979213,NA,0.11301247771836
"14","HIBADH",0.718750795565862,6.47263876600751,6.63392291793882,1.01107368074586e-09,5.47857495867005e-07,11.8905123773368,NA,0.144670231729055
"15","FAM228B",0.744913220108627,6.37055443994619,6.58506223435721,1.28717952308796e-09,6.45128029958784e-07,11.6581645754306,NA,0.145739750445633
"16","PKM",-0.867486272099546,6.6653812102008,-6.57380394311766,1.36067077238868e-09,6.45128029958784e-07,11.6117090812681,"Metabolism (other)",0.186310160427807
"17","UGCG",-1.19229619928426,7.80268354662315,-6.55913298895383,1.46268250355117e-09,6.52700557172892e-07,11.5166517301307,"Metabolism or Transport (lipid)",0.248128342245989
"18","TK2",1.09149887945957,4.94882103873035,6.39888433054749,3.20704523376889e-09,1.35159139685394e-06,10.6014380602082,NA,0.0663101604278075
"19","CHST15",-0.958090423520881,8.74792108066067,-6.24432772165225,6.78215250722978e-09,2.70786362736027e-06,9.99761441955164,"Metabolism (other)",0.460463458110517
"20","NHLRC3",1.01923095536866,5.28512544730036,6.1951099425604,8.59365735171572e-09,3.25957423350577e-06,9.75842590683757,NA,0.0821390374331551
"21","TNFRSF10D",-1.02842113462107,5.31058016734347,-6.1798138622578,9.24810074466833e-09,3.340766297574e-06,9.71744337158042,NA,0.0829946524064171
"22","TPCN1",0.799058911011753,7.50479290574896,6.13897544359033,1.12453134170952e-08,3.87758852645838e-06,9.57061308656387,NA,0.281711229946524
"23","LINC02649",1.46642772802214,6.29644600321075,6.12217388731925,1.21851613506877e-08,4.01898408723119e-06,9.52122737805784,NA,0.146167557932264
"24","SLC7A5",-1.38499797368515,6.97387387217911,-6.09847442067284,1.36434906487446e-08,4.31248000255736e-06,9.3988784528007,"Transport",0.172620320855615
"25","CSF3R",0.788264145791272,6.89913033513551,6.08302213676266,1.46854225761571e-08,4.45614462650912e-06,9.33848609253511,NA,0.20541889483066
"26","HMGCS1",-1.51631848319002,5.85759800207323,-6.07010257804262,1.56163300981419e-08,4.55636462017324e-06,9.28068103580481,NA,0.0857754010695187
"27","TCP1",-1.17578170723719,5.53344924015079,-6.04956517507047,1.72168711694306e-08,4.83730313671484e-06,9.17045784257987,NA,0.0911942959001783
"28","NPEPL1",1.11262822122933,4.68158392152182,5.97054508368082,2.50234678723556e-08,6.77957240284606e-06,8.65963496280417,"Metabolism (other)",0.0568983957219251
"30","PRKCB",-0.699478041336095,8.5182672427093,-5.94016257170952,2.88740558101589e-08,7.5530547370988e-06,8.61206739127586,NA,0.415971479500891
"29","RPH3AL",0.836300355039897,5.99976321544243,5.92485642732629,3.10287072146505e-08,7.84612576434462e-06,8.63327871541786,NA,0.121711229946524
"31","FUT11",-0.939642996402195,4.98309473185438,-5.90308131430175,3.43685002945361e-08,8.353330819902e-06,8.45905625889193,"Metabolism (other)",0.0690909090909091
"32","SRRM2",0.530545796919546,8.66058175630798,5.89776045881436,3.52368291902009e-08,8.353330819902e-06,8.40969531475721,NA,0.508235294117647
"33","IL2RA",1.46297071102369,5.26447996632234,5.87303436242726,3.95629779109275e-08,9.09468940703928e-06,8.36193716082673,"Inflammation/Immune/Stress/Toxic/Detox",0.0664527629233512
"34","ATG5",-0.561826688029258,7.04820696120933,-5.85624600021926,4.2793290156173e-08,9.54793820955083e-06,8.30860925594228,"Metabolism (other)",0.22367201426025
"35","HSD17B7",-0.929994818650016,4.91399027667189,-5.84311660538028,4.54987136078228e-08,9.8615211836841e-06,8.18068458917065,NA,0.0662388591800357
