"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","FOS",1.72140496590458,7.81846000563223,6.22654142274592,3.21581958727338e-07,0.00205748137193751,6.28242349459744,NA,0.281041388518024
"2","HSP90AB1",1.30205846296527,8.89851250037448,5.2246061440207,7.19995340312223e-06,0.0121520963695248,3.69399384692372,"Metabolism (other)",0.394526034712951
"3","FN1",-1.75289847236446,9.00659781369763,-5.20723128330474,7.59743442921214e-06,0.0121520963695248,3.64064748082569,NA,0.342122830440587
"4","DNAJB2",2.50940137658422,5.44028101755722,5.21811775437887,7.34590739992124e-06,0.0121520963695248,2.58160787491715,"Metabolism (other)",0.0917890520694259
"5","LDB2",1.7007049069073,6.20729118358274,4.75659222987046,3.03926444927784e-05,0.0388904278929592,1.9558233578103,NA,0.111481975967957
"8","ANO2",2.36574925538225,4.78982193633675,4.58564043938747,5.11659399104196e-05,0.0545599472578108,0.842652826234396,NA,0.0540720961281709
"6","HSPA1B",1.53752435014436,9.65690041037562,4.32118025495176,0.000113651222095913,0.103877216995665,1.18159967422253,"Metabolism (other)",0.437249666221629
"7","DNAJB1",1.71724615413805,9.46932008903154,4.19912330842687,0.000163640084570365,0.10469692610812,0.848263158968381,"Metabolism (other)",0.402202937249666
"9","DPH6-DT",1.6445658464387,7.41869955039954,4.20160393300543,0.000162436556296219,0.10469692610812,0.838885929347181,"Metabolism (other)",0.188584779706275
"10","HSP90AA1",1.68123505835048,12.3498257351861,4.20093979210282,0.00016275792642002,0.10469692610812,0.786414866283174,"Metabolism (other)",0.751668891855808
"11","ITGA5",-1.30074669587546,7.85783440815777,-4.11332150553118,0.000211088456665779,0.116002869492471,0.606170934028125,"Matrisome/cell adhesion/binding/signaling",0.191255006675567
"12","GULP1",-0.802603174674787,8.40527002379883,-4.10309191572328,0.000217573371977127,0.116002869492471,0.602511963894709,NA,0.371495327102804
"14","AP5M1",1.46865069350943,5.36832480030262,3.9082104027293,0.000385582603309973,0.18344614946421,-0.294594490452239,"Transport",0.0781041388518024
"20","COL25A1",1.93913679594877,4.58093952336791,3.89439667754217,0.000401413893794771,0.18344614946421,-0.815194674814046,"Matrisome/cell adhesion/binding/signaling",0.0767690253671562
"15","SLC2A9",1.54308373394652,5.75450994469063,3.836540636739,0.000474862311534703,0.202544604613269,-0.326595697399731,"Transport",0.0871161548731642
"13","HSPH1",1.71432430560615,9.86320119764583,3.78986316617406,0.00054347911978245,0.217323713023007,-0.253460037104828,"Metabolism (other)",0.396862483311081
"16","ITGA1",-0.787424611946209,8.44151145671243,-3.73959022249852,0.000628121313306167,0.236395303678403,-0.342597954450074,"Matrisome/cell adhesion/binding/signaling",0.302403204272363
"17","NEGR1",-1.33199742231688,7.16830733621725,-3.70847325059951,0.000686764210867065,0.243264176926685,-0.429496775342961,NA,0.15520694259012
"18","ZBTB7C",0.96070090336983,8.533048237921,3.69078912912397,0.000722416280338702,0.243264176926685,-0.473825671083584,NA,0.288384512683578
"19","HIF1A-AS3",1.03506267787199,7.10636027902853,3.58350926848681,0.000980212553871826,0.287700510547149,-0.724273916393796,NA,0.190587449933244
"25","NEDD4L",1.50757571850087,4.95379184758421,3.58025436960227,0.00098927965489798,0.287700510547149,-1.20052407150571,NA,0.0647530040053405
"29","CCDC73",2.05672454549679,4.45277745835197,3.58737290827793,0.000969553622455331,0.287700510547149,-1.30305251458116,NA,0.0841121495327103
"21","MSN",0.808299635857492,8.42388451283332,3.54403942644136,0.0010957711868839,0.292114335570134,-0.836045039354712,NA,0.271695594125501
"22","COL3A1",-1.26827437490172,6.55070565201728,-3.55482239479727,0.00106296062300587,0.292114335570134,-0.869234283306446,"Matrisome/cell adhesion/binding/signaling",0.106141522029372
"23","PLA2R1",-0.93653289741863,7.43371208247336,-3.45821279897743,0.00139399323221786,0.351076511419356,-1.02620455413637,"Inflammation/Immune/Stress/Toxic/Detox",0.200267022696929
"24","ACTG1",-1.15401876342129,6.77983429081739,-3.43635877146189,0.00148156702224486,0.351076511419356,-1.11819607943134,NA,0.147196261682243
"26","AC068733.3",1.79299859009886,5.61971284287355,3.44719357900926,0.00143750984237679,0.351076511419356,-1.21267901487528,NA,0.0707610146862483
