"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","LINC00662",2.48495360244184,6.337778576768,6.45137213362197,6.33877386165498e-08,0.000280142110815842,7.84067420328396,NA,0.183118242064876
"2","ZMAT1",2.5524744043314,6.04351144021213,6.45633291052597,6.23135857201667e-08,0.000280142110815842,7.69669827181258,NA,0.190791768399023
"3","CYTH1",1.82288292220337,6.52786304277415,5.50093618440186,1.65375878525747e-06,0.00382141846326471,4.95526481101207,"Transport",0.211719567492152
"4","TCP11L2",2.32579882495242,5.23379230996712,5.48780472327862,1.72934425308958e-06,0.00382141846326471,4.50515974134788,NA,0.110917335193582
"5","CTSB",2.57291761153362,5.32186338422699,5.19016052838501,4.73977924725324e-06,0.00837898175329427,3.79915589049234,"Metabolism (other)",0.114754098360656
"6","NAP1L4",1.69824108162541,6.57419586876744,5.04931392873942,7.60932135720536e-06,0.0112097985793897,3.56779179356552,NA,0.222183467038716
"7","MCCC1",1.73574327420774,6.44777405174472,4.88203657759104,1.33009277225443e-05,0.0130629889043966,3.07557730174271,NA,0.208231600976631
"8","ZBTB41",2.16772491073782,5.65971075573382,4.92524875679529,1.15189144085645e-05,0.0130629889043966,3.02701820823807,NA,0.131845134286711
"9","FAM78B",2.49733109273266,5.57046070898207,4.88967087666149,1.29674619109285e-05,0.0130629889043966,2.9168541141658,NA,0.122776421346355
"10","UPP2",2.06408834728723,7.01667477193057,4.66830996083938,2.69636486465223e-05,0.0238331690386611,2.45550648311897,NA,0.243808859434949
"11","FKBP5",1.53792618570055,7.24271932992032,4.59049835802914,3.47996133598569e-05,0.0279630711352523,2.22040898690771,"Metabolism (other)",0.309382629926753
"12","SLITRK5",1.75166499094679,6.21660153924913,4.43915328087302,5.69484830195308e-05,0.038720587800741,1.73261058739888,"Development (differentiation)",0.170212765957447
"13","TTTY14",-2.02053583295365,6.00937229745938,-4.452631818165,5.45156899571467e-05,0.038720587800741,1.71802609537056,NA,0.280781304499477
"14","ESYT2",-1.59762913388408,7.29123099814048,-4.36690608249921,7.19118612809241e-05,0.0423752627908059,1.56309003479218,"Metabolism or Transport (lipid)",0.309731426578305
"15","STAG1",1.05259772030299,8.46826715262571,4.38244471226721,6.83997840031267e-05,0.0423752627908059,1.54674218045011,NA,0.540983606557377
"16","IQCB1",1.73530313882397,6.07924951724045,4.31714250271966,8.4386191260574e-05,0.0433178711990453,1.37934534324519,"Cilia",0.1545169166376
"17","ACTL6B",2.25683784533631,4.7355978062181,4.31521758490668,8.49089119084189e-05,0.0433178711990453,1.20152433063961,NA,0.069759330310429
"23","AP003500.1",2.83305835880699,4.30643901178025,4.30330862618994,8.82137890692177e-05,0.0433178711990453,1.0737904197332,NA,0.0788280432507848
"18","FLACC1",2.16389344566373,5.43266576165415,4.26855169221974,9.85930920926941e-05,0.0437994619260727,1.18929271048008,NA,0.117893268224625
"19","MYO9A",-1.00676410391189,8.24862812260711,-4.25152938142395,0.000104101618042627,0.0437994619260727,1.17743563749066,NA,0.448901290547611
"20","DPH6-DT",1.56701205124923,6.86003348277421,4.22382262029474,0.000113715186834279,0.0437994619260727,1.14993134086866,"Metabolism (other)",0.248343215905127
"21","ARL17B",-2.14540562671247,6.08270580776909,-4.25702710691427,0.000102290511538036,0.0437994619260727,1.08859626425682,NA,0.193233344959888
"22","LINC01322",1.73243902798407,7.93404811716565,4.22311758235435,0.00011397076867289,0.0437994619260727,1.08069691847066,NA,0.329961632368329
"24","MAP3K4",1.53904618701339,6.43208560458066,4.16211692013029,0.000138335553013405,0.048735574901286,0.974816110177704,NA,0.185559818625741
"25","KCNJ3",1.30427951827907,8.60467055826301,4.16552391575716,0.000136850359833927,0.048735574901286,0.901814300750773,"Transport",0.457970003487967
"27","CADM2",0.873467087856868,11.4423202415415,4.15085757622095,0.000143356142938504,0.048735574901286,0.69405274662161,"Matrisome/cell adhesion/binding/signaling",0.895709801185909
"34","ABCD4",-2.71927836010062,4.82299064554794,-4.12404699570651,0.0001560348884439,0.0510811992205791,0.4763525844552,"Metabolism or Transport (lipid)",0.0742936867806069
"26","C14orf132",1.91715088920772,5.51818548558337,4.08739518676168,0.000175144056199392,0.0552892254552295,0.706718703390242,NA,0.111614928496686
"28","ABAT",1.37350656895478,6.93178053532327,4.03370058140552,0.000207298997691445,0.058615613526976,0.60615788949591,"Metabolism (other)",0.291594000697593
"29","ITGA9-AS1",1.91651342797514,6.16717510496655,4.02654960361527,0.000211991529568702,0.058615613526976,0.589927819541944,NA,0.174398325776073
"30","NTNG1",-3.70777576251776,7.25805065197787,-4.00030661178671,0.000230111158609917,0.058615613526976,0.513212145825488,"Development (differentiation)",0.185908615277293
"31","ROR1",1.98403988757806,6.4210900355571,3.99754687487638,0.000232101648766168,0.058615613526976,0.505659566067286,NA,0.211021974189048
"32","METTL6",-1.77867392573963,6.21595370823168,-4.01079479004826,0.000222696276747144,0.058615613526976,0.502124588406308,NA,0.171259155912103
"33","RBFOX3",0.952035126558089,8.95579023123863,4.03798362638243,0.000204536836241371,0.058615613526976,0.494867108282919,NA,0.529124520404604
"35","SHLD1",2.46808852443456,5.07557668336492,4.00414327463205,0.000227371390235459,0.058615613526976,0.413507793296573,NA,0.0941750959190792
"37","TBC1D5",0.86881882099583,8.67983265400092,3.92293720443221,0.000292699544815115,0.0718658687950223,0.178887531577134,NA,0.562260202302058
"36","LRMDA",2.15789284254239,7.18709653802606,3.8993267322035,0.000314880967613092,0.0752225100738411,0.22195339333957,NA,0.297872340425532
"39","SAMD12",0.964113288215388,8.81669368678521,3.88636502835776,0.000327740330608592,0.076234125848667,0.0636040927749297,NA,0.49912800837112
"40","SYT2",2.48593788492353,4.51548975281869,3.8756901766614,0.000338710666159901,0.076765732774035,0.054339842343988,NA,0.0680153470526683
"38","PRPF40B",1.6345895176639,5.74259166154888,3.866321102209,0.000348630731588587,0.0770386759127881,0.140904944440762,NA,0.132193930938263
"42","NR3C2",1.00195144695436,8.33246375937116,3.85513663097883,0.000360840708333331,0.0777919761209344,0.00298411755952444,NA,0.449598883850715
"41","TCAIM",1.3442867169594,6.26762101301081,3.82387667355295,0.000397196686431594,0.0835909883659253,0.0371733939591117,NA,0.182420648761772
"43","TRPC5",2.40098285031509,5.60695307237479,3.79631517471489,0.000432162496988157,0.0848863180195182,-0.0377625243337301,"Transport",0.100104638995466
"44","DCUN1D1",1.76941261075351,5.89133484129244,3.7990901395064,0.000428511905433768,0.0848863180195182,-0.0458192871432903,NA,0.143006627136379
"45","SMIM8",1.93099788584875,5.50155736945669,3.79771369044513,0.000430318954190085,0.0848863180195182,-0.0811860900174759,NA,0.125566794558772
"46","LRCH1",1.50158690533667,7.1037993552472,3.77757357357436,0.000457614703920573,0.0871417949252513,-0.129344104868432,NA,0.256714335542379
"51","CDH12",1.19939578859254,8.99173392553764,3.77348023618411,0.000463362864745651,0.0871417949252513,-0.275871357383796,"Matrisome/cell adhesion/binding/signaling",0.546564352982211
"47","EFCAB7",1.73320362378997,5.62282918529613,3.74933646985552,0.000498708913594687,0.0918351684846549,-0.194845684756091,NA,0.130798744332054
"48","CHD7",2.01013877010875,6.33940799174384,3.73578493404101,0.00051967124820515,0.0937228759736337,-0.198124200325406,NA,0.223229856993373
"50","CACNG4",-2.59543209734374,5.58249183345174,-3.72919639543567,0.000530166738169667,0.0937228759736337,-0.269008323855272,"Transport",0.129054761074294
"49","TNFSF13B",2.01796747954439,5.53777784167835,3.71522897478907,0.000553095482216209,0.0940155955251744,-0.267093180829424,NA,0.122078828043251
"55","MARCH1",-1.50781395948113,8.75573753979874,-3.72049812657473,0.000544335818932022,0.0940155955251744,-0.378544390689598,NA,0.429368678060691
"52","SGPP2",1.71164213853079,6.03011249143036,3.6903118669197,0.000596388283976307,0.0976199267049367,-0.318389105170851,NA,0.165678409487269
"53","AC092944.1",1.82672557680941,5.34365165027096,3.69146823791634,0.000594308977877984,0.0976199267049367,-0.340446913374162,NA,0.104987792117196
"54","MFF",1.36961708532399,5.81645974122591,3.68161587347208,0.000612250377527169,0.0977833156157599,-0.344988534127637,NA,0.138123474014649
"56","TMX4",-1.67286844097769,5.5431976206028,-3.67770694699862,0.00061951189891193,0.0977833156157599,-0.383657493512603,NA,0.108475758632717
"57","LINC02389",1.50540598041042,6.35612111246362,3.6643454509673,0.000644963331642205,0.100014576989218,-0.387189433483385,NA,0.164980816184165
"58","UBAP1L",1.51460379539254,5.92002202033139,3.64339246328189,0.000686908669609911,0.103818152520639,-0.446466882203559,"Metabolism (other)",0.15765608650157
"59","SLC25A26",1.49334968805988,5.949054375143,3.64046080710198,0.000692982350799601,0.103818152520639,-0.452016248584384,"Transport",0.145099407045692
"67","SCG2",-3.00129975104805,4.51754368167208,-3.62011517536861,0.000736576085414095,0.108509933649586,-0.694750152131242,"Transport",0.0613882106731775
"60","LINC02755",-2.43848925776924,5.58809571152427,-3.6139026680423,0.000750403571592641,0.108734707693563,-0.576586092764478,NA,0.107429368678061
"61","MORC3",1.27106749035914,6.1226876211244,3.58649020807616,0.000814445391502071,0.110542893337854,-0.589565416641484,NA,0.176491105685385
"62","CLVS2",1.43718849157985,6.69608016153044,3.59318453162974,0.000798339014159354,0.110542893337854,-0.597612949918717,NA,0.214161144053017
"63","RANBP17",1.72246987958629,6.58807412778956,3.59053260156978,0.0008046826396482,0.110542893337854,-0.599751521361466,NA,0.200906871294036
"64","SLC35A1",1.81356204070752,5.53958979051891,3.58606156681026,0.000815487230242398,0.110542893337854,-0.612675542231889,"Transport",0.121381234740146
"65","UTY",-1.56167922693574,5.78653584941988,-3.58200369205088,0.000825413616958746,0.110542893337854,-0.617451651412765,NA,0.246250435995814
"66","ATP8B4",1.69941999287208,5.59959395067073,3.55396071727892,0.000897244735066756,0.115944380100852,-0.674053656392831,"Metabolism or Transport (lipid)",0.11056853854203
"68","ANAPC16",1.19544109223132,6.85386406386982,3.55643094905054,0.000890684394514025,0.115944380100852,-0.698738457968694,"Development (differentiation)",0.261248692012557
"69","KCNMB2-AS1",2.201401300835,5.11992046790189,3.52401165193392,0.000980553160642332,0.115944380100852,-0.774826702123658,NA,0.0854551796302755
"70","ANKLE2",-1.86875216228384,5.47863055337535,-3.53173234410602,0.000958395383209399,0.115944380100852,-0.795665899327497,NA,0.117893268224625
"71","CIR1",-2.06405931491222,5.7044097173696,-3.5275485869287,0.000970342295692834,0.115944380100852,-0.801390698272193,NA,0.132193930938263
"72","RIMS3",2.07303650888081,4.75021363298206,3.52289357041285,0.000983802297495633,0.115944380100852,-0.805577565645144,NA,0.0631321939309383
"73","HPCAL4",1.93143257902289,4.39586873644248,3.54201575834204,0.000929625651701637,0.115944380100852,-0.817914593204739,NA,0.0547610742936868
"74","GPATCH8",0.780305097326214,8.51431377880552,3.54913262173278,0.000910200786880156,0.115944380100852,-0.861349328263526,NA,0.517614230903383
"76","ZFY",-2.4693944038002,5.08956772926627,-3.52377331722733,0.000981244897820677,0.115944380100852,-0.934906374407526,NA,0.192186955005232
"75","USP9Y",-1.72051129071129,5.79098631813022,-3.45445197790081,0.00120351866816477,0.137475529729668,-0.933062641935314,"Metabolism (other)",0.279037321241716
"77","AP2B1",-1.14019984894267,6.91465226758596,-3.45639191469907,0.00119669192492887,0.137475529729668,-0.93853108068011,"Transport",0.258807115451692
"79","MAL2",2.12669421777537,4.57884314945775,3.44855986808735,0.00122448186428025,0.137475529729668,-0.987930267696157,NA,0.0701081269619812
"85","FOXN3",0.876615429988132,8.45806887201784,3.44738316584707,0.00122870990481319,0.137475529729668,-1.13206088136349,"Development (differentiation)",0.549354726194629
"78","HOPX",1.82439902989325,5.57721036297432,3.43821144459774,0.00126214561573823,0.137965731015151,-0.966000671732026,NA,0.115102895012208
"80","SRSF3",2.17568084668361,4.95988144956459,3.43725320809686,0.00126568852269637,0.137965731015151,-1.0157869472068,NA,0.0997558423439135
"81","SLCO1C1",2.45217701062394,4.98313612836106,3.43343036345862,0.00127991740505062,0.137965731015151,-1.01923576187823,"Transport",0.113707708405999
"82","SECISBP2",-1.7728362456293,5.93169635111073,-3.39080865998197,0.00144923977416878,0.149672917038888,-1.09869054448098,NA,0.15765608650157
"83","RSPO2",2.05610056444396,5.0329585366203,3.39724146700753,0.00142238383329778,0.149672917038888,-1.10802880949709,"Development (differentiation)",0.072200906871294
"87","NET1",2.35072024714749,4.46918236385102,3.38914611753763,0.00145625872444217,0.149672917038888,-1.18098666399622,NA,0.0627833972793861
"95","OXR1",1.06082146152488,8.52285469681543,3.39134252134439,0.0014469927482059,0.149672917038888,-1.29865633198694,NA,0.411231252179979
"84","TPRG1",1.85847154993821,5.70136478964479,3.38157452099532,0.00148863587467,0.150932384094218,-1.11089808524113,NA,0.123474014649459
"94","BBS9",0.820405776977057,8.29303637911541,3.37834243689494,0.0015026643059499,0.150932384094218,-1.29676496570042,"Cilia",0.475758632717126
"86","METTL25",1.46061950488658,6.02441544793276,3.36807439908938,0.00154807064134855,0.152037737765332,-1.14668819054736,NA,0.156260899895361
"101","ERC2",0.873057866424518,9.36039761600781,3.36874440745271,0.00154506842718355,0.152037737765332,-1.42298460592432,"Transport",0.520055807464248
"89","RSBN1",1.58605640813877,5.36388185941625,3.36125675261913,0.00157893668645884,0.153365070017689,-1.18343075410334,NA,0.104638995465644
"88","CGGBP1",1.64935649875091,5.41811733631462,3.35312853311401,0.001616501059959,0.155112834163101,-1.18123535085395,NA,0.115102895012208
"90","UBXN7",1.35092047154639,6.18045209524517,3.34611894551354,0.00164957646920822,0.155112834163101,-1.1979021168414,"Metabolism (other)",0.175793512382281
"91","HSPA4L",-1.58981013535317,6.84397969690063,-3.34657587387747,0.00164740095747099,0.155112834163101,-1.2094646282797,"Metabolism (other)",0.226717823508894
"92","KLHL5",1.72665125660437,5.89411672478026,3.33318504293023,0.00171230147765841,0.158851179026749,-1.2274419511765,"Metabolism (other)",0.112661318451343
"96","KDM5A",-1.00199461661106,7.21514694977553,-3.33056599751934,0.00172527584416426,0.158851179026749,-1.2990455524077,NA,0.295081967213115
"93","UGP2",1.69872429889209,5.42981415752807,3.31570596911038,0.00180067601003063,0.163406953370472,-1.27525878274607,"Inflammation/Immune/Stress/Toxic/Detox",0.114405301709104
"97","AL391840.1",2.02504659877992,5.74716636596037,3.30381151795791,0.00186327204907742,0.163406953370472,-1.30200222644383,NA,0.119637251482386
"103","NFASC",-0.809937925393295,7.75170887271566,-3.29964591293171,0.00188567815859126,0.163406953370472,-1.44943450954733,NA,0.346703871642832
"106","PAM",-0.887226794000181,8.52125677196429,-3.30297634424664,0.00186774396783047,0.163406953370472,-1.49547151165731,NA,0.495640041855598
"107","SPOCK1",0.999499143268218,8.93222501312702,3.31169754923216,0.00182154441244693,0.163406953370472,-1.50771564924696,"Matrisome/cell adhesion/binding/signaling",0.520753400767353
"110","CCDC88A",-0.937421817307178,8.81455125303503,-3.30551306185352,0.00185419258490843,0.163406953370472,-1.53505925984214,NA,0.493896058597837
"98","PLCXD3",2.10775597222481,6.18598735996187,3.28755628695384,0.00195216256490705,0.167525872924402,-1.35067932496526,NA,0.1545169166376
"99","SARS",-1.99391558334878,5.15140208690446,-3.27845830310665,0.00200365441953978,0.169903895771563,-1.39244021124194,NA,0.0931287059644227
"109","ANKRD30BL",-1.18669885788593,8.34375599455487,-3.27590803909769,0.002018317576198,0.169903895771563,-1.52821386098565,NA,0.430763864666899
"100","CNIH3",1.41491013445649,6.15950286261471,3.26802874960616,0.00206426600966178,0.172132521315099,-1.39549145996983,NA,0.158702476456226
"102","KIAA0895",1.75007437403139,5.2082464787358,3.25627136351589,0.00213467647872859,0.176340237340953,-1.42400384088217,NA,0.0997558423439135
"104","ANO2",1.9066430367809,4.95968271900462,3.23934258629016,0.0022400617570787,0.181650512576318,-1.47323715886504,NA,0.0962678758283921
"105","SLC16A7",1.19088639549721,6.5346516912056,3.24158754697757,0.00222580845551229,0.181650512576318,-1.47733732305504,"Transport",0.19672131147541
"114","HTRA1",-2.25188568643585,4.57423747352168,-3.23431718134387,0.00227228188702644,0.182588178176606,-1.55533719118407,"Development (apoptosis)",0.0704569236135333
"108","L3MBTL3",1.94890422845672,4.99193538847201,3.21650734574728,0.00239003471244183,0.185545877126935,-1.52094138652088,NA,0.0847575863271713
"111","KLHL21",1.94469223006401,4.81855854884239,3.2160612566302,0.00239305690603807,0.185545877126935,-1.53743815051738,"Metabolism (other)",0.0774328566445762
"116","VPS8",-1.05195509012797,7.27176006115774,-3.21619231813182,0.00239216860740319,0.185545877126935,-1.59118455988028,NA,0.281478897802581
"118","ZNF394",-2.53380819991716,4.31538697611148,-3.22347127015369,0.00234332048921739,0.185545877126935,-1.61616628827333,NA,0.0530170910359261
"112","ELMO2",2.01768403216365,4.78717370868561,3.20919545109725,0.00244002998491159,0.185926077902013,-1.54443637011161,NA,0.0742936867806069
"122","ADCY2",1.29263130567286,7.55399417541444,3.2121616380217,0.00241963058067005,0.185926077902013,-1.69390749800842,NA,0.260899895361005
"113","AF165147.1",1.70042652249675,5.29080504190271,3.1962060503749,0.00253129195846187,0.191231535220893,-1.55330925195963,NA,0.100104638995466
"115","ABLIM3",1.44246287407446,5.98342055396906,3.19307389336988,0.0025537757449791,0.191295117032799,-1.56210729622304,"Motility",0.143006627136379
"117","ZNF559",1.38446295892214,5.34976838434794,3.17650209048029,0.00267590716140574,0.198540787545401,-1.59937978399764,NA,0.1056853854203
"129","SORCS3",-1.39113399659399,7.63425731590617,-3.17391966388741,0.00269542872558526,0.198540787545401,-1.74768574326703,"Development (differentiation)",0.295779560516219
"119","TYRO3",1.95690664407146,4.70175339272647,3.16922564750632,0.00273125728270874,0.199517215883162,-1.62977536840008,NA,0.0634809905824904
