"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.145205479452055","0.811896418331589","0.193813302725311","0.220130191407982","1.12099034837193","218","c(""EXT1"", ""NLGN1"", ""MIA3"", ""ZBTB1"", ""CNTN4"", ""AP3D1"", ""RAB10"", ""DLG4"", ""YTHDF2"", ""HMGB1"", ""CDH3"", ""DCC"", ""PPARA"", ""PCDH15"", ""CDH23"", ""VSIG10"", ""PRKCQ"", ""JUP"", ""DLG1"", ""TNFSF13B"", ""NRXN3"", ""ASTN2"", ""PKD1"", ""CDH18"", ""PARVA"", ""ITGA9"", ""CNTN5"", ""PTPRT"", ""ITPKB"", ""CTNNA2"", ""MYO10"", ""ITGAV"", ""ADGRL3"", ""SLC7A11"", ""DLG2"", ""ZBTB16"", ""CDH13"", ""STAT5B"", ""KIRREL1"", ""PTPRG"", ""NECTIN2"", ""GPC6"", ""BCL6"", ""RHOA"", ""TENM3"", ""ZMIZ1"", ""BMP7"", ""AP3B1"", ""PIP5K1C"", ""PRKCZ"", ""PAG1"", ""FER"", ""PTPRD"", ""ROBO2"", ""EFNA5"", ""CDH1"", 
""PIK3CA"", ""PTPRS"", ""ACVR1"", ""CXADR"", ""PKP2"", ""NRXN1"", ""CTNNA3"", ""PRKCA"", ""ACTN1"", ""TGFB2"", ""SLC7A1"", ""LRRC4C"", ""ABAT"", ""DENND6A"", ""NEXMIF"", ""ANK3"", ""ALCAM"", ""STXBP1"", ""NLGN4Y"", ""GRID2"", ""ROBO1"", ""FOXO3"", ""RUNX1"", ""MAD1L1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.116438356164384","0.776788505918261","0.197822021315103","0.294501976554511","1.2522557187984","67","c(""EXT1"", ""MIA3"", ""ZBTB1"", ""AP3D1"", ""HMGB1"", ""PPARA"", ""PRKCQ"", ""DLG1"", ""TNFSF13B"", ""ITPKB"", ""ZBTB16"", ""STAT5B"", ""BCL6"", ""RHOA"", ""ZMIZ1"", ""BMP7"", ""AP3B1"", ""PRKCZ"", ""PAG1"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.0449529975275689","0.688477311543142","0.321775918075361","0.286007919947451","1.31117433512149","106","c(""DAG1"", ""ZBTB1"", ""AP3D1"", ""FLCN"", ""HMGB1"", ""PRKD2"", ""DNM2"", ""PRKCQ"", ""JUP"", ""CRK"", ""TNFSF13B"", ""VAV3"", ""P4HB"", ""ITPKB"", ""CRKL"", ""UTRN"", ""MYO10"", ""ITGAV"", ""CDK6"", ""COL26A1"", ""ZBTB16"", ""CDH13"", ""STAT5B"", ""BCL6"", ""RHOA"", ""ZMIZ1"", ""BMP7"", ""AP3B1"", ""PRKCZ"", ""RIN2"", ""PTPRJ"", ""PIK3CA"", ""ATM"", ""PRKCA"", ""TGFB2"", ""SLC7A1"", ""TGM2"", ""RSU1"", ""ZFHX3"", ""DENND6A"", ""ANK3"", ""FOXO3"", ""RUNX1"", ""PTK2B"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.4","0.951436913598885","0.09754492162472","0.26537000611228","1.05603228678027","49","c(""ZBTB1"", ""AP3D1"", ""HMGB1"", ""PRKCQ"", ""TNFSF13B"", ""ITPKB"", ""MYO10"", ""ZBTB16"", ""STAT5B"", ""BCL6"", ""RHOA"", ""ZMIZ1"", ""BMP7"", ""AP3B1"", ""PRKCZ"", ""PIK3CA"", ""SLC7A1"", ""DENND6A"", ""ANK3"", ""FOXO3"", ""RUNX1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.119565217391304","0.788526237355491","0.190023305279108","0.348003213978662","1.29264438462515","38","c(""ZBTB1"", ""AP3D1"", ""HMGB1"", ""PRKCQ"", ""TNFSF13B"", ""ITPKB"", ""ZBTB16"", ""STAT5B"", ""BCL6"", ""RHOA"", ""ZMIZ1"", ""AP3B1"", ""PRKCZ"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.206989247311828","0.902931907818421","0.158514105424824","0.215057276383475","1.08486615887341","204","c(""DAG1"", ""MIA3"", ""ZBTB1"", ""ST6GAL1"", ""AP3D1"", ""FLCN"", ""YTHDF2"", ""HMGB1"", ""CASK"", ""PRKD2"", ""KANK1"", ""PPARA"", ""DNM2"", ""PRKCQ"", ""JUP"", ""CRK"", ""DLG1"", ""TNFSF13B"", ""PKD1"", ""VAV3"", ""P4HB"", ""ROCK2"", ""ITPKB"", ""CRKL"", ""UTRN"", ""FAF1"", ""MYO10"", ""ITGAV"", ""CDK6"", ""COL26A1"", ""ZBTB16"", ""CDH13"", ""STAT5B"", ""PTPRG"", ""BCL6"", ""RHOA"", ""CYTH1"", ""TENM3"", ""CLASP1"", ""PHLDB2"", ""ZMIZ1"", ""BMP7"", ""AP3B1"", ""ARHGAP6"", ""PRKCZ"", ""PRKX"", ""PAG1"", ""EFNA5"", ""CDH1"", ""RIN2"", ""WASHC2C"", ""PTPRJ"", ""PIK3CA"", ""ATM"", ""PRKCA"", ""TBCD"", ""TGFB2"", 
""SLC7A1"", ""ABAT"", ""TGM2"", ""RSU1"", ""ZFHX3"", ""DENND6A"", ""NEXMIF"", ""ANK3"", ""ABL2"", ""FOXO3"", ""RUNX1"", ""MAD1L1"", ""PTK2B"", ""ATXN3"", ""DLC1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.465","0.961418918918919","0.0956031492204301","0.224117888208576","1.00248492374347","93","c(""MIA3"", ""ZBTB1"", ""AP3D1"", ""YTHDF2"", ""HMGB1"", ""PPARA"", ""PRKCQ"", ""DLG1"", ""TNFSF13B"", ""ITPKB"", ""MYO10"", ""ZBTB16"", ""STAT5B"", ""PTPRG"", ""BCL6"", ""RHOA"", ""TENM3"", ""ZMIZ1"", ""BMP7"", ""AP3B1"", ""PRKCZ"", ""PAG1"", ""EFNA5"", ""CDH1"", ""PIK3CA"", ""PRKCA"", ""SLC7A1"", ""ABAT"", ""DENND6A"", ""NEXMIF"", ""ANK3"", ""FOXO3"", ""RUNX1"", ""MAD1L1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.982608695652174","1","0.0637845390312975","0.153412322384101","0.816558745570187","314","c(""DAG1"", ""MRC2"", ""CNTNAP2"", ""PRKD1"", ""FLCN"", ""RAB10"", ""SYNE2"", ""CDH3"", ""CASK"", ""SPECC1L"", ""PARVB"", ""HSP90B1"", ""PPFIBP1"", ""ANXA6"", ""DNM2"", ""HCK"", ""FLRT2"", ""BMPR2"", ""VSIG10"", ""DDR2"", ""ABI2"", ""ASH1L"", ""JUP"", ""DLG1"", ""TNFSF13B"", ""CDH18"", ""FRMD4A"", ""ANK2"", ""PARVA"", ""P4HB"", ""PARD3"", ""CTNNA2"", ""DST"", ""ITGAV"", ""GDI2"", ""ADGRL3"", ""CDC42EP4"", ""STRN"", ""CDH13"", ""IGF2R"", ""GIT2"", ""KIRREL1"", ""KAZN"", ""NECTIN2"", ""MPZL1"", ""PRKAR2A"", ""MAGI2"", ""MAP2K2"", ""SIPA1L3"", ""RHOA"", ""CYTH1"", ""CLASP1"", ""PHLDB2"", ""YWHAG"", ""LRP1"", 
""PIP5K1C"", ""PRKCZ"", ""SNTB1"", ""SYMPK"", ""BCAR1"", ""SVIL"", ""HEG1"", ""DNMBP"", ""PKD2"", ""EFNA5"", ""SIRT2"", ""CDH1"", ""NUMB"", ""CHP1"", ""PTPRJ"", ""PIK3CA"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.772486772486772","1","0.0711327399327894","0.182157916728508","0.903994907620558","182","c(""DAG1"", ""MRC2"", ""RAB10"", ""SYNE2"", ""CASK"", ""PARVB"", ""HSP90B1"", ""PPFIBP1"", ""ANXA6"", ""DNM2"", ""HCK"", ""FLRT2"", ""DDR2"", ""JUP"", ""TNFSF13B"", ""PARVA"", ""P4HB"", ""DST"", ""ITGAV"", ""GDI2"", ""CDH13"", ""IGF2R"", ""GIT2"", ""NECTIN2"", ""MPZL1"", ""PRKAR2A"", ""MAP2K2"", ""RHOA"", ""CLASP1"", ""PHLDB2"", ""YWHAG"", ""LRP1"", ""PIP5K1C"", ""SNTB1"", ""BCAR1"", ""SVIL"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.0653174608242943","0.688477311543142","0.287805130535564","0.261524590749752","1.26408042772636","149","c(""FCGRT"", ""DAG1"", ""KCNH5"", ""CNTNAP2"", ""NLGN1"", ""ROR1"", ""ABCC4"", ""KLRD1"", ""HMGB1"", ""DCC"", ""BMPR2"", ""HM13"", ""GHR"", ""INSR"", ""MET"", ""PKD1"", ""ABCA7"", ""GPC5"", ""ITGA9"", ""PTPRT"", ""P4HB"", ""ARSB"", ""ITGAV"", ""SORT1"", ""SLC7A11"", ""KCNJ3"", ""CDH13"", ""IGF2R"", ""NECTIN2"", ""GPC6"", ""MPZL1"", ""RAMP1"", ""RPS6KB1"", ""NRDC"", ""SLC4A4"")"
"11","","Adhesion","GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE","GO:0031226","The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]","0.0142560894708458","0.424942413333139","0.380730400722792","0.24588075438468","1.28661833342772","269","c(""ST3GAL5"", ""GPHN"", ""KCNH5"", ""CNTNAP2"", ""NLGN1"", ""CACNB2"", ""ROR1"", ""KLRD1"", ""DLG4"", ""ADCY9"", ""SLC19A1"", ""DCC"", ""PCDH15"", ""FLRT2"", ""TRAF3"", ""SEMA4B"", ""BMPR2"", ""VSIG10"", ""DDR2"", ""KCNK13"", ""GHR"", ""INSR"", ""KL"", ""ATP2B3"", ""SLC26A11"", ""MET"", ""KCNIP4"", ""NRXN3"", ""PKD1"", ""GPC5"", ""ABCC1"", ""CANX"", ""GOLM1"", ""ITGA9"", ""CNTN5"", ""PTPRT"", ""IFNGR2"", ""C5AR1"", ""SLMAP"", ""STX8"", ""EPHA6"", ""ITGAV"", ""ATP2B4"", ""ADGRL3"", ""SORCS2"", ""MAEA"", ""RYK"", ""NRG3"", ""SLC16A10"", ""KCNJ3"", ""IGF2R"", ""KIRREL1"", ""PTPRG"", ""GPC6"", ""MPZL1"", ""RAMP1"", 
""ATP10D"", ""KCNQ5"", ""TENM3"", ""SLC4A4"", ""LRP1"", ""SAMD8"", ""SLC24A4"", ""SLC27A1"", ""PKD2"", ""PTPRD"", ""NTRK3"", ""EFNA5"", ""CPT1C"", ""PTPRJ"", ""PTPRS"", ""ATRN"", ""ACVR1"", ""CXADR"", ""SLC24A3"", ""NRG1"", ""NRXN1"", ""IKBKB"", ""OSMR"", ""ABCC9"", ""KTN1"", ""SLC7A1"", ""LRRC4C"", ""SLC39A14"", ""TGM2"", ""GRM7"", ""PLPP1"", ""SLC7A8"")"
