"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.00022596457708515","0.0065899487571742","0.518848077743792","0.290612754110551","1.53004746679346","372","c(""ZBTB1"", ""NRXN1"", ""HSPH1"", ""PCDH7"", ""SDK2"", ""CDH23"", ""MIA3"", ""CTNND2"", ""PTPRT"", ""PTPRD"", ""SEMA4D"", ""GRID2"", ""DSCAM"", ""BCL6"", ""DCC"", ""CEBPB"", ""HSPD1"", ""PKD1"", ""IGSF11"", ""DNAJB6"", ""ILDR2"", ""CNTN5"", ""ITGA5"", ""PKHD1"", ""NLGN4X"", ""LRRC7"", ""PCDH11X"", ""CDH12"", ""CNTN1"", ""ETS1"", ""PALLD"", ""ITGA11"", ""MSN"", ""ITGAE"", ""PRKCQ"", ""PRKCZ"", ""RUNX1"", ""LAMA3"", ""GNAS"", ""KIF26B"", ""UNC5D"", ""NR4A3"", ""FOXO3"", ""PCDH9"", ""SKAP1"", ""LRRC4C"", ""VEGFA"", ""GCNT1"", ""ACVR1"", ""PLAUR"", ""CDH18"", ""NRXN3"", ""PIK3CA"", ""CARD11"", ""DLG1"", ""CDH8"", 
""FLOT2"", ""NTNG1"", ""UBASH3B"", ""TGFB1"", ""ITGA9"", ""PAG1"", ""ZBTB16"", ""THBS4"", ""BCL2"", ""MEGF11"", ""PPARA"", ""TENM1"", ""MYH9"", ""PCDHGA6"", ""DLG4"", ""FAT3"", ""CD58"", ""PCDH15"", ""ITGA1"", ""NPHP4"", ""CBLB"", ""PCDHGA10"", ""EFNA5"", ""CNTN4"", ""ADGRV1"", ""FBLIM1"", ""EZR"", ""TRAF6"", ""HSPB1"", ""PARVA"", ""ITGB5"", ""CTNNA2"", ""PIP5K1C"", ""LRFN5"", ""SLC7A1"", ""PTPRS"", ""RDX"", ""NLGN2"", ""GLI2"", ""ACTN1"", ""PLEKHA7"", ""CLDN12"", ""STAT5B"", ""CYFIP2"", ""VSIG10"", ""SOCS6"", ""ZMIZ1"", ""TRPV4"", ""NEGR1"", ""BMP6"", ""COL14A1"", ""PIEZO1"", ""CLSTN2"", ""STK10"", ""PTPRM"", 
""ABAT"", ""AP3D1"", ""CLSTN1"", ""KIRREL3"", ""JUP"", ""SMAD7"", ""VSIR"", ""PRNP"", ""NLGN4Y"", ""SOX13"", ""FYN"", ""ITGB1"", ""HMGB1"", ""TJP1"", ""CDH4"", ""CYP1B1"", ""NFAT5"", ""IL18"", ""CDH13"", ""NCAM2"", ""FER"", ""CELSR1"", ""RC3H1"", ""ROBO1"", ""EFNB2"", ""ST3GAL4"", ""PRKCA"", ""NFKBIZ"", ""DOCK8"", ""CXADR"", ""MEGF10"", ""PTPRG"", ""NRXN2"", ""TNFSF13B"", ""KIRREL1"", ""LYN"", ""ADGRL1"", ""PELI1"", ""YES1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.051948051948052","0.33109142513116","0.252961123069611","0.290472528375634","1.32882773670877","124","c(""ZBTB1"", ""HSPH1"", ""MIA3"", ""SEMA4D"", ""BCL6"", ""CEBPB"", ""HSPD1"", ""ILDR2"", ""ITGA5"", ""ETS1"", ""MSN"", ""PRKCQ"", ""PRKCZ"", ""RUNX1"", ""NR4A3"", ""FOXO3"", ""SKAP1"", ""GCNT1"", ""PIK3CA"", ""CARD11"", ""DLG1"", ""FLOT2"", ""PAG1"", ""ZBTB16"", ""PPARA"", ""CBLB"", ""EZR"", ""TRAF6"", ""SLC7A1"", ""GLI2"", ""STAT5B"", ""SOCS6"", ""ZMIZ1"", ""STK10"", ""AP3D1"", ""SMAD7"", ""VSIR"", ""PRNP"", ""SOX13"", ""FYN"", ""ITGB1"", ""HMGB1"", ""NFAT5"", ""IL18"", ""RC3H1"", ""EFNB2"", ""ST3GAL4"", ""NFKBIZ"", ""DOCK8"", ""TNFSF13B"", ""LYN"", ""PELI1"", ""YES1"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.0985915492957746","0.435250032303915","0.176694268938498","0.250208632047154","1.21157344126702","190","c(""ZBTB1"", ""FLCN"", ""HSPH1"", ""CALR"", ""CRK"", ""PREX1"", ""BCL6"", ""HSPD1"", ""ITGA5"", ""VIT"", ""ETS1"", ""PRKCQ"", ""PRKCZ"", ""RUNX1"", ""KIF26B"", ""EMP2"", ""RIN2"", ""DNM2"", ""NR4A3"", ""FOXO3"", ""SKAP1"", ""STK4"", ""FMN1"", ""VEGFA"", ""PLAUR"", ""PIK3CA"", ""CARD11"", ""FLOT2"", ""ZBTB16"", ""CYTH3"", ""VAV3"", ""EPHA4"", ""CRKL"", ""CD36"", ""TRAF6"", ""NID1"", ""TFE3"", ""ITGB1BP1"", ""SLC7A1"", ""DAG1"", ""P4HB"", ""GLI2"", ""STAT5B"", ""PTK2B"", ""DISC1"", ""EDIL3"", ""STX3"", ""ZFHX3"", ""ZMIZ1"", ""PIEZO1"", ""AP3D1"", ""COL26A1"", ""PRKD2"", ""JUP"", ""RREB1"", ""SMAD7"", ""VSIR"", 
""SOX13"", ""FYN"", ""MAP4K4"", ""HMGB1"", ""TJP1"", ""NFAT5"", ""IL18"", ""CDH13"", ""EFNB2"", ""ST3GAL4"", ""PRKCA"", ""NFKBIZ"", ""ATM"", ""DOCK8"", ""MEGF10"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.193011647254576","0.589374693799515","0.126253987849115","0.263898856777124","1.15635626595682","97","c(""ZBTB1"", ""HSPH1"", ""BCL6"", ""HSPD1"", ""ETS1"", ""PRKCQ"", ""PRKCZ"", ""RUNX1"", ""KIF26B"", ""NR4A3"", ""FOXO3"", ""SKAP1"", ""PLAUR"", ""PIK3CA"", ""CARD11"", ""FLOT2"", ""ZBTB16"", ""TRAF6"", ""SLC7A1"", ""GLI2"", ""STAT5B"", ""ZMIZ1"", ""PIEZO1"", ""AP3D1"", ""SMAD7"", ""VSIR"", ""SOX13"", ""FYN"", ""HMGB1"", ""TJP1"", ""NFAT5"", ""IL18"", ""EFNB2"", ""ST3GAL4"", ""NFKBIZ"", ""DOCK8"", ""MEGF10"", ""TNFSF13B"", ""LYN"", ""YES1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.065180102915952","0.366191466693724","0.231126709673834","0.318192007567906","1.31756578695458","76","c(""ZBTB1"", ""HSPH1"", ""BCL6"", ""HSPD1"", ""ETS1"", ""PRKCQ"", ""PRKCZ"", ""RUNX1"", ""NR4A3"", ""FOXO3"", ""SKAP1"", ""PIK3CA"", ""CARD11"", ""FLOT2"", ""ZBTB16"", ""TRAF6"", ""SLC7A1"", ""GLI2"", ""STAT5B"", ""ZMIZ1"", ""AP3D1"", ""VSIR"", ""SOX13"", ""FYN"", ""HMGB1"", ""NFAT5"", ""IL18"", ""EFNB2"", ""ST3GAL4"", ""NFKBIZ"", ""DOCK8"", ""TNFSF13B"", ""LYN"", ""YES1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.048048048048048","0.316808216472447","0.252961123069611","0.237831187172076","1.23322032682168","334","c(""ZBTB1"", ""FLCN"", ""HSPH1"", ""CALR"", ""CORO2B"", ""MIA3"", ""CRK"", ""SEMA4D"", ""PREX1"", ""SEMA5A"", ""DSCAM"", ""BCL6"", ""CEBPB"", ""HSPD1"", ""PKD1"", ""ILDR2"", ""ITGA5"", ""PKHD1"", ""VIT"", ""PDE3B"", ""ETS1"", ""PRKCQ"", ""PRKCZ"", ""LIMCH1"", ""DLC1"", ""RUNX1"", ""LAMA3"", ""KIF26B"", ""EMP2"", ""RIN2"", ""DNM2"", ""PLXNC1"", ""NR4A3"", ""FOXO3"", ""SKAP1"", ""STK4"", ""CASK"", ""FMN1"", ""SERPINE1"", ""VEGFA"", ""PLAUR"", ""SLC9A1"", ""PIK3CA"", ""CARD11"", ""DLG1"", ""FLOT2"", ""UBASH3B"", ""APOD"", ""TGFB1"", ""PAG1"", ""ZBTB16"", ""BCL2"", ""PPARA"", ""CYTH3"", ""PIK3R1"", ""VAV3"", ""BCAS3"", 
""CBLB"", ""EPHA4"", ""EFNA5"", ""SEMA3E"", ""SPRY4"", ""CRKL"", ""CD36"", ""TRAF6"", ""KANK1"", ""NID1"", ""TFE3"", ""ITGB1BP1"", ""SLC7A1"", ""DAG1"", ""PEAK1"", ""P4HB"", ""RDX"", ""GLI2"", ""PRLR"", ""STAT5B"", ""PTK2B"", ""DISC1"", ""SOCS6"", ""EDIL3"", ""STX3"", ""ZFHX3"", ""ZMIZ1"", ""TRPV4"", ""BMP6"", ""PIEZO1"", ""ABAT"", ""AP3D1"", ""COL26A1"", ""DLL1"", ""PRKD2"", ""JUP"", ""RREB1"", ""SMAD7"", ""VSIR"", ""PRNP"", ""SOX13"", ""FYN"", ""MAP4K4"", ""HMGB1"", ""TJP1"", ""CYP1B1"", ""NFAT5"", ""IL18"", ""CDH13"", ""RC3H1"", ""WASHC2C"", ""EFNB2"", ""ST3GAL4"", ""DUSP1"", ""PRKCA"", ""NFKBIZ"", ""PLXNA2"", 
""ATM"", ""DOCK8"", ""MEGF10"", ""PTPRG"", ""GPM6B"", ""TNFSF13B"", ""LYN"", ""PELI1"", ""YES1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.266244057052298","0.673702647876248","0.101713902282311","0.229812295447949","1.08907934305664","165","c(""ZBTB1"", ""HSPH1"", ""MIA3"", ""BCL6"", ""CEBPB"", ""HSPD1"", ""ILDR2"", ""PKHD1"", ""ETS1"", ""PRKCQ"", ""PRKCZ"", ""RUNX1"", ""KIF26B"", ""NR4A3"", ""FOXO3"", ""SKAP1"", ""VEGFA"", ""PLAUR"", ""PIK3CA"", ""CARD11"", ""DLG1"", ""FLOT2"", ""UBASH3B"", ""TGFB1"", ""PAG1"", ""ZBTB16"", ""PPARA"", ""CBLB"", ""EFNA5"", ""TRAF6"", ""SLC7A1"", ""RDX"", ""GLI2"", ""STAT5B"", ""SOCS6"", ""ZMIZ1"", ""TRPV4"", ""BMP6"", ""PIEZO1"", ""ABAT"", ""AP3D1"", ""SMAD7"", ""VSIR"", ""PRNP"", ""SOX13"", ""FYN"", ""HMGB1"", ""TJP1"", ""NFAT5"", ""IL18"", ""RC3H1"", ""EFNB2"", ""ST3GAL4"", ""PRKCA"", ""NFKBIZ"", ""DOCK8"", 
""MEGF10"", ""PTPRG"", ""TNFSF13B"", ""LYN"", ""PELI1"", ""YES1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.438718662952646","0.811031197129517","0.0673623868166279","0.186325806648245","1.00477475958517","512","c(""HSP90B1"", ""HSPA5"", ""HYOU1"", ""FLCN"", ""PRKD1"", ""CNTNAP2"", ""TIAM1"", ""HSPA1A"", ""CALR"", ""CORO2B"", ""CTNND2"", ""HSPA8"", ""MRC2"", ""SIPA1L3"", ""SH3KBP1"", ""ARHGAP26"", ""ANXA6"", ""CBL"", ""PDIA3"", ""LIN7A"", ""IGSF11"", ""FLRT2"", ""ILDR2"", ""ITGA5"", ""SNAP23"", ""CDH12"", ""SPTBN4"", ""TRPC6"", ""PALLD"", ""ITGA11"", ""MSN"", ""WNK3"", ""MPDZ"", ""SGSM3"", ""TNS1"", ""AVIL"", ""PRKCZ"", ""DLC1"", ""SPECC1L"", ""SYNPO"", ""DNM2"", ""CCDC85C"", ""HSPA1B"", ""PCDH9"", ""SKAP1"", ""DIXDC1"", ""ARHGAP31"", ""CASK"", ""BCAR1"", ""FMN1"", ""LASP1"", ""VEGFA"", ""PLAUR"", ""CDH18"", ""CDC42EP4"", 
""SLC9A1"", ""PARD3"", ""PIK3CA"", ""DLG1"", ""CDH8"", ""FLOT2"", ""PARVB"", ""HCK"", ""ACTN2"", ""HSPA9"", ""PI4KA"", ""CYTH3"", ""MYH9"", ""SHROOM2"", ""PIK3R1"", ""EPB41L3"", ""ITGA1"", ""CGNL1"", ""SNTB1"", ""NPHP4"", ""YWHAG"", ""SYNM"", ""EPHA4"", ""TCHP"", ""TNS2"", ""EFNA5"", ""TNK2"", ""FBLIM1"", ""CCND1"", ""RHOB"", ""EZR"", ""CAV2"", ""SPRY4"", ""PLXDC1"", ""HSPB1"", ""PARVA"", ""ITGB5"", ""CTNNA2"", ""PIP5K1C"", ""ITGB1BP1"", ""ZFYVE21"", ""DAG1"", ""MPP7"", ""PEAK1"", ""SCARB2"", ""P4HB"", ""RDX"", ""ACTN1"", ""PLEKHA7"", ""CLDN12"", ""TSPAN9"", ""MPZL1"", ""GNA13"", ""PARD6G"", ""PTK2B"", ""SLC8A1"", 
""GIT2"", ""VSIG10"", ""SIRT2"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.673590504451039","0.955624948639987","0.0843144320642653","-0.172447607829308","-0.946040236609912","318","c(""PIP5K1A"", ""REXO2"", ""NPM1"", ""LIMA1"", ""PABPC1"", ""HNRNPK"", ""RPL18"", ""RPLP0"", ""RPL3"", ""RPS18"", ""MDC1"", ""CD46"", ""MTF2"", ""DMD"", ""RPS8"", ""KIF23"", ""YWHAE"", ""LPXN"", ""PDCD6IP"", ""ADAM10"", ""RPS9"", ""RPL9"", ""RPS3"", ""CD99L2"", ""ERBIN"", ""DCAF6"", ""USP33"", ""RPS16"", ""JAK1"", ""LMLN"", ""EPB41L2"", ""PHLDB2"", ""RPS11"", ""RPS17"", ""RPL10A"", ""RPL7A"", ""PCBP2"", ""PFN1"", ""RPL5"", ""RPS2"", ""RPS5"", ""RPL19"", ""AFAP1"", ""ACTN4"", ""PRAG1"", ""RPS4X"", ""FHL2"", ""CPNE3"", ""PPIA"", ""RPS19"", ""RPS14"", ""RPS3A"", ""CD81"", ""PTK2"", ""RPL13A"", ""GNA12"", ""RPS13"", 
""RPL27"", ""AMBRA1"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.00212294526757507","0.0354533022534129","0.431707695803346","0.286092573788396","1.45568865516759","282","c(""HSPA5"", ""NRXN1"", ""CRYAB"", ""IQGAP2"", ""GPRC5B"", ""PDIA4"", ""CNTNAP2"", ""GPC5"", ""KCNB1"", ""COL23A1"", ""LRFN2"", ""CALR"", ""HSP90AB1"", ""MMP16"", ""PTPRT"", ""DCC"", ""HSPD1"", ""PKD1"", ""TFPI"", ""TMC1"", ""PDIA3"", ""LRP8"", ""ITGA5"", ""PKHD1"", ""NLGN4X"", ""ITGA11"", ""MSN"", ""KCNH5"", ""GPC3"", ""ITGAE"", ""TNS1"", ""MSR1"", ""GRIN2B"", ""PPFIA2"", ""EMP2"", ""UNC5D"", ""KCNQ1"", ""ABCA7"", ""PCSK6"", ""RTN4RL1"", ""ECE1"", ""VEGFA"", ""LRP4"", ""ROR2"", ""CLPTM1"", ""PLAUR"", ""SLC9A1"", ""TGFB1"", ""ITGA9"", ""CD58"", ""ITGA1"", ""SCARA5"", ""ENO2"", ""NRDC"", ""FCGRT"", ""EPHA4"", 
""EFNA5"", ""ADGRV1"", ""CD36"", ""LRRC8A"", ""ENTPD6"", ""ITGB5"", ""LRFN5"", ""DAG1"", ""EPHA5"", ""MAP3K5"", ""KLRD1"", ""ENOX1"", ""SCARB1"", ""P4HB"", ""NLGN2"", ""PRLR"")"
