,show,Aggregated,pathway,gs_number,gs_description,pval,padj,log2err,ES,NES,size,leadingEdge
1,,Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],2.94E-05,0.003322389,0.575610261,-0.268370043,-1.471979661,387,"c(""IL7"", ""PAG1"", ""BCL6"", ""PLEK"", ""DUSP10"", ""RIPK2"", ""ACTN1"", ""PTPN2"", ""HSPD1"", ""ALCAM"", ""LYN"", ""JAK3"", ""CD83"", ""DNAJB6"", ""TMEM131L"", ""LILRB1"", ""ATP2C1"", ""ZBTB1"", ""PLAUR"", ""PIEZO1"", ""HSPH1"", ""CD58"", ""MAD1L1"", ""STK10"", ""MSN"", ""GCNT1"", ""GLDN"", ""PRKCA"", ""IL1RAP"", ""LIMS1"", ""NOTCH1"", ""BAIAP2"", ""BCL2"", ""NFAT5"", ""TNFSF13B"", ""SOCS6"", ""HSPB1"", ""GTPBP4"", ""NCK2"", ""PPIA"", ""PIK3R6"", ""RUNX3"", ""NOD2"", ""MBP"", ""CXADR"", ""GNAS"", ""FCHO1"", ""ITGAL"", ""FLNA"", ""IL18"", ""HMCN1"", ""ADAM9"", ""SLC7A1"", ""DLG4"", ""LGALS9"", ""NFKBIZ"", 
""FLOT2"", ""GPNMB"", ""ITGAM"", ""TWSG1"", ""ZDHHC2"", ""ITGA4"", ""TRAF6"", ""CDH20"", ""VEGFA"", ""PKD1"", ""PTPRM"", ""ANXA1"", ""CADM1"", ""ITGA5"", ""PIP5K1C"", ""TENM1"", ""FXYD5"", ""IL15"", ""PTPRC"", ""COL19A1"", ""RHOA"", ""CDH13"", ""SDK2"", ""CD300A"", ""NCAM2"", ""LPP"", ""EXT1"")"
2,,Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.000445164,0.020620011,0.498493109,-0.308715684,-1.583870996,164,"c(""IL7"", ""PAG1"", ""BCL6"", ""DUSP10"", ""RIPK2"", ""PTPN2"", ""HSPD1"", ""LYN"", ""JAK3"", ""CD83"", ""TMEM131L"", ""LILRB1"", ""ZBTB1"", ""HSPH1"", ""MAD1L1"", ""STK10"", ""MSN"", ""GCNT1"", ""NFAT5"", ""TNFSF13B"", ""SOCS6"", ""NCK2"", ""PIK3R6"", ""RUNX3"", ""NOD2"", ""FCHO1"", ""ITGAL"", ""IL18"", ""SLC7A1"", ""LGALS9"", ""NFKBIZ"", ""FLOT2"", ""GPNMB"", ""TWSG1"", ""ITGA4"", ""TRAF6"", ""ANXA1"", ""ITGA5"", ""IL15"", ""PTPRC"", ""RHOA"", ""CD300A"", ""EXT1"")"
3,,Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.000338201,0.017027705,0.498493109,-0.299117202,-1.590073702,202,"c(""IL7"", ""BCL6"", ""DUSP10"", ""RIPK2"", ""HSPD1"", ""LYN"", ""JAK3"", ""CD83"", ""LILRB1"", ""P4HB"", ""ZBTB1"", ""PLAUR"", ""FMN1"", ""PIEZO1"", ""HSPH1"", ""NEDD9"", ""CYTH3"", ""APBB1IP"", ""CDK6"", ""PRKCA"", ""LIMS1"", ""NFAT5"", ""TNFSF13B"", ""NCK2"", ""EMP2"", ""TSC1"", ""PIK3R6"", ""RUNX3"", ""NOD2"", ""ITGB1BP1"", ""FCHO1"", ""FLNA"", ""IL18"", ""PTPRJ"", ""ADAM9"", ""SLC7A1"", ""LGALS9"", ""NFKBIZ"", ""FLOT2"", ""ITGA4"", ""TRAF6"", ""COL26A1"", ""VEGFA"", ""VAV3"", ""ANXA1"", ""PRKD2"", ""ITGA5"", ""IL15"", ""PTPRC"", ""DISC1"", ""GSK3B"", ""RHOA"", ""CDH13"")"
4,,Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.01388822,0.165799573,0.380730401,-0.285790251,-1.407855468,124,"c(""IL7"", ""BCL6"", ""DUSP10"", ""RIPK2"", ""HSPD1"", ""LYN"", ""JAK3"", ""CD83"", ""LILRB1"", ""ZBTB1"", ""PLAUR"", ""PIEZO1"", ""HSPH1"", ""NFAT5"", ""TNFSF13B"", ""NCK2"", ""PIK3R6"", ""RUNX3"", ""NOD2"", ""FCHO1"", ""IL18"", ""SLC7A1"", ""LGALS9"", ""NFKBIZ"", ""FLOT2"", ""ITGA4"", ""TRAF6"", ""ANXA1"", ""IL15"", ""PTPRC"", ""RHOA"")"
5,,Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.004981386,0.09777025,0.407017919,-0.313580801,-1.51832524,107,"c(""IL7"", ""BCL6"", ""DUSP10"", ""RIPK2"", ""HSPD1"", ""LYN"", ""JAK3"", ""CD83"", ""LILRB1"", ""ZBTB1"", ""HSPH1"", ""NFAT5"", ""TNFSF13B"", ""NCK2"", ""PIK3R6"", ""RUNX3"", ""NOD2"", ""FCHO1"", ""IL18"", ""SLC7A1"", ""LGALS9"", ""NFKBIZ"", ""FLOT2"", ""ITGA4"", ""TRAF6"", ""ANXA1"", ""IL15"", ""PTPRC"", ""RHOA"")"
6,,Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.000274871,0.015157191,0.498493109,-0.250239318,-1.375431414,353,"c(""IL7"", ""PLXNA1"", ""PAG1"", ""BCL6"", ""DUSP10"", ""RIPK2"", ""PTPN2"", ""HSPD1"", ""LYN"", ""JAK3"", ""CD83"", ""TMEM131L"", ""LILRB1"", ""P4HB"", ""ZBTB1"", ""PLAUR"", ""FMN1"", ""PIEZO1"", ""HSPH1"", ""NEDD9"", ""MAD1L1"", ""CYTH3"", ""APBB1IP"", ""CDK6"", ""PRKCA"", ""LIMS1"", ""NOTCH1"", ""PPP1R12A"", ""BCL2"", ""NFAT5"", ""PLXNC1"", ""TNFSF13B"", ""PPP1CB"", ""SOCS6"", ""GTPBP4"", ""NCK2"", ""EMP2"", ""TSC1"", ""PIK3R6"", ""RUNX3"", ""NOD2"", ""MBP"", ""ITGB1BP1"", ""FCHO1"", ""ABL2"", ""FLNA"", ""IL18"", ""PTPRJ"", ""ADAM9"", ""SLC7A1"", ""NUAK1"", ""LGALS9"", ""NFKBIZ"", ""FLOT2"", ""GPNMB"", 
""CYTIP"", ""TWSG1"", ""ZDHHC2"", ""FAF1"", ""ITGA4"", ""TRAF6"", ""COL26A1"", ""VEGFA"", ""PKD1"", ""VAV3"", ""ANXA1"", ""PRKD2"", ""ITGA5"", ""FXYD5"", ""IL15"", ""PTPRC"", ""DISC1"", ""GSK3B"", ""RHOA"", ""CDH13"", ""CD300A"")"
7,,Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.003452534,0.08076838,0.431707696,-0.273057645,-1.442428694,197,"c(""IL7"", ""PAG1"", ""BCL6"", ""DUSP10"", ""RIPK2"", ""PTPN2"", ""HSPD1"", ""LYN"", ""JAK3"", ""CD83"", ""TMEM131L"", ""LILRB1"", ""ZBTB1"", ""PLAUR"", ""PIEZO1"", ""HSPH1"", ""MAD1L1"", ""PRKCA"", ""NOTCH1"", ""NFAT5"", ""TNFSF13B"", ""SOCS6"", ""GTPBP4"", ""NCK2"", ""PIK3R6"", ""RUNX3"", ""NOD2"", ""MBP"", ""FCHO1"", ""IL18"", ""SLC7A1"", ""LGALS9"", ""NFKBIZ"", ""FLOT2"", ""GPNMB"", ""TWSG1"", ""ZDHHC2"", ""ITGA4"", ""TRAF6"", ""VEGFA"", ""ANXA1"", ""FXYD5"", ""IL15"", ""PTPRC"", ""RHOA"", ""CD300A"")"
8,,Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.001572181,0.04987905,0.455059867,-0.228125989,-1.280118271,451,"c(""HSPA1A"", ""FLT1"", ""ARHGAP26"", ""P2RX7"", ""LCP1"", ""ACTN1"", ""ALCAM"", ""LYN"", ""PKD2"", ""MYO1E"", ""HSP90B1"", ""HSPA8"", ""P4HB"", ""PLAUR"", ""FMN1"", ""SNAP23"", ""ARHGAP31"", ""NEDD9"", ""HSPA1B"", ""MSN"", ""CYTH3"", ""APBB1IP"", ""G3BP1"", ""SLC8A1"", ""LIMS1"", ""YWHAH"", ""NOTCH1"", ""PDIA3"", ""PPP1R12A"", ""BAIAP2"", ""TES"", ""HSPA5"", ""TNFSF13B"", ""NIBAN2"", ""YWHAG"", ""VASP"", ""TGFBR1"", ""PPP1CB"", ""HSPB1"", ""SDCBP"", ""PPIA"", ""HCK"", ""CXADR"", ""ITGB1BP1"", ""LAP3"", ""HSPA9"", ""FLNA"", ""HMCN1"", ""PTPRJ"", ""ADAM9"", ""MPP1"", ""ENG"", ""EIF4G2"", ""FLOT2"", ""NPM1"", 
""CLTC"", ""UBA1"", ""LIMD1"", ""ITGA4"", ""CDH20"", ""VEGFA"", ""SORBS3"", ""PTPRM"", ""TRPC6"", ""DST"", ""GDI2"", ""PXN"", ""RPS2"", ""ANXA1"", ""RPL37A"", ""FLNB"", ""ACTR3"", ""CADM1"", ""ITGA5"", ""PIP5K1C"", ""TIAM1"", ""EPB41L2"", ""TNS1"", ""PTPRC"", ""RHOA"", ""CDH13"", ""DOCK7"", ""LPP"", ""ARPC2"", ""ANXA6"", ""AHNAK"", ""PTPN12"", ""TJP2"", ""MPRIP"", ""RSU1"", ""SPECC1L"", ""APP"")"
9,,Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",5.71E-05,0.00575179,0.557332239,-0.287832996,-1.529114082,280,"c(""HSPA1A"", ""FLT1"", ""ARHGAP26"", ""LCP1"", ""ACTN1"", ""ALCAM"", ""HSP90B1"", ""HSPA8"", ""P4HB"", ""PLAUR"", ""SNAP23"", ""ARHGAP31"", ""NEDD9"", ""HSPA1B"", ""MSN"", ""APBB1IP"", ""G3BP1"", ""LIMS1"", ""PDIA3"", ""PPP1R12A"", ""TES"", ""HSPA5"", ""TNFSF13B"", ""YWHAG"", ""VASP"", ""PPP1CB"", ""HSPB1"", ""SDCBP"", ""PPIA"", ""HCK"", ""ITGB1BP1"", ""LAP3"", ""HSPA9"", ""FLNA"", ""HMCN1"", ""ADAM9"", ""ENG"", ""FLOT2"", ""NPM1"", ""CLTC"", ""LIMD1"", ""ITGA4"", ""SORBS3"", ""DST"", ""GDI2"", ""PXN"", ""RPS2"", ""ANXA1"", ""RPL37A"", ""FLNB"", ""ACTR3"", ""ITGA5"", ""PIP5K1C"", ""EPB41L2"", ""TNS1"", 
""PTPRC"", ""RHOA"", ""CDH13"", ""DOCK7"", ""LPP"", ""ARPC2"", ""ANXA6"", ""AHNAK"", ""PTPN12"", ""MPRIP"", ""RSU1"")"
10,,Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.862222222,0.9889943,0.024567801,0.1836485,0.838999001,293,"c(""CSF3R"", ""IL2RA"", ""CSF2RA"", ""FCGRT"", ""INSR"", ""TLR4"", ""PDGFC"", ""MRC1"", ""TYROBP"", ""TRPV1"", ""CD99L2"", ""CD302"", ""IL6R"", ""VAMP4"", ""CSF1R"", ""HLA-DMA"", ""CD74"", ""ANK3"", ""ANXA4"", ""ITGB5"", ""DIP2A"", ""SDC3"", ""HLA-E"", ""MR1"", ""LY75"", ""MAP3K5"", ""IL13RA1"", ""ABCG1"", ""ENTPD6"", ""CLEC4E"", ""HLA-DPB1"", ""INTU"", ""FCER1G"", ""CD84"", ""KLRD1"", ""AXL"", ""CD4"", ""LPAR1"", ""HLA-DRB1"", ""FAM234A"", ""CR1"", ""ATP5F1A"", ""CD86"", ""HLA-DPA1"", ""ABCA1"", ""HLA-DRA"", ""SLC7A11"", ""MSR1"", ""SDC2"", ""CD59"", ""SULF1"", ""LILRB2"", ""TNFRSF14"", ""NEO1"", ""SORT1"", 
""ENOX2"", ""BMPR2"", ""CLEC2D"", ""LEPR"", ""CLCN3"")"
