"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.0315758381964821","0.444097810864919","0.321775918075361","-0.240366815493962","-1.24729617217607","317","c(""FN1"", ""ITGA5"", ""ITGA1"", ""NEGR1"", ""ACTG1"", ""DLG2"", ""VMP1"", ""CDH11"", ""ITCH"", ""NEO1"", ""EXT1"", ""IGFBP2"", ""FNDC3A"", ""ITGA10"", ""CTNNA1"", ""KIFAP3"", ""ITGAV"", ""TJP2"", ""MYL9"", ""LAMA3"", ""HMCN1"", ""ITGB1"", ""TLN2"", ""LIMS1"", ""PDGFRA"", ""ITGA3"", ""LAMA5"", ""STAT5B"", ""GLMN"", ""NEXN"", ""CNTN4"", ""ALCAM"", ""CTNND1"", ""ACTB"", ""PDLIM5"", ""RHOA"", ""FSTL3"", ""NFKBIZ"", ""TLN1"", ""FAT4"", ""NPHP1"", ""ASTN2"", ""NPTN"", ""ITGA11"", ""JAK1"", ""NTN1"", ""FLNA"", ""CTNNA3"", ""PDLIM1"", ""RC3H1"", ""IL6ST"", ""DAB1"", ""CD47"", ""ANXA2"", ""TENM1"", ""RUNX1"", ""NPNT"", 
""MYH9"", ""ITGA8"", ""CD44"", ""ITGB3"", ""MAPK14"", ""JAK2"", ""RIPOR2"", ""DENND6A"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.243512974051896","0.720209059233449","0.122679189568808","0.255278586537739","1.12146290491774","96","c(""HSPH1"", ""MSN"", ""FLOT2"", ""RUNX3"", ""HSPD1"", ""PPARA"", ""NR4A3"", ""FYN"", ""MALT1"", ""TRAF6"", ""LEF1"", ""ITPKB"", ""BCL6"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.0321551952678137","0.444097810864919","0.321775918075361","-0.277484399676684","-1.31637020849795","157","c(""FN1"", ""ITGA5"", ""NEDD9"", ""ABI3BP"", ""IGFBP2"", ""KIFAP3"", ""ITGAV"", ""PLEKHA2"", ""LIMS1"", ""ITGA3"", ""STAT5B"", ""EDIL3"", ""RHOA"", ""FSTL3"", ""NFKBIZ"", ""VAV3"", ""JAK1"", ""FLNA"", ""CDK6"", ""IL6ST"", ""ANGPT1"", ""EPHA4"", ""UTRN"", ""CD47"", ""DOCK5"", ""IFT74"", ""DAG1"", ""RUNX1"", ""NPNT"", ""TGM2"", ""ARPC2"", ""COL26A1"", ""CD44"", ""RAC1"", ""JAK2"", ""DENND6A"", ""ECM2"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.0948616600790514","0.610339057261271","0.204294756516886","0.306542394416959","1.28330616132918","75","c(""HSPH1"", ""PIEZO1"", ""FLOT2"", ""RUNX3"", ""HSPD1"", ""NR4A3"", ""FYN"", ""MALT1"", ""TRAF6"", ""LEF1"", ""ITPKB"", ""BCL6"", ""MAGI1"", ""ZBTB1"", ""AFDN"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0256341174940064","0.404047056411104","0.352487857583619","0.360941980234379","1.44437116143775","57","c(""HSPH1"", ""FLOT2"", ""RUNX3"", ""HSPD1"", ""NR4A3"", ""FYN"", ""MALT1"", ""TRAF6"", ""LEF1"", ""ITPKB"", ""BCL6"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0224554224857341","0.380523698182536","0.352487857583619","-0.25067039543125","-1.28478353779396","289","c(""FN1"", ""ITGA5"", ""ACTG1"", ""TNC"", ""PLXNA4"", ""NEDD9"", ""ITCH"", ""WDPCP"", ""COL1A1"", ""TGFBI"", ""ABI3BP"", ""THBS1"", ""IGFBP2"", ""KIFAP3"", ""ITGAV"", ""LAMA3"", ""MACF1"", ""PLEKHA2"", ""DAPK3"", ""LIMS1"", ""ITGA3"", ""LAMA5"", ""STAT5B"", ""GLMN"", ""EDIL3"", ""RHOA"", ""FSTL3"", ""LAMA4"", ""ROCK2"", ""NFKBIZ"", ""VAV3"", ""JAK1"", ""NUAK1"", ""ABL2"", ""FLNA"", ""CDK6"", ""RC3H1"", ""IL6ST"", ""ANGPT1"", ""EPHA4"", ""PPP2R1A"", ""DAB1"", ""UTRN"", ""CD47"", ""DOCK5"", ""IFT74"", ""DAG1"", ""RUNX1"", ""NPNT"", ""TGM2"", ""ARPC2"", ""COL26A1"", ""CD44"", ""RAC1"", ""MAPK14"", ""JAK2"", ""RIPOR2"", 
""DENND6A"", ""ECM2"", ""MINK1"", ""VCL"", ""ST6GAL1"", ""NCK1"", ""NF1"", ""JAG1"", ""CD164"", ""COL8A1"", ""FAF1"", ""PTPN11"", ""ATP5F1B"", ""HLA-A"", ""ADAM19"", ""NCK2"", ""PKD1"", ""ANK3"", ""RSU1"", ""NRP1"", ""WASHC2C"", ""SLK"", ""NF2"", ""PRKD2"", ""FOXC2"", ""ZMIZ1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0509188221656322","0.556659886075523","0.321775918075361","0.287049633425079","1.32530077402382","132","c(""HSPH1"", ""PIEZO1"", ""FLOT2"", ""VEGFA"", ""RUNX3"", ""HSPD1"", ""PPARA"", ""NR4A3"", ""FYN"", ""MALT1"", ""TRAF6"", ""LEF1"", ""MBP"", ""ITPKB"", ""CDH1"", ""ABAT"", ""PTPRG"", ""BCL6"", ""MAGI1"", ""CEBPB"", ""GTPBP4"", ""ZBTB1"", ""TENM3"", ""ASS1"", ""AFDN"", ""AKNA"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.0193879753524675","0.343924672065287","0.352487857583619","-0.232057406885354","-1.239667743062","460","c(""ITGA5"", ""ITGA1"", ""ACTG1"", ""TNC"", ""DST"", ""AHNAK"", ""TNS1"", ""SVIL"", ""PTPN12"", ""VIM"", ""CDH11"", ""NEDD9"", ""ABI2"", ""DMD"", ""FRMD4A"", ""PRKCI"", ""PDLIM7"", ""ZYX"", ""ARHGAP31"", ""CTNNA1"", ""ITGAV"", ""TJP2"", ""HMCN1"", ""GAB1"", ""DES"", ""LRP1"", ""ITGB1"", ""SNTB2"", ""PARVB"", ""SAV1"", ""TLN2"", ""LIMS1"", ""ITGA3"", ""PFN1"", ""MAP2K2"", ""NEXN"", ""ALCAM"", ""WTIP"", ""CTNND1"", ""ACTB"", ""PNN"", ""PDLIM5"", ""RHOA"", ""RPLP1"", ""TLN1"", ""CTTN"", ""PIKFYVE"", ""NPHP1"", ""TGFBR1"", ""MRC2"", ""ITGA11"", ""AFAP1"", ""JAK1"", ""MAPK1"", ""FLNA"", ""ERBIN"", ""TNS3"", ""CTNNA3"", 
""PDLIM1"", ""NCKAP1"", ""RPS7"", ""EPHA4"", ""RAP1B"", ""PDGFRB"", ""YWHAB"", ""SDCCAG8"", ""ITGBL1"", ""FHL1"", ""ANXA2"", ""FRMD6"", ""DAG1"", ""PPFIBP1"", ""YBX3"", ""MYH9"", ""TGM2"", ""PAK2"", ""MPRIP"", ""ARPC2"", ""ITGA8"", ""CD44"", ""RAC1"", ""YWHAH"", ""WDR1"", ""ITGB3"", ""ACTR2"", ""PARD3B"", ""JAK2"", ""USP53"", ""DDX58"", ""LIMA1"", ""AKAP12"", ""MPP7"", ""ACTN1"", ""CHP1"", ""HSPG2"", ""CD2AP"", ""VCL"", ""RPS11"", ""SHROOM3"", ""NCK1"", ""ADGRE5"", ""JAG1"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.00311212221661462","0.158868720113985","0.431707695803346","-0.271944257143951","-1.3967177577743","291","c(""ITGA5"", ""ITGA1"", ""ACTG1"", ""TNC"", ""DST"", ""AHNAK"", ""TNS1"", ""SVIL"", ""PTPN12"", ""VIM"", ""NEDD9"", ""DMD"", ""PDLIM7"", ""ZYX"", ""ARHGAP31"", ""CTNNA1"", ""ITGAV"", ""HMCN1"", ""LRP1"", ""ITGB1"", ""SNTB2"", ""PARVB"", ""TLN2"", ""LIMS1"", ""ITGA3"", ""PFN1"", ""MAP2K2"", ""NEXN"", ""ALCAM"", ""ACTB"", ""RHOA"", ""RPLP1"", ""TLN1"", ""CTTN"", ""MRC2"", ""ITGA11"", ""AFAP1"", ""JAK1"", ""MAPK1"", ""FLNA"", ""ERBIN"", ""TNS3"", ""PDLIM1"", ""NCKAP1"", ""RPS7"", ""PDGFRB"", ""YWHAB"", ""ITGBL1"", ""FHL1"", ""DAG1"", ""PPFIBP1"", ""MYH9"", ""TGM2"", ""MPRIP"", ""ARPC2"", ""ITGA8"", ""CD44"", ""RAC1"", 
""ITGB3"", ""ACTR2"", ""JAK2"", ""LIMA1"", ""AKAP12"", ""ACTN1"", ""CHP1"", ""HSPG2"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.211297071129707","0.69882962682524","0.136490437780413","0.221573094124928","1.10177172239817","235","c(""HSP90AB1"", ""MSN"", ""SLC7A5"", ""KLRD1"", ""VEGFA"", ""HSPD1"", ""SLC1A1"", ""TGFBR3"", ""NLGN4Y"", ""BCAM"", ""CLCN3"", ""GPC4"", ""ARSB"", ""HSPA5"", ""IL1R1"", ""NOTCH3"", ""PTPRK"", ""BMPR1A"", ""LRRC8A"", ""CD58"", ""EGFR"", ""CLMP"", ""MBP"", ""ENPEP"", ""ROBO2"", ""CD59"", ""CRYAB"", ""TMC1"", ""KCNQ3"", ""INSR"", ""TSPAN14"", ""CLPTM1"", ""GSR"", ""MSR1"", ""NRDC"", ""ITGA7"", ""LEPR"", ""ROBO1"", ""NCAM1"", ""TRPC4"", ""APP"", ""KCNJ3"", ""CLU"", ""C3"", ""FGFR2"", ""SLC1A3"", ""GPC6"", ""NRXN1"", ""KCNB1"", ""RALA"")"
