geneSym,FC_ADvsNCI,LOG10 FC,t_ADvsNCI,p_ADvsNCI,,,,,,,
PJA1,0.881485527,-0.054784814,-4.080239709,0.004688268,,,,,,,
IL1RAP,0.785929982,-0.104616143,-4.069644431,0.004751358,,,,,,,
CLN6,0.699002201,-0.155521457,-3.93580627,0.005633557,,,,,,,
SLC7A8,0.707387145,-0.150342837,-3.689679322,0.007759885,,,,,,,
UAP1L1,1.155042064,0.062597801,3.611744802,0.008604173,,,,,,,
IMP3,0.817137918,-0.087704636,-3.586323256,0.0089007,,,,,,,
APOA4,0.417606562,-0.379232685,-3.494388978,0.010068893,,,,,,,
HSD11B1,1.255126779,0.098687596,3.49248915,0.010094716,,,,,,,
CHAC2,0.898848428,-0.046313537,-3.445908066,0.010750753,,,,,,,
STX2,0.810109353,-0.091456354,-3.387457532,0.011639703,,,,,,,
MAN2B2,0.707164211,-0.150479727,-3.319919983,0.012766427,,,,,,,
FBH1,0.843615968,-0.073855208,-3.286965515,0.013358241,,,,,,,
PPP1R1A,1.740439865,0.240659022,3.257407007,0.013914134,,,,,,,
H3-3A,1.129896217,0.053038555,3.18287256,0.01542885,,,,,,,
KATNAL1,0.877603079,-0.056701862,-3.113415638,0.016999689,,,,,,,
GTF2F1,0.823856095,-0.084148641,-3.099908906,0.017324502,,,,,,,
ZNF488,1.323561216,0.121744033,3.074148607,0.017962453,,,,,,,
FABP5,0.736790248,-0.132656131,-3.071194588,0.018037191,,,,,,,
GABRA3,0.785616572,-0.104789364,-3.037254431,0.018920012,,,,,,,
ALDH9A1,1.069361711,0.02912463,3.030463849,0.019102091,,,,,,,
H2AC6,1.557958994,0.192556023,2.964648385,0.0209663,,,,,,,
PARP14,0.822129208,-0.085059922,-2.960638886,0.02108593,,,,,,,
GRIA2,0.81868969,-0.086880679,-2.882692596,0.023560795,,,,,,,
HLA-B,0.566282958,-0.246966508,-2.876477108,0.023770927,,,,,,,
TMEM168,0.906342294,-0.042707754,-2.870290426,0.023982048,,,,,,,
H4C1,1.135290399,0.055106965,2.839044384,0.025078928,,,,,,,
VRK2,0.782985479,-0.106246292,-2.831891819,0.025337368,,,,,,,
IP6K1,1.083747728,0.0349282,2.804003085,0.026372119,,,,,,,
APC,1.098465735,0.040786514,2.791328418,0.026856973,,,,,,,
CFAP58,0.693782762,-0.158776495,-2.787141179,0.0270192,,,,,,,
IPO4,0.783871443,-0.105755157,-2.758894235,0.028140792,,,,,,,
KDSR,1.078599279,0.032860126,2.757647688,0.028191399,,,,,,,
MOB4,0.945727914,-0.024233792,-2.740791725,0.028885156,,,,,,,
TMEM98,0.838501949,-0.076495924,-2.735517671,0.029105879,,,,,,,
GATAD2A,1.261244796,0.100799387,2.732583074,0.029229457,,,,,,,
RBM4B,1.138969874,0.056512237,2.708569791,0.030261538,,,,,,,
C11orf96,0.838680071,-0.076403677,-2.704212635,0.030452854,,,,,,,
SAV1,1.146990881,0.059559965,2.6963723,0.030800302,,,,,,,
GSTM1,0.378443008,-0.421999514,-2.69352522,0.030927494,,,,,,,
SLC37A4,0.575072162,-0.240277655,-2.682664229,0.031417763,,,,,,,
IFIH1,0.723852279,-0.140350054,-2.669549662,0.032020588,,,,,,,
MFN2,1.109058126,0.044954308,2.662618342,0.032344054,,,,,,,
CEP43,1.189115646,0.075224094,2.644016973,0.033229073,,,,,,,
RGL1,1.415039629,0.150768603,2.642415997,0.033306414,,,,,,,
ZNF806,1.132421948,0.054008278,2.640255942,0.033411061,,,,,,,
ITPA,0.832685001,-0.079519258,-2.632079578,0.033810285,,,,,,,
TMEM63A,0.873826657,-0.058574711,-2.613822086,0.03471975,,,,,,,
FGL1,0.684037067,-0.164920364,-2.611952915,0.034814284,,,,,,,
ACTMAP,0.442689863,-0.353900423,-2.552994248,0.037937451,,,,,,,
MED15,0.800103007,-0.096854098,-2.55292875,0.037941077,,,,,,,
GPATCH11,0.909732499,-0.041086291,-2.552244471,0.037978987,,,,,,,
C2orf49,1.137673049,0.05601747,2.551474151,0.038021711,,,,,,,
CDC42BPG,0.895266977,-0.048047435,-2.544557619,0.038407552,,,,,,,
BZW2,0.807453416,-0.092882524,-2.539524698,0.038690861,,,,,,,
SERPINF1,0.556907976,-0.254216562,-2.534231348,0.038991162,,,,,,,
SFI1,0.84148584,-0.074953187,-2.523399584,0.039613202,,,,,,,
MYL4,0.628229104,-0.201881948,-2.520764843,0.039766053,,,,,,,
B3GALNT2,0.68735363,-0.162819769,-2.477029443,0.042394163,,,,,,,
EGFL8,0.794298672,-0.100016164,-2.473693071,0.04260186,,,,,,,
CHMP1A,1.163631072,0.06581531,2.47284669,0.042654716,,,,,,,
PTGR1,1.423765169,0.153438364,2.443315149,0.044541822,,,,,,,
H2AX,1.098806936,0.040921392,2.422267662,0.045938982,,,,,,,
A2M,0.501006474,-0.300156662,-2.420567068,0.046053816,,,,,,,
ORAI3,0.880597015,-0.055222791,-2.418749397,0.046176881,,,,,,,
ICAM3,0.89182058,-0.04972251,-2.39390376,0.047893249,,,,,,,
DDO,0.727262886,-0.138308575,-2.391292325,0.048077406,,,,,,,
DNAJB1,1.192641781,0.07651002,2.379782304,0.048897758,,,,,,,
ARHGAP39,0.879760867,-0.05563536,-2.371834646,0.049472553,,,,,,,
ASMTL,0.83703298,-0.07725743,-2.359879638,0.050350203,,,,,,,
MX1,0.434105695,-0.362404516,-2.352957236,0.050865648,,,,,,,
H3C1,1.122904113,0.050342673,2.34931654,0.051138893,,,,,,,
CDC27,0.863176575,-0.063900354,-2.340862033,0.05177922,,,,,,,
STARD5,0.803710051,-0.0949006,-2.336909255,0.052081394,,,,,,,
ADGRL4,0.732419816,-0.135239914,-2.330492328,0.052575773,,,,,,,
CHMP2A,1.084647131,0.035288472,2.318923515,0.053479179,,,,,,,
CCNYL1,1.110790703,0.045632236,2.316943092,0.053635407,,,,,,,
MROH2B,0.245791153,-0.609433753,-2.305091227,0.054580103,,,,,,,
PXDC1,1.135781254,0.055294696,2.302668716,0.054775271,,,,,,,
ACOX3,0.766252905,-0.115627866,-2.29868379,0.055097858,,,,,,,
CSNK1G3,0.893924319,-0.048699248,-2.288283287,0.055948918,,,,,,,
SLC35A1,0.691574494,-0.160161032,-2.282729961,0.056408793,,,,,,,
IRF9,0.657011741,-0.182426869,-2.282509281,0.056427147,,,,,,,
IFT172,0.820247917,-0.086054864,-2.27767682,0.056830579,,,,,,,
INHBE,0.900744157,-0.045398547,-2.276942102,0.056892172,,,,,,,
KXD1,1.06731086,0.028290928,2.261362971,0.058214247,,,,,,,
CSNK2A1,0.914540859,-0.038796887,-2.256959979,0.058593504,,,,,,,
ARFIP2,0.929606542,-0.031700829,-2.251930219,0.059029809,,,,,,,
ACTN4,0.856267638,-0.067390469,-2.251456797,0.059071045,,,,,,,
GTF2IRD2,0.760749486,-0.118758333,-2.248193787,0.059356052,,,,,,,
CDKAL1,0.897644304,-0.046895721,-2.247166271,0.059446088,,,,,,,
PRUNE2,0.660177717,-0.180339139,-2.242727073,0.059836663,,,,,,,
TFPI,0.864433258,-0.063268532,-2.236333159,0.060403782,,,,,,,
LPL,0.835030104,-0.078297867,-2.235556179,0.060473067,,,,,,,
FAM83H,0.825089804,-0.08349878,-2.230919077,0.060888239,,,,,,,
SMOC2,0.658942384,-0.181152557,-2.227844033,0.061165142,,,,,,,
TMEM126B,1.242236025,0.09420412,2.222926872,0.061610569,,,,,,,
FRMPD2,0.847220816,-0.072003382,-2.20702164,0.063073902,,,,,,,
ZCCHC8,0.878762437,-0.056128516,-2.206787606,0.063095694,,,,,,,
SPRYD7,0.831606514,-0.080082117,-2.204358531,0.063322319,,,,,,,
GRAMD4,0.829663453,-0.08109804,-2.202910914,0.063457768,,,,,,,
GBA2,0.844065891,-0.073623649,-2.196054413,0.06410328,,,,,,,
FAM161A,0.828881393,-0.081507609,-2.192109896,0.064477632,,,,,,,
ADIPOQ,0.734881683,-0.133782577,-2.186109645,0.065051305,,,,,,,
TMEM260,0.767248783,-0.115063792,-2.185607799,0.065099518,,,,,,,
FAM107A,1.200743552,0.079450263,2.181523898,0.065493199,,,,,,,
GPD2,1.059518375,0.025108493,2.177408357,0.065892351,,,,,,,
CCN2,0.681318681,-0.166649703,-2.177178766,0.06591469,,,,,,,
HAGH,1.224074481,0.087807844,2.172612055,0.066360614,,,,,,,
LENG8,0.515859068,-0.287468931,-2.170977729,0.066520935,,,,,,,
CNOT4,0.91889881,-0.036732311,-2.16821548,0.066792787,,,,,,,
ASNS,0.79005291,-0.102343823,-2.162743868,0.067334582,,,,,,,
CNOT2,0.692718894,-0.159442967,-2.158416678,0.067766179,,,,,,,
TTC33,0.938024116,-0.027785996,-2.151438548,0.068468035,,,,,,,
RAB4B,0.870123106,-0.060419299,-2.146747371,0.068943962,,,,,,,
HMGA1,1.186214723,0.07416331,2.146326977,0.068986774,,,,,,,
ATP23,0.772128688,-0.112310311,-2.142704016,0.069356826,,,,,,,
ASAP2,0.842351109,-0.074506848,-2.14214944,0.069413646,,,,,,,
GPCPD1,0.882928275,-0.054074575,-2.14070855,0.069561493,,,,,,,
RABL2A,0.716362316,-0.144867268,-2.138725034,0.069765534,,,,,,,
HSPA14,0.892016083,-0.049627315,-2.12862467,0.070813868,,,,,,,
PPFIA4,1.076849721,0.0321551,2.126642247,0.07102147,,,,,,,
LRIG3,0.818481848,-0.086990948,-2.123343096,0.071368311,,,,,,,
TTC39C,0.846367888,-0.072440822,-2.120738407,0.071643338,,,,,,,
ZDHHC9,0.641538912,-0.192776997,-2.119121089,0.071814643,,,,,,,
IGLL1,0.812710911,-0.09006391,-2.112062465,0.072567087,,,,,,,
TRAFD1,0.727400824,-0.138226211,-2.10800656,0.073002999,,,,,,,
TFCP2,0.949523876,-0.02249411,-2.085067103,0.075518051,,,,,,,
ALDH3A1,0.846910968,-0.072162243,-2.084922025,0.075534229,,,,,,,
TREX1,0.746462561,-0.126991969,-2.08455515,0.075575155,,,,,,,
NUMA1,1.061481453,0.02591241,2.081077689,0.075964174,,,,,,,
FKBP3,0.876491315,-0.057252383,-2.070672626,0.077140115,,,,,,,
CCDC85C,0.7711146,-0.112881074,-2.065661069,0.077712943,,,,,,,
COLEC12,0.623874402,-0.204902834,-2.056236291,0.078801677,,,,,,,
GSTM5,0.618359745,-0.208758791,-2.054612751,0.078990749,,,,,,,
TRAF3IP1,0.913421278,-0.039328876,-2.054565513,0.078996257,,,,,,,
PPP2R3A,1.258610149,0.099891229,2.041041023,0.080588969,,,,,,,
REEP5,1.120775732,0.049518719,2.031316311,0.081753829,,,,,,,
GLOD4,1.156195459,0.063031259,2.02755306,0.082209064,,,,,,,
ABHD6,1.141740336,0.057567344,2.027302519,0.08223946,,,,,,,
FGA,0.531483671,-0.274510074,-2.026014742,0.082395873,,,,,,,
CDC37L1,1.257479983,0.099501081,2.025492183,0.082459427,,,,,,,
SERPINA1,0.494797829,-0.305572215,-2.024497862,0.08258049,,,,,,,
DNTTIP2,0.877778547,-0.056615037,-2.024360409,0.08259724,,,,,,,
SCIN,1.425666468,0.154017935,2.023910011,0.082652147,,,,,,,
TMEM53,0.77129373,-0.112780199,-2.022419014,0.082834169,,,,,,,
FEN1,0.905357903,-0.043179703,-2.017587753,0.083426699,,,,,,,
UBIAD1,0.490712281,-0.309173073,-2.013773187,0.083897495,,,,,,,
ABCA1,0.631954415,-0.199314248,-2.011870331,0.084133326,,,,,,,
TAPBPL,0.696103896,-0.157325935,-2.011538134,0.084174564,,,,,,,
MYL7,0.781236236,-0.107217621,-2.010516259,0.084301543,,,,,,,
EIF4EBP3,1.219206681,0.086077334,2.005817959,0.084887791,,,,,,,
PHYHD1,0.820115896,-0.08612477,-2.004362034,0.085070276,,,,,,,
CEP97,0.825448161,-0.083310196,-2.001522572,0.085427285,,,,,,,
ATRX,0.907046538,-0.04237043,-1.998637126,0.08579159,,,,,,,
DMXL2,0.880850822,-0.055097636,-1.996039877,0.086120819,,,,,,,
RABEPK,0.789620536,-0.102581565,-1.99402335,0.086377293,,,,,,,
SORBS2,0.821218999,-0.085541012,-1.993401469,0.08645654,,,,,,,
DOLPP1,0.795133438,-0.099559983,-1.985452345,0.08747583,,,,,,,
