,show,Aggregated,pathway,gs_number,gs_description,pval,padj,log2err,ES,NES,size,leadingEdge
1,,Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.686234818,0.949061857,0.03149289,-0.213519698,-0.933032688,453,"c(""IL1RAP"", ""APOA4"", ""FGL1"", ""ICAM3"", ""ADIPOQ"", ""FGA"", ""SRPX2"", ""PCDHB8"", ""HLA-DQA2"", ""APOA1"", ""FLNA"", ""FGG"", ""MYO10"", ""FGB"", ""FCGR2B"", ""PTK2"", ""MYL9"", ""CLDN5"", ""PIK3CB"", ""CCN1"", ""ELMO2"", ""SERPINF2"", ""FLOT1"", ""SELL"", ""MAGI1"", ""RAP2B"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""LOXL3"", ""PPARA"", ""ST3GAL4"", ""ACTN1"", ""PLG"", ""SCARF2"", ""HLA-DMB"", ""SERPINB8"", ""PTPN6"", ""HLA-DRB5"", ""METTL3"", ""FNDC3A"", ""GFUS"", ""ICAM2"", ""PAG1"", ""AP3D1"", ""B2M"", ""ARG1"", ""VCAM1"", ""SCGB1A1"", ""BAIAP2L1"", ""PCDH10"", ""AP3B1"", ""CDH23"", ""VNN1"", ""PRKCD"", 
""PNP"", ""VMP1"", ""PRKCZ"", ""PDLIM5"", ""ITGB5"", ""FOXA2"", ""IRAK1"", ""HLA-E"", ""VEZT"", ""FIBP"", ""LIMS2"", ""PRKCQ"", ""HLA-DPB1"", ""SIGLEC1"", ""PTPN23"", ""TRPV4"", ""SOX9"", ""PALLD"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""AKNA"", ""TNFAIP8L2"", ""HLA-DQB1"", ""EZR"", ""HFE"", ""MMRN1"", ""CRB2"", ""STAT5B"", ""HBB"", ""PAWR"", ""ATP2C1"", ""PIEZO1"", ""ITCH"", ""SRC"", ""TNXB"", ""ZDHHC21"", ""FAT1"", ""ACTB"", ""CCN3"", ""LYN"", ""GTPBP4"", ""CDH3"", ""SERPINE2"", ""NRXN1"", ""ABAT"", ""BMP7"", ""TRAF6"", ""CNN3"", ""PPM1F"", ""ITPKB"", ""CD74"")"
2,,Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.343137255,0.789537029,0.067362387,-0.260304752,-1.066037467,170,"c(""APOA4"", ""FGL1"", ""HLA-DQA2"", ""FCGR2B"", ""SELL"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""LOXL3"", ""PPARA"", ""ST3GAL4"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""GFUS"", ""PAG1"", ""AP3D1"", ""B2M"", ""ARG1"", ""VCAM1"", ""SCGB1A1"", ""AP3B1"", ""VNN1"", ""PNP"", ""PRKCZ"", ""IRAK1"", ""HLA-E"", ""PRKCQ"", ""HLA-DPB1"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""TNFAIP8L2"", ""HLA-DQB1"", ""EZR"", ""HFE"", ""STAT5B"", ""PAWR"", ""ITCH"", ""SRC"", ""ZDHHC21"", ""LYN"", ""BMP7"", ""TRAF6"", ""ITPKB"", ""CD74"", ""PTPN2"", ""SART1"", ""FERMT3"", ""SYK"")"
3,,Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.470094439,0.87181425,0.050702794,-0.237123965,-1.00626595,245,"c(""FGA"", ""HLA-DQA2"", ""APOA1"", ""FLNA"", ""FGG"", ""MYO10"", ""FGB"", ""CARMIL1"", ""CCN1"", ""CD36"", ""SERPINF2"", ""FLOT1"", ""MAGI1"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""ST3GAL4"", ""PTPRJ"", ""EPB41L4B"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""GFUS"", ""HRG"", ""RREB1"", ""AP3D1"", ""COL8A1"", ""B2M"", ""VCAM1"", ""AP3B1"", ""IFT74"", ""VNN1"", ""PNP"", ""DOCK5"", ""PRKCZ"", ""ECM2"", ""FOXA2"", ""IRAK1"", ""ATM"", ""HLA-E"", ""LIMS2"", ""DAB2"", ""PRKCQ"", ""HLA-DPB1"", ""PTPN23"", ""LDB1"", ""FBLN2"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""CCDC80"", ""HLA-DQB1"", ""MMRN1"")"
4,,Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.099441341,0.462130707,0.146416238,-0.312693792,-1.250033314,134,"c(""FGA"", ""HLA-DQA2"", ""FGG"", ""MYO10"", ""FGB"", ""SERPINF2"", ""FLOT1"", ""MAGI1"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""ST3GAL4"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""AP3D1"", ""B2M"", ""VCAM1"", ""AP3B1"", ""VNN1"", ""PNP"", ""PRKCZ"", ""FOXA2"", ""IRAK1"", ""HLA-E"", ""PRKCQ"", ""HLA-DPB1"", ""PTPN23"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""HLA-DQB1"", ""MMRN1"", ""STAT5B"", ""PIEZO1"", ""SRC"", ""LYN"", ""BMP7"", ""TRAF6"", ""ITPKB"", ""CD74"", ""PLAUR"", ""SART1"")"
5,,Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.559263521,0.912936144,0.046975873,-0.247603314,-0.958306109,105,"c(""HLA-DQA2"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""ST3GAL4"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""AP3D1"", ""B2M"", ""VCAM1"", ""AP3B1"", ""VNN1"", ""PNP"", ""PRKCZ"", ""IRAK1"", ""HLA-E"", ""PRKCQ"", ""HLA-DPB1"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""HLA-DQB1"", ""STAT5B"", ""SRC"", ""LYN"", ""TRAF6"", ""ITPKB"", ""CD74"", ""SART1"", ""SYK"")"
6,,Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.505606524,0.8893946,0.046045768,-0.229101833,-0.995090586,407,"c(""FGL1"", ""ACTN4"", ""ADIPOQ"", ""FGA"", ""ATXN3"", ""HLA-DQA2"", ""APOA1"", ""FLNA"", ""FGG"", ""MYO10"", ""FGB"", ""FCGR2B"", ""PTK2"", ""CARMIL1"", ""PIK3CB"", ""CCN1"", ""CD36"", ""SERPINF2"", ""FLOT1"", ""MAGI1"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""LOXL3"", ""MMP14"", ""PPARA"", ""ST3GAL4"", ""PTPRJ"", ""THBS1"", ""PEAK1"", ""PLG"", ""EPB41L4B"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""METTL3"", ""GFUS"", ""HRG"", ""RREB1"", ""PAG1"", ""AP3D1"", ""COL8A1"", ""B2M"", ""ARG1"", ""FES"", ""VCAM1"", ""SCGB1A1"", ""AP3B1"", ""IFT74"", ""VNN1"", ""PRKCD"", ""PNP"", ""DOCK5"", ""PRKCZ"", ""MELTF"", ""ECM2"", 
""FOXA2"", ""IRAK1"", ""PTPRA"", ""WASHC2C"", ""ATM"", ""KNG1"", ""HLA-E"", ""CDKN2A"", ""LIMS2"", ""DAB2"", ""PRKCQ"", ""HLA-DPB1"", ""PTPN23"", ""TRPV4"", ""LDB1"", ""DDR1"", ""SOX9"", ""DACT2"", ""FBLN2"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""AKNA"", ""TNFAIP8L2"", ""CCDC80"", ""HLA-DQB1"", ""HFE"", ""MMRN1"")"
7,,Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.053911205,0.348097105,0.197822021,-0.305389604,-1.283732841,211,"c(""FGL1"", ""ADIPOQ"", ""FGA"", ""HLA-DQA2"", ""APOA1"", ""FGG"", ""MYO10"", ""FGB"", ""FCGR2B"", ""PTK2"", ""SERPINF2"", ""FLOT1"", ""MAGI1"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""LOXL3"", ""PPARA"", ""ST3GAL4"", ""PLG"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""METTL3"", ""PAG1"", ""AP3D1"", ""B2M"", ""ARG1"", ""VCAM1"", ""SCGB1A1"", ""AP3B1"", ""VNN1"", ""PRKCD"", ""PNP"", ""PRKCZ"", ""FOXA2"", ""IRAK1"", ""HLA-E"", ""PRKCQ"", ""HLA-DPB1"", ""PTPN23"", ""TRPV4"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""AKNA"", ""TNFAIP8L2"", ""HLA-DQB1"", ""HFE"", ""MMRN1"", ""STAT5B"", ""PAWR"", ""PIEZO1"", 
""ITCH"", ""SRC"", ""ZDHHC21"", ""LYN"", ""GTPBP4"", ""SERPINE2"", ""ABAT"", ""BMP7"", ""TRAF6"", ""PPM1F"", ""ITPKB"", ""CD74"", ""PLAUR"", ""PTPN2"")"
8,,Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],NA,NA,NA,0.175542052,NA,612,"c(""APC"", ""SAV1"", ""FAM107A"", ""HMGA1"", ""HMCN1"", ""AKAP12"", ""P2RX7"", ""MXRA8"", ""SPTBN4"", ""DAG1"", ""JCAD"", ""APBB1IP"", ""CD99"", ""LIN7A"", ""FSCN1"", ""RAP1B"", ""DNM2"", ""AFAP1"", ""EPB41L5"", ""PDZD11"", ""EVL"", ""ARL2"", ""SYNM"", ""HSPA1B"", ""TJP1"", ""PPP1CA"", ""ENAH"", ""SORBS1"", ""CLDN4"", ""IRF2"", ""ATP1A2"", ""EPB41L2"", ""CLASP1"", ""CYBA"", ""HSPA8"", ""PPP1CB"", ""RHOA"", ""STXBP6"", ""PLEC"", ""RRAS"", ""STARD10"", ""RAB10"", ""LDB3"", ""SCRIB"", ""CDH11"", ""PARD3B"", ""DSC2"", ""ATAT1"", ""NHS"", ""ARHGEF2"", ""CAP1"", ""MYADM"", ""WASF2"", ""JAM3"", ""RAC2"", ""TJP2"", 
""ARVCF"", ""CD59"", ""CDC42EP4"", ""STRN"", ""MAP2K1"", ""APP"", ""GSN"", ""IL16"", ""ICAM1"", ""ARHGAP31"", ""PIP5K1C"", ""PARK7"", ""PAK2"", ""AHNAK"", ""SLC9A1"", ""YES1"", ""DLG1"", ""MAPRE1"", ""CORO2B"", ""GJB6"", ""ESAM"", ""AJAP1"", ""PPFIBP1"", ""DMD"", ""DCTN4"", ""GNB2"", ""LIMK1"", ""NPHP4"", ""FLNC"", ""AIF1L"", ""ADAM10"", ""VIM"", ""CDC42EP1"", ""CAMSAP3"", ""TNS1"", ""CD81"", ""RHOG"", ""OPALIN"", ""MARCKS"", ""ILDR1"", ""CAPN5"", ""YWHAH"", ""CLIC4"", ""CD99L2"", ""NUMB"", ""RALA"", ""PPP1CC"", ""CDH20"", ""GNA13"", ""CD9"", ""CTNNA3"", ""JAM2"", ""EPB41L3"", ""REXO2"", ""CORO1A"", ""TGM2"", 
""PKP2"", ""GRB2"", ""EPHA2"", ""JUP"", ""CAV1"", ""MAPK3"", ""CLDN11"", ""NDRG1"", ""CDH13"", ""ANXA2"", ""MAPRE2"", ""CNTNAP2"", ""ANXA5"", ""YWHAZ"", ""CYFIP1"", ""CDC42"", ""SIRT2"", ""NFASC"", ""TJP3"", ""ARHGAP26"", ""HEPACAM"", ""MAP4K4"", ""CDH2"", ""CD44"", ""CASK"", ""HSPG2"", ""TLN2"", ""PALS2"", ""CFL1"", ""CYTH1"", ""MPZL1"", ""SDCCAG8"", ""F11R"", ""DSP"", ""CTNND2"", ""CXADR"", ""PDXP"", ""SRCIN1"", ""YWHAB"", ""PRKCG"", ""GJA1"", ""ABI2"", ""ADCYAP1R1"", ""GDI2"", ""ADGRL3"", ""FRMD5"", ""EGFR"", ""GNA12"", ""FMN1"", ""PPP1R9B"", ""RHOB"", ""RAB21"", ""PAK1"", ""TRIM29"", ""ADD1"", ""XIRP1"", 
""PARVB"", ""ASH1L"", ""CNTNAP1"", ""CDC42BPA"", ""LASP1"", ""ITGA2"", ""PARD3"", ""YWHAE"", ""CAPN2"", ""RPS2"", ""VAMP5"", ""FHL3"", ""PAK4"", ""PLPP3"", ""GAB1"", ""CD151"", ""RAC1"", ""NECTIN3"", ""YWHAG"", ""CTNNB1"", ""LIN7C"", ""DOCK7"", ""CDH22"", ""KCNA2"", ""CADM3"", ""ADD3"", ""PDZD2"", ""RAPGEF2"", ""PIK3CA"", ""NCK1"", ""PPP3CA"", ""THY1"", ""ITGA1"", ""ATP1B1"", ""MPP7"", ""ITGB2"", ""SCN2A"")"
9,,Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.906564002,0.996963724,0.143902565,0.166323486,0.943806288,370,"c(""FAM107A"", ""HMGA1"", ""HMCN1"", ""AKAP12"", ""DAG1"", ""APBB1IP"", ""CD99"", ""DNM2"", ""AFAP1"", ""EPB41L5"", ""EVL"", ""ARL2"", ""HSPA1B"", ""ENAH"", ""SORBS1"", ""IRF2"", ""EPB41L2"", ""CLASP1"", ""CYBA"", ""HSPA8"", ""PPP1CB"", ""RHOA"", ""PLEC"", ""RRAS"", ""RAB10"", ""ATAT1"", ""NHS"", ""ARHGEF2"", ""CAP1"", ""RAC2"", ""CD59"", ""MAP2K1"", ""GSN"", ""IL16"", ""ICAM1"", ""ARHGAP31"", ""PIP5K1C"", ""AHNAK"", ""SLC9A1"", ""YES1"", ""MAPRE1"", ""CORO2B"", ""PPFIBP1"", ""DMD"", ""DCTN4"", ""GNB2"", ""LIMK1"", ""FLNC"", ""AIF1L"", ""ADAM10"", ""VIM"", ""CDC42EP1"", ""TNS1"", ""CD81"", ""RHOG"", ""MARCKS"", 
""CAPN5"", ""CD99L2"", ""NUMB"", ""RALA"", ""PPP1CC"", ""GNA13"", ""CD9"", ""REXO2"", ""TGM2"", ""EPHA2"", ""JUP"", ""CAV1"", ""MAPK3"", ""CDH13"", ""MAPRE2"", ""ANXA5"", ""YWHAZ"", ""CYFIP1"", ""CDC42"", ""NFASC"", ""ARHGAP26"", ""MAP4K4"", ""CDH2"", ""CD44"", ""CASK"", ""HSPG2"", ""TLN2"", ""CFL1"")"
10,,Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.126401631,0.516247731,0.121543282,-0.266907398,-1.159050713,405,"c(""APOA4"", ""GRIA2"", ""EGFL8"", ""TFPI"", ""LPL"", ""ADIPOQ"", ""IGLL1"", ""FGA"", ""ABCA1"", ""SRPX2"", ""IGHV6-1"", ""FGG"", ""FGB"", ""FCGR2B"", ""IGLC2"", ""FGFR2"", ""CD36"", ""SERPINF2"", ""FLOT1"", ""SRPX"", ""HYAL2"", ""CD5L"", ""BGN"", ""HLA-DMA"", ""KCNA5"", ""PRND"", ""LBP"", ""CTSB"", ""FAS"", ""IGHG3"", ""PTPRJ"", ""PROCR"", ""SLC1A1"", ""IGHM"", ""IGHV3-43"", ""IGHV5-51"", ""THBS1"", ""PTGFRN"", ""LEPR"", ""IGHG2"", ""PLG"", ""IL13RA1"", ""PAM"", ""VAMP4"", ""MRC1"", ""IGKC"", ""IGHV2-5"", ""TSPAN33"", ""SLC32A1"", ""HEG1"", ""RGMA"", ""B4GALT1"", ""HRG"", ""TF"", ""SULF1"", ""MCAM"", ""SCARB1"", 
""IGHV4-28"", ""B2M"", ""IDE"", ""VCAM1"", ""IGHG1"", ""IGLL5"", ""MME"", ""CLCN3"", ""IGHV2-26"", ""MELTF"", ""ITGB5"", ""IGHE"", ""IGF2R"", ""HLA-E"", ""KRT10"", ""NRDC"", ""SLC46A1"", ""HLA-DPB1"", ""TRPV4"", ""TYROBP"", ""GPC1"", ""APOH"", ""CD14"", ""ANTXR1"", ""LILRB1"", ""SPA17"", ""ACE"", ""CD48"", ""HFE"", ""LMAN2"", ""TGFBR3"", ""IQGAP2"", ""C3"", ""LTF"", ""SMIM1"", ""AMBP"", ""IGHV3-15"", ""AOC3"", ""SFRP1"", ""BMPR2"", ""IGHV1-69D"", ""ATP6AP2"", ""IGHV1-18"", ""FCGRT"", ""PTPRK"", ""SLC39A6"", ""SERPINE2"", ""ABCB1"", ""NRXN1"")"
