"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.235764235764236","0.848012455871295","0.0822054920415869","-0.349210376808865","-1.06748965259758","218","c(""IL1RAP"", ""APOA4"", ""FGL1"", ""ICAM3"", ""ADIPOQ"", ""FGA"", ""SRPX2"", ""PCDHB8"", ""HLA-DQA2"", ""APOA1"", ""FLNA"", ""FGG"", ""MYO10"", ""FGB"", ""FCGR2B"", ""PTK2"", ""MYL9"", ""CLDN5"", ""PIK3CB"", ""CCN1"", ""ELMO2"", ""SERPINF2"", ""FLOT1"", ""SELL"", ""MAGI1"", ""RAP2B"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""LOXL3"", ""PPARA"", ""ST3GAL4"", ""ACTN1"", ""PLG"", ""SCARF2"", ""HLA-DMB"", ""SERPINB8"", ""PTPN6"", ""HLA-DRB5"", ""METTL3"", ""FNDC3A"", ""GFUS"", ""ICAM2"", ""PAG1"", ""AP3D1"", ""B2M"", ""ARG1"", ""VCAM1"", ""SCGB1A1"", ""BAIAP2L1"", ""PCDH10"", ""AP3B1"", ""CDH23"", ""VNN1"", ""PRKCD"", 
""PNP"", ""VMP1"", ""PRKCZ"", ""PDLIM5"", ""ITGB5"", ""FOXA2"", ""IRAK1"", ""HLA-E"", ""VEZT"", ""FIBP"", ""HLA-A"", ""LIMS2"", ""PRKCQ"", ""HLA-DPB1"", ""SIGLEC1"", ""PTPN23"", ""TRPV4"", ""SOX9"", ""PALLD"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""AKNA"", ""TNFAIP8L2"", ""HLA-DQB1"", ""EZR"", ""HFE"", ""MMRN1"", ""CRB2"", ""STAT5B"", ""HBB"", ""PAWR"", ""ATP2C1"", ""PIEZO1"", ""ITCH"", ""SRC"", ""TNXB"", ""ZDHHC21"", ""FAT1"", ""ACTB"", ""CCN3"", ""LYN"", ""GTPBP4"", ""CDH3"", ""SERPINE2"", ""NRXN1"", ""ABAT"", ""BMP7"", ""TRAF6"", ""CNN3"", ""PPM1F"", ""ITPKB"", ""CD74"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.137862137862138","0.738185728011713","0.114266502484433","-0.392247267440736","-1.14705797592166","85","c(""APOA4"", ""FGL1"", ""HLA-DQA2"", ""FCGR2B"", ""SELL"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""LOXL3"", ""PPARA"", ""ST3GAL4"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""GFUS"", ""PAG1"", ""AP3D1"", ""B2M"", ""ARG1"", ""VCAM1"", ""SCGB1A1"", ""AP3B1"", ""VNN1"", ""PNP"", ""PRKCZ"", ""IRAK1"", ""HLA-E"", ""HLA-A"", ""PRKCQ"", ""HLA-DPB1"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""TNFAIP8L2"", ""HLA-DQB1"", ""EZR"", ""HFE"", ""STAT5B"", ""PAWR"", ""ITCH"", ""SRC"", ""ZDHHC21"", ""LYN"", ""BMP7"", ""TRAF6"", ""ITPKB"", ""CD74"", ""PTPN2"", ""SART1"", ""FERMT3"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.136863136863137","0.738185728011713","0.114750719227023","-0.376467750378935","-1.12797626677805","133","c(""FGA"", ""HLA-DQA2"", ""APOA1"", ""FLNA"", ""FGG"", ""MYO10"", ""FGB"", ""CARMIL1"", ""CCN1"", ""CD36"", ""SERPINF2"", ""FLOT1"", ""MAGI1"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""ST3GAL4"", ""PTPRJ"", ""EPB41L4B"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""GFUS"", ""HRG"", ""RREB1"", ""AP3D1"", ""COL8A1"", ""B2M"", ""VCAM1"", ""AP3B1"", ""IFT74"", ""VNN1"", ""PNP"", ""DOCK5"", ""PRKCZ"", ""ECM2"", ""FOXA2"", ""IRAK1"", ""ATM"", ""HLA-E"", ""HLA-A"", ""LIMS2"", ""DAB2"", ""PRKCQ"", ""HLA-DPB1"", ""PTPN23"", ""LDB1"", ""FBLN2"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.103896103896104","0.710927218948609","0.134273452883202","-0.411977876713844","-1.19551956756793","75","c(""FGA"", ""HLA-DQA2"", ""FGG"", ""MYO10"", ""FGB"", ""SERPINF2"", ""FLOT1"", ""MAGI1"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""ST3GAL4"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""AP3D1"", ""B2M"", ""VCAM1"", ""AP3B1"", ""VNN1"", ""PNP"", ""PRKCZ"", ""FOXA2"", ""IRAK1"", ""HLA-E"", ""HLA-A"", ""PRKCQ"", ""HLA-DPB1"", ""PTPN23"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""HLA-DQB1"", ""MMRN1"", ""STAT5B"", ""PIEZO1"", ""SRC"", ""LYN"", ""BMP7"", ""TRAF6"", ""ITPKB"", ""CD74"", ""PLAUR"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.300699300699301","0.888098756285344","0.0696133438850965","-0.380159424796521","-1.08540445585304","57","c(""HLA-DQA2"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""ST3GAL4"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""AP3D1"", ""B2M"", ""VCAM1"", ""AP3B1"", ""VNN1"", ""PNP"", ""PRKCZ"", ""IRAK1"", ""HLA-E"", ""HLA-A"", ""PRKCQ"", ""HLA-DPB1"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""HLA-DQB1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.162837162837163","0.773257656322173","0.103576326612592","-0.357924098610647","-1.09391445546446","214","c(""FGL1"", ""ACTN4"", ""ADIPOQ"", ""FGA"", ""ATXN3"", ""HLA-DQA2"", ""APOA1"", ""FLNA"", ""FGG"", ""MYO10"", ""FGB"", ""FCGR2B"", ""PTK2"", ""CARMIL1"", ""PIK3CB"", ""CCN1"", ""CD36"", ""SERPINF2"", ""FLOT1"", ""MAGI1"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""LOXL3"", ""MMP14"", ""PPARA"", ""ST3GAL4"", ""PTPRJ"", ""THBS1"", ""PEAK1"", ""PLG"", ""EPB41L4B"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""METTL3"", ""GFUS"", ""HRG"", ""RREB1"", ""PAG1"", ""AP3D1"", ""COL8A1"", ""B2M"", ""ARG1"", ""FES"", ""VCAM1"", ""SCGB1A1"", ""AP3B1"", ""IFT74"", ""VNN1"", ""PRKCD"", ""PNP"", ""DOCK5"", ""PRKCZ"", ""MELTF"", ""ECM2"", 
""FOXA2"", ""IRAK1"", ""PTPRA"", ""WASHC2C"", ""ATM"", ""KNG1"", ""HLA-E"", ""HLA-A"", ""CDKN2A"", ""LIMS2"", ""DAB2"", ""PRKCQ"", ""HLA-DPB1"", ""PTPN23"", ""TRPV4"", ""LDB1"", ""DDR1"", ""SOX9"", ""DACT2"", ""FBLN2"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""AKNA"", ""TNFAIP8L2"", ""CCDC80"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0739260739260739","0.668273124467178","0.161978948883402","-0.396465834771738","-1.18381240600178","118","c(""FGL1"", ""ADIPOQ"", ""FGA"", ""HLA-DQA2"", ""APOA1"", ""FGG"", ""MYO10"", ""FGB"", ""FCGR2B"", ""PTK2"", ""SERPINF2"", ""FLOT1"", ""MAGI1"", ""FLOT2"", ""HLA-DMA"", ""RIPK2"", ""LOXL3"", ""PPARA"", ""ST3GAL4"", ""PLG"", ""HLA-DMB"", ""PTPN6"", ""HLA-DRB5"", ""METTL3"", ""PAG1"", ""AP3D1"", ""B2M"", ""ARG1"", ""VCAM1"", ""SCGB1A1"", ""AP3B1"", ""VNN1"", ""PRKCD"", ""PNP"", ""PRKCZ"", ""FOXA2"", ""IRAK1"", ""HLA-E"", ""HLA-A"", ""PRKCQ"", ""HLA-DPB1"", ""PTPN23"", ""TRPV4"", ""AKT1"", ""LILRB1"", ""LGALS9"", ""SPTA1"", ""AKNA"", ""TNFAIP8L2"", ""HLA-DQB1"", ""HFE"", ""MMRN1"", ""STAT5B"", ""PAWR"", ""PIEZO1"", 
""ITCH"", ""SRC"", ""ZDHHC21"", ""LYN"", ""GTPBP4"", ""SERPINE2"", ""ABAT"", ""BMP7"", ""TRAF6"", ""PPM1F"", ""ITPKB"", ""CD74"", ""PLAUR"", ""PTPN2"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.996003996003996","1","0.00288973010331959","-0.251326483601263","-0.775708013197162","297","c(""ACTN4"", ""FRMPD2"", ""CCDC85C"", ""SORBS2"", ""TNS3"", ""MARVELD3"", ""FLNA"", ""PTK2"", ""CLDN5"", ""CHP1"", ""CSRP2"", ""PPL"", ""CGN"", ""SPECC1L"", ""FLOT1"", ""MAGI1"", ""RAP2B"", ""FLOT2"", ""KCNA5"", ""SYMPK"", ""MMP14"", ""PTPRJ"", ""PROCR"", ""PEAK1"", ""ACTN1"", ""EPB41L4B"", ""TGFB1I1"", ""SCARF2"", ""SGSM3"", ""PTPN6"", ""TSPAN33"", ""PKD2"", ""HEG1"", ""SYNE2"", ""B4GALT1"", ""EPPK1"", ""PI4KA"", ""NOX4"", ""MCAM"", ""PDLIM3"", ""RPL13A"", ""B2M"", ""FES"", ""GAK"", ""ACTN3"", ""RPL18"", ""RPL10A"", ""CNN2"", ""PDLIM2"", ""BAIAP2L1"", ""SCARB2"", ""PRKCD"", ""MME"", ""FRMD4A"", ""RPL19"", 
""ZNF185"", ""PRKCZ"", ""PDLIM5"", ""FHL2"", ""ITGB5"", ""USP53"", ""PTPRA"", ""IGF2R"", ""RPL7"", ""VEZT"", ""IQGAP1"", ""PRUNE1"", ""RPS9"", ""PDLIM7"", ""TSPAN4"", ""ERBIN"", ""LIMS2"", ""DAB2"", ""SRP68"", ""NIBAN2"", ""RAP2C"", ""CDC42BPB"", ""TRPV4"", ""PALLD"", ""FOCAD"", ""AKT1"", ""RPL6"", ""ARL14EP"", ""CLTC"", ""PIP5K1A"", ""WNK3"", ""EZR"", ""PATJ"", ""OCLN"", ""CRB2"", ""EIF4G2"", ""PTK2B"", ""MDC1"", ""SYNPO"", ""ACTN2"", ""YBX3"", ""BMPR2"", ""C1QTNF5"", ""FXYD1"", ""SRC"", ""CAT"", ""SLC4A2"", ""SYNPO2"", ""FAT1"", ""G3BP1"", ""ACTB"", ""CCN3"", ""LYN"", ""UBN1"", ""PTPRK"", ""CDH3"", ""RPL5"", 
""DLC1"", ""RPS3A"", ""RPS11"", ""RPLP0"", ""ANXA6"", ""RPS14"", ""PKN2"", ""CNN3"", ""RPS8"", ""LSR"", ""PTK7"", ""HCK"", ""PLAUR"", ""KIAA1210"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.998001998001998","1","0.00204130030921835","-0.232495009515735","-0.70624862739077","189","c(""ACTN4"", ""SORBS2"", ""TNS3"", ""FLNA"", ""PTK2"", ""CHP1"", ""CSRP2"", ""FLOT1"", ""FLOT2"", ""MMP14"", ""PROCR"", ""PEAK1"", ""ACTN1"", ""TGFB1I1"", ""SCARF2"", ""SYNE2"", ""EPPK1"", ""PI4KA"", ""NOX4"", ""MCAM"", ""RPL13A"", ""B2M"", ""FES"", ""GAK"", ""ACTN3"", ""RPL18"", ""RPL10A"", ""CNN2"", ""SCARB2"", ""MME"", ""RPL19"", ""ZNF185"", ""FHL2"", ""ITGB5"", ""PTPRA"", ""IGF2R"", ""RPL7"", ""IQGAP1"", ""PRUNE1"", ""RPS9"", ""PDLIM7"", ""TSPAN4"", ""ERBIN"", ""LIMS2"", ""DAB2"", ""SRP68"", ""TRPV4"", ""PALLD"", ""FOCAD"", ""RPL6"", ""ARL14EP"", ""CLTC"", ""PIP5K1A"", ""EZR"", ""PTK2B"", ""MDC1"", ""ACTN2"", 
""SRC"", ""CAT"", ""SLC4A2"", ""SYNPO2"", ""FAT1"", ""G3BP1"", ""ACTB"", ""RPL5"", ""DLC1"", ""RPS3A"", ""RPS11"", ""RPLP0"", ""ANXA6"", ""RPS14"", ""CNN3"", ""RPS8"", ""PTK7"", ""HCK"", ""PLAUR"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.0172726467693573","0.408457407988068","0.352487857583619","-0.395666368774933","-1.20842118512087","212","c(""APOA4"", ""GRIA2"", ""EGFL8"", ""TFPI"", ""LPL"", ""ADIPOQ"", ""IGLL1"", ""FGA"", ""ABCA1"", ""SRPX2"", ""IGHV6-1"", ""FGG"", ""FGB"", ""FCGR2B"", ""IGLC2"", ""FGFR2"", ""CD36"", ""SERPINF2"", ""FLOT1"", ""SRPX"", ""HYAL2"", ""CD5L"", ""BGN"", ""HLA-DMA"", ""KCNA5"", ""PRND"", ""LBP"", ""CTSB"", ""FAS"", ""IGHG3"", ""PTPRJ"", ""PROCR"", ""SLC1A1"", ""IGHM"", ""IGHV3-43"", ""IGHV5-51"", ""THBS1"", ""PTGFRN"", ""LEPR"", ""IGHG2"", ""PLG"", ""IL13RA1"", ""PAM"", ""VAMP4"", ""MRC1"", ""IGKC"", ""IGHV2-5"", ""TSPAN33"", ""SLC32A1"", ""HEG1"", ""RGMA"", ""B4GALT1"", ""HRG"", ""TF"", ""SULF1"", ""MCAM"", ""SCARB1""
)"
