gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
AAMDC,-1.467501899,3.14638913,-2.064583146,0.052353023,0.272211969,-4.140882599,,,,,,,,,,,,,,,,,,,
ABL1,-2.43491965,2.807578261,-2.07296822,0.051489658,0.272211969,-4.136238722,,,,,,,,,,,,,,,,,,,
ACAA1,-2.617189612,-1.949802174,-2.18173364,0.041399034,0.272211969,-4.075361844,,,,,,,,,,,,,,,,,,,
ACADSB,-2.580814222,5.21336087,-2.605461062,0.017040193,0.272211969,-3.82998515,,,,,,,,,,,,,,,,,,,
ACOT13,-2.969375561,5.28861087,-2.515449716,0.020669251,0.272211969,-3.882880196,,,,,,,,,,,,,,,,,,,
ACOX1,-2.13697512,2.187247826,-2.219386748,0.038349125,0.272211969,-4.054032942,,,,,,,,,,,,,,,,,,,
ACP1,-0.913957207,3.913076087,-2.45477472,0.023512293,0.272211969,-3.918359295,,,,,,,,,,,,,,,,,,,
ACTN2,-1.834483262,1.812434783,-2.483918464,0.022103876,0.272211969,-3.901338013,,,,,,,,,,,,,,,,,,,
ADA,-1.444928365,1.667658696,-2.561539264,0.018728731,0.272211969,-3.855830036,,,,,,,,,,,,,,,,,,,
ADAMTS15,-1.680415403,-2.269015217,-2.323352667,0.030965587,0.272211969,-3.99455727,,,,,,,,,,,,,,,,,,,
ADGRE1,-2.558834945,-7.508273913,-2.708461606,0.013627329,0.272211969,-3.76918236,,,,,,,,,,,,,,,,,,,
ADH1B,-3.041941268,2.705193478,-2.169200793,0.042462272,0.272211969,-4.082433769,,,,,,,,,,,,,,,,,,,
AFAP1,-1.916642639,1.476867391,-2.595315163,0.017416981,0.272211969,-3.835960511,,,,,,,,,,,,,,,,,,,
AGXT,-2.381433728,-2.273008696,-2.30892081,0.031905549,0.272211969,-4.002860328,,,,,,,,,,,,,,,,,,,
AHSG,-1.840874029,-1.25606087,-2.35306328,0.029110569,0.272211969,-3.977420516,,,,,,,,,,,,,,,,,,,
AHSP,-2.462104196,0.035086957,-2.114823264,0.047369113,0.272211969,-4.112948952,,,,,,,,,,,,,,,,,,,
AIFM1,-2.031115949,1.896319565,-2.08638797,0.050134576,0.272211969,-4.128791068,,,,,,,,,,,,,,,,,,,
AK1,-0.906062203,8.001715217,-2.846477539,0.010061664,0.272211969,-3.687474447,,,,,,,,,,,,,,,,,,,
AKAP12,-1.781720009,2.462506522,-2.394935185,0.02667062,0.272211969,-3.953176361,,,,,,,,,,,,,,,,,,,
AKR1B10,-3.389063569,-2.37261087,-2.128149547,0.046121214,0.272211969,-4.105496713,,,,,,,,,,,,,,,,,,,
AKR1C4,-1.502651281,-2.706523913,-2.157164607,0.043506724,0.272211969,-4.089212077,,,,,,,,,,,,,,,,,,,
AKR7L,-0.714980697,3.624671739,-2.206996704,0.039329268,0.272211969,-4.061064713,,,,,,,,,,,,,,,,,,,
AKT1S1,-2.074913591,2.539515217,-2.578548678,0.018056919,0.272211969,-3.845828323,,,,,,,,,,,,,,,,,,,
AKT2,-2.297898696,4.529069565,-2.499195207,0.021397536,0.272211969,-3.892400505,,,,,,,,,,,,,,,,,,,
AKT3,-1.634378671,2.690076087,-2.216378753,0.038585003,0.272211969,-4.055741258,,,,,,,,,,,,,,,,,,,
ALDH2,-1.882943645,1.037195652,-3.063520603,0.006196779,0.272211969,-3.559094496,,,,,,,,,,,,,,,,,,,
ALDH5A1,-1.760583567,3.562723913,-2.15459403,0.043732794,0.272211969,-4.090658002,,,,,,,,,,,,,,,,,,,
AMFR,-1.031735946,1.190871739,-2.178074787,0.041706901,0.272211969,-4.077427879,,,,,,,,,,,,,,,,,,,
AMOT,-2.019400126,0.02455,-3.120732156,0.005446269,0.272211969,-3.525387097,,,,,,,,,,,,,,,,,,,
AMPD3,-2.738618456,1.126995652,-2.681076066,0.01446532,0.272211969,-3.785369896,,,,,,,,,,,,,,,,,,,
ANK2,-2.530092779,5.783467391,-2.464321645,0.023041937,0.272211969,-3.91278779,,,,,,,,,,,,,,,,,,,
ANKMY2,-1.711943968,3.3098,-2.116419064,0.047218085,0.272211969,-4.112057478,,,,,,,,,,,,,,,,,,,
ANKRD54,-2.036545969,0.15588913,-2.548649293,0.019253441,0.272211969,-3.863402998,,,,,,,,,,,,,,,,,,,
AP2B1,-1.639448283,1.619152174,-2.314502863,0.031538903,0.272211969,-3.999650495,,,,,,,,,,,,,,,,,,,
AP3S2,-1.000105856,0.93051087,-2.126748366,0.046251008,0.272211969,-4.106281089,,,,,,,,,,,,,,,,,,,
APOA1,-1.318066427,0.182173913,-2.271675113,0.034454336,0.272211969,-4.024221285,,,,,,,,,,,,,,,,,,,
APOA4,-2.326422746,0.813384783,-3.614912406,0.00175659,0.272211969,-3.239503655,,,,,,,,,,,,,,,,,,,
APPL2,-1.514614044,3.162247826,-2.664863436,0.014984233,0.272211969,-3.794946689,,,,,,,,,,,,,,,,,,,
APRT,-1.907325913,5.382345652,-3.025686941,0.006747137,0.272211969,-3.581425766,,,,,,,,,,,,,,,,,,,
ARAF,-1.755773981,-5.294928261,-2.226269222,0.037814377,0.272211969,-4.050121407,,,,,,,,,,,,,,,,,,,
