gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
JUNB,-1.294444604,8.615551606,-4.683396629,1.35389226101112e-05,0.041584801,2.773509384,Development (apoptosis),0.356633381
PLP1,1.403865184,6.142283849,4.834792364,7.69285674496398e-06,0.041584801,3.023921891,NA,0.10342368
TTR,-1.047764503,8.219883973,-4.520725299,2.46283061807001e-05,0.050430562,2.324912009,NA,0.290299572
FOLR3,1.354735582,5.687874609,4.398133447,3.84071269777774e-05,0.058983745,1.557652358,NA,0.075606277
B2M,-1.103879617,8.738005158,-4.334879731,4.81926290154574e-05,0.059209464,1.668843563,Inflammation/Immune/Stress/Toxic/Detox,0.360199715
RAB18,1.425227536,6.036864179,4.219218176,7.26752879295631e-05,0.074407382,1.121893367,Transport,0.082738944
CYB5R3,-0.930508409,7.472064093,-4.114420943,0.000104935,0.09208803,1.087788072,NA,0.160485021
ZFP36,-1.12933837,8.963876107,-4.009724904,0.000150736,0.115746185,0.722940786,NA,0.425820257
BHLHE40,-1.01332114,8.569931449,-3.915336212,0.000208055,0.142008972,0.492075856,NA,0.339514979
HOXA10,1.111518771,6.264373109,3.866481099,0.000245422,0.150762919,0.206969359,Development (differentiation),0.100570613
CDKN1A,-1.019247093,8.872945494,-3.818152669,0.000288664,0.161205667,0.182514404,Development (cell cycle),0.370185449
PDE6B,1.089663941,6.071781454,3.730588817,0.000386222,0.169468888,-0.181496297,Metabolism (other),0.092011412
PPP2R1A,-0.885903066,7.293004574,-3.731947208,0.000384493,0.169468888,-0.034438824,Metabolism (other),0.136233951
SLC2A3,-1.030344383,9.465973337,-3.752330606,0.000359413,0.169468888,-0.034901346,Transport,0.497146933
COX2,0.756776618,13.34459215,3.646151781,0.000509572,0.184135168,-0.22691382,NA,0.997146933
HLA.F,-0.840722445,8.300288917,-3.673024458,0.00046673,0.184135168,-0.16847419,NA,0.288873039
PHKA2,1.172224972,6.129065617,3.647557735,0.00050724,0.184135168,-0.514929343,Metabolism (other),0.096291013
PTGDS,-0.887319226,6.966697604,-3.593237963,0.000605112,0.206511363,-0.42412521,NA,0.120542083
CALCR,1.07735036,6.107421986,3.537293778,0.000724533,0.234252931,-0.631468228,Transport,0.093437946
SRGN,-0.811863367,8.372706938,-3.474169629,0.00088606,0.27215319,-0.708198427,NA,0.292439372
ADM,-0.834657331,9.085398938,-3.293188523,0.001559127,0.281697525,-1.187923104,NA,0.424393723
APIP,0.847065595,8.606256944,3.303239215,0.001511673,0.281697525,-1.177766659,Development (apoptosis),0.388017118
CDK17,-0.740127613,8.227004256,-3.360182206,0.001267489,0.281697525,-1.006412498,Development (cell cycle),0.261055635
CENPW,0.935865688,6.386596256,3.345431395,0.001326904,0.281697525,-1.123440336,NA,0.09914408
GADD45B,-0.905869212,10.03258667,-3.30560836,0.001500687,0.281697525,-1.187605961,NA,0.589158345
GRB10,-0.85735142,7.839178578,-3.338510075,0.001355679,0.281697525,-1.063135292,NA,0.241084165
HP,0.939352967,6.91422809,3.3736763,0.001215341,0.281697525,-1.038641383,NA,0.144079886
HTR1B,0.999131387,6.383210472,3.303872834,0.001508727,0.281697525,-1.254314559,NA,0.099857347
JUN,-0.935492706,9.467496361,-3.365755604,0.0012457,0.281697525,-1.033135393,Development (apoptosis),0.502853067
RBBP7,1.089203967,5.595236878,3.437012292,0.00099651,0.281697525,-0.938018436,NA,0.070613409
RUNX3,-0.842595706,7.366783635,-3.379158592,0.001194739,0.281697525,-0.977227194,NA,0.164764622
SLC18A3,0.904028565,6.52673579,3.353323536,0.001294796,0.281697525,-1.066480722,Transport,0.115549215
