gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
ABHD2,-1.158374324,8.530020235,-5.202203978,0.000158597,0.109126907,1.052174657,Metabolism or Transport (lipid),0.401289283
ACAT1,-1.078341561,7.647187903,-5.322057017,0.00012847,0.109126907,1.271226169,Metabolism or Transport (lipid),0.264123914
CBR1,-1.205727202,7.992513917,-5.227326749,0.000151721,0.109126907,1.109480667,Metabolism (other),0.306652341
CTSD,-1.209918677,10.77321707,-5.108551294,0.000187229,0.109126907,0.939591599,Metabolism (other),0.830960695
IGF2,-1.00140079,6.988301584,-5.536881173,8.85007144901531e-05,0.109126907,1.635745633,Development (differentiation),0.171277643
IL18,-1.12385812,6.869037498,-5.087781759,0.00019428,0.109126907,0.947673364,Inflammation/Immune/Stress/Toxic/Detox,0.190169218
LAMP2,-1.058809103,6.903284207,-5.614299276,7.74991162450354e-05,0.109126907,1.754484686,NA,0.16053362
MVP,1.492036307,9.218152274,5.805863505,5.60018608832612e-05,0.109126907,2.016215042,NA,0.41516698
PSAP,-1.118635138,9.978653823,-5.094542099,0.000191955,0.109126907,0.884032944,NA,0.692452323
SERPINA3,1.570489161,6.249784741,5.747951444,6.17479916034079e-05,0.109126907,1.982231862,Inflammation/Immune/Stress/Toxic/Detox,0.074133763
ATP6AP2,-0.918963106,7.642477334,-4.661660575,0.000419944,0.131100866,0.24499565,NA,0.255976363
BSG,-1.090153707,10.34437339,-4.72862072,0.00037147,0.131100866,0.339615986,Matrisome/cell adhesion/binding/signaling,0.771958098
C1QBP,-0.913245054,7.456224315,-4.577696508,0.00049014,0.131100866,0.110723732,Inflammation/Immune/Stress/Toxic/Detox,0.207001522
CA2,-1.108474704,9.617172837,-4.799752701,0.000326289,0.131100866,0.431460247,Inflammation/Immune/Stress/Toxic/Detox,0.593786373
FBLN1,-1.046401932,11.19745344,-4.761676764,0.000349717,0.131100866,0.394651044,NA,0.881547139
FOLR1,-1.056524698,10.08078133,-4.585353079,0.000483263,0.131100866,0.110839667,NA,0.704807951
IGFBP7,-1.072144721,12.63149232,-4.599369254,0.000470932,0.131100866,0.109827151,Development (cell cycle),0.979317754
IGFBP7,-1.072144721,12.63149232,-4.599369254,0.000470932,0.131100866,0.109827151,Development (differentiation),0.979317754
MMP14,-1.050733706,8.692454767,-4.69474255,0.000395225,0.131100866,0.270220302,NA,0.41516698
OCA2,-0.951806651,7.706798246,-4.820862148,0.000314009,0.131100866,0.493588527,Metabolism (other),0.249977617
RGN,-0.841481856,6.141042084,-4.609679901,0.000462068,0.131100866,0.180782846,NA,0.092935804
TIMP3,-1.046621255,8.511264202,-4.783057163,0.000336354,0.131100866,0.41403524,NA,0.396544006
ACO2,-0.875663197,7.95804944,-4.314780837,0.000799509,0.131791925,-0.32821029,Metabolism or Transport (lipid),0.292595577
AQP1,-0.912008651,10.39199405,-4.201912224,0.000988678,0.131791925,-0.515296966,Transport,0.752350255
ATP1B1,-1.093821546,9.660981702,-4.187945133,0.001015097,0.131791925,-0.549693866,NA,0.627898648
ATP5F1B,-0.943421795,9.164953196,-4.237190293,0.000925052,0.131791925,-0.46973236,NA,0.50165637
