gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
ACAT1,-1.12974487,7.540706485,-6.377859166,1.30207499634469e-06,0.003475238,5.385784468,Metabolism or Transport (lipid),0.151892172
TTR,-1.354375014,15.45572064,-6.592661554,7.74362427434396e-07,0.003475238,5.786803169,NA,0.996371177
B2M,-0.919511162,7.838472443,-5.222062992,2.31026123122083e-05,0.010133474,2.747111934,Inflammation/Immune/Stress/Toxic/Detox,0.17504752
BSG,-1.132670765,9.526146294,-5.311382616,1.84266949246903e-05,0.010133474,2.903797123,Matrisome/cell adhesion/binding/signaling,0.443407638
CA2,-1.112720918,9.420928278,-5.458707717,1.27040871495492e-05,0.010133474,3.241468811,Inflammation/Immune/Stress/Toxic/Detox,0.410057024
CBR1,-0.960530482,7.802504194,-5.350651112,1.66854267183699e-05,0.010133474,3.044712192,Metabolism (other),0.17504752
CD59,-0.930574224,7.947205085,-5.217727308,2.33578974299189e-05,0.010133474,2.735524792,NA,0.185069984
CTSD,-1.174759855,9.548278208,-5.596786483,8.97837561157941e-06,0.010133474,3.546325275,Metabolism (other),0.438569207
ENO1,-0.999446379,8.066084619,-5.165451233,2.66694767656274e-05,0.010133474,2.609883095,Metabolism (other),0.213927769
FOLR1,-1.145087259,9.048476996,-5.632776916,8.20376227017974e-06,0.010133474,3.648424698,NA,0.350440643
GPI,-1.038058315,7.547668917,-5.312211918,1.8388087710327e-05,0.010133474,2.955746642,NA,0.156385001
GSN,-0.895884429,7.047320259,-5.165235911,2.66840534002053e-05,0.010133474,2.616327698,NA,0.119578365
NDUFS3,-0.876021782,7.508988735,-5.139637737,2.8475480814218e-05,0.010133474,2.55507781,NA,0.141351305
PKM,-1.091537051,9.71325791,-5.310459743,1.84697544901999e-05,0.010133474,2.899492057,Metabolism (other),0.481078279
PSAP,-1.025850657,8.679017443,-5.27014739,2.04532603174217e-05,0.010133474,2.836649236,NA,0.288750648
ABR,-0.886792646,6.610765996,-4.987386892,4.19368086185226e-05,0.01027793,2.196495595,Motility,0.085190945
CD9,-0.864234022,7.023482423,-4.946637604,4.65227961661752e-05,0.01027793,2.098911846,Inflammation/Immune/Stress/Toxic/Detox,0.1093831
CLU,-1.05262339,8.926942132,-4.968565068,4.39956471114521e-05,0.01027793,2.136289656,NA,0.333678936
CST3,-1.158467237,10.35403111,-5.083402116,3.28485026774069e-05,0.01027793,2.372787711,NA,0.589424572
